Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.110000,2.150000,2.100000,2.110000,2.110000,1336559
2017-01-31,2.130000,2.140000,2.100000,2.120000,2.120000,3221386
2017-02-01,2.120000,2.140000,2.110000,2.130000,2.130000,2270058
2017-02-02,2.150000,2.220000,2.150000,2.200000,2.200000,4130091
2017-02-03,2.210000,2.270000,2.210000,2.250000,2.250000,4007923
2017-02-06,2.290000,2.300000,2.270000,2.300000,2.300000,5712907
2017-02-07,2.300000,2.320000,2.270000,2.300000,2.300000,2239435
2017-02-08,2.300000,2.300000,2.280000,2.300000,2.300000,3415338
2017-02-09,2.310000,2.370000,2.290000,2.360000,2.360000,6181182
2017-02-10,2.380000,2.420000,2.380000,2.380000,2.380000,4376477
2017-02-13,2.390000,2.455000,2.350000,2.450000,2.450000,7569248
2017-02-14,2.440000,2.460000,2.400000,2.420000,2.420000,4797134
2017-02-15,2.530000,2.570000,2.325000,2.360000,2.360000,24497924
2017-02-16,2.340000,2.380000,2.300000,2.310000,2.310000,11164875
2017-02-17,2.310000,2.350000,2.310000,2.350000,2.350000,5531529
2017-02-20,2.340000,2.340000,2.300000,2.300000,2.300000,6852120
2017-02-21,2.290000,2.310000,2.260000,2.270000,2.270000,4229759
2017-02-22,2.210000,2.220000,2.155000,2.180000,2.180000,10460536
2017-02-23,2.200000,2.250000,2.170000,2.240000,2.240000,4744494
2017-02-24,2.240000,2.250000,2.225000,2.230000,2.230000,2553192
2017-02-27,2.240000,2.270000,2.210000,2.210000,2.210000,2688313
2017-02-28,2.230000,2.240000,2.180000,2.210000,2.210000,2953492
2017-03-01,2.210000,2.230000,2.180000,2.180000,2.180000,1699299
2017-03-02,2.190000,2.200000,2.180000,2.200000,2.200000,3177428
2017-03-03,2.240000,2.280000,2.230000,2.280000,2.280000,3501875
2017-03-06,2.290000,2.330000,2.290000,2.320000,2.320000,3963911
2017-03-07,2.320000,2.320000,2.250000,2.270000,2.270000,3576933
2017-03-08,2.260000,2.260000,2.210000,2.230000,2.230000,2533512
2017-03-09,2.240000,2.290000,2.230000,2.270000,2.270000,1524423
2017-03-10,2.270000,2.340000,2.260000,2.340000,2.340000,2972068
2017-03-13,2.350000,2.400000,2.345000,2.400000,2.400000,3771662
2017-03-14,2.410000,2.460000,2.380000,2.410000,2.410000,4850497
2017-03-15,2.410000,2.430000,2.360000,2.430000,2.430000,3386345
2017-03-16,2.450000,2.450000,2.400000,2.440000,2.440000,3264771
2017-03-17,2.420000,2.440000,2.410000,2.430000,2.430000,12471186
2017-03-20,2.400000,2.460000,2.390000,2.460000,2.460000,2709332
2017-03-21,2.510000,2.590000,2.500000,2.570000,2.570000,17407073
2017-03-22,2.530000,2.580000,2.510000,2.540000,2.540000,6048070
2017-03-23,2.550000,2.650000,2.550000,2.600000,2.600000,7800380
2017-03-24,2.620000,2.640000,2.600000,2.610000,2.610000,2226681
2017-03-27,2.630000,2.760000,2.610000,2.690000,2.690000,7758892
2017-03-28,2.720000,2.740000,2.610000,2.640000,2.640000,8615722
2017-03-29,2.670000,2.720000,2.650000,2.700000,2.700000,5363882
2017-03-30,2.690000,2.730000,2.630000,2.680000,2.680000,3920513
2017-03-31,2.680000,2.750000,2.680000,2.740000,2.740000,3372523
2017-04-03,2.750000,2.840000,2.740000,2.780000,2.780000,6128445
2017-04-04,2.810000,2.830000,2.740000,2.790000,2.790000,6280409
2017-04-05,2.790000,2.840000,2.750000,2.830000,2.830000,5420534
2017-04-06,2.840000,2.980000,2.830000,2.960000,2.960000,13362271
2017-04-07,2.980000,2.990000,2.910000,2.920000,2.920000,6804043
2017-04-10,2.920000,2.960000,2.915000,2.930000,2.930000,3202559
2017-04-11,2.910000,2.950000,2.900000,2.900000,2.900000,2748000
2017-04-12,2.900000,2.930000,2.900000,2.920000,2.920000,3144462
2017-04-13,2.920000,2.990000,2.920000,2.980000,2.980000,4452369
2017-04-18,2.990000,3.040000,2.980000,2.990000,2.990000,3656984
2017-04-19,2.990000,3.030000,2.960000,2.990000,2.990000,2971550
2017-04-20,2.960000,2.960000,2.900000,2.930000,2.930000,5079350
2017-04-21,2.920000,3.010000,2.920000,2.950000,2.950000,3844534
2017-04-24,2.950000,2.990000,2.950000,2.970000,2.970000,1986525
2017-04-26,3.080000,3.210000,3.080000,3.200000,3.200000,9591867
2017-04-27,3.270000,3.295000,3.220000,3.280000,3.280000,6153415
2017-04-28,3.280000,3.280000,3.065000,3.100000,3.100000,15911342
2017-05-01,3.110000,3.170000,3.100000,3.150000,3.150000,5280982
2017-05-02,3.160000,3.180000,3.065000,3.170000,3.170000,7547469
2017-05-03,3.130000,3.200000,3.110000,3.150000,3.150000,4413481
2017-05-04,3.190000,3.250000,3.160000,3.200000,3.200000,3901856
2017-05-05,3.220000,3.240000,3.160000,3.220000,3.220000,2395866
2017-05-08,3.250000,3.300000,3.240000,3.240000,3.240000,5769710
2017-05-09,3.280000,3.380000,3.260000,3.340000,3.340000,4304346
2017-05-10,3.380000,3.480000,3.370000,3.460000,3.460000,4819881
2017-05-11,3.500000,3.590000,3.430000,3.430000,3.430000,11083806
2017-05-12,3.430000,3.490000,3.260000,3.260000,3.260000,8187706
2017-05-15,3.300000,3.340000,3.195000,3.230000,3.230000,4976282
2017-05-16,3.240000,3.280000,3.110000,3.210000,3.210000,6400254
2017-05-17,3.240000,3.320000,3.240000,3.310000,3.310000,3205612
2017-05-18,3.250000,3.290000,3.230000,3.280000,3.280000,2939332
2017-05-19,3.290000,3.310000,3.260000,3.270000,3.270000,1538400
2017-05-22,3.290000,3.310000,3.230000,3.240000,3.240000,1825488
2017-05-23,3.240000,3.255000,3.215000,3.230000,3.230000,1703934
2017-05-24,3.230000,3.290000,3.210000,3.290000,3.290000,1804434
2017-05-25,3.260000,3.270000,3.200000,3.210000,3.210000,2947910
2017-05-26,3.200000,3.240000,3.150000,3.220000,3.220000,2244923
2017-05-29,3.200000,3.220000,3.140000,3.150000,3.150000,3237801
2017-05-30,3.170000,3.220000,3.160000,3.190000,3.190000,1933867
2017-05-31,3.200000,3.225000,3.170000,3.180000,3.180000,2438431
2017-06-01,3.180000,3.245000,3.170000,3.210000,3.210000,2459186
2017-06-02,3.230000,3.320000,3.220000,3.300000,3.300000,2751591
2017-06-05,3.320000,3.340000,3.240000,3.260000,3.260000,2000931
2017-06-06,3.250000,3.260000,3.160000,3.190000,3.190000,3579267
2017-06-07,3.200000,3.210000,3.130000,3.150000,3.150000,3893201
2017-06-08,3.140000,3.200000,3.125000,3.190000,3.190000,4042004
2017-06-09,3.170000,3.260000,3.170000,3.260000,3.260000,1565647
2017-06-13,3.250000,3.270000,3.200000,3.270000,3.270000,1817503
2017-06-14,3.280000,3.390000,3.280000,3.390000,3.390000,3549446
2017-06-15,3.390000,3.440000,3.340000,3.350000,3.350000,4958781
2017-06-16,3.550000,3.690000,3.510000,3.690000,3.690000,13088317
2017-06-19,3.770000,3.950000,3.750000,3.930000,3.930000,9530662
2017-06-20,3.930000,3.930000,3.800000,3.880000,3.880000,5831170
2017-06-21,3.830000,3.915000,3.810000,3.880000,3.880000,4337889
2017-06-22,3.910000,3.910000,3.870000,3.880000,3.880000,3097893
2017-06-23,3.910000,3.920000,3.890000,3.900000,3.900000,2153525
2017-06-26,3.900000,3.910000,3.880000,3.900000,3.900000,1964105
2017-06-27,3.900000,3.910000,3.850000,3.880000,3.880000,1861668
2017-06-28,3.860000,3.890000,3.800000,3.890000,3.890000,2931194
2017-06-29,3.900000,3.900000,3.830000,3.840000,3.840000,2259258
2017-06-30,3.820000,3.820000,3.760000,3.760000,3.760000,4541304
2017-07-03,3.790000,3.820000,3.750000,3.750000,3.750000,3109053
2017-07-04,3.750000,3.780000,3.720000,3.760000,3.760000,2027161
2017-07-05,3.770000,3.780000,3.690000,3.690000,3.690000,1704759
2017-07-06,3.700000,3.770000,3.695000,3.740000,3.740000,2822406
2017-07-07,3.700000,3.730000,3.680000,3.700000,3.700000,2142909
2017-07-10,3.690000,3.710000,3.650000,3.660000,3.660000,1762214
2017-07-11,3.790000,3.850000,3.740000,3.770000,3.770000,4818463
2017-07-12,3.780000,3.810000,3.740000,3.760000,3.760000,2323223
2017-07-13,3.810000,3.820000,3.750000,3.760000,3.760000,1991029
2017-07-14,3.770000,3.810000,3.750000,3.780000,3.780000,2375715
2017-07-17,3.800000,3.810000,3.750000,3.770000,3.770000,2335355
2017-07-18,3.770000,3.775000,3.670000,3.680000,3.680000,2829346
2017-07-19,3.700000,3.710000,3.600000,3.640000,3.640000,2875985
2017-07-20,3.630000,3.660000,3.610000,3.640000,3.640000,3915676
2017-07-21,3.660000,3.670000,3.630000,3.640000,3.640000,2183881
2017-07-24,3.660000,3.700000,3.650000,3.680000,3.680000,2379593
2017-07-25,3.730000,3.830000,3.710000,3.830000,3.830000,4182665
2017-07-26,3.880000,3.990000,3.870000,3.910000,3.910000,5324628
2017-07-27,4.030000,4.260000,4.015000,4.200000,4.200000,14557940
2017-07-28,4.220000,4.220000,3.960000,4.060000,4.060000,10862777
2017-07-31,4.100000,4.150000,4.080000,4.140000,4.140000,3479230
2017-08-01,4.150000,4.190000,4.110000,4.160000,4.160000,3618164
2017-08-02,4.220000,4.275000,4.150000,4.150000,4.150000,6942510
2017-08-03,4.160000,4.245000,4.130000,4.230000,4.230000,4699295
2017-08-04,4.240000,4.425000,4.235000,4.380000,4.380000,5622459
2017-08-07,4.460000,4.500000,4.450000,4.460000,4.460000,3830726
2017-08-08,4.470000,4.490000,4.380000,4.420000,4.420000,5095096
2017-08-09,4.400000,4.500000,4.370000,4.490000,4.490000,5380545
2017-08-10,4.550000,4.570000,4.450000,4.500000,4.500000,6288854
2017-08-11,4.450000,4.500000,4.420000,4.490000,4.490000,2975927
2017-08-14,4.500000,4.550000,4.495000,4.550000,4.550000,1864374
2017-08-15,4.550000,4.625000,4.550000,4.620000,4.620000,2883868
2017-08-16,4.650000,4.670000,4.620000,4.650000,4.650000,3901261
2017-08-17,4.680000,4.710000,4.520000,4.570000,4.570000,4862178
2017-08-18,4.550000,4.630000,4.530000,4.620000,4.620000,3001566
2017-08-21,4.630000,4.640000,4.520000,4.550000,4.550000,3203631
2017-08-22,4.560000,4.610000,4.470000,4.500000,4.500000,3669363
2017-08-23,4.770000,4.830000,4.630000,4.810000,4.810000,11682642
2017-08-24,4.930000,5.125000,4.920000,5.030000,5.030000,15588610
2017-08-25,5.080000,5.280000,5.055000,5.280000,5.280000,11159305
2017-08-28,5.340000,5.370000,5.060000,5.080000,5.080000,8718948
2017-08-29,5.070000,5.170000,4.980000,5.020000,5.020000,9698786
2017-08-30,5.020000,5.070000,5.010000,5.040000,5.040000,4082379
2017-08-31,5.060000,5.120000,5.020000,5.040000,5.040000,4962548
2017-09-01,5.100000,5.200000,5.085000,5.110000,5.110000,4529987
2017-09-04,5.150000,5.150000,5.030000,5.050000,5.050000,2447781
2017-09-05,5.060000,5.100000,5.040000,5.060000,5.060000,1629604
2017-09-06,5.070000,5.280000,5.070000,5.190000,5.190000,7884705
2017-09-07,5.260000,5.310000,5.160000,5.240000,5.240000,4449527
2017-09-08,5.270000,5.340000,5.250000,5.300000,5.300000,4253268
2017-09-11,5.350000,5.550000,5.350000,5.530000,5.530000,5049496
2017-09-12,5.580000,5.580000,5.420000,5.430000,5.430000,4940359
2017-09-13,5.480000,5.500000,5.410000,5.460000,5.460000,2543730
2017-09-14,5.410000,5.460000,5.310000,5.340000,5.340000,4194088
2017-09-15,5.320000,5.370000,5.170000,5.170000,5.170000,6211401
2017-09-18,5.250000,5.395000,5.240000,5.350000,5.350000,3807930
2017-09-19,5.380000,5.390000,5.285000,5.360000,5.360000,3109585
2017-09-20,5.400000,5.485000,5.350000,5.430000,5.430000,4211051
2017-09-21,5.470000,5.520000,5.410000,5.500000,5.500000,5885390
2017-09-22,5.520000,5.550000,5.460000,5.530000,5.530000,2257906
2017-09-25,5.540000,5.730000,5.485000,5.730000,5.730000,4980359
2017-09-26,5.720000,5.880000,5.710000,5.860000,5.860000,9415288
2017-09-27,5.890000,6.035000,5.880000,5.990000,5.990000,9238518
2017-09-28,6.270000,6.400000,5.975000,5.990000,5.990000,15581272
2017-09-29,6.040000,6.040000,5.850000,5.860000,5.860000,9144572
2017-10-02,5.920000,6.190000,5.910000,6.170000,6.170000,5062706
2017-10-03,6.090000,6.110000,5.970000,6.010000,6.010000,4439081
2017-10-04,6.120000,6.335000,6.080000,6.310000,6.310000,7549203
2017-10-05,6.400000,6.660000,6.360000,6.610000,6.610000,11994022
2017-10-06,6.530000,6.585000,6.470000,6.560000,6.560000,4821424
2017-10-09,6.580000,6.730000,6.580000,6.710000,6.710000,5987887
2017-10-10,6.710000,6.930000,6.670000,6.910000,6.910000,6706427
2017-10-11,6.980000,7.105000,6.920000,6.970000,6.970000,8539074
2017-10-12,7.010000,7.100000,6.970000,7.050000,7.050000,6201160
2017-10-13,7.070000,7.145000,6.940000,7.030000,7.030000,6353147
2017-10-16,7.070000,7.100000,6.960000,7.000000,7.000000,5400460
2017-10-17,7.000000,7.220000,6.960000,7.180000,7.180000,5533228
2017-10-18,7.200000,7.250000,7.120000,7.180000,7.180000,4053522
2017-10-19,7.160000,7.215000,7.080000,7.100000,7.100000,4110456
2017-10-20,7.060000,7.130000,6.980000,7.130000,7.130000,3489634
2017-10-23,7.230000,7.250000,7.185000,7.250000,7.250000,2258222
2017-10-24,7.270000,7.490000,7.270000,7.350000,7.350000,5372508
2017-10-25,7.430000,7.540000,7.430000,7.520000,7.520000,4049894
2017-10-26,7.530000,7.555000,7.440000,7.500000,7.500000,4437313
2017-10-27,7.550000,7.730000,7.530000,7.670000,7.670000,5542533
2017-10-30,7.800000,7.910000,7.730000,7.760000,7.760000,5785828
2017-10-31,7.800000,7.840000,7.600000,7.620000,7.620000,5925497
2017-11-01,7.340000,7.375000,6.710000,7.160000,7.160000,23348479
2017-11-02,7.040000,7.600000,6.970000,7.580000,7.580000,8725488
2017-11-03,7.630000,7.690000,7.270000,7.280000,7.280000,6106369
2017-11-06,7.210000,7.360000,7.120000,7.150000,7.150000,4820298
