Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,5.160000,5.220000,5.105000,5.160000,4.700402,922486
2017-01-31,5.150000,5.180000,5.120000,5.120000,4.663964,1670308
2017-02-01,5.140000,5.160000,5.090000,5.140000,4.682183,1899087
2017-02-02,5.230000,5.300000,5.150000,5.170000,4.709511,1938523
2017-02-03,5.180000,5.220000,5.150000,5.200000,4.736838,969135
2017-02-06,5.200000,5.240000,5.150000,5.170000,4.709511,969655
2017-02-07,5.160000,5.190000,5.100000,5.150000,4.691292,1215484
2017-02-08,5.130000,5.195000,5.130000,5.170000,4.709511,828089
2017-02-09,5.170000,5.190000,5.120000,5.160000,4.700402,989241
2017-02-10,5.170000,5.235000,5.140000,5.190000,4.727730,1315281
2017-02-13,5.200000,5.255000,5.170000,5.220000,4.755057,1141804
2017-02-14,5.260000,5.280000,5.230000,5.250000,4.782385,1106134
2017-02-15,5.250000,5.290000,5.220000,5.290000,4.818823,2146743
2017-02-16,5.340000,5.340000,5.240000,5.290000,4.818823,1452772
2017-02-17,5.310000,5.320000,5.230000,5.250000,4.782385,1151011
2017-02-20,5.250000,5.270000,5.215000,5.240000,4.773275,1295785
2017-02-21,5.240000,5.260000,5.220000,5.230000,4.764167,974934
2017-02-22,5.250000,5.270000,5.140000,5.270000,4.800604,2243492
2017-02-23,5.100000,5.570000,5.030000,5.450000,4.964571,7146331
2017-02-24,5.420000,5.480000,5.270000,5.370000,4.891697,3303808
2017-02-27,5.340000,5.360000,5.310000,5.350000,4.873479,2292083
2017-02-28,5.340000,5.390000,5.330000,5.370000,4.891697,1929388
2017-03-01,5.400000,5.470000,5.340000,5.400000,4.919025,7967293
2017-03-02,5.490000,5.540000,5.455000,5.500000,5.010118,1459262
2017-03-03,5.490000,5.510000,5.470000,5.470000,4.982790,679220
2017-03-06,5.520000,5.520000,5.430000,5.510000,5.019227,1697709
2017-03-07,5.520000,5.540000,5.460000,5.510000,5.019227,1319817
2017-03-08,5.540000,5.550000,5.470000,5.490000,5.001009,1081012
2017-03-09,5.480000,5.530000,5.460000,5.490000,5.001009,1501175
2017-03-10,5.520000,5.670000,5.500000,5.590000,5.092102,2036150
2017-03-13,5.630000,5.680000,5.610000,5.630000,5.128539,1610339
2017-03-14,5.680000,5.680000,5.590000,5.620000,5.119430,710022
2017-03-15,5.590000,5.590000,5.520000,5.560000,5.064774,1889805
2017-03-16,5.550000,5.620000,5.550000,5.620000,5.119430,1783225
2017-03-17,5.600000,5.660000,5.600000,5.600000,5.101211,1069369
2017-03-20,5.570000,5.630000,5.560000,5.610000,5.110321,855049
2017-03-21,5.570000,5.670000,5.570000,5.650000,5.146758,1206067
2017-03-22,5.640000,5.640000,5.580000,5.590000,5.092102,2264876
2017-03-23,5.590000,5.620000,5.570000,5.620000,5.119430,1846371
2017-03-24,5.650000,5.690000,5.630000,5.680000,5.174086,1542725
2017-03-27,5.500000,5.550000,5.450000,5.550000,5.160140,2944287
2017-03-28,5.550000,5.590000,5.530000,5.590000,5.197330,4949445
2017-03-29,5.600000,5.680000,5.595000,5.680000,5.281007,1668671
2017-03-30,5.700000,5.720000,5.650000,5.690000,5.290305,4230373
2017-03-31,5.710000,5.725000,5.670000,5.680000,5.281007,1812668
2017-04-03,5.690000,5.690000,5.630000,5.650000,5.253115,884053
2017-04-04,5.630000,5.650000,5.620000,5.630000,5.234519,948696
2017-04-05,5.650000,5.660000,5.610000,5.660000,5.262413,1016417
2017-04-06,5.660000,5.690000,5.620000,5.680000,5.281007,2027247
2017-04-07,5.680000,5.720000,5.635000,5.650000,5.253115,1423148
2017-04-10,5.670000,5.700000,5.650000,5.680000,5.281007,1310449
2017-04-11,5.660000,5.710000,5.650000,5.670000,5.271710,1318843
2017-04-12,5.650000,5.710000,5.640000,5.670000,5.271710,1945820
2017-04-13,5.630000,5.640000,5.540000,5.550000,5.160140,1501317
2017-04-18,5.550000,5.620000,5.545000,5.580000,5.188032,1976588
2017-04-19,5.560000,5.620000,5.560000,5.580000,5.188032,737344
2017-04-20,5.580000,5.600000,5.540000,5.570000,5.178734,967773
2017-04-21,5.620000,5.620000,5.570000,5.610000,5.215925,903983
2017-04-24,5.550000,5.640000,5.550000,5.640000,5.243817,1159625
2017-04-26,5.650000,5.750000,5.640000,5.690000,5.290305,1483564
2017-04-27,5.720000,5.740000,5.695000,5.730000,5.327495,1167151
2017-04-28,5.800000,5.920000,5.740000,5.920000,5.504148,2690715
2017-05-01,5.900000,5.940000,5.870000,5.930000,5.513446,1319283
2017-05-02,5.950000,6.030000,5.930000,6.030000,5.606422,1847607
2017-05-03,6.030000,6.060000,5.940000,5.970000,5.550637,1737731
2017-05-04,6.000000,6.045000,5.950000,6.040000,5.615719,1881302
2017-05-05,6.010000,6.020000,5.920000,5.940000,5.522744,1829728
2017-05-08,5.980000,5.990000,5.870000,5.900000,5.485554,2646150
2017-05-09,5.930000,5.970000,5.890000,5.940000,5.522744,2320671
2017-05-10,6.000000,6.010000,5.930000,5.950000,5.532041,1728809
2017-05-11,6.000000,6.010000,5.920000,5.930000,5.513446,1443658
2017-05-12,5.900000,5.950000,5.780000,5.780000,5.373983,1856899
2017-05-15,5.800000,5.825000,5.730000,5.740000,5.336793,2438473
2017-05-16,5.800000,5.820000,5.730000,5.740000,5.336793,1786380
2017-05-17,5.730000,5.780000,5.690000,5.690000,5.290305,1499531
2017-05-18,5.630000,5.690000,5.570000,5.610000,5.215925,2317849
2017-05-19,5.600000,5.640000,5.580000,5.610000,5.215925,1513477
2017-05-22,5.650000,5.690000,5.620000,5.670000,5.271710,1309442
2017-05-23,5.680000,5.700000,5.650000,5.660000,5.262413,1426864
2017-05-24,5.690000,5.720000,5.640000,5.670000,5.271710,1872583
2017-05-25,5.700000,5.750000,5.580000,5.610000,5.215925,2134444
2017-05-26,5.580000,5.600000,5.460000,5.520000,5.132247,2609029
2017-05-29,5.510000,5.555000,5.460000,5.460000,5.076461,1780101
2017-05-30,5.500000,5.570000,5.440000,5.520000,5.132247,1775483
2017-05-31,5.540000,5.560000,5.490000,5.530000,5.141544,2518569
2017-06-01,5.520000,5.615000,5.520000,5.600000,5.206627,1607613
2017-06-02,5.680000,5.690000,5.600000,5.660000,5.262413,3359319
2017-06-05,5.670000,5.690000,5.590000,5.620000,5.225222,1925761
2017-06-06,5.610000,5.720000,5.610000,5.630000,5.234519,3220648
2017-06-07,5.630000,5.650000,5.595000,5.640000,5.243817,2259459
2017-06-08,5.590000,5.650000,5.590000,5.630000,5.234519,3607760
2017-06-09,5.620000,5.640000,5.600000,5.620000,5.225222,1331563
2017-06-13,5.620000,5.700000,5.610000,5.700000,5.299602,1789371
2017-06-14,5.730000,5.800000,5.730000,5.780000,5.373983,2978670
2017-06-15,5.810000,5.825000,5.725000,5.730000,5.327495,4837154
2017-06-16,5.730000,5.730000,5.640000,5.660000,5.262413,5144200
2017-06-19,5.640000,5.700000,5.630000,5.650000,5.253115,1592287
2017-06-20,5.650000,5.680000,5.630000,5.640000,5.243817,2321666
2017-06-21,5.610000,5.615000,5.560000,5.580000,5.188032,2158532
2017-06-22,5.600000,5.625000,5.570000,5.590000,5.197330,1503816
2017-06-23,5.580000,5.630000,5.570000,5.610000,5.215925,1324661
2017-06-26,5.620000,5.630000,5.560000,5.560000,5.169437,2061674
2017-06-27,5.580000,5.635000,5.555000,5.630000,5.234519,2379038
2017-06-28,5.580000,5.680000,5.570000,5.650000,5.253115,2020681
2017-06-29,5.710000,5.740000,5.670000,5.690000,5.290305,888118
2017-06-30,5.620000,5.650000,5.570000,5.630000,5.234519,2150078
2017-07-03,5.590000,5.600000,5.540000,5.550000,5.160140,1646127
2017-07-04,5.570000,5.620000,5.550000,5.620000,5.225222,1999587
2017-07-05,5.600000,5.600000,5.520000,5.550000,5.160140,1694939
2017-07-06,5.560000,5.590000,5.480000,5.580000,5.188032,2324260
2017-07-07,5.510000,5.540000,5.480000,5.500000,5.113652,1320793
2017-07-10,5.520000,5.570000,5.520000,5.560000,5.169437,1910907
2017-07-11,5.520000,5.560000,5.480000,5.520000,5.132247,1596284
2017-07-12,5.500000,5.510000,5.470000,5.510000,5.122949,2173169
2017-07-13,5.530000,5.590000,5.530000,5.590000,5.197330,1961716
2017-07-14,5.570000,5.630000,5.570000,5.590000,5.197330,1203780
2017-07-17,5.590000,5.620000,5.570000,5.590000,5.197330,727044
2017-07-18,5.570000,5.590000,5.530000,5.550000,5.160140,1331117
2017-07-19,5.540000,5.590000,5.520000,5.580000,5.188032,1624026
2017-07-20,5.580000,5.610000,5.545000,5.570000,5.178734,1527399
2017-07-21,5.590000,5.590000,5.525000,5.530000,5.141544,1417119
2017-07-24,5.530000,5.580000,5.490000,5.580000,5.188032,1848139
2017-07-25,5.570000,5.610000,5.560000,5.590000,5.197330,1320105
2017-07-26,5.680000,5.700000,5.650000,5.680000,5.281007,1920534
2017-07-27,5.680000,5.720000,5.670000,5.710000,5.308900,1304513
2017-07-28,5.660000,5.670000,5.610000,5.620000,5.225222,1673962
2017-07-31,5.620000,5.670000,5.600000,5.620000,5.225222,1318688
2017-08-01,5.620000,5.630000,5.530000,5.550000,5.160140,1532124
2017-08-02,5.530000,5.585000,5.530000,5.570000,5.178734,2034080
2017-08-03,5.550000,5.580000,5.545000,5.570000,5.178734,1451648
2017-08-04,5.550000,5.610000,5.550000,5.590000,5.197330,846130
2017-08-07,5.610000,5.660000,5.600000,5.660000,5.262413,1292757
2017-08-08,5.660000,5.675000,5.580000,5.590000,5.197330,1958564
2017-08-09,5.580000,5.620000,5.560000,5.590000,5.197330,817668
2017-08-10,5.600000,5.620000,5.560000,5.570000,5.178734,1102801
2017-08-11,5.500000,5.570000,5.500000,5.560000,5.169437,1066818
2017-08-14,5.550000,5.590000,5.540000,5.560000,5.169437,1418765
2017-08-15,5.600000,5.640000,5.570000,5.630000,5.234519,1490011
2017-08-16,5.640000,5.670000,5.620000,5.660000,5.262413,1596246
2017-08-17,5.640000,5.870000,5.560000,5.840000,5.429769,2792791
2017-08-18,5.750000,5.995000,5.740000,5.960000,5.541339,2523345
2017-08-21,5.960000,5.980000,5.870000,5.870000,5.457661,1629487
2017-08-22,5.870000,5.930000,5.870000,5.910000,5.494851,2498849
2017-08-23,5.960000,6.040000,5.890000,5.900000,5.485554,1892109
2017-08-24,5.900000,5.915000,5.840000,5.850000,5.439066,1915406
2017-08-25,5.850000,5.880000,5.800000,5.840000,5.429769,1962157
2017-08-28,5.840000,5.860000,5.765000,5.780000,5.373983,2343616
2017-08-29,5.750000,5.800000,5.700000,5.710000,5.308900,2398314
2017-08-30,5.760000,5.810000,5.710000,5.710000,5.308900,1317880
2017-08-31,5.710000,5.770000,5.705000,5.750000,5.346090,1701863
2017-09-01,5.640000,5.710000,5.640000,5.710000,5.388557,1342218
2017-09-04,5.670000,5.710000,5.625000,5.630000,5.313061,1464642
2017-09-05,5.660000,5.670000,5.615000,5.650000,5.331935,1496273
2017-09-06,5.610000,5.700000,5.600000,5.700000,5.379119,1299292
2017-09-07,5.750000,5.750000,5.670000,5.670000,5.350809,1154903
2017-09-08,5.660000,5.705000,5.620000,5.680000,5.360246,1014147
2017-09-11,5.690000,5.760000,5.690000,5.720000,5.397994,869289
2017-09-12,5.760000,5.780000,5.740000,5.760000,5.435742,1305913
2017-09-13,5.770000,5.800000,5.750000,5.780000,5.454617,763543
2017-09-14,5.770000,5.790000,5.760000,5.760000,5.435742,1009014
2017-09-15,5.760000,5.770000,5.715000,5.770000,5.445180,4004089
2017-09-18,5.790000,5.795000,5.760000,5.760000,5.435742,840529
2017-09-19,5.760000,5.780000,5.750000,5.760000,5.435742,780703
2017-09-20,5.750000,5.820000,5.750000,5.820000,5.492365,1961852
2017-09-21,5.790000,5.820000,5.730000,5.750000,5.426305,2086646
2017-09-22,5.750000,5.800000,5.740000,5.780000,5.454617,1020452
2017-09-25,5.780000,5.800000,5.760000,5.780000,5.454617,975791
2017-09-26,5.800000,5.810000,5.770000,5.770000,5.445180,820747
2017-09-27,5.790000,5.810000,5.770000,5.800000,5.473491,1083828
2017-09-28,5.790000,5.850000,5.790000,5.830000,5.501801,924137
2017-09-29,5.830000,5.845000,5.810000,5.830000,5.501801,1117686
2017-10-02,5.820000,5.920000,5.810000,5.870000,5.539550,703666
2017-10-03,5.860000,5.860000,5.810000,5.820000,5.492365,722409
2017-10-04,5.810000,5.830000,5.780000,5.780000,5.454617,814785
2017-10-05,5.780000,5.810000,5.770000,5.800000,5.473491,602559
2017-10-06,5.810000,5.830000,5.770000,5.790000,5.464053,565676
2017-10-09,5.790000,5.845000,5.790000,5.820000,5.492365,717037
2017-10-10,5.830000,5.870000,5.830000,5.850000,5.520676,1100145
2017-10-11,5.830000,5.885000,5.830000,5.880000,5.548987,541329
2017-10-12,5.870000,5.900000,5.860000,5.900000,5.567862,1200843
2017-10-13,5.910000,5.915000,5.890000,5.890000,5.558424,947343
2017-10-16,5.930000,5.970000,5.885000,5.940000,5.605609,1053493
2017-10-17,5.960000,6.040000,5.960000,6.040000,5.699980,957294
2017-10-18,6.020000,6.090000,5.990000,6.050000,5.709417,1017298
2017-10-19,6.030000,6.100000,6.030000,6.080000,5.737728,1423597
2017-10-20,6.060000,6.080000,6.040000,6.060000,5.718854,1349733
2017-10-23,6.080000,6.110000,6.070000,6.110000,5.766039,1128594
2017-10-24,6.110000,6.130000,6.060000,6.100000,5.756602,696786
2017-10-25,6.120000,6.210000,6.120000,6.200000,5.850973,1682622
2017-10-26,6.200000,6.215000,6.170000,6.200000,5.850973,5305701
2017-10-27,6.220000,6.230000,6.080000,6.150000,5.803787,1598595
2017-10-30,6.210000,6.240000,6.190000,6.200000,5.850973,981097
2017-10-31,6.200000,6.220000,6.190000,6.210000,5.860410,1065463
2017-11-01,6.210000,6.270000,6.195000,6.270000,5.917032,1633286
2017-11-02,6.270000,6.300000,6.250000,6.270000,5.917032,1352153
2017-11-03,6.290000,6.480000,6.260000,6.300000,5.945343,1345456
2017-11-06,6.300000,6.340000,6.260000,6.320000,5.964218,773886
2017-11-07,6.340000,6.350000,6.300000,6.320000,5.964218,795092
2017-11-08,6.310000,6.310000,6.270000,6.290000,5.935906,730818
2017-11-09,6.320000,6.355000,6.300000,6.340000,5.983091,709349
2017-11-10,6.300000,6.350000,6.300000,6.350000,5.992529,507105
2017-11-13,6.350000,6.380000,6.300000,6.300000,5.945343,1646984
2017-11-14,6.300000,6.320000,6.250000,6.280000,5.926469,1404406
2017-11-15,6.250000,6.340000,6.250000,6.290000,5.935906,1208714
2017-11-16,6.230000,6.280000,6.230000,6.250000,5.898158,894104
2017-11-17,6.300000,6.300000,6.260000,6.260000,5.907595,870067
2017-11-20,6.230000,6.260000,6.210000,6.260000,5.907595,795509
2017-11-21,6.290000,6.300000,6.240000,6.260000,5.907595,1280357
2017-11-22,6.300000,6.330000,6.240000,6.290000,5.935906,1056403
2017-11-23,6.290000,6.320000,6.280000,6.300000,5.945343,817464
