Date,Open,High,Low,Close,Adj Close,Volume
2018-11-15,1.585000,1.617000,1.585000,1.600000,1.600000,1103373
2018-11-16,null,null,null,null,null,null
2018-11-19,null,null,null,null,null,null
2018-11-20,null,null,null,null,null,null
2018-11-21,null,null,null,null,null,null
2018-11-22,null,null,null,null,null,null
2018-11-23,null,null,null,null,null,null
2018-11-26,null,null,null,null,null,null
2018-11-27,null,null,null,null,null,null
2018-11-28,null,null,null,null,null,null
2018-11-29,null,null,null,null,null,null
2018-11-30,null,null,null,null,null,null
2018-12-03,1.540000,1.635000,1.510000,1.620000,1.620000,440242
2018-12-04,1.595000,1.595000,1.505000,1.540000,1.540000,541180
2018-12-05,1.490000,1.625000,1.415000,1.480000,1.480000,860622
2018-12-06,1.495000,1.555000,1.380000,1.500000,1.500000,1372003
2018-12-07,1.475000,1.585000,1.430000,1.500000,1.500000,503271
2018-12-10,1.500000,1.500000,1.405000,1.440000,1.440000,904831
2018-12-11,1.495000,1.495000,1.410000,1.465000,1.465000,391609
2018-12-12,1.465000,1.500000,1.415000,1.470000,1.470000,1194558
2018-12-13,1.500000,1.630000,1.465000,1.530000,1.530000,449713
2018-12-14,1.490000,1.545000,1.490000,1.520000,1.520000,491605
2018-12-17,1.625000,1.625000,1.560000,1.560000,1.560000,928453
2018-12-18,1.595000,1.620000,1.485000,1.520000,1.520000,696052
2018-12-19,1.500000,1.600000,1.460000,1.575000,1.575000,586999
2018-12-20,1.590000,1.607000,1.525000,1.555000,1.555000,1216044
2018-12-21,1.630000,1.630000,1.445000,1.490000,1.490000,1288020
2018-12-24,1.500000,1.510000,1.450000,1.500000,1.500000,262099
2018-12-27,1.510000,1.510000,1.455000,1.495000,1.495000,521481
2018-12-28,1.535000,1.540000,1.425000,1.475000,1.475000,283056
2018-12-31,1.535000,1.535000,1.455000,1.480000,1.480000,121876
2019-01-02,1.455000,1.500000,1.415000,1.435000,1.435000,456327
2019-01-03,1.405000,1.465000,1.405000,1.465000,1.465000,365152
2019-01-04,1.430000,1.535000,1.410000,1.490000,1.490000,1070697
2019-01-07,1.470000,1.490000,1.435000,1.460000,1.460000,348007
2019-01-08,1.410000,1.450000,1.390000,1.440000,1.440000,668476
2019-01-09,1.415000,1.465000,1.400000,1.435000,1.435000,1152711
2019-01-10,1.450000,1.455000,1.400000,1.435000,1.435000,575251
2019-01-11,1.445000,1.445000,1.405000,1.430000,1.430000,387607
2019-01-14,1.425000,1.480000,1.420000,1.470000,1.470000,1021414
2019-01-15,1.460000,1.480000,1.435000,1.445000,1.445000,441092
2019-01-16,1.430000,1.450000,1.405000,1.420000,1.420000,490106
2019-01-17,1.440000,1.455000,1.405000,1.445000,1.445000,616241
2019-01-18,1.430000,1.470000,1.410000,1.410000,1.410000,477240
2019-01-21,1.460000,1.495000,1.430000,1.455000,1.455000,414151
2019-01-22,1.455000,1.475000,1.445000,1.455000,1.455000,377399
