Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,8.450000,8.480000,8.260000,8.360000,7.969330,430719
2017-01-31,8.290000,8.290000,8.000000,8.070000,7.692881,666901
2017-02-01,8.030000,8.260000,8.000000,8.210000,7.826339,562143
2017-02-02,8.250000,8.290000,8.180000,8.250000,7.864470,358843
2017-02-03,8.250000,8.480000,8.220000,8.280000,7.893068,321168
2017-02-06,8.300000,8.320000,8.160000,8.190000,7.807273,246410
2017-02-07,8.200000,8.200000,7.930000,8.040000,7.664284,731815
2017-02-08,8.040000,8.230000,8.000000,8.190000,7.807273,326469
2017-02-09,8.250000,8.270000,8.030000,8.090000,7.711947,639605
2017-02-10,8.090000,8.240000,8.070000,8.230000,7.845405,388958
2017-02-13,8.230000,8.300000,8.170000,8.270000,7.883535,266950
2017-02-14,8.300000,8.580000,8.300000,8.430000,8.036059,615482
2017-02-15,8.440000,8.580000,8.410000,8.510000,8.112321,407800
2017-02-16,8.560000,8.650000,8.490000,8.490000,8.093255,632266
2017-02-17,8.460000,8.490000,8.290000,8.330000,7.940732,804039
2017-02-20,8.340000,8.580000,8.340000,8.430000,8.036059,337369
2017-02-21,7.510000,8.170000,7.330000,8.010000,7.635686,4115182
2017-02-22,8.080000,8.080000,7.640000,7.800000,7.435500,1590536
2017-02-23,7.800000,7.800000,7.380000,7.480000,7.130454,1309796
2017-02-24,7.450000,7.720000,7.420000,7.510000,7.159051,848000
2017-02-27,7.450000,7.620000,7.410000,7.480000,7.130454,584832
2017-02-28,7.540000,7.590000,7.205000,7.240000,6.901669,1073277
2017-03-01,7.230000,7.320000,7.010000,7.040000,6.711015,1054547
2017-03-02,7.140000,7.300000,7.140000,7.270000,6.930267,884350
2017-03-03,7.260000,7.310000,7.170000,7.240000,6.901669,979917
2017-03-06,7.240000,7.515000,7.190000,7.490000,7.139986,1737099
2017-03-07,7.480000,7.520000,7.350000,7.400000,7.054192,621255
2017-03-08,7.430000,7.440000,7.250000,7.400000,7.054192,406335
2017-03-09,7.400000,7.520000,7.330000,7.520000,7.168584,270543
2017-03-10,7.550000,7.610000,7.480000,7.530000,7.178117,267734
2017-03-13,7.500000,7.540000,7.440000,7.480000,7.236160,435173
2017-03-14,7.500000,7.520000,7.430000,7.500000,7.255508,256438
2017-03-15,7.500000,7.610000,7.450000,7.560000,7.313552,359080
2017-03-16,7.480000,7.560000,7.455000,7.510000,7.265182,489440
2017-03-17,7.510000,7.590000,7.460000,7.530000,7.284530,423837
2017-03-20,7.520000,7.550000,7.420000,7.480000,7.236160,241815
2017-03-21,7.460000,7.520000,7.420000,7.500000,7.255508,253481
2017-03-22,7.450000,7.470000,7.370000,7.410000,7.168442,1100015
2017-03-23,7.400000,7.500000,7.400000,7.480000,7.236160,244596
2017-03-24,7.480000,7.670000,7.450000,7.480000,7.236160,645517
2017-03-27,7.460000,7.480000,7.260000,7.480000,7.236160,436246
2017-03-28,7.480000,7.570000,7.390000,7.530000,7.284530,328342
2017-03-29,7.530000,7.560000,7.460000,7.500000,7.255508,287097
2017-03-30,7.460000,7.590000,7.460000,7.550000,7.303878,448482
2017-03-31,7.540000,7.650000,7.480000,7.600000,7.352248,363344
2017-04-03,7.590000,7.650000,7.460000,7.530000,7.284530,171899
2017-04-04,7.460000,7.600000,7.450000,7.460000,7.216813,202415
2017-04-05,7.450000,7.590000,7.430000,7.550000,7.303878,240552
2017-04-06,7.500000,7.710000,7.500000,7.650000,7.400619,498341
2017-04-07,7.650000,7.770000,7.540000,7.630000,7.381271,566701
2017-04-10,7.570000,7.700000,7.570000,7.650000,7.400619,183327
2017-04-11,7.640000,7.820000,7.640000,7.730000,7.478010,577681
2017-04-12,7.750000,7.940000,7.730000,7.880000,7.623121,638087
2017-04-13,7.900000,7.975000,7.875000,7.930000,7.671491,955919
2017-04-18,7.970000,8.000000,7.840000,7.950000,7.690838,562555
2017-04-19,7.930000,7.980000,7.810000,7.830000,7.574751,429145
2017-04-20,7.820000,7.920000,7.805000,7.900000,7.642468,318253
2017-04-21,7.900000,7.980000,7.900000,7.980000,7.719861,218562
2017-04-24,7.980000,8.190000,7.950000,8.160000,7.893993,357375
2017-04-26,8.250000,8.310000,8.110000,8.140000,7.874646,486806
2017-04-27,8.190000,8.280000,8.150000,8.200000,7.932689,354511
2017-04-28,8.220000,8.280000,8.150000,8.200000,7.932689,359767
2017-05-01,8.200000,8.390000,8.170000,8.320000,8.048778,361148
2017-05-02,8.390000,8.420000,8.240000,8.340000,8.068125,258473
2017-05-03,8.360000,8.420000,8.310000,8.360000,8.087473,423828
2017-05-04,8.400000,8.470000,8.340000,8.450000,8.174540,290399
2017-05-05,8.400000,8.530000,8.400000,8.440000,8.164865,284559
2017-05-08,8.500000,8.570000,8.460000,8.550000,8.271279,362517
2017-05-09,8.590000,8.710000,8.540000,8.690000,8.406715,324720
2017-05-10,8.720000,8.780000,8.640000,8.690000,8.406715,296183
2017-05-11,8.700000,8.720000,8.570000,8.650000,8.368019,394848
2017-05-12,8.610000,8.690000,8.550000,8.550000,8.271279,226585
2017-05-15,8.550000,8.610000,8.510000,8.550000,8.271279,287445
2017-05-16,8.570000,8.690000,8.570000,8.600000,8.319650,434993
2017-05-17,8.550000,8.690000,8.460000,8.480000,8.203562,269812
2017-05-18,8.200000,8.240000,8.130000,8.210000,7.942363,653772
2017-05-19,8.250000,8.320000,8.200000,8.210000,7.942363,449065
2017-05-22,8.280000,8.610000,8.280000,8.530000,8.251931,720504
2017-05-23,8.530000,8.780000,8.530000,8.750000,8.464760,325466
2017-05-24,8.750000,8.870000,8.730000,8.800000,8.513130,275234
2017-05-25,8.860000,8.870000,8.710000,8.760000,8.474434,277683
2017-05-26,8.750000,8.750000,8.640000,8.670000,8.387368,258075
2017-05-29,8.720000,8.750000,8.420000,8.430000,8.155192,410508
2017-05-30,8.500000,8.530000,8.410000,8.460000,8.184214,285446
2017-05-31,8.500000,8.550000,8.410000,8.460000,8.184214,547587
2017-06-01,8.460000,8.630000,8.460000,8.600000,8.319650,407576
2017-06-02,8.640000,8.830000,8.630000,8.790000,8.503456,260797
2017-06-05,8.800000,8.880000,8.740000,8.760000,8.474434,309336
2017-06-06,8.760000,8.800000,8.650000,8.650000,8.368019,393125
2017-06-07,8.650000,8.740000,8.570000,8.740000,8.455085,408393
2017-06-08,8.690000,8.780000,8.690000,8.730000,8.445411,390373
2017-06-09,8.720000,8.860000,8.680000,8.840000,8.551826,246374
2017-06-13,8.800000,8.820000,8.700000,8.820000,8.532478,648147
2017-06-14,8.840000,9.130000,8.800000,9.130000,8.832372,747267
2017-06-15,9.050000,9.150000,8.940000,9.040000,8.745306,704259
2017-06-16,9.040000,9.170000,9.030000,9.150000,8.851720,419772
2017-06-19,9.150000,9.180000,9.040000,9.080000,8.784001,379647
2017-06-20,9.080000,9.160000,9.020000,9.100000,8.803350,305632
2017-06-21,9.040000,9.110000,8.920000,9.040000,8.745306,371623
2017-06-22,9.080000,9.280000,9.020000,9.270000,8.967810,519760
2017-06-23,9.340000,9.430000,9.300000,9.310000,9.006505,487000
2017-06-26,9.350000,9.410000,9.140000,9.160000,8.861395,340017
2017-06-27,9.180000,9.180000,9.020000,9.040000,8.745306,401056
2017-06-28,9.020000,9.040000,8.905000,8.960000,8.667913,419082
2017-06-29,9.020000,9.040000,8.780000,8.840000,8.551826,389351
2017-06-30,8.760000,8.780000,8.490000,8.570000,8.290627,505995
2017-07-03,8.560000,8.680000,8.410000,8.430000,8.155192,416193
2017-07-04,8.430000,8.655000,8.420000,8.520000,8.242259,391324
2017-07-05,8.460000,8.490000,8.330000,8.400000,8.126169,376197
2017-07-06,8.440000,8.550000,8.360000,8.490000,8.213235,277405
2017-07-07,8.420000,8.430000,8.230000,8.340000,8.068125,254696
2017-07-10,8.320000,8.450000,8.260000,8.280000,8.010081,205569
2017-07-11,8.300000,8.300000,8.220000,8.270000,8.000408,251260
2017-07-12,8.260000,8.260000,8.080000,8.100000,7.835950,389471
2017-07-13,8.120000,8.290000,8.120000,8.220000,7.952037,377059
2017-07-14,8.220000,8.290000,8.220000,8.270000,8.000408,315371
2017-07-17,8.250000,8.410000,8.180000,8.330000,8.058452,332511
2017-07-18,8.330000,8.380000,8.130000,8.180000,7.913341,284271
2017-07-19,8.230000,8.240000,8.070000,8.190000,7.923014,246770
2017-07-20,8.200000,8.250000,8.105000,8.240000,7.971385,414396
2017-07-21,8.250000,8.500000,8.220000,8.400000,8.126169,467443
2017-07-24,8.450000,8.480000,8.345000,8.460000,8.184214,546570
2017-07-25,8.500000,8.900000,8.500000,8.780000,8.493781,437750
2017-07-26,8.850000,8.900000,8.825000,8.850000,8.561501,301159
