Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,7.570000,7.690000,7.520000,7.640000,7.494384,2740024
2019-09-17,7.530000,7.735000,7.530000,7.700000,7.553240,3356338
2019-09-18,7.870000,7.950000,7.740000,7.750000,7.602287,1998059
2019-09-19,7.770000,7.920000,7.770000,7.860000,7.710191,3599916
2019-09-20,7.930000,8.025000,7.860000,7.910000,7.759237,1767751
2019-09-23,7.860000,7.970000,7.800000,7.890000,7.739619,998869
2019-09-24,7.920000,8.000000,7.880000,7.950000,7.798475,1381562
2019-09-25,8.050000,8.080000,7.860000,7.870000,7.720000,3644415
2019-09-26,7.750000,7.830000,7.730000,7.810000,7.810000,3852094
2019-09-27,7.820000,7.860000,7.720000,7.770000,7.770000,1463217
2019-09-30,7.830000,7.840000,7.725000,7.800000,7.800000,1654814
2019-10-01,7.800000,7.960000,7.800000,7.950000,7.950000,2704264
2019-10-02,7.960000,8.040000,7.880000,7.930000,7.930000,3901588
2019-10-03,7.800000,7.890000,7.800000,7.860000,7.860000,3826058
2019-10-04,7.860000,7.860000,7.860000,7.860000,7.860000,0
2019-10-07,8.010000,8.040000,7.890000,8.040000,8.040000,623735
2019-10-08,8.100000,8.160000,8.030000,8.090000,8.090000,1123072
2019-10-09,8.100000,8.400000,8.050000,8.370000,8.370000,3165401
2019-10-10,8.380000,8.380000,8.190000,8.200000,8.200000,2198977
2019-10-11,8.260000,8.280000,8.040000,8.040000,8.040000,1844545
2019-10-14,8.050000,8.120000,7.940000,7.990000,7.990000,2896299
2019-10-15,7.990000,8.110000,7.970000,8.050000,8.050000,1081133
2019-10-16,8.080000,8.170000,8.030000,8.150000,8.150000,1316875
2019-10-17,8.200000,8.335000,8.160000,8.270000,8.270000,1486876
2019-10-18,8.230000,8.290000,8.200000,8.270000,8.270000,2027622
2019-10-21,8.160000,8.280000,8.020000,8.270000,8.270000,1273800
2019-10-22,8.280000,8.360000,8.160000,8.330000,8.330000,1507221
2019-10-23,8.370000,8.440000,8.250000,8.420000,8.420000,3827351
2019-10-24,8.460000,8.470000,8.330000,8.360000,8.360000,1158454
2019-10-25,8.390000,8.410000,8.190000,8.230000,8.230000,1512742
2019-10-28,8.260000,8.260000,8.140000,8.220000,8.220000,1888242
2019-10-29,8.260000,8.280000,8.020000,8.070000,8.070000,2311337
2019-10-30,8.050000,8.080000,7.950000,8.020000,8.020000,2254137
2019-10-31,8.040000,8.095000,7.950000,8.030000,8.030000,13176020
2019-11-01,8.060000,8.210000,8.030000,8.150000,8.150000,1322454
2019-11-04,8.230000,8.250000,8.090000,8.130000,8.130000,1097928
2019-11-05,8.090000,8.150000,7.960000,8.050000,8.050000,1379329
2019-11-06,7.895710,7.984320,7.698810,7.708660,7.708660,2253688
2019-11-07,7.688970,7.757880,7.629900,7.728350,7.728350,4012111
2019-11-08,7.830000,7.870000,7.730000,7.750000,7.750000,3370180
2019-11-11,7.790000,7.930000,7.760000,7.860000,7.860000,1236187
2019-11-12,7.840000,7.890000,7.775000,7.810000,7.810000,1217341
2019-11-13,7.790000,7.840000,7.750000,7.790000,7.790000,2264455
2019-11-14,7.760000,7.870000,7.760000,7.810000,7.810000,4359431
2019-11-15,7.820000,7.900000,7.690000,7.750000,7.750000,6833542
2019-11-18,7.770000,7.800000,7.700000,7.740000,7.740000,954089
2019-11-19,7.710000,7.840000,7.680000,7.840000,7.840000,1523842
2019-11-20,7.700000,7.740000,7.600000,7.640000,7.640000,1542645
2019-11-21,7.640000,7.640000,7.640000,7.640000,7.640000,0
2019-11-22,7.640000,7.640000,7.640000,7.640000,7.640000,0
2019-11-25,7.300000,7.860000,7.300000,7.850000,7.850000,10628836
2019-11-26,7.940000,7.990000,7.880000,7.930000,7.930000,5959571
2019-11-27,7.910000,8.005000,7.790000,7.850000,7.850000,6131809
2019-11-28,7.900000,7.900000,7.650000,7.700000,7.700000,3524568
2019-11-29,7.770000,7.770000,7.620000,7.650000,7.650000,3379384
2019-12-02,7.570000,7.650000,7.520000,7.580000,7.580000,3369963
2019-12-03,7.500000,7.630000,7.490000,7.520000,7.520000,5798363
2019-12-04,7.500000,7.530000,7.400000,7.480000,7.480000,8213921
2019-12-05,7.560000,7.590000,7.430000,7.540000,7.540000,5104364
2019-12-06,7.600000,7.660000,7.560000,7.660000,7.660000,4126933
2019-12-09,7.660000,7.695000,7.585000,7.680000,7.680000,2009096
2019-12-10,7.650000,7.740000,7.550000,7.590000,7.590000,2069781
2019-12-11,7.660000,7.660000,7.540000,7.640000,7.640000,3439455
2019-12-12,7.700000,7.770000,7.640000,7.680000,7.680000,3931196
2019-12-13,7.690000,7.720000,7.500000,7.510000,7.510000,5867067
2019-12-16,7.590000,7.730000,7.510000,7.700000,7.700000,2990176
2019-12-17,7.780000,7.815000,7.675000,7.700000,7.700000,3813458
2019-12-18,7.750000,7.770000,7.670000,7.720000,7.720000,2929237
2019-12-19,7.730000,7.790000,7.680000,7.710000,7.710000,3891050
2019-12-20,7.750000,7.875000,7.690000,7.850000,7.850000,4593521
2019-12-23,7.900000,8.010000,7.860000,7.970000,7.970000,2366553
2019-12-24,7.950000,8.050000,7.950000,8.020000,8.020000,1511787
2019-12-27,7.980000,8.040000,7.910000,7.960000,7.960000,1076972
2019-12-30,7.980000,8.020000,7.870000,7.980000,7.980000,833897
2019-12-31,7.870000,7.950000,7.820000,7.830000,7.830000,1332831
2020-01-02,7.800000,7.920000,7.785000,7.840000,7.840000,1043713
2020-01-03,8.000000,8.000000,7.855000,7.900000,7.900000,1328745
2020-01-06,7.850000,8.065000,7.830000,8.030000,8.030000,2573123
2020-01-07,8.100000,8.135000,8.010000,8.050000,8.050000,1448992
2020-01-08,8.050000,8.060000,7.900000,8.000000,8.000000,2335051
2020-01-09,8.120000,8.120000,8.030000,8.070000,8.070000,1994914
2020-01-10,8.100000,8.140000,8.075000,8.100000,8.100000,2295049
2020-01-13,8.100000,8.170000,8.050000,8.070000,8.070000,1529437
2020-01-14,8.080000,8.205000,8.070000,8.170000,8.170000,2405839
2020-01-15,8.200000,8.310000,8.170000,8.280000,8.280000,1909848
2020-01-16,8.400000,8.400000,8.300000,8.320000,8.320000,2024933
2020-01-17,8.360000,8.360000,8.180000,8.180000,8.180000,2954134
2020-01-20,8.220000,8.260000,8.155000,8.160000,8.160000,1518835
2020-01-21,8.150000,8.190000,8.020000,8.050000,8.050000,2125389
2020-01-22,8.050000,8.115000,8.000000,8.060000,8.060000,3396318
2020-01-23,8.080000,8.080000,7.930000,8.000000,8.000000,3876553
2020-01-24,8.060000,8.080000,7.960000,7.970000,7.970000,1123612
