Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,5.080000,5.110000,5.050000,5.090000,4.467020,4343187
2017-01-31,5.080000,5.080000,4.960000,5.000000,4.388035,9970972
2017-02-01,4.980000,5.080000,4.965000,5.050000,4.431915,6778412
2017-02-02,5.080000,5.100000,5.050000,5.070000,4.449468,12406149
2017-02-03,5.100000,5.120000,5.040000,5.060000,4.440691,6804562
2017-02-06,5.080000,5.100000,5.000000,5.030000,4.414363,4135366
2017-02-07,5.000000,5.055000,4.930000,5.030000,4.414363,8739857
2017-02-08,5.010000,5.055000,4.990000,5.030000,4.414363,10443008
2017-02-09,5.150000,5.240000,5.120000,5.230000,4.589884,27223696
2017-02-10,5.200000,5.240000,5.100000,5.220000,4.581109,16323454
2017-02-13,5.200000,5.260000,5.170000,5.250000,4.607437,8846675
2017-02-14,5.260000,5.260000,5.205000,5.240000,4.598660,6548806
2017-02-15,5.250000,5.265000,5.230000,5.260000,4.616212,6137059
2017-02-16,5.270000,5.275000,5.210000,5.240000,4.598660,6323359
2017-02-17,5.230000,5.250000,5.165000,5.190000,4.554780,7480359
2017-02-20,5.190000,5.200000,5.090000,5.110000,4.484572,10744419
2017-02-21,5.110000,5.110000,5.060000,5.080000,4.458243,9315542
2017-02-22,4.970000,4.980000,4.870000,4.890000,4.413119,12080522
2017-02-23,4.900000,4.925000,4.890000,4.900000,4.422145,8795464
2017-02-24,4.860000,4.900000,4.830000,4.880000,4.404094,16290936
2017-02-27,4.850000,4.860000,4.750000,4.750000,4.286773,22590529
2017-02-28,4.750000,4.945000,4.740000,4.880000,4.404094,27857174
2017-03-01,4.860000,4.925000,4.860000,4.920000,4.440194,15405954
2017-03-02,4.970000,5.070000,4.950000,5.050000,4.557516,12967673
2017-03-03,5.000000,5.060000,4.980000,5.040000,4.548491,6857958
2017-03-06,5.000000,5.020000,4.950000,4.970000,4.485318,9073528
2017-03-07,4.940000,5.010000,4.910000,4.990000,4.503367,13771373
2017-03-08,4.960000,4.990000,4.930000,4.960000,4.476293,5778974
2017-03-09,4.960000,5.040000,4.950000,4.980000,4.494342,5815931
2017-03-10,5.000000,5.090000,4.980000,5.060000,4.566541,8537196
2017-03-13,5.050000,5.060000,4.910000,4.940000,4.458244,11795257
2017-03-14,4.950000,5.000000,4.920000,5.000000,4.512393,8712486
2017-03-15,4.980000,5.020000,4.950000,5.020000,4.530441,6509574
2017-03-16,5.010000,5.040000,4.980000,5.020000,4.530441,11832159
2017-03-17,5.040000,5.050000,5.010000,5.050000,4.557516,7316796
2017-03-20,5.030000,5.040000,4.970000,5.010000,4.521417,5920111
2017-03-21,4.970000,4.990000,4.940000,4.990000,4.503367,10754003
2017-03-22,4.940000,4.950000,4.900000,4.940000,4.458244,10833999
2017-03-23,4.940000,4.950000,4.900000,4.950000,4.467268,21292281
2017-03-24,4.930000,5.020000,4.930000,4.990000,4.503367,11456909
2017-03-27,4.930000,5.020000,4.910000,5.020000,4.530441,6705399
2017-03-28,5.020000,5.060000,5.000000,5.060000,4.566541,11528120
2017-03-29,5.060000,5.140000,5.050000,5.140000,4.638739,9221998
2017-03-30,5.140000,5.165000,5.130000,5.150000,4.647764,6281238
2017-03-31,5.140000,5.200000,5.120000,5.180000,4.674838,11073421
2017-04-03,5.180000,5.200000,5.120000,5.160000,4.656788,18206219
2017-04-04,5.160000,5.170000,5.125000,5.140000,4.638739,6422887
2017-04-05,5.160000,5.205000,5.115000,5.200000,4.692887,9527822
2017-04-06,5.180000,5.210000,5.160000,5.210000,4.701913,8216549
2017-04-07,5.220000,5.220000,5.140000,5.200000,4.692887,6330277
2017-04-10,5.210000,5.280000,5.180000,5.270000,4.756061,7671879
2017-04-11,5.250000,5.340000,5.240000,5.290000,4.774111,9859102
2017-04-12,5.280000,5.310000,5.240000,5.300000,4.783135,7215053
2017-04-13,5.280000,5.285000,5.230000,5.230000,4.719962,6005901
2017-04-18,5.230000,5.250000,5.190000,5.240000,4.728987,7994958
2017-04-19,5.210000,5.250000,5.195000,5.200000,4.692887,5473296
2017-04-20,5.220000,5.250000,5.190000,5.200000,4.692887,4900408
2017-04-21,5.230000,5.250000,5.200000,5.200000,4.692887,4147258
2017-04-24,5.230000,5.260000,5.195000,5.210000,4.701913,5155887
2017-04-26,5.240000,5.330000,5.230000,5.310000,4.792161,7668822
2017-04-27,5.320000,5.340000,5.290000,5.300000,4.783135,6984112
2017-04-28,5.340000,5.360000,5.300000,5.360000,4.837285,6749459
2017-05-01,5.320000,5.400000,5.310000,5.400000,4.873383,6557795
2017-05-02,5.380000,5.390000,5.320000,5.390000,4.864358,10858360
2017-05-03,5.380000,5.400000,5.340000,5.370000,4.846309,6450952
2017-05-04,5.390000,5.400000,5.330000,5.400000,4.873383,5700022
2017-05-05,5.390000,5.390000,5.305000,5.340000,4.819235,8299254
2017-05-08,5.390000,5.400000,5.320000,5.380000,4.855334,7049489
2017-05-09,5.380000,5.380000,5.320000,5.360000,4.837285,6804497
2017-05-10,5.370000,5.460000,5.345000,5.420000,4.891433,9153330
2017-05-11,5.350000,5.430000,5.270000,5.300000,4.783135,13439966
2017-05-12,5.260000,5.275000,5.230000,5.270000,4.756061,8554760
2017-05-15,5.210000,5.260000,5.190000,5.210000,4.701913,7906021
2017-05-16,5.220000,5.245000,5.200000,5.210000,4.701913,6550642
2017-05-17,5.190000,5.240000,5.150000,5.170000,4.665813,8941340
2017-05-18,5.100000,5.140000,5.050000,5.130000,4.629714,7593563
2017-05-19,5.130000,5.140000,5.060000,5.080000,4.584590,5557755
2017-05-22,5.100000,5.130000,5.080000,5.120000,4.620689,5774161
2017-05-23,5.100000,5.135000,5.070000,5.100000,4.602639,7375717
2017-05-24,5.120000,5.180000,5.090000,5.170000,4.665813,9335959
2017-05-25,5.100000,5.185000,5.050000,5.180000,4.674838,5269290
2017-05-26,5.130000,5.150000,5.110000,5.150000,4.647764,6349795
