Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,2.660000,2.660000,2.610000,2.620000,2.463521,966968
2018-01-31,2.610000,2.650000,2.600000,2.610000,2.454119,1416096
2018-02-01,2.610000,2.630000,2.600000,2.620000,2.463521,1763721
2018-02-02,2.610000,2.650000,2.560000,2.620000,2.463521,2106206
2018-02-05,2.580000,2.590000,2.530000,2.560000,2.407105,1155801
2018-02-06,2.550000,2.550000,2.470000,2.490000,2.341286,2425070
2018-02-07,2.510000,2.530000,2.490000,2.510000,2.360091,1833168
2018-02-08,2.500000,2.610000,2.500000,2.580000,2.425910,1621155
2018-02-09,2.550000,2.580000,2.500000,2.560000,2.407105,3145665
2018-02-12,2.560000,2.600000,2.520000,2.570000,2.416508,1736312
2018-02-13,2.580000,2.620000,2.565000,2.580000,2.425910,1225816
2018-02-14,2.580000,2.690000,2.520000,2.670000,2.510535,8520700
2018-02-15,2.690000,2.770000,2.630000,2.680000,2.519938,4732977
2018-02-16,2.680000,2.700000,2.645000,2.650000,2.491730,1420049
2018-02-19,2.670000,2.680000,2.645000,2.650000,2.491730,2913356
2018-02-20,2.650000,2.660000,2.620000,2.630000,2.472924,913028
2018-02-21,2.620000,2.650000,2.610000,2.650000,2.491730,729546
2018-02-22,2.650000,2.660000,2.630000,2.630000,2.472924,1050412
2018-02-23,2.650000,2.690000,2.625000,2.660000,2.501133,737939
2018-02-26,2.690000,2.700000,2.660000,2.700000,2.538743,904307
2018-02-27,2.700000,2.710000,2.660000,2.670000,2.510535,1681685
2018-02-28,2.650000,2.660000,2.620000,2.640000,2.482327,1021532
2018-03-01,2.630000,2.660000,2.610000,2.620000,2.463521,1223154
2018-03-02,2.620000,2.630000,2.590000,2.610000,2.454119,662803
2018-03-05,2.610000,2.620000,2.590000,2.600000,2.444716,1461323
2018-03-06,2.620000,2.630000,2.585000,2.610000,2.454119,1407231
2018-03-07,2.600000,2.630000,2.580000,2.610000,2.454119,1638695
2018-03-08,2.620000,2.680000,2.620000,2.650000,2.491730,1463529
2018-03-09,2.650000,2.700000,2.650000,2.690000,2.529341,1217718
2018-03-12,2.680000,2.715000,2.680000,2.680000,2.519938,1125031
2018-03-13,2.680000,2.700000,2.655000,2.660000,2.501133,880900
2018-03-14,2.650000,2.670000,2.625000,2.660000,2.501133,1266637
2018-03-15,2.640000,2.690000,2.640000,2.670000,2.510535,1342421
2018-03-16,2.680000,2.680000,2.650000,2.650000,2.491730,2849704
2018-03-19,2.650000,2.690000,2.650000,2.690000,2.529341,535882
2018-03-20,2.690000,2.700000,2.650000,2.660000,2.501133,768199
2018-03-21,2.680000,2.690000,2.650000,2.690000,2.529341,788063
2018-03-22,2.690000,2.690000,2.660000,2.680000,2.519938,719491
2018-03-23,2.650000,2.660000,2.635000,2.640000,2.482327,690679
2018-03-26,2.630000,2.645000,2.600000,2.630000,2.472924,726418
2018-03-27,2.650000,2.665000,2.630000,2.650000,2.491730,1029398
2018-03-28,2.630000,2.645000,2.615000,2.630000,2.472924,534444
2018-03-29,2.650000,2.660000,2.620000,2.640000,2.482327,980745
2018-04-03,2.610000,2.635000,2.605000,2.610000,2.454119,875898
2018-04-04,2.620000,2.620000,2.600000,2.600000,2.444716,990880
2018-04-05,2.600000,2.640000,2.600000,2.630000,2.472924,688461
2018-04-06,2.620000,2.640000,2.610000,2.630000,2.472924,534639
2018-04-09,2.640000,2.680000,2.610000,2.670000,2.510535,927680
2018-04-10,2.680000,2.700000,2.660000,2.700000,2.538743,462849
2018-04-11,2.680000,2.740000,2.660000,2.720000,2.557549,1096118
2018-04-12,2.690000,2.715000,2.640000,2.660000,2.501133,1426042
2018-04-13,2.660000,2.710000,2.660000,2.710000,2.548146,984644
2018-04-16,2.710000,2.730000,2.695000,2.700000,2.538743,562018
2018-04-17,2.710000,2.725000,2.670000,2.680000,2.519938,796241
2018-04-18,2.690000,2.690000,2.650000,2.650000,2.491730,998681
2018-04-19,2.670000,2.680000,2.650000,2.660000,2.501133,1703416
2018-04-20,2.650000,2.670000,2.610000,2.620000,2.463521,1145656
2018-04-23,2.620000,2.630000,2.580000,2.590000,2.435313,1577022
2018-04-24,2.590000,2.590000,2.550000,2.580000,2.425910,2695394
2018-04-26,2.560000,2.660000,2.560000,2.620000,2.463521,1562972
2018-04-27,2.610000,2.630000,2.610000,2.620000,2.463521,1121755
2018-04-30,2.630000,2.640000,2.610000,2.620000,2.463521,1412535
2018-05-01,2.620000,2.670000,2.610000,2.650000,2.491730,1353848
2018-05-02,2.660000,2.660000,2.610000,2.630000,2.472924,1650023
2018-05-03,2.630000,2.675000,2.620000,2.670000,2.510535,844169
2018-05-04,2.660000,2.680000,2.630000,2.640000,2.482327,609974
2018-05-07,2.670000,2.670000,2.650000,2.650000,2.491730,631529
