Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,8.467980,8.527760,8.358400,8.388280,7.428922,1548010
2017-01-31,8.368360,8.438100,8.318550,8.388280,7.428922,2504946
2017-02-01,8.298620,8.438100,8.298620,8.428130,7.464215,2337760
2017-02-02,8.398250,8.448060,8.283680,8.308590,7.358347,6658725
2017-02-03,8.278700,8.507830,8.278700,8.458020,7.490687,1237436
2017-02-06,8.428130,8.487910,8.189040,8.238850,7.296583,2348190
2017-02-07,8.189040,8.338470,8.179070,8.328510,7.375989,2152431
2017-02-08,8.248810,8.338470,8.199000,8.298620,7.349517,1723602
2017-02-09,8.328510,8.497870,8.328510,8.477940,7.508329,1642630
2017-02-10,8.467980,8.537720,8.388280,8.517790,7.543621,4205637
2017-02-13,8.557640,8.657270,8.537720,8.657270,7.667149,1504143
2017-02-14,8.667230,8.776810,8.627380,8.687150,7.693611,2112208
2017-02-15,8.766850,8.796740,8.647300,8.687150,7.693611,1977597
2017-02-16,8.717040,8.717040,8.547680,8.577570,7.596565,2147754
2017-02-17,8.577570,8.667230,8.557640,8.657270,7.667149,1335551
2017-02-20,8.687150,8.756890,8.627380,8.717040,7.720083,1552324
2017-02-21,8.756890,8.756890,8.577570,8.647300,7.658319,1525268
2017-02-22,8.766850,8.846550,8.637340,8.677190,7.684792,3612447
2017-02-23,8.717040,8.717040,8.428130,8.467980,7.499508,1635566
2017-02-24,8.418170,8.507830,8.358400,8.368360,7.411281,2395057
2017-02-27,8.268740,8.388280,8.248810,8.338470,7.384809,2958068
2017-02-28,8.458020,8.458020,8.363380,8.428130,7.464215,3548921
2017-03-01,8.388280,8.507830,8.388280,8.507830,7.534800,2397707
2017-03-02,8.597490,8.637340,8.467980,8.627380,7.640678,2809334
2017-03-03,8.617420,8.697120,8.587530,8.647300,7.658319,1323361
2017-03-06,8.607460,8.657270,8.467980,8.567610,7.587742,1335451
2017-03-07,8.577570,8.707080,8.567610,8.677190,7.684792,1648708
2017-03-08,8.677190,8.707080,8.487910,8.707080,7.711262,1827763
2017-03-09,8.667230,8.746930,8.597490,8.697120,7.702441,1672904
2017-03-10,8.717040,8.756890,8.677190,8.727000,7.728904,1342312
2017-03-13,8.717040,8.727000,8.637340,8.667230,7.675969,1302273
2017-03-14,8.657270,8.717040,8.547680,8.567610,7.587742,1896732
2017-03-15,8.517790,8.657270,8.477940,8.657270,7.667149,1514896
2017-03-16,8.667230,8.756890,8.667230,8.727000,7.728904,3157689
2017-03-17,8.766850,8.856510,8.727000,8.727000,7.728904,3153409
2017-03-20,8.717040,8.806700,8.687150,8.736970,7.737734,1241058
2017-03-21,8.736970,8.816660,8.727000,8.776810,7.773017,1492123
2017-03-22,8.687150,8.756890,8.677190,8.717040,7.720083,1664364
2017-03-23,8.766850,8.816660,8.707080,8.796740,7.790668,1953100
2017-03-24,8.796740,8.906330,8.786780,8.786780,7.781847,1989744
2017-03-27,8.786780,8.936210,8.786780,8.936210,7.914186,2126175
2017-03-28,8.906330,8.916290,8.776810,8.886400,7.870073,1894848
2017-03-29,8.936210,8.976060,8.876440,8.966100,7.940657,2610280
2017-03-30,8.936210,8.966100,8.866480,8.956140,7.931838,1704193
2017-03-31,8.896360,9.055760,8.896360,8.926250,7.905367,3062463
2017-04-03,8.946170,8.966100,8.846550,8.946170,7.923008,1481851
2017-04-04,8.936210,8.941190,8.826630,8.876440,7.861253,1473776
2017-04-05,8.916290,8.936210,8.866480,8.936210,7.914186,3554067
2017-04-06,8.946170,9.005950,8.856510,8.936210,7.914186,1694960
2017-04-07,8.976060,9.065720,8.946170,9.045800,8.011243,2230538
2017-04-10,9.055760,9.065720,9.005950,9.045800,8.011243,1666114
2017-04-11,9.015910,9.070700,8.976060,9.015910,7.984771,1530264
2017-04-12,9.035840,9.135460,9.035840,9.095610,8.055355,1798560
2017-04-13,9.105570,9.185270,9.095610,9.145420,8.099469,2025629
2017-04-18,9.145420,9.175310,8.986020,9.085650,8.046535,2792984
2017-04-19,8.986020,9.065720,8.971080,9.035840,8.002421,1713701
2017-04-20,9.015910,9.015910,8.946170,8.995990,7.967130,1494508
2017-04-21,9.025870,9.095610,8.976060,9.055760,8.020065,1140184
2017-04-24,9.165350,9.165350,9.075680,9.125500,8.081828,1467580
2017-04-26,9.065720,9.170330,9.065720,9.135460,8.090649,1843473
2017-04-27,9.135460,9.145420,9.075680,9.085650,8.046535,1328570
2017-04-28,9.115530,9.135460,9.085650,9.125500,8.081828,2736768
2017-05-01,9.165350,9.364590,9.125500,9.364590,8.293573,2813740
2017-05-02,9.264970,9.344670,9.225120,9.294860,8.231818,2950211
2017-05-03,9.324740,9.424370,9.255010,9.334710,8.267111,2194747
2017-05-04,9.364590,9.434330,9.334710,9.414400,8.337687,1890073
2017-05-05,9.414400,9.444290,9.354630,9.394480,8.320045,1678550
2017-05-08,9.464220,9.484140,9.354630,9.364590,8.293573,2155022
2017-05-09,9.334710,9.484140,9.334710,9.444290,8.364160,1685620
2017-05-10,9.494100,9.494100,9.374550,9.424370,8.346516,2433575
2017-05-11,9.394480,9.523990,9.364590,9.504070,8.417102,1756048
