Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,1.425000,1.445000,1.415000,1.440000,1.332353,1746586
2018-01-31,1.435000,1.505000,1.435000,1.500000,1.387867,2751501
2018-02-01,1.500000,1.505000,1.450000,1.480000,1.369362,1928028
2018-02-02,1.460000,1.480000,1.435000,1.450000,1.341605,1460692
2018-02-05,1.445000,1.455000,1.420000,1.435000,1.327726,1925497
2018-02-06,1.420000,1.425000,1.355000,1.370000,1.267585,2718415
2018-02-07,1.400000,1.420000,1.360000,1.380000,1.276838,2316864
2018-02-08,1.380000,1.420000,1.380000,1.405000,1.299969,1734444
2018-02-09,1.385000,1.430000,1.360000,1.425000,1.318474,2289102
2018-02-12,1.425000,1.435000,1.400000,1.420000,1.313848,1893132
2018-02-13,1.425000,1.465000,1.420000,1.465000,1.355484,2153201
2018-02-14,1.450000,1.480000,1.442000,1.475000,1.364736,1835551
2018-02-15,1.480000,1.485000,1.465000,1.480000,1.369362,1647557
2018-02-16,1.485000,1.490000,1.470000,1.470000,1.360110,1502036
2018-02-19,1.480000,1.495000,1.465000,1.495000,1.383241,894648
2018-02-20,1.490000,1.500000,1.480000,1.495000,1.383241,834623
2018-02-21,1.475000,1.510000,1.475000,1.505000,1.392493,1160468
2018-02-22,1.510000,1.540000,1.500000,1.535000,1.420251,1092918
2018-02-23,1.540000,1.570000,1.530000,1.565000,1.448008,1618015
2018-02-26,1.570000,1.580000,1.537000,1.565000,1.448008,1915905
2018-02-27,1.570000,1.575000,1.550000,1.570000,1.452634,859938
2018-02-28,1.565000,1.570000,1.530000,1.530000,1.415624,1072508
2018-03-01,1.530000,1.530000,1.485000,1.490000,1.378615,756409
2018-03-02,1.490000,1.520000,1.485000,1.520000,1.406372,952566
2018-03-05,1.520000,1.520000,1.495000,1.500000,1.387867,523561
2018-03-06,1.510000,1.585000,1.510000,1.575000,1.457261,1591811
2018-03-07,1.550000,1.575000,1.540000,1.540000,1.424877,747516
2018-03-08,1.550000,1.595000,1.550000,1.585000,1.466513,1099112
2018-03-09,1.585000,1.640000,1.500000,1.565000,1.448008,4454093
2018-03-12,1.570000,1.605000,1.570000,1.595000,1.475765,1078082
2018-03-13,1.590000,1.610000,1.562000,1.565000,1.448008,1219911
2018-03-14,1.555000,1.575000,1.550000,1.560000,1.443382,1227007
2018-03-15,1.555000,1.570000,1.525000,1.555000,1.438756,1355645
2018-03-16,1.550000,1.550000,1.525000,1.540000,1.424877,1451840
2018-03-19,1.560000,1.560000,1.515000,1.530000,1.415624,1776279
2018-03-20,1.530000,1.540000,1.505000,1.530000,1.415624,1174825
2018-03-21,1.525000,1.535000,1.515000,1.530000,1.415624,824334
2018-03-22,1.525000,1.535000,1.470000,1.490000,1.378615,1755860
2018-03-23,1.470000,1.487000,1.450000,1.455000,1.346231,1329634
2018-03-26,1.450000,1.480000,1.420000,1.460000,1.350857,1468631
2018-03-27,1.465000,1.480000,1.455000,1.475000,1.364736,1414535
2018-03-28,1.460000,1.490000,1.457000,1.475000,1.364736,785627
2018-03-29,1.470000,1.530000,1.470000,1.500000,1.387867,1802417
2018-04-03,1.490000,1.495000,1.467000,1.470000,1.360110,1046883
2018-04-04,1.470000,1.522000,1.467000,1.510000,1.397120,1437287
2018-04-05,1.515000,1.535000,1.510000,1.520000,1.406372,1367855
2018-04-06,1.515000,1.522500,1.495000,1.510000,1.397120,311625
2018-04-09,1.515000,1.550000,1.490000,1.545000,1.429503,10456447
2018-04-10,1.545000,1.545000,1.520000,1.525000,1.410998,951624
2018-04-11,1.510000,1.525000,1.485000,1.490000,1.378615,1197509
2018-04-12,1.485000,1.500000,1.460000,1.470000,1.360110,1260246
2018-04-13,1.470000,1.505000,1.470000,1.495000,1.383241,908998
2018-04-16,1.490000,1.512500,1.485000,1.510000,1.397120,816810
2018-04-17,1.515000,1.530000,1.512000,1.520000,1.406372,1225930
2018-04-18,1.530000,1.535000,1.495000,1.505000,1.392493,481419
2018-04-19,1.520000,1.520000,1.455000,1.470000,1.360110,1627675
2018-04-20,1.455000,1.465000,1.400000,1.420000,1.313848,2349829
2018-04-23,1.415000,1.420000,1.317000,1.330000,1.230576,3805687
2018-04-24,1.335000,1.335000,1.227000,1.235000,1.142677,5288871
2018-04-26,1.245000,1.317500,1.240000,1.305000,1.207444,2704814
2018-04-27,1.325000,1.335000,1.307000,1.315000,1.216697,1513986
2018-04-30,1.330000,1.365000,1.327000,1.355000,1.253707,1672923
2018-05-01,1.355000,1.400000,1.350000,1.395000,1.290716,1716383
2018-05-02,1.400000,1.475000,1.380000,1.390000,1.286090,2716091
2018-05-03,1.370000,1.405000,1.365000,1.380000,1.309819,1418040
2018-05-04,1.375000,1.385000,1.355000,1.355000,1.286090,1002697
2018-05-07,1.370000,1.385000,1.335000,1.355000,1.286090,1311220
2018-05-08,1.365000,1.365000,1.320000,1.330000,1.262362,1720794
2018-05-09,1.330000,1.360000,1.330000,1.355000,1.286090,855421
2018-05-10,1.360000,1.377500,1.352000,1.370000,1.300327,1455914
2018-05-11,1.375000,1.390000,1.365000,1.370000,1.300327,1280215
2018-05-14,1.380000,1.390000,1.360000,1.365000,1.295582,1071297
2018-05-15,1.370000,1.405000,1.370000,1.385000,1.314565,1780616
2018-05-16,1.385000,1.395000,1.330000,1.335000,1.267107,1800972
2018-05-17,1.350000,1.375000,1.330000,1.355000,1.286090,1685880
2018-05-18,1.350000,1.360000,1.330000,1.345000,1.276599,1377847
2018-05-21,1.345000,1.370000,1.345000,1.360000,1.290836,960557
2018-05-22,1.360000,1.375000,1.357000,1.365000,1.295582,1141999
2018-05-23,1.370000,1.390000,1.360000,1.360000,1.290836,803887
2018-05-24,1.345000,1.355000,1.320000,1.340000,1.271853,1116215
2018-05-25,1.335000,1.352500,1.335000,1.340000,1.271853,523730
2018-05-28,1.340000,1.350000,1.330000,1.345000,1.276599,495010
2018-05-29,1.340000,1.350000,1.335000,1.340000,1.271853,777114
2018-05-30,1.335000,1.340000,1.320000,1.325000,1.257616,898760
2018-05-31,1.325000,1.355000,1.315000,1.355000,1.286090,2335831
2018-06-01,1.345000,1.355000,1.312000,1.320000,1.252870,1050266
2018-06-04,1.325000,1.340000,1.322000,1.325000,1.257616,758219
2018-06-05,1.325000,1.362000,1.320000,1.325000,1.257616,1521523
2018-06-06,1.325000,1.340000,1.315000,1.325000,1.257616,2077366
2018-06-07,1.320000,1.377500,1.320000,1.365000,1.295582,1461767
2018-06-08,1.365000,1.390000,1.345000,1.350000,1.281345,1616547
2018-06-12,1.360000,1.360000,1.330000,1.345000,1.276599,1474452
2018-06-13,1.330000,1.350000,1.312000,1.315000,1.248125,1147758
2018-06-14,1.320000,1.335000,1.300000,1.305000,1.238633,1814590
2018-06-15,1.325000,1.325000,1.265000,1.315000,1.248125,2850264
2018-06-18,1.320000,1.350000,1.315000,1.335000,1.267107,1248861
2018-06-19,1.345000,1.345000,1.305000,1.310000,1.243379,1577897
2018-06-20,1.310000,1.335000,1.305000,1.335000,1.267107,927679
