Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.860000,2.900000,2.860000,2.860000,2.784340,30389
2017-01-31,2.890000,2.940000,2.780000,2.800000,2.725927,184625
2017-02-01,2.800000,2.850000,2.790000,2.820000,2.745398,39048
2017-02-02,2.800000,2.830000,2.770000,2.800000,2.725927,89813
2017-02-03,2.800000,2.800000,2.760000,2.780000,2.706456,97642
2017-02-06,2.770000,2.790000,2.750000,2.760000,2.686985,96379
2017-02-07,2.770000,2.850000,2.680000,2.750000,2.677250,301467
2017-02-08,2.720000,2.850000,2.710000,2.800000,2.725927,785535
2017-02-09,2.850000,2.890000,2.770000,2.800000,2.725927,121011
2017-02-10,2.810000,2.840000,2.770000,2.790000,2.716192,218720
2017-02-13,2.850000,2.930000,2.820000,2.880000,2.803811,173897
2017-02-14,2.910000,2.950000,2.885000,2.930000,2.852488,629074
2017-02-15,2.940000,2.940000,2.890000,2.890000,2.813546,142470
2017-02-16,2.940000,2.945000,2.900000,2.930000,2.852488,73471
2017-02-17,2.940000,2.940000,2.900000,2.920000,2.842752,51143
2017-02-20,2.930000,2.940000,2.910000,2.940000,2.862224,59239
2017-02-21,2.930000,2.950000,2.890000,2.890000,2.813546,179208
2017-02-22,2.890000,2.930000,2.860000,2.890000,2.813546,47507
2017-02-23,2.870000,2.870000,2.760000,2.820000,2.745398,55092
2017-02-24,2.820000,2.840000,2.790000,2.790000,2.716192,135288
2017-02-27,2.820000,2.860000,2.780000,2.850000,2.774604,375373
2017-02-28,2.670000,2.800000,2.570000,2.680000,2.609102,624064
2017-03-01,2.660000,2.660000,2.520000,2.580000,2.511747,422785
2017-03-02,2.610000,2.700000,2.610000,2.610000,2.540954,209691
2017-03-03,2.600000,2.600000,2.500000,2.510000,2.472013,185950
2017-03-06,2.500000,2.600000,2.400000,2.500000,2.462164,247781
2017-03-07,2.500000,2.500000,2.410000,2.430000,2.393224,139934
2017-03-08,2.460000,2.480000,2.350000,2.400000,2.363678,193844
2017-03-09,2.430000,2.450000,2.360000,2.370000,2.334131,184665
2017-03-10,2.460000,2.620000,2.460000,2.590000,2.550802,505563
2017-03-13,2.640000,2.650000,2.570000,2.650000,2.609895,176542
2017-03-14,2.630000,2.650000,2.550000,2.550000,2.511407,224970
2017-03-15,2.570000,2.600000,2.560000,2.560000,2.521256,178850
2017-03-16,2.600000,2.630000,2.570000,2.580000,2.540953,139369
2017-03-17,2.600000,2.600000,2.570000,2.590000,2.550802,95090
2017-03-20,2.600000,2.620000,2.560000,2.570000,2.531105,79373
2017-03-21,2.600000,2.620000,2.570000,2.580000,2.540953,73401
2017-03-22,2.600000,2.605000,2.550000,2.580000,2.540953,158864
2017-03-23,2.700000,2.780000,2.640000,2.680000,2.639440,209760
2017-03-24,2.700000,2.730000,2.670000,2.680000,2.639440,263029
2017-03-27,2.760000,2.760000,2.650000,2.670000,2.629592,129857
2017-03-28,2.680000,2.700000,2.640000,2.680000,2.639440,152953
2017-03-29,2.680000,2.680000,2.630000,2.640000,2.600046,203105
2017-03-30,2.640000,2.670000,2.640000,2.640000,2.600046,119537
2017-03-31,2.650000,2.670000,2.640000,2.650000,2.609895,369791
2017-04-03,2.680000,2.690000,2.640000,2.640000,2.600046,180015
2017-04-04,2.660000,2.680000,2.630000,2.640000,2.600046,129893
2017-04-05,2.650000,2.660000,2.620000,2.620000,2.580348,86316
2017-04-06,2.630000,2.650000,2.620000,2.630000,2.590197,88696
2017-04-07,2.670000,2.690000,2.630000,2.690000,2.649289,111641
2017-04-10,2.690000,2.710000,2.640000,2.650000,2.609895,168287
2017-04-11,2.680000,2.740000,2.640000,2.660000,2.619743,213895
2017-04-12,2.660000,2.660000,2.570000,2.620000,2.580348,230941
2017-04-13,2.600000,2.660000,2.600000,2.660000,2.619743,90043
2017-04-18,2.670000,2.710000,2.660000,2.690000,2.649289,139557
2017-04-19,2.660000,2.740000,2.660000,2.690000,2.649289,384176
2017-04-20,2.700000,2.710000,2.660000,2.670000,2.629592,107276
2017-04-21,2.670000,2.700000,2.660000,2.680000,2.639440,73831
2017-04-24,2.680000,2.700000,2.650000,2.650000,2.609895,118673
2017-04-26,2.660000,2.690000,2.650000,2.660000,2.619743,107623
2017-04-27,2.680000,2.700000,2.660000,2.660000,2.619743,111896
2017-04-28,2.680000,2.690000,2.650000,2.660000,2.619743,454779
2017-05-01,2.660000,2.720000,2.660000,2.660000,2.619743,134596
2017-05-02,2.700000,2.700000,2.650000,2.660000,2.619743,70873
2017-05-03,2.700000,2.700000,2.660000,2.660000,2.619743,68183
2017-05-04,2.680000,2.700000,2.630000,2.650000,2.609895,246786
2017-05-05,2.650000,2.670000,2.620000,2.630000,2.590197,152139
2017-05-08,2.630000,2.680000,2.620000,2.650000,2.609895,98424
2017-05-09,2.650000,2.680000,2.630000,2.670000,2.629592,125247
2017-05-10,2.680000,2.690000,2.660000,2.670000,2.629592,220158
2017-05-11,2.670000,2.680000,2.660000,2.660000,2.619743,89575
2017-05-12,2.660000,2.670000,2.650000,2.650000,2.609895,46441
