Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,1.850000,1.850000,1.810000,1.840000,1.755114,75034
2018-01-31,1.850000,1.865000,1.800000,1.820000,1.736037,125186
2018-02-01,1.850000,1.855000,1.800000,1.805000,1.721729,106071
2018-02-02,1.805000,1.805000,1.770000,1.790000,1.707421,88350
2018-02-05,1.765000,1.780000,1.725000,1.750000,1.669266,362975
2018-02-06,1.750000,1.790000,1.720000,1.760000,1.678805,858076
2018-02-07,1.750000,1.780000,1.720000,1.780000,1.697882,218484
2018-02-08,1.800000,1.800000,1.720000,1.775000,1.693113,78775
2018-02-09,1.800000,1.800000,1.730000,1.790000,1.707421,840360
2018-02-12,1.765000,1.800000,1.760000,1.795000,1.712190,99009
2018-02-13,1.795000,1.795000,1.700000,1.735000,1.654958,1089313
2018-02-14,1.755000,1.770000,1.720000,1.735000,1.654958,64189
2018-02-15,1.735000,1.745000,1.715000,1.740000,1.659728,21612
2018-02-16,1.760000,1.770000,1.725000,1.735000,1.654958,47252
2018-02-19,1.730000,1.755000,1.725000,1.750000,1.669266,443834
2018-02-20,1.765000,1.790000,1.745000,1.755000,1.674036,72919
2018-02-21,1.770000,1.790000,1.735000,1.755000,1.674036,70603
2018-02-22,1.785000,1.785000,1.740000,1.750000,1.669266,41287
2018-02-23,1.785000,1.830000,1.755000,1.780000,1.697882,218250
2018-02-26,1.780000,1.785000,1.735000,1.770000,1.688344,80634
2018-02-27,1.830000,1.875000,1.800000,1.830000,1.745576,1432827
2018-02-28,1.845000,1.852000,1.800000,1.830000,1.745576,319060
2018-03-01,1.820000,1.830000,1.785000,1.805000,1.721729,153622
2018-03-02,1.825000,1.825000,1.765000,1.795000,1.712190,356170
2018-03-05,1.795000,1.835000,1.785000,1.800000,1.716960,235542
2018-03-06,1.805000,1.835000,1.780000,1.785000,1.702652,183943
2018-03-07,1.800000,1.810000,1.785000,1.800000,1.716960,166959
2018-03-08,1.810000,1.810000,1.780000,1.800000,1.716960,122825
2018-03-09,1.800000,1.805000,1.785000,1.800000,1.716960,158288
2018-03-12,1.800000,1.810000,1.750000,1.795000,1.712190,247369
2018-03-13,1.780000,1.800000,1.770000,1.780000,1.697882,226437
2018-03-14,1.755000,1.810000,1.740000,1.770000,1.707529,200238
2018-03-15,1.750000,1.810000,1.745000,1.800000,1.736470,178063
2018-03-16,1.800000,1.800000,1.750000,1.790000,1.726824,330064
2018-03-19,1.800000,1.800000,1.760000,1.785000,1.722000,99304
2018-03-20,1.750000,1.795000,1.750000,1.795000,1.731647,96840
2018-03-21,1.795000,1.795000,1.760000,1.780000,1.717176,86741
2018-03-22,1.760000,1.830000,1.760000,1.820000,1.755765,1106964
2018-03-23,1.785000,1.820000,1.775000,1.800000,1.736470,47735
2018-03-26,1.800000,1.800000,1.750000,1.790000,1.726824,82598
2018-03-27,1.795000,1.820000,1.780000,1.820000,1.755765,322009
2018-03-28,1.810000,1.820000,1.785000,1.810000,1.746118,38493
2018-03-29,1.810000,1.815000,1.750000,1.815000,1.750941,86403
2018-04-03,1.815000,1.830000,1.805000,1.820000,1.755765,601465
2018-04-04,1.810000,1.820000,1.775000,1.785000,1.722000,178146
2018-04-05,1.800000,1.847000,1.770000,1.835000,1.770235,136974
2018-04-06,1.800000,1.845000,1.800000,1.825000,1.760588,90525
2018-04-09,1.820000,1.825000,1.775000,1.800000,1.736470,117580
2018-04-10,1.780000,1.800000,1.770000,1.790000,1.726824,68595
2018-04-11,1.790000,1.790000,1.725000,1.725000,1.664118,105582
2018-04-12,1.730000,1.730000,1.680000,1.700000,1.640000,95653
2018-04-13,1.710000,1.715000,1.660000,1.660000,1.601412,175068
2018-04-16,1.640000,1.750000,1.635000,1.700000,1.640000,259169
2018-04-17,1.770000,1.770000,1.705000,1.765000,1.702706,110189
2018-04-18,1.770000,1.770000,1.730000,1.755000,1.693059,71216
2018-04-19,1.750000,1.770000,1.725000,1.765000,1.702706,97116
