Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,2.445210,2.512070,2.445210,2.492970,2.351085,1030121
2018-01-31,2.454760,2.502520,2.445210,2.492970,2.351085,733998
2018-02-01,2.512070,2.684000,2.512070,2.636240,2.486200,2343484
2018-02-02,2.617140,2.684000,2.617140,2.684000,2.531242,1013318
2018-02-05,2.626690,2.655340,2.540720,2.540720,2.396117,604580
2018-02-06,2.426100,2.426100,2.292380,2.359240,2.224966,816076
2018-02-07,2.340140,2.459530,2.340140,2.426100,2.288020,459549
2018-02-08,2.387900,2.397450,2.349690,2.368790,2.233972,3336897
2018-02-09,2.244620,2.359240,2.196870,2.321040,2.188940,650942
2018-02-12,2.282830,2.416550,2.263730,2.416550,2.279014,530990
2018-02-13,2.416550,2.426100,2.349690,2.387900,2.251994,1542196
2018-02-14,2.435660,2.435660,2.301930,2.349690,2.215959,786725
2018-02-15,2.340140,2.445210,2.340140,2.445210,2.306043,244410
2018-02-16,2.435660,2.512070,2.416550,2.473860,2.333062,323432
2018-02-19,2.445210,2.531170,2.407000,2.531170,2.387110,144075
2018-02-20,2.521620,2.531170,2.473860,2.521620,2.378104,124400
2018-02-21,2.492970,2.521620,2.483410,2.502520,2.360091,445460
2018-02-22,2.483410,2.540720,2.483410,2.540720,2.396117,207216
2018-02-23,2.531170,2.559830,2.497740,2.531170,2.387110,230053
2018-02-26,2.617140,2.903680,2.598030,2.731760,2.576284,2024027
2018-02-27,2.684000,2.760410,2.569380,2.607580,2.459171,40486007
2018-02-28,2.598030,2.607580,2.473860,2.512070,2.369097,1184584
2018-03-01,2.512070,2.598030,2.502520,2.578930,2.432152,1525470
2018-03-02,2.512070,2.550270,2.464310,2.483410,2.342069,483715
2018-03-05,2.550270,2.550270,2.416550,2.464310,2.324055,596466
2018-03-06,2.435660,2.492970,2.349690,2.483410,2.342069,1790869
2018-03-07,2.454760,2.478640,2.402230,2.454760,2.315049,1741865
2018-03-08,2.454760,2.588480,2.445210,2.559830,2.414139,21874131
2018-03-09,2.569380,2.655340,2.540720,2.626690,2.477194,2957851
2018-03-12,2.655340,2.703100,2.626690,2.674450,2.522236,2506963
