Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,2.450000,2.465000,2.420000,2.420000,1.983296,7786819
2018-01-31,2.400000,2.430000,2.380000,2.410000,1.975100,9943613
2018-02-01,2.410000,2.435000,2.380000,2.400000,1.966905,8851122
2018-02-02,2.390000,2.420000,2.360000,2.390000,1.958709,5992195
2018-02-05,2.350000,2.350000,2.295000,2.310000,1.893146,10915063
2018-02-06,2.240000,2.310000,2.230000,2.250000,1.843973,14003236
2018-02-07,2.310000,2.380000,2.310000,2.330000,1.909536,12894442
2018-02-08,2.290000,2.305000,2.260000,2.300000,1.884950,7182453
2018-02-09,2.230000,2.285000,2.220000,2.250000,1.843973,10296694
2018-02-12,2.240000,2.280000,2.230000,2.240000,1.835778,12223575
2018-02-13,2.260000,2.270000,2.220000,2.240000,1.835778,12503541
2018-02-14,2.230000,2.250000,2.200000,2.230000,1.827582,13370510
2018-02-15,2.240000,2.330000,2.240000,2.320000,1.901341,12823635
2018-02-16,2.330000,2.350000,2.270000,2.310000,1.893146,11018345
2018-02-19,2.320000,2.350000,2.285000,2.340000,1.917732,8363449
2018-02-20,2.340000,2.340000,2.305000,2.320000,1.901341,7742206
2018-02-21,2.290000,2.320000,2.290000,2.300000,1.884950,6934211
2018-02-22,2.400000,2.420000,2.270000,2.310000,1.893146,17282666
2018-02-23,2.320000,2.340000,2.260000,2.330000,1.909536,45133199
2018-02-26,2.350000,2.370000,2.310000,2.310000,1.893146,13128123
2018-02-27,2.190000,2.220000,2.170000,2.190000,1.892541,10377854
2018-02-28,2.190000,2.260000,2.180000,2.230000,1.927108,13557106
2018-03-01,2.220000,2.260000,2.200000,2.250000,1.944391,22296558
2018-03-02,2.230000,2.260000,2.200000,2.240000,1.935750,12335066
2018-03-05,2.240000,2.280000,2.220000,2.280000,1.970317,15006288
2018-03-06,2.320000,2.400000,2.310000,2.390000,2.065376,19576496
2018-03-07,2.370000,2.370000,2.310000,2.330000,2.013525,9105784
2018-03-08,2.360000,2.360000,2.315000,2.330000,2.013525,7850211
2018-03-09,2.340000,2.345000,2.290000,2.310000,1.996242,15100356
2018-03-12,2.350000,2.360000,2.320000,2.350000,2.030809,6504044
2018-03-13,2.350000,2.350000,2.300000,2.310000,1.996242,7960195
2018-03-14,2.310000,2.320000,2.295000,2.310000,1.996242,5623735
2018-03-15,2.290000,2.305000,2.250000,2.290000,1.978958,16525043
2018-03-16,2.300000,2.355000,2.270000,2.350000,2.030809,13766703
2018-03-19,2.350000,2.410000,2.330000,2.410000,2.082659,8749181
2018-03-20,2.390000,2.390000,2.310000,2.370000,2.048092,20435150
2018-03-21,2.380000,2.380000,2.330000,2.350000,2.030809,7517034
2018-03-22,2.400000,2.500000,2.385000,2.460000,2.125868,17907357
2018-03-23,2.380000,2.480000,2.350000,2.480000,2.143151,27492768
2018-03-26,2.450000,2.520000,2.435000,2.470000,2.134510,16201268
2018-03-27,2.480000,2.495000,2.410000,2.430000,2.099943,17374675
2018-03-28,2.390000,2.400000,2.335000,2.360000,2.039450,16762400
