Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,5.790000,5.810000,5.740000,5.810000,5.810000,6421708
2019-09-17,5.800000,5.890000,5.770000,5.890000,5.890000,8152373
2019-09-18,5.990000,6.080000,5.970000,6.000000,6.000000,13559789
2019-09-19,6.110000,6.110000,5.975000,5.980000,5.980000,14017762
2019-09-20,6.030000,6.065000,5.980000,6.010000,6.010000,8524660
2019-09-23,6.040000,6.060000,6.010000,6.050000,6.050000,3464962
2019-09-24,6.060000,6.085000,6.000000,6.040000,6.040000,7578683
2019-09-25,6.010000,6.050000,6.000000,6.020000,6.020000,5380488
2019-09-26,6.030000,6.070000,6.000000,6.020000,6.020000,12655506
2019-09-27,6.050000,6.060000,5.995000,6.030000,6.030000,7244641
2019-09-30,6.040000,6.040000,5.890000,5.900000,5.900000,13783668
2019-10-01,5.920000,6.025000,5.910000,6.000000,6.000000,6398730
2019-10-02,5.950000,6.000000,5.900000,5.980000,5.980000,26360368
2019-10-03,5.920000,5.920000,5.830000,5.830000,5.830000,6585025
2019-10-04,5.830000,5.830000,5.830000,5.830000,5.830000,0
2019-10-07,5.850000,5.900000,5.825000,5.860000,5.860000,2316081
2019-10-08,5.920000,5.920000,5.850000,5.870000,5.870000,4495251
2019-10-09,5.870000,5.890000,5.820000,5.830000,5.830000,5180051
2019-10-10,5.840000,5.890000,5.830000,5.850000,5.850000,5529011
2019-10-11,5.890000,5.910000,5.815000,5.840000,5.840000,7879453
2019-10-14,5.880000,5.900000,5.840000,5.870000,5.870000,3227145
2019-10-15,5.860000,5.940000,5.820000,5.940000,5.940000,5380189
2019-10-16,6.000000,6.000000,5.910000,5.970000,5.970000,5961441
2019-10-17,5.970000,5.980000,5.790000,5.800000,5.800000,8292797
2019-10-18,5.800000,5.860000,5.760000,5.790000,5.790000,8097876
2019-10-21,5.770000,5.850000,5.725000,5.780000,5.780000,9781037
2019-10-22,5.790000,5.880000,5.770000,5.860000,5.860000,7968801
2019-10-23,5.880000,5.930000,5.820000,5.900000,5.900000,8492723
2019-10-24,5.930000,5.940000,5.870000,5.910000,5.910000,6282051
2019-10-25,5.940000,5.940000,5.865000,5.870000,5.870000,5778388
2019-10-28,5.900000,5.920000,5.860000,5.910000,5.910000,5727531
2019-10-29,5.940000,6.080000,5.890000,6.000000,6.000000,8806062
2019-10-30,5.960000,6.030000,5.910000,5.920000,5.920000,8347357
2019-10-31,5.940000,5.970000,5.855000,5.900000,5.900000,8423719
2019-11-01,5.900000,5.910000,5.810000,5.830000,5.830000,10663265
2019-11-04,5.890000,5.910000,5.825000,5.850000,5.850000,3460721
2019-11-05,5.850000,5.870000,5.810000,5.810000,5.810000,3846219
2019-11-06,5.850000,5.920000,5.720000,5.720000,5.720000,4970921
2019-11-07,5.710000,5.805000,5.700000,5.780000,5.780000,15155293
2019-11-08,5.750000,5.785000,5.710000,5.720000,5.720000,5907055
2019-11-11,5.790000,5.790000,5.740000,5.770000,5.770000,4694231
2019-11-12,5.770000,5.770000,5.675000,5.710000,5.710000,4049351
2019-11-13,5.700000,5.750000,5.645000,5.660000,5.660000,9835658
2019-11-14,5.690000,5.710000,5.650000,5.690000,5.690000,6345341
2019-11-15,5.710000,5.740000,5.670000,5.700000,5.700000,4999441
2019-11-18,5.710000,5.780000,5.690000,5.750000,5.750000,4447663
2019-11-19,5.780000,5.790000,5.700000,5.780000,5.780000,7203086
2019-11-20,5.750000,5.760000,5.690000,5.700000,5.700000,8457579
2019-11-21,5.650000,5.700000,5.595000,5.660000,5.660000,5978743
2019-11-22,5.700000,5.730000,5.660000,5.710000,5.710000,9529757
2019-11-25,5.750000,5.770000,5.710000,5.720000,5.720000,4592080
2019-11-26,5.750000,5.870000,5.740000,5.830000,5.830000,23369009
2019-11-27,5.830000,5.900000,5.800000,5.880000,5.880000,5788255
2019-11-28,5.920000,5.920000,5.840000,5.850000,5.850000,3533048
2019-11-29,5.880000,5.880000,5.780000,5.780000,5.780000,4279693
2019-12-02,5.770000,5.815000,5.760000,5.770000,5.770000,3066540
2019-12-03,5.660000,5.710000,5.530000,5.550000,5.550000,6968832
2019-12-04,5.470000,5.530000,5.470000,5.480000,5.480000,8978965
2019-12-05,5.550000,5.575000,5.490000,5.550000,5.550000,7179603
2019-12-06,5.580000,5.610000,5.540000,5.570000,5.570000,3715489
2019-12-09,5.670000,5.670000,5.555000,5.570000,5.570000,5501795
2019-12-10,5.580000,5.630000,5.510000,5.520000,5.520000,5925423
2019-12-11,5.530000,5.635000,5.480000,5.620000,5.620000,8981724
2019-12-12,5.690000,5.690000,5.530000,5.550000,5.550000,8345606
2019-12-13,5.530000,5.550000,5.430000,5.450000,5.450000,6147576
2019-12-16,5.450000,5.510000,5.435000,5.490000,5.490000,7920700
2019-12-17,5.460000,5.490000,5.360000,5.380000,5.380000,22310619
2019-12-18,5.490000,5.510000,5.380000,5.410000,5.410000,17703742
2019-12-19,5.500000,5.500000,5.405000,5.440000,5.440000,10509066
2019-12-20,5.440000,5.460000,5.380000,5.410000,5.410000,11518908
