Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,3.908650,3.967420,3.889050,3.947830,3.947830,1131132
2017-01-31,3.957630,4.300490,3.957630,4.143750,4.143750,2142912
2017-02-01,4.173140,4.173140,4.075180,4.114360,4.114360,932957
2017-02-02,4.133960,4.241710,4.114360,4.173140,4.173140,829792
2017-02-03,4.173140,4.231920,4.133960,4.192730,4.192730,630478
2017-02-06,4.212320,4.506210,4.212320,4.506210,4.506210,2023443
2017-02-07,4.643350,5.084180,4.516000,4.800090,4.800090,4088550
2017-02-08,4.868660,5.044990,4.604170,4.790290,4.790290,2204356
2017-02-09,4.800090,4.858870,4.672740,4.692330,4.692330,827651
2017-02-10,4.711930,4.751110,4.682540,4.711930,4.711930,750814
2017-02-13,4.711930,4.751110,4.672740,4.682540,4.682540,704451
2017-02-14,4.672740,4.731520,4.613960,4.711930,4.711930,660427
2017-02-15,4.721720,4.790290,4.721720,4.741310,4.741310,787317
2017-02-16,4.751110,4.790290,4.702130,4.702130,4.702130,435929
2017-02-17,4.711930,4.751110,4.643350,4.653150,4.653150,625558
2017-02-20,4.653150,4.711930,4.623760,4.653150,4.653150,278311
2017-02-21,4.692330,4.692330,4.633560,4.662950,4.662950,329169
2017-02-22,4.643350,4.682540,4.516000,4.584580,4.584580,857334
2017-02-23,4.545390,4.545390,4.359270,4.378860,4.378860,1627910
2017-02-24,4.310290,4.359270,4.124160,4.212320,4.212320,1223258
2017-02-27,4.173140,4.339670,4.163340,4.182940,4.182940,770804
2017-02-28,4.408250,4.418040,4.285800,4.359270,4.359270,555551
2017-03-01,4.437640,4.457230,4.222120,4.359270,4.359270,952909
2017-03-02,4.398450,4.457230,4.300490,4.349470,4.349470,422693
2017-03-03,4.359270,4.359270,4.187830,4.231920,4.231920,1567642
2017-03-06,4.261310,4.271100,4.133960,4.143750,4.143750,425485
2017-03-07,4.114360,4.133960,3.996810,4.016400,4.016400,622797
2017-03-08,3.996810,3.996810,3.830280,3.859660,3.859660,817741
2017-03-09,3.840070,3.996810,3.830280,3.869460,3.869460,437738
2017-03-10,3.908650,3.947830,3.859660,3.869460,3.869460,303087
2017-03-13,3.869460,3.908650,3.849870,3.849870,3.849870,236207
2017-03-14,3.849870,3.898850,3.849870,3.889050,3.889050,255727
2017-03-15,3.889050,3.889050,3.810680,3.830280,3.830280,820710
2017-03-16,3.781300,3.820480,3.722520,3.732320,3.732320,942131
2017-03-17,3.742110,3.820480,3.732320,3.732320,3.732320,1218495
2017-03-20,3.732320,3.771500,3.712720,3.742110,3.742110,856041
2017-03-21,3.869460,4.359270,3.859660,4.329880,4.329880,3176504
2017-03-22,4.329880,4.623760,4.231920,4.427840,4.427840,1621574
2017-03-23,4.457230,4.594370,4.418040,4.516000,4.516000,952941
2017-03-24,4.545390,4.653150,4.457230,4.516000,4.516000,1220456
2017-03-27,4.564980,4.594370,4.476820,4.486620,4.486620,430506
2017-03-28,4.486620,4.545390,4.398450,4.467020,4.467020,699154
2017-03-29,4.457230,4.457230,4.349470,4.378860,4.378860,724900
2017-03-30,4.163340,4.192730,3.967420,4.016400,4.016400,2459501
2017-03-31,3.967420,4.124160,3.938030,4.114360,4.114360,907350
2017-04-03,4.124160,4.163340,4.065380,4.124160,4.124160,768420
2017-04-04,4.124160,4.447430,4.104570,4.378860,4.378860,1571961
2017-04-05,4.369060,4.594370,4.369060,4.525800,4.525800,2340263
2017-04-06,4.506210,4.594370,4.280900,4.310290,4.310290,1074055
2017-04-07,4.310290,4.476820,4.300490,4.310290,4.310290,602779
2017-04-10,4.310290,4.398450,4.310290,4.378860,4.378860,193517
2017-04-11,4.369060,4.388650,4.271100,4.320080,4.320080,440059
2017-04-12,4.339670,4.378860,4.300490,4.359270,4.359270,343352
2017-04-13,4.310290,4.398450,4.310290,4.398450,4.398450,430579
2017-04-18,4.398450,4.398450,4.329880,4.378860,4.378860,325165
2017-04-19,4.378860,4.388650,4.320080,4.349470,4.349470,332519
2017-04-20,4.349470,4.369060,4.329880,4.359270,4.359270,319627
2017-04-21,4.349470,4.398450,4.339670,4.378860,4.378860,450972
2017-04-24,4.398450,4.555190,4.388650,4.545390,4.545390,925879
2017-04-26,4.584580,4.780500,4.584580,4.780500,4.780500,1743638
2017-04-27,4.770700,4.996010,4.741310,4.947030,4.947030,1131835
2017-04-28,4.976420,5.074380,4.976420,5.035200,5.035200,741972
2017-05-01,5.074380,5.338880,5.074380,5.289900,5.289900,852019
2017-05-02,5.338880,5.975620,5.338880,5.916850,5.916850,2287384
2017-05-03,5.936440,6.230320,5.417250,5.632760,5.632760,3149211
2017-05-04,5.583780,5.799290,5.485820,5.652350,5.652350,992899
2017-05-05,5.622960,5.652350,5.387860,5.485820,5.485820,948872
2017-05-08,5.583780,5.720920,5.583780,5.681740,5.681740,777385
2017-05-09,5.691540,5.975620,5.652350,5.975620,5.975620,1192930
2017-05-10,5.956030,6.063790,5.838480,5.897250,5.897250,888849
2017-05-11,5.877660,6.005010,5.818890,5.887460,5.887460,722295
2017-05-12,5.887460,6.210730,5.848270,5.897250,5.897250,1768576
2017-05-15,5.828680,5.867870,5.583780,5.622960,5.622960,992377
2017-05-16,5.583780,5.740520,5.515210,5.554390,5.554390,777772
2017-05-17,5.495610,5.534800,5.231120,5.250710,5.250710,1078537
2017-05-18,5.172340,5.191940,4.996010,5.103770,5.103770,697788
2017-05-19,5.142950,5.436840,5.142950,5.387860,5.387860,657365
2017-05-22,5.427040,5.632760,5.417250,5.613170,5.613170,2819599
2017-05-23,5.613170,5.750310,5.446630,5.515210,5.515210,1156479
2017-05-24,5.525000,5.662150,5.515210,5.554390,5.554390,636141
2017-05-25,5.554390,5.652350,5.387860,5.456430,5.456430,728679
2017-05-26,5.387860,5.456430,5.250710,5.250710,5.250710,493399
2017-05-29,5.280100,5.289900,5.142950,5.152750,5.152750,530862
2017-05-30,5.142950,5.221320,5.054790,5.133160,5.133160,506896
2017-05-31,5.103770,5.172340,5.074380,5.084180,5.084180,421099
2017-06-01,5.074380,5.118460,4.937240,5.044990,5.044990,525052
2017-06-02,5.044990,5.299690,5.044990,5.162550,5.162550,562561
2017-06-05,5.191940,5.280100,5.093970,5.260510,5.260510,474857
2017-06-06,5.231120,5.554390,5.231120,5.407450,5.407450,940872
2017-06-07,5.485820,5.485820,5.299690,5.338880,5.338880,645731
2017-06-08,5.319280,5.642560,5.319280,5.642560,5.642560,874982
2017-06-09,5.632760,5.652350,5.397650,5.642560,5.642560,969608
2017-06-13,5.642560,5.642560,5.642560,5.642560,5.642560,0
2017-06-14,5.642560,5.642560,5.642560,5.642560,5.642560,0
2017-06-15,6.070000,6.500000,5.990000,6.500000,6.500000,4688567
2017-06-16,6.430000,6.560000,6.280000,6.410000,6.410000,6461672
2017-06-19,6.430000,7.380000,6.430000,7.240000,7.240000,3004862
2017-06-20,7.300000,7.580000,7.110000,7.380000,7.380000,1906730
2017-06-21,7.330000,7.370000,7.070000,7.140000,7.140000,684499
2017-06-22,7.110000,7.440000,7.110000,7.420000,7.420000,894235
