Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,6.970000,7.140000,6.920000,7.130000,7.130000,1910059
2019-09-17,7.110000,7.230000,7.080000,7.150000,7.150000,1459218
2019-09-18,7.200000,7.240000,7.010000,7.060000,7.060000,1105996
2019-09-19,7.100000,7.160000,7.000000,7.100000,7.100000,1434931
2019-09-20,7.130000,7.190000,7.030000,7.050000,7.050000,939846
2019-09-23,6.990000,7.165000,6.990000,7.130000,7.130000,660870
2019-09-24,7.150000,7.220000,7.140000,7.170000,7.170000,856478
2019-09-25,7.070000,7.265000,7.050000,7.190000,7.190000,1139091
2019-09-26,7.190000,7.200000,7.080000,7.110000,7.110000,568102
2019-09-27,7.150000,7.275000,7.130000,7.250000,7.250000,982576
2019-09-30,7.240000,7.480000,7.220000,7.360000,7.360000,1499222
2019-10-01,7.370000,7.445000,7.250000,7.380000,7.380000,1481480
2019-10-02,7.190000,7.260000,6.990000,7.040000,7.040000,2128586
2019-10-03,6.920000,7.130000,6.910000,7.060000,7.060000,1352340
2019-10-04,7.060000,7.060000,7.060000,7.060000,7.060000,0
2019-10-07,7.050000,7.150000,7.030000,7.120000,7.120000,554611
2019-10-08,7.120000,7.180000,7.080000,7.170000,7.170000,699154
2019-10-09,7.130000,7.150000,6.950000,6.980000,6.980000,2682235
2019-10-10,7.020000,7.100000,6.960000,7.080000,7.080000,1410563
2019-10-11,7.100000,7.120000,7.010000,7.080000,7.080000,505188
2019-10-14,7.170000,7.190000,7.100000,7.130000,7.130000,776344
2019-10-15,7.050000,7.070000,6.880000,6.910000,6.910000,1135830
2019-10-16,7.010000,7.200000,6.970000,7.180000,7.180000,1161413
2019-10-17,7.190000,7.270000,7.105000,7.200000,7.200000,626971
2019-10-18,7.200000,7.240000,7.090000,7.100000,7.100000,685929
2019-10-21,7.090000,7.125000,7.025000,7.050000,7.050000,952631
2019-10-22,7.020000,7.070000,6.960000,7.010000,7.010000,1197790
2019-10-23,6.990000,7.050000,6.920000,6.950000,6.950000,1058800
2019-10-24,7.000000,7.040000,6.950000,7.010000,7.010000,798334
2019-10-25,7.050000,7.170000,7.050000,7.150000,7.150000,800302
2019-10-28,7.190000,7.200000,7.030000,7.040000,7.040000,886177
2019-10-29,7.050000,7.160000,6.980000,7.120000,7.120000,1346901
2019-10-30,7.100000,7.180000,7.035000,7.120000,7.120000,1135094
2019-10-31,7.190000,7.260000,7.100000,7.150000,7.150000,737707
2019-11-01,7.160000,7.240000,7.000000,7.040000,7.040000,1171701
2019-11-04,7.130000,7.340000,7.130000,7.240000,7.240000,1607617
