Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,5.270000,5.300000,5.155000,5.180000,4.896254,427950
2017-01-31,5.190000,5.200000,5.090000,5.130000,4.848993,335040
2017-02-01,5.090000,5.140000,5.030000,5.120000,4.839540,456733
2017-02-02,5.090000,5.120000,5.080000,5.100000,4.820636,284386
2017-02-03,5.090000,5.150000,5.080000,5.130000,4.848993,320889
2017-02-06,5.140000,5.170000,5.010000,5.110000,4.830088,377816
2017-02-07,5.110000,5.330000,5.100000,5.240000,4.952966,486044
2017-02-08,5.240000,5.390000,5.180000,5.350000,5.056942,1175967
2017-02-09,5.360000,5.460000,5.230000,5.430000,5.132558,320514
2017-02-10,5.450000,5.670000,5.420000,5.670000,5.359412,577107
2017-02-13,5.670000,5.680000,5.510000,5.580000,5.274343,272713
2017-02-14,5.600000,5.670000,5.500000,5.630000,5.321604,187196
2017-02-15,5.670000,5.750000,5.520000,5.570000,5.264890,434650
2017-02-16,5.600000,5.600000,5.400000,5.450000,5.151464,443648
2017-02-17,5.500000,5.550000,5.430000,5.450000,5.151464,376685
2017-02-20,5.590000,5.590000,5.370000,5.440000,5.142012,278013
2017-02-21,5.510000,5.540000,5.360000,5.400000,5.104202,320837
2017-02-22,5.450000,5.650000,5.450000,5.600000,5.293247,240617
2017-02-23,5.600000,5.650000,5.440000,5.600000,5.293247,311326
2017-02-24,5.580000,5.740000,5.560000,5.670000,5.359412,390575
2017-02-27,5.650000,5.820000,5.650000,5.740000,5.425577,443171
2017-02-28,5.890000,5.890000,5.600000,5.830000,5.559072,578676
2017-03-01,5.830000,6.030000,5.750000,6.030000,5.749778,506679
2017-03-02,6.040000,6.230000,5.940000,6.230000,5.940484,684138
2017-03-03,6.200000,6.200000,5.980000,6.010000,5.730708,570657
2017-03-06,6.060000,6.100000,5.900000,5.930000,5.654425,500353
2017-03-07,5.960000,6.030000,5.880000,5.940000,5.663960,458995
2017-03-08,5.980000,5.980000,5.850000,5.960000,5.683031,390939
2017-03-09,5.970000,6.000000,5.900000,5.950000,5.673495,279959
2017-03-10,5.990000,6.080000,5.970000,6.040000,5.759314,294615
2017-03-13,6.050000,6.090000,5.980000,6.030000,5.749778,325551
2017-03-14,6.030000,6.070000,6.000000,6.030000,5.749778,210612
2017-03-15,6.000000,6.340000,5.990000,6.300000,6.007230,929832
2017-03-16,6.350000,6.380000,6.110000,6.250000,5.959555,833607
2017-03-17,6.230000,6.290000,6.180000,6.280000,5.988160,220602
2017-03-20,6.280000,6.300000,6.180000,6.250000,5.959555,199878
2017-03-21,6.240000,6.400000,6.240000,6.370000,6.073977,406700
2017-03-22,6.300000,6.320000,6.210000,6.250000,5.959555,237412
2017-03-23,6.230000,6.390000,6.230000,6.390000,6.093048,255514
2017-03-24,6.380000,6.480000,6.280000,6.380000,6.083513,214635
2017-03-27,6.440000,6.440000,6.260000,6.290000,5.997695,266025
2017-03-28,6.340000,6.450000,6.260000,6.430000,6.131189,430665
2017-03-29,6.400000,6.430000,6.330000,6.390000,6.093048,391140
2017-03-30,6.380000,6.425000,6.340000,6.380000,6.083513,186329
2017-03-31,6.400000,6.420000,6.310000,6.330000,6.035837,178049
2017-04-03,6.300000,6.310000,6.230000,6.230000,5.940484,295359
2017-04-04,6.160000,6.190000,6.080000,6.110000,5.826060,392711
