Date,Open,High,Low,Close,Adj Close,Volume
2017-05-03,1.737800,1.737800,1.680510,1.680510,1.627468,12371081
2017-05-04,1.680510,1.680510,1.546830,1.585030,1.535002,8570307
2017-05-05,1.623220,1.637540,1.551610,1.637540,1.585855,3313344
2017-05-08,1.623220,1.666190,1.589800,1.642320,1.590484,1098061
2017-05-09,1.642320,1.661410,1.639450,1.651870,1.599733,2397411
2017-05-10,1.670960,1.709160,1.670960,1.709160,1.655214,1137659
2017-05-11,1.699610,1.728250,1.680510,1.728250,1.673702,761971
2017-05-12,1.728250,1.728250,1.709160,1.709160,1.655214,505288
2017-05-15,1.723480,1.723480,1.694830,1.699610,1.645966,875936
2017-05-16,1.699610,1.701990,1.690060,1.699610,1.645966,5470159
2017-05-17,1.713930,1.713930,1.632770,1.642320,1.590484,566529
2017-05-18,1.680510,1.694830,1.651870,1.661410,1.608971,132434
2017-05-19,1.694830,1.694830,1.656640,1.666190,1.613601,690912
2017-05-22,1.685280,1.685280,1.651870,1.670960,1.618220,1939884
2017-05-23,1.685280,1.685280,1.651870,1.670960,1.618220,909851
2017-05-24,1.690060,1.690060,1.651870,1.661410,1.608971,270554
2017-05-25,1.670960,1.670960,1.642320,1.651870,1.599733,1899397
2017-05-26,1.666190,1.670960,1.656640,1.666190,1.613601,32815
2017-05-29,1.666190,1.670960,1.642320,1.647090,1.595103,1743094
2017-05-30,1.661410,1.661410,1.575480,1.623220,1.571987,386081
2017-05-31,1.642320,1.642320,1.604120,1.642320,1.590484,306323
2017-06-01,1.647090,1.647090,1.575480,1.575480,1.525753,511181
2017-06-02,1.585030,1.585030,1.537290,1.546830,1.498008,9298425
2017-06-05,1.565930,1.575480,1.489540,1.518190,1.470272,496235
2017-06-06,1.527740,1.565930,1.513410,1.527740,1.479520,15981667
2017-06-07,1.546830,1.623220,1.537290,1.551610,1.502637,977491
2017-06-08,1.575480,1.599350,1.551610,1.575480,1.525753,619379
2017-06-09,1.594580,1.599350,1.542060,1.585030,1.535002,1045775
2017-06-13,1.623220,1.675740,1.604120,1.618450,1.567368,6277570
2017-06-14,1.632770,1.647090,1.594580,1.613670,1.562738,2509018
2017-06-15,1.604120,1.642320,1.575480,1.623220,1.571987,1012684
2017-06-16,1.623220,1.635160,1.608900,1.623220,1.571987,2566511
2017-06-19,1.627990,1.651870,1.623220,1.647090,1.595103,595426
2017-06-20,1.647090,1.656640,1.627990,1.632770,1.581235,628618
2017-06-21,1.627990,1.642320,1.623220,1.642320,1.590484,875026
2017-06-22,1.651870,1.704380,1.637540,1.680510,1.627468,2469223
2017-06-23,1.690060,1.728250,1.680510,1.728250,1.673702,5318205
2017-06-26,1.718700,1.728250,1.709160,1.728250,1.673702,959707
2017-06-27,1.728250,1.756900,1.690060,1.713930,1.659834,280540
2017-06-28,1.728250,1.742570,1.713930,1.737800,1.682950,1966843
2017-06-29,1.766450,1.804640,1.752120,1.761670,1.706067,1175022
2017-06-30,1.756900,1.766450,1.728250,1.766450,1.710696,564566
2017-07-03,1.761670,1.766450,1.728250,1.747350,1.692199,219635
2017-07-04,1.756900,1.761670,1.742570,1.756900,1.701447,649725
2017-07-05,1.775990,1.775990,1.737800,1.756900,1.701447,185357
2017-07-06,1.756900,1.804640,1.756900,1.804640,1.747681,3070104
2017-07-07,1.804640,1.814190,1.766450,1.809410,1.752300,986745
2017-07-10,1.814190,1.814190,1.785540,1.790320,1.733813,991595
2017-07-11,1.814190,1.814190,1.790320,1.804640,1.747681,506608
2017-07-12,1.804640,1.809410,1.795090,1.804640,1.747681,277714
2017-07-13,1.804640,1.809410,1.775990,1.799860,1.743052,1166248
2017-07-14,1.804640,1.804640,1.795090,1.804640,1.747681,381369
2017-07-17,1.795090,1.881030,1.795090,1.847610,1.789294,327131
2017-07-18,1.852380,1.909670,1.804640,1.890570,1.830899,3375635
2017-07-19,1.890570,1.909670,1.861930,1.900120,1.840147,1349582
2017-07-20,1.909670,1.928770,1.871480,1.909670,1.849396,719170
2017-07-21,1.909670,1.957410,1.895350,1.909670,1.849396,1008936
2017-07-24,1.928770,1.957410,1.900120,1.938320,1.877141,284927
2017-07-25,1.938320,2.100640,1.909670,2.014700,1.951111,362178
2017-07-26,2.005150,2.024250,1.976510,2.005150,1.941862,423335
2017-07-27,1.995610,1.995610,1.928770,1.966960,1.904877,227254
2017-07-28,1.966960,1.966960,1.895350,1.909670,1.849396,305188
2017-07-31,1.919220,1.957410,1.904900,1.928770,1.867893,204828
2017-08-01,1.900120,1.900120,1.733030,1.766450,1.710696,1605346
2017-08-02,1.814190,1.881030,1.780770,1.795090,1.738432,461759
2017-08-03,1.795090,1.799860,1.766450,1.775990,1.719935,459396
2017-08-04,1.799860,1.799860,1.756900,1.771220,1.715315,2683996
2017-08-07,1.780770,1.780770,1.718700,1.728250,1.673702,1804312
2017-08-08,1.699610,1.823740,1.680510,1.823740,1.766178,3893548
2017-08-09,1.852380,1.861930,1.804640,1.842830,1.784665,452396
2017-08-10,1.833280,1.845220,1.742570,1.804640,1.747681,101541
2017-08-11,1.804640,1.804640,1.756900,1.785540,1.729184,36517
2017-08-14,1.775990,1.795090,1.766450,1.785540,1.729184,152602
2017-08-15,1.804640,1.828510,1.790320,1.809410,1.752300,386222
2017-08-16,1.833280,1.833280,1.785540,1.785540,1.729184,118218
2017-08-17,1.804640,1.876250,1.795090,1.876250,1.817031,416053
2017-08-18,1.876250,1.900120,1.833280,1.871480,1.812411,243827
2017-08-21,1.861930,1.876250,1.833280,1.847610,1.789294,152630
2017-08-22,1.857150,1.890570,1.818960,1.842830,1.784665,155032
2017-08-23,1.823740,1.857150,1.823740,1.857150,1.798533,86790
2017-08-24,1.861930,1.881030,1.861930,1.876250,1.817031,419935
2017-08-25,1.861930,1.890570,1.861930,1.881030,1.821659,131848
2017-08-28,1.890570,1.890570,1.828510,1.866700,1.807782,278233
2017-08-29,1.861930,1.957410,1.861930,1.957410,1.895629,1021251
2017-08-30,2.005150,2.052900,1.995610,2.014700,1.951111,448617
2017-08-31,2.024250,2.033800,1.986060,2.005150,1.941862,445858
2017-09-01,2.005150,2.005150,1.986060,1.986060,1.923375,1651203
2017-09-04,1.986060,2.033800,1.966960,2.024250,1.960359,763913
2017-09-05,2.024250,2.167480,1.976510,2.100640,2.034338,4035680
2017-09-06,2.091090,2.100640,2.071990,2.091090,2.025090,132423
2017-09-07,2.100640,2.148380,2.081540,2.119730,2.052826,1044545
2017-09-08,2.138830,2.186570,2.129280,2.157930,2.089820,3301922
2017-09-11,2.205670,2.215220,2.119730,2.196120,2.126805,705032
2017-09-12,2.215220,2.215220,2.157930,2.196120,2.126805,466873
2017-09-13,2.196120,2.196120,2.129280,2.177020,2.108307,198975
2017-09-14,2.186570,2.196120,2.148380,2.186570,2.117556,332087
2017-09-15,2.177020,2.196120,2.148380,2.148380,2.080571,5743526
2017-09-18,2.157930,2.186570,2.129280,2.148380,2.080571,866752
2017-09-19,2.148380,2.167480,2.129280,2.157930,2.089820,2543447
2017-09-20,2.167480,2.186570,2.138830,2.148380,2.080571,271380
2017-09-21,2.148380,2.148380,2.110190,2.138830,2.071323,222645
2017-09-22,2.119730,2.148380,2.110190,2.119730,2.052826,126797
2017-09-25,2.148380,2.148380,2.043350,2.091090,2.025090,348737
2017-09-26,2.119730,2.148380,2.100640,2.138830,2.071323,98679
2017-09-27,2.129280,2.148380,2.100640,2.100640,2.034338,233266
2017-09-28,2.138830,2.138830,2.100640,2.129280,2.062074,549887
2017-09-29,2.124510,2.138830,2.071990,2.100640,2.034338,731557
2017-10-02,2.110190,2.138830,2.071990,2.110190,2.043587,172554
2017-10-03,2.129280,2.129280,2.071990,2.100640,2.034338,272484
2017-10-04,2.100640,2.110190,2.052900,2.062440,1.997344,600147
2017-10-05,2.052900,2.100640,2.052900,2.100640,2.034338,79296
2017-10-06,2.100640,2.138830,2.052900,2.081540,2.015841,217230
2017-10-09,2.086320,2.110190,2.071990,2.100640,2.034338,737549
2017-10-10,2.062440,2.110190,2.005150,2.100640,2.034338,228186
2017-10-11,2.062440,2.177020,2.062440,2.138830,2.071323,216414
2017-10-12,2.110190,2.148380,2.091090,2.129280,2.062074,258984
2017-10-13,2.091090,2.138830,2.052900,2.100640,2.034338,609500
2017-10-16,2.071990,2.119730,2.024250,2.043350,1.978856,146065
2017-10-17,2.043350,2.043350,1.976510,2.005150,1.941862,450931
2017-10-18,1.995610,2.005150,1.809410,1.814190,1.756929,1375661
2017-10-19,1.814190,1.938320,1.814190,1.861930,1.803163,3704932
2017-10-20,1.866700,1.890570,1.838060,1.847610,1.789294,372694
2017-10-23,1.852380,1.871480,1.842830,1.857150,1.798533,395304
2017-10-24,1.866700,1.895350,1.847610,1.871480,1.812411,437529
2017-10-25,1.890570,2.014700,1.876250,1.919220,1.858644,820977
2017-10-26,1.938320,1.986060,1.919220,1.938320,1.877141,885801
2017-10-27,1.986060,1.986060,1.947860,1.976510,1.914126,1141897
2017-10-30,1.986060,1.995610,1.909670,1.957410,1.895629,254904
2017-10-31,1.957410,1.962190,1.909670,1.938320,1.877141,309869
2017-11-01,1.938320,1.966960,1.919220,1.957410,1.895629,2626507
2017-11-02,1.966960,1.976510,1.938320,1.976510,1.914126,1023168
2017-11-03,1.938320,1.976510,1.933540,1.976510,1.914126,423450
2017-11-06,1.957410,1.986060,1.957410,1.976510,1.914126,370592
2017-11-07,1.976510,1.986060,1.966960,1.986060,1.923375,331075
2017-11-08,1.986060,1.995610,1.957410,1.995610,1.932623,115559
2017-11-09,1.986060,2.005150,1.986060,1.986060,1.923375,389056
2017-11-10,2.005150,2.005150,1.986060,2.005150,1.941862,168930
2017-11-13,1.995610,1.995610,1.957410,1.995610,1.932623,269785
2017-11-14,1.947860,2.005150,1.947860,1.986060,1.923375,835669
2017-11-15,1.966960,2.062440,1.966960,2.052900,1.988105,276417
2017-11-16,2.014700,2.052900,1.995610,2.052900,1.988105,231361
2017-11-17,2.052900,2.071990,2.024250,2.062440,1.997344,374179
2017-11-20,2.052900,2.062440,2.014700,2.024250,1.960359,390524
2017-11-21,2.024250,2.052900,1.986060,2.052900,1.988105,283790
2017-11-22,2.024250,2.129280,2.024250,2.081540,2.015841,398279
2017-11-23,2.071990,2.081540,2.033800,2.081540,2.015841,708702
2017-11-24,2.081540,2.119730,1.957410,1.976510,1.914126,1207324
2017-11-27,1.976510,1.976510,1.976510,1.976510,1.914126,0
2017-11-28,1.976510,1.976510,1.976510,1.976510,1.914126,0
2017-11-29,2.040280,2.320700,2.040280,2.165990,2.097626,1155261
2017-11-30,2.195000,2.311030,2.175660,2.185330,2.116355,6456212
2017-12-01,2.204670,2.233680,2.156320,2.175660,2.106990,1970566
2017-12-04,2.195000,2.262680,2.175660,2.185330,2.116355,870930
2017-12-05,2.291690,2.349710,2.243340,2.272350,2.200629,1677351
2017-12-06,2.272350,2.282020,2.209500,2.214340,2.144449,2491911
2017-12-07,2.243340,2.272350,2.214340,2.243340,2.172534,2803536
2017-12-08,2.282020,2.378720,2.253010,2.378720,2.303641,1610625
2017-12-11,2.407730,2.465750,2.388390,2.446410,2.369195,3502295
2017-12-12,2.514090,2.514090,2.417400,2.446410,2.369195,2052552
2017-12-13,2.494750,2.494750,2.359380,2.407730,2.331736,1549942
2017-12-14,2.407730,2.509260,2.407730,2.417400,2.341100,1453196
2017-12-15,2.504420,2.504420,2.436740,2.485080,2.406644,8678306
2017-12-18,2.514090,2.620460,2.456080,2.456080,2.378559,1607002
2017-12-19,2.494750,2.494750,2.436740,2.456080,2.378559,2767606
2017-12-20,2.514090,2.514090,2.446410,2.446410,2.369195,1326024
2017-12-21,2.446410,2.523760,2.446410,2.465750,2.387924,695347
2017-12-22,2.494750,2.581780,2.456080,2.562440,2.481562,344912
2017-12-27,2.601120,2.601120,2.494750,2.514090,2.434739,213007
2017-12-28,2.514090,2.552770,2.494750,2.523760,2.444103,160722
2017-12-29,2.514090,2.523760,2.465750,2.465750,2.387924,279452
2018-01-02,2.514090,2.562440,2.485080,2.514090,2.434739,179154
2018-01-03,2.533430,2.562440,2.504420,2.543100,2.462833,230585
2018-01-04,2.514090,2.581780,2.514090,2.552770,2.472198,613521
2018-01-05,2.562440,2.567280,2.504420,2.523760,2.444103,1009685
2018-01-08,2.523760,2.562440,2.523760,2.533430,2.453468,420413
2018-01-09,2.552770,2.552770,2.456080,2.475420,2.397289,362127
2018-01-10,2.485080,2.533430,2.436740,2.475420,2.397289,346770
2018-01-11,2.475420,2.475420,2.398060,2.407730,2.331736,279995
2018-01-12,2.378720,2.504420,2.320700,2.446410,2.369195,343478
2018-01-15,2.446410,2.465750,2.407730,2.407730,2.331736,108733
2018-01-16,2.407730,2.436740,2.398060,2.407730,2.331736,127571
2018-01-17,2.407730,2.543100,2.398060,2.543100,2.462833,1306881
2018-01-18,2.533430,2.562440,2.504420,2.533430,2.453468,1303415
2018-01-19,2.533430,2.572110,2.533430,2.543100,2.462833,199931
2018-01-22,2.581780,2.591450,2.523760,2.562440,2.481562,581435
2018-01-23,2.562440,2.581780,2.494750,2.543100,2.462833,200909
