Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,7.890000,7.925000,7.840000,7.900000,7.188242,1949964
2018-01-31,7.850000,8.040000,7.820000,8.000000,7.279233,4670463
2018-02-01,8.010000,8.220000,7.995000,8.120000,7.388421,3328511
2018-02-02,8.110000,8.220000,8.060000,8.130000,7.397520,2342203
2018-02-05,7.990000,8.090000,7.850000,8.000000,7.279233,2584821
2018-02-06,7.730000,7.790000,7.610000,7.680000,6.988063,5456720
2018-02-07,7.810000,7.865000,7.630000,7.670000,6.978964,5988568
2018-02-08,7.630000,7.770000,7.610000,7.670000,6.978964,3121969
2018-02-09,7.520000,7.550000,7.350000,7.440000,6.769686,4952913
2018-02-12,7.430000,7.460000,7.375000,7.430000,6.760586,5187572
2018-02-13,7.310000,7.405000,7.010000,7.280000,6.624102,11847991
2018-02-14,7.360000,7.490000,7.350000,7.370000,6.705992,9396324
2018-02-15,7.560000,7.710000,7.420000,7.480000,6.806082,5026254
2018-02-16,7.520000,7.530000,7.440000,7.440000,6.769686,4569756
2018-02-19,7.400000,7.610000,7.380000,7.600000,7.033440,4982269
2018-02-20,7.560000,7.790000,7.510000,7.770000,7.190767,5544688
2018-02-21,7.770000,7.930000,7.730000,7.870000,7.283312,4456013
2018-02-22,7.920000,7.960000,7.740000,7.800000,7.218531,4652587
2018-02-23,7.880000,7.910000,7.760000,7.780000,7.200022,3299208
2018-02-26,7.890000,7.920000,7.730000,7.740000,7.163003,3323281
2018-02-27,7.840000,7.940000,7.820000,7.830000,7.246294,4303374
2018-02-28,7.800000,7.830000,7.730000,7.810000,7.227785,4535896
2018-03-01,7.740000,7.750000,7.640000,7.680000,7.107476,3863995
2018-03-02,7.670000,7.670000,7.535000,7.640000,7.070458,2881455
2018-03-05,7.640000,7.650000,7.530000,7.530000,6.968658,2678878
2018-03-06,7.600000,7.700000,7.580000,7.630000,7.061203,3995180
2018-03-07,7.590000,7.630000,7.490000,7.490000,6.931640,3076433
2018-03-08,7.540000,7.655000,7.490000,7.610000,7.042694,2546596
2018-03-09,7.690000,7.760000,7.650000,7.720000,7.144494,2480217
2018-03-12,7.830000,7.830000,7.695000,7.780000,7.200022,2226865
2018-03-13,7.810000,7.830000,7.650000,7.660000,7.088967,5338881
2018-03-14,7.600000,7.620000,7.500000,7.530000,6.968658,2962557
2018-03-15,7.490000,7.570000,7.350000,7.410000,6.857604,6001397
2018-03-16,7.420000,7.550000,7.420000,7.480000,6.922385,4681877
2018-03-19,7.520000,7.520000,7.420000,7.420000,6.866858,2072698
2018-03-20,7.410000,7.450000,7.360000,7.430000,6.876112,1984308
2018-03-21,7.490000,7.560000,7.440000,7.520000,6.959404,2589499
2018-03-22,7.510000,7.540000,7.400000,7.500000,6.940895,1989350
2018-03-23,7.440000,7.490000,7.390000,7.400000,6.848350,2665797
2018-03-26,7.370000,7.430000,7.320000,7.420000,6.866858,1927930
2018-03-27,7.560000,7.680000,7.540000,7.630000,7.061203,3536141
2018-03-28,7.550000,7.590000,7.450000,7.450000,6.894622,3045343
2018-03-29,7.440000,7.500000,7.345000,7.440000,6.885367,4350410
2018-04-03,7.310000,7.410000,7.240000,7.330000,6.783567,2796838
2018-04-04,7.310000,7.340000,7.260000,7.320000,6.774313,2173683
2018-04-05,7.470000,7.530000,7.430000,7.480000,6.922385,2832477
2018-04-06,7.400000,7.420000,7.260000,7.280000,6.737295,3939632
