Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,2.710000,2.790000,2.620000,2.660000,2.660000,15420886
2019-09-17,2.700000,2.710000,2.650000,2.670000,2.670000,8584772
2019-09-18,2.640000,2.770000,2.630000,2.690000,2.690000,29461121
2019-09-19,2.700000,2.720000,2.580000,2.600000,2.600000,19830774
2019-09-20,2.620000,2.670000,2.570000,2.570000,2.570000,39596397
2019-09-23,2.600000,2.650000,2.580000,2.620000,2.620000,10797143
2019-09-24,2.640000,2.700000,2.620000,2.690000,2.690000,7643015
2019-09-25,2.610000,2.610000,2.520000,2.540000,2.540000,10769772
2019-09-26,2.540000,2.590000,2.530000,2.560000,2.560000,13822836
2019-09-27,2.560000,2.590000,2.535000,2.560000,2.560000,6223381
2019-09-30,2.540000,2.570000,2.530000,2.530000,2.530000,7123687
2019-10-01,2.510000,2.540000,2.455000,2.540000,2.540000,8027337
2019-10-02,2.450000,2.500000,2.450000,2.460000,2.460000,7435034
2019-10-03,2.410000,2.440000,2.360000,2.420000,2.420000,8610481
2019-10-04,2.420000,2.420000,2.420000,2.420000,2.420000,0
2019-10-07,2.430000,2.470000,2.390000,2.470000,2.470000,3597810
2019-10-08,2.440000,2.500000,2.430000,2.460000,2.460000,5428955
2019-10-09,2.430000,2.460000,2.400000,2.400000,2.400000,4947321
2019-10-10,2.410000,2.420000,2.340000,2.350000,2.350000,7931632
2019-10-11,2.400000,2.420000,2.355000,2.370000,2.370000,5297051
2019-10-14,2.420000,2.440000,2.400000,2.410000,2.410000,5829135
2019-10-15,2.380000,2.400000,2.330000,2.340000,2.340000,4309917
2019-10-16,2.380000,2.410000,2.350000,2.370000,2.370000,8599271
2019-10-17,2.370000,2.380000,2.335000,2.350000,2.350000,6522762
2019-10-18,2.370000,2.370000,2.310000,2.350000,2.350000,4977537
2019-10-21,2.330000,2.355000,2.300000,2.310000,2.310000,5624546
2019-10-22,2.330000,2.360000,2.310000,2.350000,2.350000,5180355
2019-10-23,2.360000,2.380000,2.310000,2.340000,2.340000,3786013
