Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,1.390000,1.415000,1.390000,1.400000,1.291068,175266
2017-01-31,1.400000,1.410000,1.392000,1.395000,1.286457,1651916
2017-02-01,1.400000,1.405000,1.365000,1.400000,1.291068,368378
2017-02-02,1.420000,1.420000,1.400000,1.410000,1.300290,133498
2017-02-03,1.410000,1.410000,1.400000,1.400000,1.291068,635321
2017-02-06,1.415000,1.415000,1.410000,1.410000,1.300290,63888
2017-02-07,1.420000,1.420000,1.410000,1.410000,1.300290,140637
2017-02-08,1.415000,1.420000,1.410000,1.420000,1.309511,55016
2017-02-09,1.430000,1.440000,1.410000,1.420000,1.309511,51766
2017-02-10,1.440000,1.450000,1.430000,1.430000,1.318733,53774
2017-02-13,1.450000,1.450000,1.450000,1.450000,1.337177,55356
2017-02-14,1.450000,1.450000,1.430000,1.450000,1.337177,57080
2017-02-15,1.450000,1.450000,1.440000,1.450000,1.337177,41832
2017-02-16,1.450000,1.450000,1.440000,1.450000,1.337177,325942
2017-02-17,1.450000,1.460000,1.425000,1.450000,1.337177,139412
2017-02-20,1.450000,1.450000,1.410000,1.410000,1.300290,1913
2017-02-21,1.410000,1.410000,1.410000,1.410000,1.300290,0
2017-02-22,1.430000,1.450000,1.430000,1.450000,1.337177,18789
2017-02-23,1.430000,1.450000,1.420000,1.420000,1.309511,147923
2017-02-24,1.420000,1.450000,1.420000,1.430000,1.318733,40937
2017-02-27,1.450000,1.450000,1.420000,1.420000,1.309511,27399
2017-02-28,1.375000,1.420000,1.375000,1.420000,1.309511,42247
2017-03-01,1.420000,1.490000,1.420000,1.480000,1.364843,899286
2017-03-02,1.470000,1.580000,1.470000,1.550000,1.429396,813630
2017-03-03,1.550000,1.550000,1.530000,1.530000,1.410953,567345
2017-03-06,1.540000,1.567000,1.530000,1.560000,1.438618,342782
2017-03-07,1.560000,1.650000,1.540000,1.580000,1.457062,68754
2017-03-08,1.560000,1.560000,1.545000,1.560000,1.438618,27392
2017-03-09,1.560000,1.565000,1.550000,1.560000,1.438618,123807
2017-03-10,1.560000,1.570000,1.530000,1.530000,1.410953,39329
2017-03-13,1.555000,1.555000,1.555000,1.555000,1.434007,3178
2017-03-14,1.500000,1.560000,1.500000,1.550000,1.429396,38923
2017-03-15,1.535000,1.555000,1.487000,1.555000,1.434007,24594
2017-03-16,1.550000,1.550000,1.550000,1.550000,1.429396,4267
2017-03-17,1.545000,1.570000,1.480000,1.570000,1.447840,119880
2017-03-20,1.570000,1.570000,1.570000,1.570000,1.447840,0
2017-03-21,1.530000,1.550000,1.530000,1.550000,1.429396,63967
2017-03-22,1.490000,1.540000,1.470000,1.510000,1.392509,40850
2017-03-23,1.520000,1.530000,1.470000,1.480000,1.364843,19418
2017-03-24,1.510000,1.510000,1.480000,1.510000,1.392509,6549
2017-03-27,1.510000,1.510000,1.485000,1.500000,1.383287,6930
2017-03-28,1.490000,1.490000,1.470000,1.485000,1.369454,9859
2017-03-29,1.480000,1.480000,1.450000,1.450000,1.337177,22010
2017-03-30,1.445000,1.445000,1.445000,1.445000,1.332566,4542
2017-03-31,1.440000,1.500000,1.350000,1.500000,1.383287,83624
2017-04-03,1.400000,1.400000,1.400000,1.400000,1.291068,10526
2017-04-04,1.450000,1.450000,1.400000,1.400000,1.291068,218429
2017-04-05,1.405000,1.450000,1.405000,1.450000,1.337177,143142
2017-04-06,1.435000,1.450000,1.430000,1.450000,1.337177,78178
2017-04-07,1.450000,1.450000,1.430000,1.430000,1.318733,16056
2017-04-10,1.435000,1.435000,1.430000,1.435000,1.323344,15186
2017-04-11,1.430000,1.440000,1.420000,1.435000,1.323344,48361
