Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.870000,3.890000,3.830000,3.860000,3.774872,1083678
2019-09-17,3.870000,3.880000,3.840000,3.870000,3.784652,884326
2019-09-18,3.880000,3.880000,3.840000,3.850000,3.765093,1074580
2019-09-19,3.860000,3.920000,3.850000,3.880000,3.794431,1905296
2019-09-20,3.890000,3.930000,3.860000,3.880000,3.794431,2682703
2019-09-23,3.890000,3.920000,3.880000,3.910000,3.823770,671039
2019-09-24,3.920000,3.960000,3.910000,3.950000,3.862888,1336262
2019-09-25,3.920000,3.990000,3.920000,3.980000,3.892226,1219797
2019-09-26,3.980000,3.990000,3.950000,3.980000,3.892226,875470
2019-09-27,4.000000,4.030000,3.980000,4.000000,3.911785,738465
2019-09-30,4.000000,4.035000,3.950000,3.950000,3.862888,1239599
2019-10-01,3.980000,4.020000,3.970000,4.000000,3.911785,1249970
2019-10-02,3.980000,4.010000,3.970000,3.970000,3.882447,803115
2019-10-03,3.910000,3.950000,3.895000,3.940000,3.853108,1277605
2019-10-04,3.940000,3.940000,3.940000,3.940000,3.853108,0
2019-10-07,3.970000,4.010000,3.950000,4.000000,3.911785,501949
2019-10-08,4.000000,4.040000,3.970000,4.010000,3.921565,1402734
2019-10-09,4.000000,4.030000,3.990000,4.020000,3.931344,1522492
2019-10-10,4.020000,4.070000,4.000000,4.060000,3.970462,1546866
2019-10-11,4.080000,4.120000,4.050000,4.120000,4.029138,1606784
2019-10-14,4.140000,4.160000,4.110000,4.150000,4.058477,1224011
2019-10-15,4.140000,4.180000,4.130000,4.180000,4.087815,817568
2019-10-16,4.190000,4.250000,4.180000,4.250000,4.156271,1364791
2019-10-17,4.260000,4.310000,4.230000,4.300000,4.205169,2130857
2019-10-18,4.290000,4.290000,4.230000,4.260000,4.166051,1595107
2019-10-21,4.270000,4.330000,4.250000,4.300000,4.205169,827204
2019-10-22,4.310000,4.315000,4.260000,4.270000,4.175830,875464
2019-10-23,4.270000,4.285000,4.230000,4.240000,4.146492,1247195
2019-10-24,4.250000,4.265000,4.200000,4.210000,4.117154,1354239
2019-10-25,4.190000,4.210000,4.180000,4.200000,4.107374,1100212
2019-10-28,4.210000,4.220000,4.170000,4.180000,4.087815,874807
2019-10-29,4.180000,4.190000,4.140000,4.190000,4.097595,929547
2019-10-30,4.170000,4.190000,4.140000,4.160000,4.068256,970696
2019-10-31,4.180000,4.200000,4.140000,4.150000,4.058477,614758
2019-11-01,4.160000,4.210000,4.140000,4.190000,4.097595,534208
2019-11-04,4.200000,4.235000,4.160000,4.180000,4.087815,531790
2019-11-05,4.180000,4.200000,4.160000,4.160000,4.068256,597584
2019-11-06,4.160000,4.170000,4.150000,4.150000,4.058477,880078
2019-11-07,4.150000,4.190000,4.150000,4.190000,4.097595,824538
2019-11-08,4.170000,4.195000,4.120000,4.140000,4.048697,1099409
2019-11-11,4.170000,4.170000,4.130000,4.140000,4.048697,922519
2019-11-12,4.160000,4.160000,4.110000,4.130000,4.038918,1054537
2019-11-13,4.140000,4.150000,4.045000,4.060000,3.970462,1219784
2019-11-14,4.040000,4.110000,4.040000,4.110000,4.019359,745482
2019-11-15,4.130000,4.180000,4.125000,4.170000,4.078036,958392
2019-11-18,4.170000,4.190000,4.140000,4.180000,4.087815,579872
2019-11-19,4.180000,4.250000,4.170000,4.240000,4.146492,727267
2019-11-20,4.230000,4.240000,4.160000,4.170000,4.078036,574648
2019-11-21,4.150000,4.170000,4.120000,4.150000,4.058477,813816
2019-11-22,4.200000,4.210000,4.140000,4.180000,4.087815,594492
2019-11-25,4.220000,4.220000,4.180000,4.210000,4.117154,550417
2019-11-26,4.210000,4.240000,4.190000,4.220000,4.126933,1006628
2019-11-27,4.240000,4.260000,4.220000,4.250000,4.156271,1196855
2019-11-28,4.260000,4.280000,4.230000,4.260000,4.166051,905470
2019-11-29,4.290000,4.300000,4.260000,4.260000,4.166051,691452
2019-12-02,4.250000,4.290000,4.240000,4.260000,4.166051,561574
2019-12-03,4.220000,4.240000,4.170000,4.180000,4.087815,1152204
2019-12-04,4.140000,4.180000,4.130000,4.160000,4.068256,1059292
2019-12-05,4.160000,4.240000,4.160000,4.220000,4.126933,852297
2019-12-06,4.230000,4.255000,4.220000,4.240000,4.146492,749374
2019-12-09,4.250000,4.260000,4.220000,4.240000,4.146492,452705
2019-12-10,4.240000,4.250000,4.190000,4.200000,4.107374,543054
2019-12-11,4.230000,4.230000,4.160000,4.190000,4.097595,751628
2019-12-12,4.180000,4.180000,4.095000,4.100000,4.009579,1223748
2019-12-13,4.130000,4.150000,3.990000,4.020000,3.931344,1697719
2019-12-16,4.020000,4.090000,4.020000,4.080000,3.990021,1754424
