Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.620000,3.730000,3.620000,3.700000,3.700000,1847310
2019-09-17,3.700000,3.700000,3.570000,3.620000,3.620000,2506316
2019-09-18,3.670000,3.690000,3.540000,3.550000,3.550000,1824782
2019-09-19,3.610000,3.720000,3.560000,3.690000,3.690000,2806851
2019-09-20,3.670000,3.725000,3.580000,3.620000,3.620000,5187802
2019-09-23,3.620000,3.680000,3.580000,3.640000,3.640000,1458161
2019-09-24,3.630000,3.655000,3.540000,3.550000,3.550000,1654529
2019-09-25,3.510000,3.580000,3.470000,3.510000,3.510000,2028804
2019-09-26,3.520000,3.620000,3.480000,3.600000,3.600000,1775008
2019-09-27,3.600000,3.645000,3.530000,3.530000,3.530000,2260278
2019-09-30,3.530000,3.795000,3.510000,3.750000,3.750000,2826881
2019-10-01,3.750000,3.770000,3.650000,3.730000,3.730000,1910395
2019-10-02,3.700000,3.710000,3.585000,3.620000,3.620000,2573681
2019-10-03,3.550000,3.640000,3.460000,3.480000,3.480000,3799242
2019-10-04,3.480000,3.480000,3.480000,3.480000,3.480000,0
2019-10-07,3.510000,3.530000,3.440000,3.510000,3.510000,1157150
2019-10-08,3.480000,3.530000,3.435000,3.450000,3.450000,1716466
2019-10-09,3.420000,3.480000,3.390000,3.390000,3.390000,2282078
2019-10-10,3.400000,3.470000,3.370000,3.450000,3.450000,1835693
2019-10-11,3.440000,3.505000,3.430000,3.490000,3.490000,4694873
2019-10-14,3.510000,3.740000,3.510000,3.730000,3.730000,4553686
2019-10-15,3.730000,3.730000,3.560000,3.610000,3.610000,3603024
2019-10-16,3.680000,3.720000,3.620000,3.660000,3.660000,1682375
2019-10-17,3.650000,3.650000,3.520000,3.520000,3.520000,9691445
2019-10-18,3.530000,3.560000,3.430000,3.450000,3.450000,6067605
2019-10-21,3.440000,3.530000,3.410000,3.460000,3.460000,1675815
2019-10-22,3.460000,3.460000,3.460000,3.460000,3.460000,0
2019-10-23,3.460000,3.460000,3.460000,3.460000,3.460000,0
2019-10-24,3.460000,3.460000,3.460000,3.460000,3.460000,0
2019-10-25,3.460000,3.460000,3.460000,3.460000,3.460000,0
2019-10-28,3.460000,3.460000,3.460000,3.460000,3.460000,0
2019-10-29,3.208000,3.208000,3.208000,3.208000,3.208000,0
2019-10-30,2.390000,2.720000,2.380000,2.630000,2.630000,14090573
2019-10-31,2.630000,2.870000,2.580000,2.850000,2.850000,11010045
2019-11-01,2.830000,2.835000,2.680000,2.700000,2.700000,5921376
2019-11-04,2.720000,2.750000,2.600000,2.630000,2.630000,3428440
2019-11-05,2.650000,2.680000,2.630000,2.680000,2.680000,2518937
2019-11-06,2.690000,2.760000,2.650000,2.750000,2.750000,3870084
2019-11-07,2.710000,2.840000,2.710000,2.790000,2.790000,4858218
2019-11-08,2.790000,2.835000,2.720000,2.780000,2.780000,5459580
2019-11-11,2.780000,2.840000,2.720000,2.730000,2.730000,5546745
2019-11-12,2.720000,2.780000,2.680000,2.700000,2.700000,2468053
2019-11-13,2.700000,2.800000,2.700000,2.750000,2.750000,3091294
2019-11-14,2.700000,2.720000,2.640000,2.650000,2.650000,3381275
2019-11-15,2.660000,2.800000,2.660000,2.750000,2.750000,2502785
2019-11-18,2.750000,2.760000,2.680000,2.700000,2.700000,1968024
2019-11-19,2.720000,2.760000,2.700000,2.740000,2.740000,1599194
2019-11-20,2.750000,2.750000,2.640000,2.640000,2.640000,1674380
2019-11-21,2.630000,2.640000,2.490000,2.520000,2.520000,4432873
2019-11-22,2.520000,2.630000,2.510000,2.520000,2.520000,3723017
2019-11-25,2.520000,2.550000,2.490000,2.520000,2.520000,3914348
2019-11-26,2.510000,2.620000,2.510000,2.580000,2.580000,2750114
2019-11-27,2.590000,2.630000,2.540000,2.580000,2.580000,2475703
2019-11-28,2.580000,2.580000,2.520000,2.550000,2.550000,3105716
2019-11-29,2.560000,2.630000,2.550000,2.600000,2.600000,2774085
2019-12-02,2.600000,2.680000,2.580000,2.630000,2.630000,2050243
2019-12-03,2.570000,2.600000,2.500000,2.530000,2.530000,4053832
2019-12-04,2.510000,2.520000,2.440000,2.480000,2.480000,4045305
2019-12-05,2.490000,2.520000,2.440000,2.500000,2.500000,3909134
2019-12-06,2.490000,2.510000,2.440000,2.440000,2.440000,3486602
2019-12-09,2.460000,2.470000,2.395000,2.470000,2.470000,2454346
2019-12-10,2.420000,2.440000,2.400000,2.420000,2.420000,2611004
2019-12-11,2.400000,2.480000,2.400000,2.460000,2.460000,2523736
2019-12-12,2.460000,2.500000,2.410000,2.410000,2.410000,1313370
2019-12-13,2.410000,2.460000,2.410000,2.460000,2.460000,1718719
2019-12-16,2.440000,2.490000,2.420000,2.440000,2.440000,1878073
2019-12-17,2.450000,2.480000,2.430000,2.460000,2.460000,2472038
2019-12-18,2.440000,2.440000,2.390000,2.390000,2.390000,3130957
2019-12-19,2.390000,2.390000,2.320000,2.370000,2.370000,3397450
2019-12-20,2.330000,2.450000,2.320000,2.440000,2.440000,9147271
2019-12-23,2.410000,2.510000,2.390000,2.500000,2.500000,2195960
2019-12-24,2.500000,2.560000,2.490000,2.530000,2.530000,1024802
2019-12-27,2.550000,2.640000,2.510000,2.610000,2.610000,2488099
2019-12-30,2.580000,2.640000,2.530000,2.550000,2.550000,1242303
2019-12-31,2.520000,2.540000,2.470000,2.470000,2.470000,2234737
2020-01-02,2.480000,2.540000,2.470000,2.510000,2.510000,1335286
2020-01-03,2.490000,2.570000,2.470000,2.490000,2.490000,1582421
2020-01-06,2.460000,2.460000,2.390000,2.410000,2.410000,2124710
2020-01-07,2.440000,2.510000,2.430000,2.500000,2.500000,2253979
2020-01-08,2.490000,2.500000,2.400000,2.460000,2.460000,1618980
2020-01-09,2.480000,2.525000,2.460000,2.510000,2.510000,1308848
2020-01-10,2.500000,2.550000,2.480000,2.530000,2.530000,1360923
2020-01-13,2.520000,2.565000,2.490000,2.560000,2.560000,1144511
2020-01-14,2.580000,2.600000,2.470000,2.490000,2.490000,2397358
2020-01-15,2.510000,2.525000,2.480000,2.510000,2.510000,2627623
2020-01-16,2.580000,2.625000,2.540000,2.580000,2.580000,5028740
2020-01-17,2.590000,2.760000,2.580000,2.700000,2.700000,4758647
2020-01-20,2.750000,2.805000,2.730000,2.760000,2.760000,3112427
2020-01-21,2.770000,2.780000,2.660000,2.700000,2.700000,2529840
2020-01-22,2.690000,2.730000,2.660000,2.720000,2.720000,2316477
2020-01-23,2.720000,2.750000,2.660000,2.660000,2.660000,1525774
2020-01-24,2.660000,2.780000,2.660000,2.750000,2.750000,2060113
2020-01-28,2.670000,2.860000,2.630000,2.860000,2.860000,3098413
2020-01-29,2.840000,2.875000,2.760000,2.770000,2.770000,4806211
2020-01-30,2.790000,2.830000,2.680000,2.690000,2.690000,2563820
2020-01-31,2.700000,2.820000,2.700000,2.760000,2.760000,2486009
2020-02-03,2.690000,2.760000,2.660000,2.730000,2.730000,1777319
2020-02-04,2.730000,2.860000,2.730000,2.860000,2.860000,2827735
2020-02-05,2.910000,3.050000,2.910000,3.030000,3.030000,4536510
2020-02-06,3.050000,3.180000,3.050000,3.120000,3.120000,5692237
2020-02-07,3.150000,3.170000,3.090000,3.150000,3.150000,4470842
2020-02-10,3.110000,3.160000,3.060000,3.100000,3.100000,2155146
2020-02-11,3.140000,3.165000,3.075000,3.080000,3.080000,1869112
2020-02-12,3.060000,3.160000,3.040000,3.060000,3.060000,1777228
2020-02-13,3.040000,3.050000,2.950000,2.990000,2.990000,2324653
2020-02-14,3.000000,3.040000,2.945000,3.000000,3.000000,2107706
