Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,34.700001,35.040001,34.340000,34.930000,31.494055,204982
2017-01-31,34.099998,35.000000,33.740002,34.299999,30.926020,386493
2017-02-01,34.049999,34.480000,34.020000,34.400002,31.016190,226331
2017-02-02,34.529999,35.060001,34.529999,34.869999,31.439959,375266
2017-02-03,34.980000,35.200001,34.669998,34.939999,31.503071,204025
2017-02-06,34.689999,35.200001,34.689999,34.970001,31.530119,277546
2017-02-07,34.759998,36.270000,34.500000,36.110001,32.557976,415254
2017-02-08,37.200001,39.439999,36.840000,38.849998,35.028454,1632865
2017-02-09,38.900002,39.759998,38.580002,38.680000,34.875179,682053
2017-02-10,38.090000,38.689999,37.259998,38.509998,34.721897,606358
2017-02-13,38.500000,39.139999,38.310001,38.650002,34.848129,467628
2017-02-14,38.900002,39.189999,38.779999,39.099998,35.253860,593330
2017-02-15,39.500000,39.790001,38.799999,39.230000,35.371075,524091
2017-02-16,39.000000,39.139999,38.630001,39.060001,35.217804,414587
2017-02-17,39.000000,39.230000,38.200001,38.430000,34.649773,392905
2017-02-20,38.599998,38.660000,37.779999,37.950001,34.216980,227884
2017-02-21,37.950001,38.189999,37.305000,37.930000,34.198956,435515
2017-02-22,37.930000,38.889999,37.480000,38.799999,34.983372,588966
2017-02-23,38.799999,38.799999,38.259998,38.369999,34.595669,308253
2017-02-24,38.299999,38.299999,37.610001,37.810001,34.090755,375514
2017-02-27,37.700001,37.959999,37.340000,37.709999,34.000591,294478
2017-02-28,37.500000,38.099998,37.480000,37.740002,34.027645,564774
2017-03-01,37.500000,38.200001,37.349998,37.500000,33.811253,351602
2017-03-02,37.549999,37.990002,37.200001,37.560001,33.865349,390625
2017-03-03,37.270000,37.529999,37.130001,37.349998,33.676006,263361
2017-03-06,36.970001,37.400002,36.970001,37.279999,33.612892,200316
2017-03-07,37.070000,37.840000,36.880001,37.520000,33.829285,549683
2017-03-08,37.299999,37.410000,36.900002,37.060001,33.414536,405135
2017-03-09,36.470001,37.250000,36.470001,36.650002,33.044865,449034
2017-03-10,36.799999,36.980000,36.299999,36.650002,33.044865,253460
2017-03-13,36.650002,36.680000,36.230000,36.549999,32.954700,296262
2017-03-14,36.099998,36.669998,36.099998,36.389999,32.810436,450427
2017-03-15,36.200001,36.549999,36.119999,36.509998,32.918629,383034
2017-03-16,36.400002,37.259998,36.320000,36.799999,33.180107,716187
2017-03-17,36.799999,36.900002,36.500000,36.570000,32.972736,405594
2017-03-20,36.450001,36.680000,36.259998,36.340000,32.765362,188036
2017-03-21,35.880001,36.500000,35.799999,36.400002,32.819454,308968
2017-03-22,36.580002,36.590000,35.570000,35.799999,32.278473,401872
2017-03-23,36.080002,36.349998,35.880001,36.029999,32.485851,239993
2017-03-24,36.000000,36.299999,35.919998,36.000000,32.458801,226754
2017-03-27,35.939999,35.970001,35.470001,35.790001,32.269459,149035
2017-03-28,35.799999,35.990002,35.799999,35.900002,32.368641,420780
2017-03-29,36.029999,36.540001,36.020000,36.540001,32.945683,509043
2017-03-30,36.700001,36.700001,36.220001,36.369999,32.792404,533461
2017-03-31,36.250000,36.590000,35.930000,35.930000,32.395683,578052
2017-04-03,35.720001,36.189999,35.669998,36.009998,32.467815,238995
2017-04-04,36.000000,36.029999,35.770000,36.000000,32.458801,355907
2017-04-05,36.060001,36.250000,35.410000,36.230000,32.666176,487394
2017-04-06,36.099998,36.230000,36.049999,36.189999,32.630112,325831
2017-04-07,36.189999,36.480000,36.029999,36.240002,32.675198,363669
2017-04-10,36.560001,36.709999,36.259998,36.590000,32.990765,518438
2017-04-11,36.299999,36.900002,36.209999,36.709999,33.098965,439808
2017-04-12,36.540001,36.799999,36.369999,36.400002,32.819454,425980
2017-04-13,36.400002,36.689999,36.230000,36.419998,32.837486,330946
2017-04-18,36.380001,36.430000,36.049999,36.080002,32.530933,483347
2017-04-19,36.230000,36.250000,35.919998,36.049999,32.503883,645776
2017-04-20,36.060001,36.189999,35.860001,35.919998,32.386669,234464
2017-04-21,36.029999,36.060001,35.599998,35.779999,32.260441,170516
2017-04-24,36.000000,36.169998,35.770000,35.950001,32.413723,180102
2017-04-26,36.200001,36.250000,35.950001,36.169998,32.612080,473025
2017-04-27,36.250000,36.270000,36.070000,36.160000,32.603062,296046
2017-04-28,36.099998,37.130001,36.049999,37.029999,33.387486,574522
2017-05-01,37.000000,37.750000,36.630001,37.730000,34.018627,330632
2017-05-02,37.570000,37.889999,37.200001,37.869999,34.144859,438117
2017-05-03,38.000000,38.630001,37.680000,37.820000,34.099777,408195
2017-05-04,37.720001,37.924999,37.500000,37.820000,34.099777,505985
2017-05-05,37.939999,37.980000,37.389999,37.439999,33.757149,324443
2017-05-08,38.000000,38.160000,37.680000,38.049999,34.307152,447947
2017-05-09,38.160000,38.770000,37.639999,38.660000,34.857147,495659
2017-05-10,38.770000,40.685001,38.700001,40.520000,36.534187,1048511
2017-05-11,40.650002,40.700001,40.230000,40.299999,36.335823,435824
2017-05-12,40.180000,40.480000,39.910000,40.049999,36.110413,267915
2017-05-15,40.000000,40.000000,39.520000,39.849998,35.930088,633154
2017-05-16,40.000000,40.689999,39.900002,40.279999,36.317787,447442
2017-05-17,39.540001,39.950001,39.369999,39.740002,35.830914,397160
2017-05-18,39.259998,39.700001,38.869999,39.459999,35.578453,596260
2017-05-19,39.310001,39.529999,39.099998,39.500000,35.614517,297078
2017-05-22,39.380001,40.320000,39.320000,40.130001,36.182549,263245
2017-05-23,40.049999,40.270000,39.930000,40.060001,36.119438,270667
2017-05-24,40.480000,41.119999,40.200001,41.119999,37.075161,561869
2017-05-25,40.939999,40.990002,40.700001,40.919998,36.894840,403688
2017-05-26,41.000000,41.099998,40.610001,40.849998,36.831722,181352
2017-05-29,41.000000,41.119999,40.639999,40.660000,36.660412,173268
2017-05-30,40.610001,40.939999,40.110001,40.650002,36.651394,192069
2017-05-31,40.500000,40.740002,40.380001,40.500000,36.516151,463317
2017-06-01,40.500000,40.595001,40.360001,40.480000,36.498119,185363
2017-06-02,40.549999,40.919998,40.305000,40.779999,36.768604,368815
2017-06-05,40.619999,40.840000,40.259998,40.439999,36.462051,219961
2017-06-06,40.080002,40.290001,39.650002,39.650002,35.749763,278759
2017-06-07,39.560001,39.810001,39.250000,39.540001,35.650585,239045
2017-06-08,38.599998,39.439999,38.509998,39.130001,35.280922,311193
2017-06-09,38.880001,39.279999,38.500000,39.240002,35.380096,274409
2017-06-13,38.799999,39.240002,38.700001,39.139999,35.856468,388400
2017-06-14,39.139999,39.685001,39.099998,39.490002,36.177105,343722
2017-06-15,39.790001,39.790001,38.700001,39.090000,35.810665,687002
2017-06-16,38.939999,39.320000,38.840000,38.970001,35.700729,438498
2017-06-19,38.799999,39.500000,38.799999,39.480000,36.167946,249906
2017-06-20,39.310001,39.680000,39.060001,39.060001,35.783180,181458
2017-06-21,38.400002,38.869999,38.389999,38.480000,35.251839,237036
2017-06-22,38.700001,39.330002,38.680000,39.130001,35.847309,157794
2017-06-23,39.310001,39.470001,39.060001,39.200001,35.911438,144812
2017-06-26,39.009998,39.540001,38.919998,39.049999,35.774017,166603
2017-06-27,39.139999,39.340000,38.939999,39.230000,35.938919,165913
2017-06-28,39.049999,39.270000,38.790001,39.169998,35.883949,153182
2017-06-29,39.459999,39.840000,39.349998,39.790001,36.451942,207252
2017-06-30,38.599998,38.959999,38.520000,38.840000,35.581635,346191
2017-07-03,38.810001,39.160000,38.639999,38.919998,35.654926,186347
2017-07-04,39.119999,39.450001,38.970001,39.139999,35.856468,219529
2017-07-05,39.090000,39.169998,38.459999,38.830002,35.572475,260196
2017-07-06,38.860001,38.950001,38.029999,38.130001,34.931202,414158
2017-07-07,37.560001,38.290001,37.509998,38.200001,34.995327,276539
2017-07-10,38.750000,38.750000,38.349998,38.490002,35.260998,276480
2017-07-11,38.320000,38.480000,37.840000,37.930000,34.747978,245759
2017-07-12,37.630001,37.990002,37.619999,37.619999,34.463982,259852
2017-07-13,37.959999,38.230000,37.700001,38.110001,34.912876,255391
2017-07-14,38.220001,38.509998,37.910000,38.070000,34.876236,190444
2017-07-17,37.910000,38.669998,37.720001,38.369999,35.151062,246289
2017-07-18,38.779999,39.389999,38.520000,38.799999,35.544991,642598
2017-07-19,39.500000,41.759998,39.500000,41.029999,37.587914,1009188
2017-07-20,40.820000,41.529999,40.490002,41.180000,37.725327,939639
2017-07-21,40.500000,41.450001,40.009998,40.750000,37.331406,626442
2017-07-24,40.139999,41.029999,40.139999,40.939999,37.505463,368537
2017-07-25,41.299999,42.384998,41.279999,42.029999,38.504017,580648
2017-07-26,42.099998,42.849998,41.869999,42.090000,38.558983,528188
2017-07-27,42.150002,42.369999,41.849998,41.869999,38.357441,452287
2017-07-28,41.380001,41.639999,41.240002,41.369999,37.899387,284462
2017-07-31,41.340000,41.584999,41.110001,41.419998,37.945190,339609
2017-08-01,41.500000,41.689999,41.060001,41.150002,37.697849,468582
2017-08-02,41.490002,41.619999,40.799999,41.320000,37.853584,574955
2017-08-03,41.200001,41.990002,41.139999,41.889999,38.375767,351695
2017-08-04,41.889999,42.599998,41.755001,42.349998,38.797176,324487
2017-08-07,42.650002,43.080002,42.590000,42.740002,39.154457,298109
2017-08-08,42.980000,42.980000,42.220001,42.599998,39.026199,347855
2017-08-09,42.340000,43.020000,42.340000,42.860001,39.264397,369493
2017-08-10,42.799999,42.980000,42.270000,42.389999,38.833820,213295
2017-08-11,41.470001,42.270000,41.470001,42.139999,38.604794,228535
2017-08-14,42.299999,42.619999,42.044998,42.209999,38.668919,270003
2017-08-15,42.529999,42.869999,42.195000,42.389999,38.833820,207103
2017-08-16,42.500000,42.810001,42.209999,42.669998,39.090328,284249
2017-08-17,42.930000,42.990002,42.270000,42.380001,38.824661,277423
2017-08-18,41.980000,42.139999,41.330002,41.480000,38.000160,280946
2017-08-21,41.110001,41.520000,40.930000,41.349998,37.881065,230575
2017-08-22,41.290001,42.509998,41.080002,42.439999,38.879623,292266
2017-08-23,42.720001,43.000000,42.360001,42.610001,39.035362,233321
2017-08-24,42.590000,42.590000,41.900002,42.250000,38.705566,224793
2017-08-25,42.049999,42.540001,41.700001,42.509998,38.943752,144927
2017-08-28,42.619999,42.730000,41.750000,42.020000,38.494858,128236
2017-08-29,41.740002,42.000000,41.689999,41.869999,38.357441,185234
2017-08-30,42.110001,42.480000,41.980000,42.080002,38.549828,169028
2017-08-31,42.080002,42.540001,41.855000,42.049999,38.522339,270165
2017-09-01,41.639999,42.119999,41.619999,41.680000,38.183384,216807
2017-09-04,41.939999,41.950001,41.360001,41.650002,38.155899,129635
2017-09-05,41.689999,42.160000,41.549999,41.959999,38.439892,145987
2017-09-06,42.000000,42.540001,41.799999,42.230000,38.687241,380813
2017-09-07,42.880001,43.955002,42.630001,43.369999,39.731606,340619
2017-09-08,43.529999,44.660000,43.529999,43.709999,40.043083,253641
2017-09-11,44.000000,44.270000,43.349998,43.349998,39.713284,179951
2017-09-12,43.209999,43.209999,42.509998,42.560001,39.536781,229205
2017-09-13,42.610001,43.099998,42.345001,42.880001,39.834053,149181
2017-09-14,42.689999,43.639999,42.689999,43.330002,40.252090,205720
2017-09-15,43.279999,43.669998,43.139999,43.189999,40.122028,271158
2017-09-18,43.189999,43.259998,42.830002,43.139999,40.075584,155655
2017-09-19,43.369999,43.580002,42.889999,42.889999,39.843338,268441
2017-09-20,43.060001,43.590000,42.959999,43.419998,40.335693,234620
2017-09-21,43.470001,43.889999,42.889999,43.520000,40.428585,305496
2017-09-22,43.820000,43.980000,43.099998,43.290001,40.214928,194814
2017-09-25,43.419998,43.520000,42.889999,43.480000,40.391430,129382
2017-09-26,43.639999,43.869999,43.060001,43.259998,40.187057,175566
2017-09-27,43.480000,43.849998,43.279999,43.750000,40.642250,195952
2017-09-28,44.150002,44.419998,43.860001,44.000000,40.874489,221843
2017-09-29,44.040001,44.680000,43.830002,44.209999,41.069569,282057
2017-10-02,44.220001,44.580002,43.895000,44.279999,41.134598,149052
2017-10-03,44.500000,44.680000,43.630001,44.189999,41.050995,193726
2017-10-04,44.330002,44.470001,43.959999,44.369999,41.218208,241742
2017-10-05,44.290001,44.560001,44.080002,44.410000,41.255367,136997
2017-10-06,44.560001,44.720001,43.939999,44.650002,41.478321,197177
2017-10-09,44.720001,45.759998,44.720001,45.660000,42.416576,204567
2017-10-10,45.520000,46.924999,45.520000,46.509998,43.206192,417164
2017-10-11,46.580002,46.650002,45.880001,46.230000,42.946087,449445
2017-10-12,46.970001,47.029999,46.340000,46.770000,43.447731,231151
2017-10-13,46.580002,46.700001,45.950001,46.310001,43.020405,255568
