Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.670000,4.780000,4.650000,4.730000,4.606565,540951
2019-09-17,4.780000,4.945000,4.780000,4.900000,4.772128,628838
2019-09-18,4.920000,4.940000,4.850000,4.900000,4.772128,939625
2019-09-19,4.870000,4.975000,4.820000,4.880000,4.752650,1908722
2019-09-20,4.930000,5.000000,4.870000,4.890000,4.762389,734439
2019-09-23,4.790000,4.830000,4.655000,4.720000,4.720000,990911
2019-09-24,4.780000,4.850000,4.750000,4.840000,4.840000,673307
2019-09-25,4.780000,4.850000,4.740000,4.770000,4.770000,784915
2019-09-26,4.830000,4.830000,4.720000,4.760000,4.760000,644762
2019-09-27,4.780000,4.790000,4.720000,4.760000,4.760000,455284
2019-09-30,4.760000,4.760000,4.630000,4.630000,4.630000,921381
2019-10-01,4.690000,4.790000,4.670000,4.790000,4.790000,1033324
2019-10-02,4.800000,4.800000,4.710000,4.730000,4.730000,766862
2019-10-03,4.660000,4.750000,4.630000,4.730000,4.730000,643273
2019-10-04,4.730000,4.730000,4.730000,4.730000,4.730000,0
2019-10-07,4.750000,4.830000,4.730000,4.780000,4.780000,197624
2019-10-08,4.790000,4.820000,4.730000,4.760000,4.760000,635513
2019-10-09,4.750000,4.810000,4.680000,4.700000,4.700000,410587
2019-10-10,4.730000,4.860000,4.720000,4.810000,4.810000,1327612
2019-10-11,4.860000,4.970000,4.820000,4.950000,4.950000,731630
2019-10-14,5.040000,5.060000,4.910000,4.910000,4.910000,897975
2019-10-15,4.990000,5.090000,4.950000,4.950000,4.950000,1253829
2019-10-16,5.000000,5.090000,4.970000,5.050000,5.050000,1216225
2019-10-17,5.080000,5.130000,5.050000,5.070000,5.070000,922132
2019-10-18,5.090000,5.100000,5.000000,5.010000,5.010000,701913
2019-10-21,5.090000,5.090000,5.010000,5.040000,5.040000,556891
2019-10-22,5.050000,5.085000,5.030000,5.030000,5.030000,633676
2019-10-23,5.030000,5.090000,5.020000,5.070000,5.070000,370028
2019-10-24,5.080000,5.090000,4.950000,4.970000,4.970000,389499
2019-10-25,5.050000,5.070000,4.930000,4.950000,4.950000,364886
2019-10-28,5.090000,5.090000,4.910000,4.940000,4.940000,304231
2019-10-29,4.950000,4.970000,4.870000,4.880000,4.880000,810621
2019-10-30,4.950000,4.980000,4.890000,4.940000,4.940000,512544
2019-10-31,5.030000,5.030000,4.870000,4.880000,4.880000,582885
2019-11-01,4.890000,4.940000,4.880000,4.930000,4.930000,460895
2019-11-04,5.060000,5.060000,4.950000,5.000000,5.000000,358985
2019-11-05,5.050000,5.050000,4.965000,5.030000,5.030000,350004
2019-11-06,5.010000,5.030000,4.860000,4.870000,4.870000,802838
2019-11-07,4.870000,4.900000,4.800000,4.830000,4.830000,741486
2019-11-08,4.830000,5.010000,4.760000,4.850000,4.850000,1042669
2019-11-11,4.820000,4.865000,4.770000,4.860000,4.860000,496937
2019-11-12,4.950000,4.960000,4.855000,4.890000,4.890000,550323
2019-11-13,4.980000,4.980000,4.850000,4.850000,4.850000,670961
2019-11-14,4.910000,4.980000,4.860000,4.960000,4.960000,449201
2019-11-15,4.980000,5.000000,4.900000,4.930000,4.930000,462737
2019-11-18,4.930000,4.990000,4.860000,4.920000,4.920000,651664
2019-11-19,5.000000,5.270000,4.970000,5.260000,5.260000,1664662
2019-11-20,5.290000,5.390000,5.250000,5.270000,5.270000,1409843
2019-11-21,5.300000,5.360000,5.230000,5.250000,5.250000,600375
2019-11-22,5.330000,5.330000,5.220000,5.260000,5.260000,528606
2019-11-25,5.270000,5.270000,5.225000,5.240000,5.240000,338022
2019-11-26,5.250000,5.330000,5.230000,5.320000,5.320000,406631
2019-11-27,5.350000,5.430000,5.320000,5.420000,5.420000,773882
2019-11-28,5.420000,5.540000,5.400000,5.490000,5.490000,371727
2019-11-29,5.520000,5.625000,5.520000,5.610000,5.610000,796296
2019-12-02,5.640000,5.720000,5.620000,5.710000,5.710000,621457
2019-12-03,5.700000,5.755000,5.650000,5.720000,5.720000,1411666
2019-12-04,5.640000,5.780000,5.640000,5.740000,5.740000,1913241
2019-12-05,5.830000,5.950000,5.745000,5.870000,5.870000,1187790
2019-12-06,5.870000,5.895000,5.750000,5.760000,5.760000,443238
2019-12-09,5.780000,5.800000,5.670000,5.690000,5.690000,636774
2019-12-10,5.710000,5.740000,5.660000,5.670000,5.670000,348526
2019-12-11,5.670000,5.750000,5.630000,5.750000,5.750000,519363
2019-12-12,5.750000,5.750000,5.630000,5.680000,5.680000,440545
2019-12-13,5.640000,5.650000,5.520000,5.600000,5.600000,360587
2019-12-16,5.600000,5.660000,5.550000,5.660000,5.660000,695078
2019-12-17,5.720000,5.880000,5.700000,5.860000,5.860000,1202675
2019-12-18,5.940000,5.980000,5.870000,5.960000,5.960000,838381
2019-12-19,6.020000,6.120000,6.000000,6.090000,6.090000,1560649
2019-12-20,6.150000,6.150000,6.070000,6.130000,6.130000,2739120
2019-12-23,6.250000,6.320000,6.100000,6.110000,6.110000,1052604
2019-12-24,6.080000,6.080000,6.020000,6.030000,6.030000,95965
2019-12-27,6.050000,6.085000,6.030000,6.050000,6.050000,187945
2019-12-30,6.020000,6.040000,5.945000,6.040000,6.040000,315009
2019-12-31,5.940000,5.970000,5.880000,5.880000,5.880000,227111
2020-01-02,5.890000,5.960000,5.875000,5.880000,5.880000,351374
2020-01-03,5.960000,6.030000,5.960000,6.010000,6.010000,175815
2020-01-06,6.010000,6.090000,5.980000,6.010000,6.010000,583426
