Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.240000,4.290000,4.225000,4.260000,4.120687,1877034
2019-09-17,4.280000,4.290000,4.240000,4.250000,4.111013,1486363
2019-09-18,4.280000,4.310000,4.210000,4.230000,4.091668,2185302
2019-09-19,4.200000,4.270000,4.195000,4.230000,4.091668,2588420
2019-09-20,4.260000,4.300000,4.255000,4.280000,4.140033,3230067
2019-09-23,4.270000,4.325000,4.270000,4.290000,4.149705,591158
2019-09-24,4.290000,4.320000,4.260000,4.280000,4.140033,924084
2019-09-25,4.250000,4.315000,4.250000,4.300000,4.159379,1156401
2019-09-26,4.290000,4.320000,4.245000,4.250000,4.111013,1101766
2019-09-27,4.270000,4.320000,4.240000,4.260000,4.120687,848369
2019-09-30,4.240000,4.290000,4.240000,4.250000,4.111013,1055778
2019-10-01,4.280000,4.330000,4.270000,4.320000,4.178725,1579997
2019-10-02,4.290000,4.360000,4.280000,4.340000,4.198071,1005834
2019-10-03,4.280000,4.340000,4.280000,4.320000,4.178725,1364203
2019-10-04,4.320000,4.320000,4.320000,4.320000,4.178725,0
2019-10-07,4.330000,4.340000,4.280000,4.330000,4.188397,829561
2019-10-08,4.300000,4.370000,4.300000,4.350000,4.207743,582795
2019-10-09,4.350000,4.380000,4.320000,4.340000,4.198071,608145
2019-10-10,4.320000,4.340000,4.280000,4.300000,4.159379,1060900
2019-10-11,4.310000,4.325000,4.280000,4.320000,4.178725,705860
2019-10-14,4.330000,4.350000,4.300000,4.310000,4.169051,626553
2019-10-15,4.300000,4.340000,4.290000,4.310000,4.169051,928482
2019-10-16,4.330000,4.370000,4.310000,4.340000,4.198071,1548583
2019-10-17,4.350000,4.370000,4.320000,4.320000,4.178725,708699
2019-10-18,4.340000,4.340000,4.270000,4.330000,4.188397,1492985
2019-10-21,4.320000,4.440000,4.320000,4.410000,4.265781,1301221
2019-10-22,4.410000,4.415000,4.370000,4.390000,4.246435,602215
2019-10-23,4.380000,4.420000,4.380000,4.420000,4.275454,902879
2019-10-24,4.410000,4.450000,4.400000,4.430000,4.285127,1063288
2019-10-25,4.450000,4.460000,4.420000,4.430000,4.285127,634380
2019-10-28,4.460000,4.460000,4.420000,4.420000,4.275454,964046
2019-10-29,4.390000,4.420000,4.360000,4.400000,4.256108,886098
2019-10-30,4.350000,4.400000,4.320000,4.380000,4.236763,1745981
2019-10-31,4.400000,4.420000,4.350000,4.410000,4.265781,1177257
2019-11-01,4.440000,4.460000,4.400000,4.440000,4.294800,1033851
2019-11-04,4.450000,4.510000,4.440000,4.470000,4.323819,1014733
2019-11-05,4.450000,4.490000,4.390000,4.400000,4.256108,981595
2019-11-06,4.410000,4.420000,4.350000,4.370000,4.227089,661754
2019-11-07,4.410000,4.425000,4.360000,4.380000,4.236763,1118150
2019-11-08,4.360000,4.390000,4.330000,4.380000,4.236763,1015614
2019-11-11,4.360000,4.440000,4.360000,4.430000,4.285127,783942
2019-11-12,4.480000,4.480000,4.430000,4.460000,4.314146,1046020
