Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,4.850000,4.890000,4.840000,4.850000,4.391986,1195463
2018-01-31,4.850000,5.090000,4.840000,5.040000,4.564044,5520238
2018-02-01,5.090000,5.235000,5.050000,5.140000,4.654600,6810269
2018-02-02,5.120000,5.130000,5.030000,5.110000,4.627433,1802990
2018-02-05,5.040000,5.130000,5.030000,5.070000,4.591211,1389392
2018-02-06,4.910000,4.960000,4.860000,4.940000,4.473487,3531665
2018-02-07,4.960000,5.100000,4.920000,4.920000,4.455376,2160474
2018-02-08,4.880000,4.910000,4.850000,4.880000,4.419154,2093424
2018-02-09,4.840000,4.840000,4.730000,4.800000,4.346708,2381209
2018-02-12,4.800000,4.930000,4.760000,4.930000,4.464432,2812240
2018-02-13,4.900000,4.990000,4.900000,4.920000,4.455376,2571547
2018-02-14,4.860000,4.880000,4.760000,4.810000,4.355764,2138390
2018-02-15,4.850000,4.880000,4.790000,4.830000,4.373875,973727
2018-02-16,4.850000,4.870000,4.760000,4.840000,4.382931,1459011
2018-02-19,4.830000,4.945000,4.820000,4.920000,4.455376,1038952
2018-02-20,4.920000,4.950000,4.880000,4.930000,4.464432,1344638
2018-02-21,4.900000,5.080000,4.900000,4.980000,4.509710,2394291
2018-02-22,4.970000,5.030000,4.940000,4.990000,4.518765,2441251
2018-02-23,5.000000,5.080000,5.000000,5.060000,4.582155,1621825
2018-02-26,5.120000,5.190000,5.100000,5.190000,4.699879,2093276
2018-02-27,5.200000,5.250000,5.200000,5.210000,4.717989,2221470
2018-02-28,5.180000,5.210000,5.140000,5.170000,4.681767,3285848
2018-03-01,5.120000,5.205000,5.110000,5.150000,4.663656,1930579
2018-03-02,5.100000,5.225000,5.100000,5.190000,4.699879,1667762
2018-03-05,5.190000,5.250000,5.145000,5.210000,4.717989,1731595
2018-03-06,5.250000,5.390000,5.240000,5.390000,4.880991,2403950
2018-03-07,5.390000,5.470000,5.385000,5.420000,4.908158,5250079
2018-03-08,5.470000,5.535000,5.395000,5.410000,4.899102,2801314
2018-03-09,5.450000,5.570000,5.400000,5.410000,4.899102,2673672
2018-03-12,5.430000,5.480000,5.380000,5.460000,4.944381,1647060
2018-03-13,5.460000,5.530000,5.430000,5.450000,4.935325,2832906
2018-03-14,5.420000,5.430000,5.370000,5.410000,4.899102,3127003
2018-03-15,5.380000,5.445000,5.340000,5.350000,4.844768,2390273
2018-03-16,5.340000,5.390000,5.310000,5.310000,4.808546,2243213
2018-03-19,5.320000,5.380000,5.300000,5.310000,4.808546,1243464
2018-03-20,5.280000,5.280000,5.160000,5.260000,4.763268,2775897
2018-03-21,5.260000,5.330000,5.250000,5.290000,4.790435,1748970
2018-03-22,5.280000,5.380000,5.210000,5.360000,4.853825,2343010
2018-03-23,5.270000,5.280000,5.140000,5.140000,4.654600,1987019
2018-03-26,5.080000,5.150000,4.960000,5.130000,4.645545,2381844
2018-03-27,5.180000,5.290000,5.180000,5.260000,4.763268,1571690
2018-03-28,5.240000,5.390000,5.205000,5.210000,4.717989,2861566
2018-03-29,5.160000,5.220000,5.115000,5.180000,4.690823,2910739
2018-04-03,5.150000,5.170000,5.070000,5.100000,4.618377,1500582
2018-04-04,5.130000,5.280000,5.120000,5.260000,4.763268,1624542
2018-04-05,5.300000,5.420000,5.280000,5.320000,4.817602,2005069
2018-04-06,5.300000,5.345000,5.205000,5.250000,4.754212,1272368
2018-04-09,5.220000,5.285000,5.165000,5.280000,4.781379,832251
2018-04-10,5.260000,5.390000,5.255000,5.380000,4.871936,2642515
2018-04-11,5.410000,5.430000,5.350000,5.410000,4.899102,2442313
2018-04-12,5.340000,5.390000,5.285000,5.310000,4.808546,1528085
2018-04-13,5.330000,5.440000,5.265000,5.420000,4.908158,2076018
2018-04-16,5.420000,5.525000,5.420000,5.500000,4.980603,1539278
2018-04-17,5.490000,5.595000,5.490000,5.570000,5.043993,1447197
2018-04-18,5.570000,5.600000,5.540000,5.570000,5.043993,1118104
2018-04-19,5.600000,5.640000,5.575000,5.610000,5.080215,1101497
2018-04-20,5.580000,5.590000,5.500000,5.540000,5.016826,1201800
2018-04-23,5.530000,5.630000,5.525000,5.620000,5.089271,769487
2018-04-24,5.580000,5.630000,5.430000,5.470000,4.953436,5131992
2018-04-26,5.440000,5.560000,5.360000,5.470000,4.953436,2148430
2018-04-27,5.540000,5.640000,5.540000,5.610000,5.080215,2227984
2018-04-30,5.650000,5.740000,5.630000,5.640000,5.107382,2464586
2018-05-01,5.640000,5.710000,5.625000,5.630000,5.098327,1921758
2018-05-02,5.680000,5.795000,5.670000,5.730000,5.188883,1972701
2018-05-03,5.780000,5.780000,5.560000,5.610000,5.080215,3271377
2018-05-04,5.690000,5.750000,5.640000,5.740000,5.197939,2229303
2018-05-07,5.790000,5.830000,5.710000,5.740000,5.197939,2572594
