Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,25.150000,25.465000,24.990000,25.320000,25.320000,1332005
2019-09-17,25.370001,25.590000,25.090000,25.230000,25.230000,870764
2019-09-18,25.070000,25.230000,24.620001,24.959999,24.959999,1554857
2019-09-19,25.000000,25.299999,24.969999,25.129999,25.129999,1610786
2019-09-20,25.350000,25.430000,25.110001,25.299999,25.299999,1442661
2019-09-23,25.389999,25.775000,25.280001,25.510000,25.510000,721781
2019-09-24,25.309999,25.670000,25.309999,25.510000,25.510000,686048
2019-09-25,25.320000,25.510000,25.170000,25.440001,25.440001,1004027
2019-09-26,25.440001,25.760000,25.400000,25.469999,25.469999,1400019
2019-09-27,25.480000,25.959999,25.360001,25.850000,25.850000,1435377
2019-09-30,25.930000,26.520000,25.889999,26.320000,26.320000,1347208
2019-10-01,26.340000,26.590000,26.059999,26.320000,26.320000,1118725
2019-10-02,26.059999,26.290001,25.910000,26.150000,26.150000,1019128
2019-10-03,25.600000,25.740000,25.260000,25.680000,25.680000,2366088
2019-10-04,25.680000,25.680000,25.680000,25.680000,25.680000,0
2019-10-07,25.580000,25.580000,25.200001,25.379999,25.379999,528959
2019-10-08,25.400000,25.730000,25.254999,25.690001,25.690001,996114
2019-10-09,25.680000,25.680000,25.219999,25.510000,25.510000,1192548
2019-10-10,25.389999,25.674999,25.260000,25.430000,25.430000,1101743
2019-10-11,25.820000,26.090000,25.559999,25.650000,25.650000,1201042
2019-10-14,25.750000,26.440001,25.530001,26.350000,26.350000,1174675
2019-10-15,26.320000,26.430000,25.980000,26.090000,26.090000,811794
2019-10-16,26.150000,26.840000,25.980000,26.770000,26.770000,1073160
2019-10-17,26.830000,27.270000,26.700001,27.160000,27.160000,1431272
2019-10-18,27.209999,27.480000,26.820000,26.920000,26.920000,1301091
2019-10-21,26.930000,27.480000,26.820000,27.410000,27.410000,872581
2019-10-22,27.440001,27.510000,27.280001,27.370001,27.370001,810674
2019-10-23,27.400000,27.510000,27.230000,27.240000,27.240000,1219124
2019-10-24,27.440001,27.799999,27.270000,27.590000,27.590000,926498
2019-10-25,27.910000,28.000000,27.620001,27.690001,27.690001,991424
2019-10-28,27.930000,28.250000,27.834999,28.120001,28.120001,820327
2019-10-29,28.240000,28.260000,27.840000,27.959999,27.959999,957849
2019-10-30,27.809999,28.200001,27.600000,27.740000,27.740000,995656
2019-10-31,27.820000,27.850000,27.170000,27.270000,27.270000,913101
2019-11-01,27.400000,27.610001,27.230000,27.379999,27.379999,1131015
2019-11-04,27.610001,27.770000,27.530001,27.620001,27.620001,676670
2019-11-05,27.900000,27.990000,27.709999,27.900000,27.900000,654604
2019-11-06,28.000000,28.040001,27.559999,27.629999,27.629999,1019131
2019-11-07,27.570000,27.820000,27.200001,27.520000,27.520000,790065
2019-11-08,27.770000,28.430000,27.730000,27.959999,27.959999,1555017
2019-11-11,28.330000,28.490000,28.190001,28.340000,28.340000,848807
2019-11-12,28.490000,28.490000,28.080000,28.270000,28.270000,767442
2019-11-13,28.240000,28.370001,28.090000,28.209999,28.209999,832607
2019-11-14,28.330000,28.370001,27.969999,28.100000,28.100000,865048
2019-11-15,28.020000,28.504999,27.990000,28.400000,28.400000,587790
2019-11-18,28.500000,28.549999,28.200001,28.320000,28.320000,665497
2019-11-19,28.469999,28.650000,28.180000,28.320000,28.320000,1020362
2019-11-20,28.200001,28.240000,27.549999,27.639999,27.639999,1180400
2019-11-21,27.620001,27.740000,27.530001,27.700001,27.700001,809699
2019-11-22,27.990000,28.049999,27.780001,27.850000,27.850000,555381
2019-11-25,30.000000,30.690001,29.389999,29.790001,29.790001,2582940
