Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,8.000000,8.270000,7.940000,8.210000,8.201081,32135
2017-01-31,8.220000,8.360000,7.730000,8.040000,8.031265,40922
2017-02-01,7.950000,8.000000,7.770000,7.790000,7.781537,9580
2017-02-02,7.800000,7.800000,7.410000,7.410000,7.401950,21666
2017-02-03,7.410000,7.450000,7.410000,7.420000,7.411939,55057
2017-02-06,7.210000,7.210000,6.700000,7.000000,6.992395,65029
2017-02-07,6.970000,6.970000,6.820000,6.970000,6.962428,24739
2017-02-08,6.990000,7.100000,6.890000,7.000000,6.992395,31713
2017-02-09,7.100000,7.100000,6.800000,7.040000,7.032352,5961
2017-02-10,7.100000,7.150000,6.840000,7.150000,7.142233,2144
2017-02-13,7.100000,7.100000,6.510000,6.770000,6.762645,24359
2017-02-14,6.620000,6.620000,6.050000,6.200000,6.193264,39595
2017-02-15,6.170000,6.180000,6.000000,6.170000,6.163297,55359
2017-02-16,6.170000,6.530000,6.140000,6.350000,6.343102,19204
2017-02-17,6.630000,6.770000,6.540000,6.710000,6.702711,16675
2017-02-20,6.740000,6.970000,6.060000,6.970000,6.962428,19115
2017-02-21,6.980000,6.980000,6.610000,6.720000,6.712699,19658
2017-02-22,6.720000,6.890000,6.660000,6.850000,6.842558,20894
2017-02-23,6.750000,6.900000,6.740000,6.900000,6.892504,27150
2017-02-24,6.900000,6.900000,6.700000,6.780000,6.772635,17100
2017-02-27,6.700000,6.780000,6.400000,6.450000,6.442993,6363
2017-02-28,6.700000,6.900000,6.510000,6.730000,6.722689,4431
2017-03-01,6.800000,6.870000,6.770000,6.780000,6.772635,6865
2017-03-02,6.800000,6.950000,6.800000,6.800000,6.792613,14045
2017-03-03,6.870000,6.900000,6.830000,6.840000,6.832570,12399
2017-03-06,6.900000,6.990000,6.800000,6.800000,6.792613,4301
2017-03-07,6.800000,6.950000,6.800000,6.810000,6.802602,1223
2017-03-08,6.870000,6.930000,6.760000,6.800000,6.792613,3809
2017-03-09,6.920000,7.000000,6.920000,7.000000,6.992395,5524
2017-03-10,7.070000,7.150000,7.000000,7.000000,6.992395,42933
2017-03-13,7.020000,7.020000,7.000000,7.000000,6.992395,4737
2017-03-14,7.100000,7.100000,7.000000,7.000000,6.992395,5026
2017-03-15,7.000000,7.050000,6.990000,7.000000,6.992395,3464
2017-03-16,6.800000,7.020000,6.780000,7.000000,6.992395,5084
2017-03-17,6.780000,7.000000,6.550000,6.550000,6.542884,2522
2017-03-20,6.650000,6.680000,6.520000,6.540000,6.532895,11174
2017-03-21,6.540000,6.670000,6.520000,6.520000,6.512917,7345
2017-03-22,6.520000,6.520000,6.400000,6.450000,6.442993,5094
2017-03-23,6.400000,6.400000,6.340000,6.390000,6.383058,12227
2017-03-24,6.420000,6.450000,6.000000,6.350000,6.343102,22248
2017-03-27,6.450000,6.740000,6.450000,6.550000,6.542884,3541
2017-03-28,6.750000,6.880000,6.750000,6.850000,6.842558,6069
2017-03-29,6.740000,6.980000,6.740000,6.750000,6.742667,11840
2017-03-30,6.900000,7.000000,6.820000,6.820000,6.812591,9254
2017-03-31,6.900000,7.050000,6.800000,6.870000,6.862536,10315
2017-04-03,6.950000,7.070000,6.900000,7.060000,7.052330,7900
2017-04-04,7.070000,7.070000,7.000000,7.050000,7.042341,4216
2017-04-05,6.960000,7.070000,6.960000,7.000000,6.992395,5290
2017-04-06,7.030000,7.090000,7.000000,7.000000,6.992395,3502
2017-04-07,7.000000,7.060000,7.000000,7.000000,6.992395,2180
2017-04-10,7.100000,7.220000,7.000000,7.000000,6.992395,7813
2017-04-11,7.000000,7.130000,6.900000,6.910000,6.902493,9724
2017-04-12,7.000000,7.280000,7.000000,7.050000,7.042341,8599
2017-04-13,7.220000,7.220000,7.150000,7.160000,7.152222,16060
2017-04-18,7.160000,7.160000,6.750000,6.820000,6.812591,30877
2017-04-19,7.290000,7.290000,7.120000,7.120000,7.112265,25513
