Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,1.450000,1.460000,1.425000,1.440000,1.394976,7160262
2018-01-31,1.435000,1.450000,1.405000,1.445000,1.399819,11948208
2018-02-01,1.450000,1.475000,1.445000,1.465000,1.419194,3541443
2018-02-02,1.470000,1.475000,1.455000,1.465000,1.419194,6899918
2018-02-05,1.440000,1.460000,1.437000,1.450000,1.404663,4362991
2018-02-06,1.410000,1.430000,1.382000,1.390000,1.346539,7472838
2018-02-07,1.400000,1.440000,1.390000,1.395000,1.351383,7319824
2018-02-08,1.375000,1.420000,1.375000,1.415000,1.370757,7736086
2018-02-09,1.375000,1.420000,1.370000,1.410000,1.365914,5802817
2018-02-12,1.400000,1.410000,1.365000,1.370000,1.327164,3327380
2018-02-13,1.365000,1.392000,1.365000,1.375000,1.332008,2866245
2018-02-14,1.370000,1.382500,1.360000,1.365000,1.322321,5092382
2018-02-15,1.365000,1.372500,1.352000,1.355000,1.312633,4552855
2018-02-16,1.355000,1.382000,1.355000,1.375000,1.332008,4875883
2018-02-19,1.360000,1.407000,1.360000,1.395000,1.351383,7624606
2018-02-20,1.390000,1.410000,1.385000,1.400000,1.356226,2791438
2018-02-21,1.445000,1.525000,1.445000,1.520000,1.472474,14554972
2018-02-22,1.560000,1.585000,1.520000,1.540000,1.491849,9669803
2018-02-23,1.565000,1.590000,1.545000,1.570000,1.520911,3762469
2018-02-26,1.570000,1.587000,1.540000,1.540000,1.491849,5366288
2018-02-27,1.555000,1.560000,1.515000,1.525000,1.477318,6872117
2018-02-28,1.525000,1.535000,1.520000,1.530000,1.482162,6130582
2018-03-01,1.525000,1.535000,1.510000,1.520000,1.472474,3514063
2018-03-02,1.520000,1.522000,1.485000,1.495000,1.448256,4843534
2018-03-05,1.490000,1.495000,1.470000,1.470000,1.424038,2971274
2018-03-06,1.480000,1.492000,1.465000,1.470000,1.424038,4908035
2018-03-07,1.455000,1.460000,1.425000,1.455000,1.409507,5159793
2018-03-08,1.465000,1.500000,1.460000,1.485000,1.438569,5901233
2018-03-09,1.470000,1.480000,1.452000,1.460000,1.414350,9380195
2018-03-12,1.470000,1.485000,1.455000,1.465000,1.419194,3215451
2018-03-13,1.460000,1.477500,1.440000,1.460000,1.425050,6881643
2018-03-14,1.445000,1.455000,1.440000,1.445000,1.410409,7069181
2018-03-15,1.395000,1.460000,1.395000,1.445000,1.410409,8080878
2018-03-16,1.445000,1.510000,1.440000,1.485000,1.449452,45932655
2018-03-19,1.505000,1.505000,1.455000,1.470000,1.434811,7436355
2018-03-20,1.490000,1.495000,1.460000,1.470000,1.434811,4662937
2018-03-21,1.475000,1.495000,1.460000,1.485000,1.449452,8009383
