Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,5.710000,5.750000,5.660000,5.700000,5.700000,994341
2018-01-31,5.600000,5.730000,5.580000,5.710000,5.710000,2446147
2018-02-01,5.670000,5.750000,5.660000,5.710000,5.710000,2821153
2018-02-02,5.680000,5.700000,5.650000,5.660000,5.660000,2210010
2018-02-05,5.590000,5.630000,5.510000,5.560000,5.560000,2458601
2018-02-06,5.410000,5.450000,5.350000,5.380000,5.380000,4533377
2018-02-07,5.490000,5.530000,5.460000,5.470000,5.470000,1941470
2018-02-08,5.430000,5.550000,5.410000,5.540000,5.540000,1285627
2018-02-09,5.500000,5.515000,5.420000,5.500000,5.500000,3750393
2018-02-12,5.470000,5.490000,5.405000,5.470000,5.470000,1338974
2018-02-13,5.410000,5.500000,5.400000,5.440000,5.440000,1955408
2018-02-14,5.370000,5.420000,5.310000,5.360000,5.360000,1610947
2018-02-15,5.450000,5.480000,5.380000,5.410000,5.410000,2135867
2018-02-16,5.410000,5.440000,5.380000,5.390000,5.390000,3538965
2018-02-19,5.420000,5.460000,5.380000,5.400000,5.400000,2797944
2018-02-20,5.410000,5.440000,5.390000,5.400000,5.400000,2615335
2018-02-21,5.370000,5.420000,5.360000,5.380000,5.380000,3478956
2018-02-22,5.360000,5.360000,5.110000,5.200000,5.200000,12670705
2018-02-23,5.220000,5.275000,5.170000,5.210000,5.210000,14039820
2018-02-26,5.240000,5.370000,5.240000,5.310000,5.310000,3227042
2018-02-27,5.320000,5.400000,5.320000,5.340000,5.340000,2951099
2018-02-28,5.400000,5.430000,5.305000,5.330000,5.330000,2567690
2018-03-01,5.300000,5.310000,5.265000,5.300000,5.300000,2494745
2018-03-02,5.280000,5.340000,5.270000,5.330000,5.330000,2149371
2018-03-05,5.310000,5.350000,5.290000,5.290000,5.290000,3990310
2018-03-06,5.350000,5.400000,5.320000,5.380000,5.380000,4266903
2018-03-07,5.390000,5.490000,5.390000,5.430000,5.430000,4145518
2018-03-08,5.470000,5.500000,5.460000,5.470000,5.470000,3404024
2018-03-09,5.490000,5.650000,5.490000,5.620000,5.620000,2345825
2018-03-12,5.620000,5.670000,5.560000,5.640000,5.640000,2091589
2018-03-13,5.610000,5.660000,5.550000,5.570000,5.570000,2083132
2018-03-14,5.530000,5.540000,5.430000,5.480000,5.480000,1441166
2018-03-15,5.430000,5.480000,5.410000,5.460000,5.460000,2252045
2018-03-16,5.430000,5.520000,5.420000,5.480000,5.480000,5464585
2018-03-19,5.480000,5.560000,5.480000,5.550000,5.550000,1562136
2018-03-20,5.490000,5.540000,5.440000,5.510000,5.510000,1138192
2018-03-21,5.550000,5.630000,5.550000,5.570000,5.570000,2372950
2018-03-22,5.500000,5.590000,5.490000,5.570000,5.570000,1455954
2018-03-23,5.450000,5.515000,5.440000,5.490000,5.490000,2212992
2018-03-26,5.420000,5.540000,5.410000,5.520000,5.520000,4340888
2018-03-27,5.510000,5.550000,5.500000,5.530000,5.530000,3243356
2018-03-28,5.480000,5.520000,5.425000,5.450000,5.450000,2271480
2018-03-29,5.450000,5.470000,5.380000,5.390000,5.390000,4474906
2018-04-03,5.350000,5.370000,5.270000,5.300000,5.300000,1379256
2018-04-04,5.300000,5.360000,5.240000,5.260000,5.260000,2031435
2018-04-05,5.350000,5.400000,5.330000,5.380000,5.380000,1787770
2018-04-06,5.380000,5.510000,5.370000,5.450000,5.450000,1663627
2018-04-09,5.500000,5.600000,5.495000,5.560000,5.560000,2711717
2018-04-10,5.600000,5.730000,5.575000,5.710000,5.710000,2218557
2018-04-11,5.700000,5.710000,5.575000,5.590000,5.590000,1380794
2018-04-12,5.510000,5.550000,5.440000,5.530000,5.530000,1771496
2018-04-13,5.590000,5.660000,5.580000,5.610000,5.610000,917495
2018-04-16,5.600000,5.670000,5.580000,5.650000,5.650000,499366
2018-04-17,5.620000,5.640000,5.540000,5.560000,5.560000,1266715
2018-04-18,5.240000,5.320000,5.170000,5.190000,5.190000,14960289
2018-04-19,5.300000,5.440000,5.260000,5.390000,5.390000,5498257
2018-04-20,5.390000,5.470000,5.280000,5.340000,5.340000,4703392
2018-04-23,5.340000,5.440000,5.340000,5.410000,5.410000,1910426
2018-04-24,5.500000,5.620000,5.480000,5.550000,5.550000,2715701
2018-04-26,5.520000,5.600000,5.420000,5.450000,5.450000,2937542
2018-04-27,5.480000,5.550000,5.400000,5.480000,5.480000,3197338
2018-04-30,5.480000,5.560000,5.440000,5.520000,5.520000,2646902
2018-05-01,5.520000,5.600000,5.500000,5.520000,5.520000,1696145
2018-05-02,5.640000,5.690000,5.630000,5.630000,5.630000,3081212
2018-05-03,5.640000,5.695000,5.610000,5.680000,5.680000,1589540
