Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.170000,3.210000,3.160000,3.190000,3.051812,1088028
2018-01-31,3.180000,3.190000,3.120000,3.160000,3.023112,624792
2018-02-01,3.170000,3.210000,3.160000,3.200000,3.061379,747858
2018-02-02,3.180000,3.200000,3.150000,3.180000,3.042245,483429
2018-02-05,3.120000,3.150000,3.090000,3.110000,2.975277,948937
2018-02-06,3.060000,3.070000,3.000000,3.010000,2.879609,1122353
2018-02-07,3.080000,3.090000,3.010000,3.030000,2.898743,4628882
2018-02-08,3.030000,3.060000,3.010000,3.020000,2.889176,1150375
2018-02-09,3.000000,3.005000,2.950000,2.980000,2.850909,866044
2018-02-12,2.980000,3.000000,2.950000,2.950000,2.822209,755452
2018-02-13,2.980000,2.980000,2.900000,2.900000,2.774375,954681
2018-02-14,2.900000,2.950000,2.815000,2.850000,2.726541,918926
2018-02-15,2.850000,2.920000,2.830000,2.910000,2.783942,741371
2018-02-16,2.950000,2.950000,2.850000,2.870000,2.745674,705716
2018-02-19,2.920000,3.030000,2.840000,3.000000,2.870043,973569
2018-02-20,3.070000,3.110000,3.020000,3.090000,2.956144,1342844
2018-02-21,3.100000,3.130000,3.080000,3.100000,2.965711,1137447
2018-02-22,3.100000,3.135000,3.080000,3.110000,2.975277,1114199
2018-02-23,3.130000,3.130000,3.050000,3.080000,2.984969,699809
2018-02-26,3.100000,3.110000,3.060000,3.090000,2.994660,4603512
2018-02-27,3.090000,3.100000,3.050000,3.070000,2.975277,2760463
2018-02-28,3.080000,3.090000,3.020000,3.040000,2.946203,997927
2018-03-01,3.060000,3.080000,3.040000,3.040000,2.946203,463517
2018-03-02,3.040000,3.040000,3.000000,3.030000,2.936512,397863
2018-03-05,3.010000,3.060000,3.000000,3.000000,2.907437,1431572
2018-03-06,3.040000,3.050000,3.010000,3.050000,2.955895,602354
2018-03-07,3.040000,3.040000,3.020000,3.020000,2.926820,418737
2018-03-08,3.040000,3.060000,3.020000,3.040000,2.946203,720900
