Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.720000,2.765000,2.720000,2.750000,2.467467,1219054
2017-01-31,2.740000,2.750000,2.690000,2.690000,2.413632,2240110
2017-02-01,2.690000,2.710000,2.690000,2.700000,2.422604,1709067
2017-02-02,2.740000,2.740000,2.640000,2.670000,2.395687,1164799
2017-02-03,2.650000,2.690000,2.640000,2.690000,2.413632,3111846
2017-02-06,2.700000,2.740000,2.695000,2.720000,2.440550,2212906
2017-02-07,2.710000,2.790000,2.690000,2.770000,2.485413,1985406
2017-02-08,2.760000,2.790000,2.750000,2.760000,2.476440,826490
2017-02-09,2.760000,2.790000,2.740000,2.760000,2.476440,934289
2017-02-10,2.780000,2.830000,2.760000,2.820000,2.530276,1076947
2017-02-13,2.840000,2.840000,2.770000,2.780000,2.494385,1010558
2017-02-14,2.770000,2.830000,2.760000,2.800000,2.512330,512501
2017-02-15,2.820000,2.830000,2.795000,2.810000,2.521303,1558980
2017-02-16,2.830000,2.840000,2.800000,2.800000,2.512330,1120178
2017-02-17,2.820000,2.840000,2.800000,2.820000,2.530276,623305
2017-02-20,2.850000,2.860000,2.825000,2.850000,2.557193,1827969
2017-02-21,2.860000,2.860000,2.795000,2.820000,2.530276,740624
2017-02-22,2.850000,2.870000,2.830000,2.850000,2.557193,812045
2017-02-23,2.950000,3.260000,2.950000,3.250000,2.916098,7324032
2017-02-24,3.240000,3.290000,3.080000,3.120000,2.799454,2308940
2017-02-27,3.130000,3.200000,3.110000,3.160000,2.835344,2850933
2017-02-28,3.160000,3.170000,3.070000,3.120000,2.799454,1989538
2017-03-01,3.100000,3.185000,3.090000,3.170000,2.844317,1549433
2017-03-02,3.200000,3.200000,3.075000,3.110000,2.790481,3002400
2017-03-03,3.100000,3.170000,3.090000,3.140000,2.817399,1263992
2017-03-06,3.150000,3.150000,3.090000,3.100000,2.781509,985361
2017-03-07,3.100000,3.180000,3.090000,3.150000,2.826372,1006201
2017-03-08,3.150000,3.150000,3.100000,3.120000,2.799454,760856
2017-03-09,3.100000,3.170000,3.090000,3.130000,2.808427,1750616
2017-03-10,3.140000,3.140000,3.095000,3.110000,2.790481,1152854
2017-03-13,3.100000,3.130000,3.090000,3.130000,2.808427,1626318
2017-03-14,3.130000,3.180000,3.070000,3.100000,2.781509,1382038
2017-03-15,3.100000,3.130000,3.050000,3.100000,2.781509,1114155
2017-03-16,3.090000,3.090000,2.960000,3.000000,2.691782,1697069
2017-03-17,2.980000,3.020000,2.940000,3.000000,2.691782,1159738
2017-03-20,3.030000,3.075000,3.000000,3.040000,2.727673,1239670
2017-03-21,3.010000,3.090000,3.010000,3.080000,2.763563,563681
2017-03-22,3.030000,3.090000,3.030000,3.040000,2.727673,746818
2017-03-23,3.040000,3.050000,2.960000,3.030000,2.718700,676312
2017-03-24,2.990000,3.100000,2.980000,3.080000,2.763563,677817
2017-03-27,3.080000,3.100000,3.060000,3.090000,2.772536,335340
2017-03-28,3.080000,3.145000,3.060000,3.140000,2.817399,1924185
2017-03-29,3.160000,3.200000,3.110000,3.120000,2.799454,1906045
2017-03-30,3.200000,3.200000,3.110000,3.140000,2.817399,343827
2017-03-31,3.140000,3.150000,3.080000,3.090000,2.772536,1280202
2017-04-03,3.060000,3.100000,3.060000,3.070000,2.754591,989883
2017-04-04,3.070000,3.100000,3.060000,3.080000,2.763563,520661
2017-04-05,3.070000,3.150000,3.060000,3.150000,2.826372,889495
2017-04-06,3.220000,3.310000,3.220000,3.260000,2.925071,6169874
2017-04-07,3.280000,3.280000,3.080000,3.190000,2.862262,2145036
2017-04-10,3.190000,3.210000,3.140000,3.190000,2.862262,1065990
2017-04-11,3.190000,3.210000,3.170000,3.170000,2.844317,1169901
2017-04-12,3.190000,3.200000,3.170000,3.180000,2.853290,676603
2017-04-13,3.180000,3.180000,3.130000,3.140000,2.817399,681884
2017-04-18,3.120000,3.150000,3.050000,3.060000,2.745618,767573
2017-04-19,3.060000,3.080000,3.050000,3.070000,2.754591,738677
2017-04-20,3.040000,3.070000,3.040000,3.070000,2.754591,915104
2017-04-21,3.080000,3.100000,3.070000,3.080000,2.763563,529716
2017-04-24,3.090000,3.090000,3.040000,3.050000,2.736645,627918
2017-04-26,3.060000,3.080000,3.030000,3.030000,2.718700,967402
2017-04-27,3.040000,3.040000,3.000000,3.010000,2.700755,649996
2017-04-28,3.030000,3.070000,3.010000,3.060000,2.745618,2333129
2017-05-01,3.100000,3.160000,3.090000,3.140000,2.817399,1315799
2017-05-02,3.160000,3.220000,3.125000,3.200000,2.871235,1298948
2017-05-03,3.220000,3.230000,3.160000,3.170000,2.844317,697786
2017-05-04,3.200000,3.375000,3.200000,3.260000,2.925071,2788393
2017-05-05,3.230000,3.255000,3.170000,3.190000,2.862262,1861297
2017-05-08,3.240000,3.250000,3.210000,3.220000,2.889180,2956178
2017-05-09,3.210000,3.220000,3.180000,3.190000,2.862262,1010688
2017-05-10,3.200000,3.220000,3.170000,3.190000,2.862262,805176
2017-05-11,3.180000,3.190000,3.160000,3.170000,2.844317,880913
2017-05-12,3.160000,3.170000,3.110000,3.110000,2.790481,893641
2017-05-15,3.130000,3.140000,3.070000,3.070000,2.754591,984268
2017-05-16,3.100000,3.110000,3.070000,3.090000,2.772536,656149
2017-05-17,3.100000,3.110000,3.040000,3.040000,2.727673,1119676
2017-05-18,3.010000,3.120000,3.000000,3.080000,2.763563,1797925
2017-05-19,3.100000,3.120000,3.040000,3.100000,2.781509,387667
2017-05-22,3.060000,3.100000,3.050000,3.060000,2.745618,576633
2017-05-23,3.050000,3.090000,3.040000,3.080000,2.763563,716592
2017-05-24,3.080000,3.080000,3.035000,3.060000,2.745618,809064
2017-05-25,3.070000,3.110000,3.020000,3.020000,2.709728,708123
2017-05-26,3.070000,3.100000,2.970000,2.980000,2.673837,519374
2017-05-29,2.980000,3.070000,2.960000,3.050000,2.736645,1053048
2017-05-30,3.010000,3.060000,2.980000,3.030000,2.718700,3389163
2017-05-31,3.050000,3.190000,3.040000,3.190000,2.862262,2724596
2017-06-01,3.130000,3.190000,3.080000,3.080000,2.763563,1131290
2017-06-02,3.110000,3.170000,3.100000,3.150000,2.826372,881049
2017-06-05,3.130000,3.170000,3.100000,3.130000,2.808427,913228
2017-06-06,3.090000,3.130000,3.040000,3.050000,2.736645,1403637
2017-06-07,3.060000,3.080000,3.020000,3.050000,2.736645,1663088
2017-06-08,3.070000,3.120000,3.045000,3.060000,2.745618,1069106
2017-06-09,3.060000,3.080000,3.000000,3.010000,2.700755,1045988
2017-06-13,3.020000,3.070000,3.020000,3.050000,2.736645,1859893
2017-06-14,3.050000,3.120000,3.040000,3.060000,2.745618,1646222
2017-06-15,3.050000,3.120000,3.040000,3.100000,2.781509,2219813
2017-06-16,3.090000,3.120000,3.050000,3.120000,2.799454,1429524
2017-06-19,3.120000,3.130000,3.080000,3.100000,2.781509,350118
2017-06-20,3.060000,3.130000,3.060000,3.100000,2.781509,704654
2017-06-21,3.080000,3.130000,3.070000,3.090000,2.772536,855838
2017-06-22,3.100000,3.110000,3.050000,3.110000,2.790481,610018
2017-06-23,3.120000,3.120000,3.070000,3.080000,2.763563,965506
2017-06-26,3.090000,3.190000,3.070000,3.160000,2.835344,1802775
2017-06-27,3.130000,3.145000,3.090000,3.140000,2.817399,934400
2017-06-28,3.110000,3.170000,3.110000,3.150000,2.826372,1198746
2017-06-29,3.160000,3.160000,3.130000,3.150000,2.826372,992693
2017-06-30,3.130000,3.150000,3.050000,3.050000,2.736645,780676
2017-07-03,3.100000,3.100000,3.050000,3.050000,2.736645,1097170
2017-07-04,3.070000,3.140000,3.050000,3.120000,2.799454,349636
