Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,2.010000,2.050000,1.972000,1.990000,1.990000,1634935
2019-09-17,1.980000,2.020000,1.950000,2.010000,2.010000,1124173
2019-09-18,1.995000,1.995000,1.935000,1.955000,1.955000,1590396
2019-09-19,1.980000,2.135000,1.965000,2.020000,2.020000,5470888
2019-09-20,2.030000,2.090000,2.030000,2.050000,2.050000,9945722
2019-09-23,2.040000,2.050000,1.980000,2.010000,2.010000,1114476
2019-09-24,1.995000,2.010000,1.915000,1.930000,1.930000,1417016
2019-09-25,1.925000,1.925000,1.882000,1.905000,1.905000,1325549
2019-09-26,1.910000,1.975000,1.892000,1.895000,1.895000,838869
2019-09-27,1.900000,1.915000,1.855000,1.905000,1.905000,1219818
2019-09-30,1.900000,1.935000,1.870000,1.915000,1.915000,758445
2019-10-01,1.915000,1.970000,1.895000,1.930000,1.930000,1108376
2019-10-02,1.900000,1.920000,1.860000,1.880000,1.880000,1005902
2019-10-03,1.855000,1.887000,1.835000,1.840000,1.840000,1300316
2019-10-04,1.840000,1.840000,1.840000,1.840000,1.840000,0
2019-10-07,1.850000,1.860000,1.795000,1.840000,1.840000,657281
2019-10-08,1.845000,1.905000,1.835000,1.895000,1.895000,647811
2019-10-09,1.850000,1.880000,1.825000,1.830000,1.830000,700703
2019-10-10,1.870000,1.915000,1.805000,1.870000,1.870000,936689
2019-10-11,1.870000,1.930000,1.835000,1.915000,1.915000,810494
2019-10-14,1.915000,1.945000,1.885000,1.930000,1.930000,635869
2019-10-15,1.935000,1.970000,1.885000,1.955000,1.955000,1080081
2019-10-16,1.980000,1.995000,1.935000,1.965000,1.965000,890006
2019-10-17,1.930000,1.965000,1.905000,1.925000,1.925000,1122712
2019-10-18,1.925000,1.990000,1.925000,1.965000,1.965000,957515
2019-10-21,1.980000,1.980000,1.930000,1.945000,1.945000,465106
2019-10-22,1.940000,2.040000,1.940000,1.980000,1.980000,745231
2019-10-23,1.965000,2.020000,1.945000,1.980000,1.980000,935563
2019-10-24,1.995000,2.010000,1.920000,1.920000,1.920000,1097645
2019-10-25,1.940000,1.945000,1.860000,1.865000,1.865000,1060227
2019-10-28,1.875000,1.890000,1.835000,1.845000,1.845000,561758
2019-10-29,1.865000,1.905000,1.800000,1.810000,1.810000,1459948
2019-10-30,1.855000,1.855000,1.780000,1.795000,1.795000,1337391
2019-10-31,1.795000,1.815000,1.760000,1.785000,1.785000,1755881
2019-11-01,1.780000,1.780000,1.717000,1.720000,1.720000,1326909
2019-11-04,1.700000,1.705000,1.625000,1.670000,1.670000,7478235
