Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.257040,4.296550,4.197780,4.227410,4.026331,123020
2017-01-31,4.227410,4.227410,4.168140,4.197780,3.998111,127908
2017-02-01,4.168140,4.217530,4.118760,4.197780,3.998111,100675
2017-02-02,4.197780,4.217530,4.168140,4.197780,3.998111,45990
2017-02-03,4.217530,4.252100,4.158270,4.168140,3.969880,199895
2017-02-06,4.178020,4.178020,4.118760,4.138510,3.941660,103846
2017-02-07,4.168140,4.227410,4.108880,4.207650,4.007511,177840
2017-02-08,4.207650,4.276790,4.108880,4.237280,4.035731,248142
2017-02-09,4.237280,4.276790,4.158270,4.237280,4.035731,105737
2017-02-10,4.227410,4.395320,4.217530,4.326180,4.120403,294085
2017-02-13,4.336060,4.345930,4.237280,4.276790,4.073363,140705
2017-02-14,4.286670,4.306420,4.232350,4.247160,4.045142,670029
2017-02-15,4.266920,4.306420,4.247160,4.266920,4.063962,230189
2017-02-16,4.247160,4.296550,4.237280,4.276790,4.073363,83554
2017-02-17,4.276790,4.286670,4.227410,4.257040,4.054552,83246
2017-02-20,4.247160,4.247160,4.168140,4.227410,4.026331,189206
2017-02-21,4.237280,4.257040,4.227410,4.257040,4.054552,143016
2017-02-22,4.197780,4.306420,4.178020,4.276790,4.073363,153084
2017-02-23,4.247160,4.355810,4.247160,4.326180,4.120403,561989
2017-02-24,4.345930,4.345930,4.257040,4.306420,4.101583,203708
2017-02-27,4.306420,4.385440,4.306420,4.326180,4.120403,174134
2017-02-28,4.336060,4.345930,4.276790,4.296550,4.092182,124857
2017-03-01,4.296550,4.306420,4.257040,4.276790,4.073363,72664
2017-03-02,4.296550,4.395320,4.296550,4.345930,4.139214,393667
2017-03-03,4.385440,4.385440,4.316300,4.355810,4.148624,156461
2017-03-06,4.375560,4.415070,4.355810,4.385440,4.176844,198413
2017-03-07,4.415070,4.424950,4.345930,4.424950,4.214476,230229
2017-03-08,4.365690,4.424950,4.365690,4.424950,4.214476,206643
2017-03-09,4.385440,4.424950,4.365690,4.395320,4.186254,105927
2017-03-10,4.415070,4.494090,4.365690,4.444700,4.233285,231184
2017-03-13,4.454580,4.494090,4.405190,4.444700,4.233285,206506
2017-03-14,4.434830,4.444700,4.365690,4.424950,4.214476,218009
2017-03-15,4.365690,4.494090,4.306420,4.494090,4.280326,709191
2017-03-16,4.513840,4.533600,4.434830,4.454580,4.242695,404433
2017-03-17,4.474330,4.494090,4.365690,4.405190,4.195655,2841977
2017-03-20,4.533600,4.533600,4.494090,4.513840,4.299137,244674
2017-03-21,4.494090,4.513840,4.464460,4.513840,4.299137,533541
2017-03-22,4.503970,4.513840,4.444700,4.464460,4.252106,666545
2017-03-23,4.474330,4.513840,4.474330,4.484210,4.270916,139055
2017-03-24,4.444700,4.484210,4.415070,4.454580,4.242695,117036
2017-03-27,4.434830,4.503970,4.395320,4.484210,4.270916,366518
2017-03-28,4.494090,4.494090,4.395320,4.454580,4.242695,415439
2017-03-29,4.454580,4.454580,4.415070,4.444700,4.233285,124149
2017-03-30,4.434830,4.474330,4.365690,4.444700,4.233285,270856
2017-03-31,4.454580,4.484210,4.444700,4.484210,4.270916,183361
2017-04-03,4.484210,4.494090,4.424950,4.454580,4.242695,709380
2017-04-04,4.454580,4.494090,4.415070,4.474330,4.261506,142626
2017-04-05,4.484210,4.494090,4.395320,4.444700,4.233285,452338
2017-04-06,4.444700,4.444700,4.336060,4.395320,4.186254,273828
2017-04-07,4.424950,4.424950,4.345930,4.385440,4.176844,120823
2017-04-10,4.405190,4.415070,4.365690,4.385440,4.176844,1040624
2017-04-11,4.385440,4.395320,4.375560,4.395320,4.186254,164237
2017-04-12,4.395320,4.395320,4.365690,4.375560,4.167434,109760
2017-04-13,4.385440,4.385440,4.336060,4.375560,4.167434,245143
2017-04-18,4.336060,4.360750,4.227410,4.296550,4.092182,213834
2017-04-19,4.276790,4.345930,4.276790,4.326180,4.120403,123011
2017-04-20,4.326180,4.345930,4.266920,4.345930,4.139214,231257
2017-04-21,4.345930,4.395320,4.316300,4.395320,4.186254,269116
2017-04-24,4.395320,4.395320,4.345930,4.395320,4.186254,105986
2017-04-26,4.365690,4.424950,4.345930,4.365690,4.158034,445331
2017-04-27,4.365690,4.385440,4.306420,4.345930,4.139214,107300
2017-04-28,4.336060,4.395320,4.296550,4.395320,4.186254,878691
2017-05-01,4.395320,4.395320,4.355810,4.375560,4.167434,61484
2017-05-02,4.385440,4.444700,4.365690,4.415070,4.205065,286434
2017-05-03,4.405190,4.405190,4.365690,4.395320,4.186254,87164
2017-05-04,4.385440,4.415070,4.375560,4.415070,4.205065,104502
2017-05-05,4.405190,4.415070,4.365690,4.415070,4.205065,105864
2017-05-08,4.415070,4.415070,4.385440,4.405190,4.195655,67932
2017-05-09,4.395320,4.434830,4.395320,4.405190,4.195655,350123
2017-05-10,4.355810,4.405190,4.355810,4.405190,4.195655,340627
2017-05-11,4.405190,4.405190,4.375560,4.405190,4.195655,234202
2017-05-12,4.405190,4.444700,4.336060,4.345930,4.139214,387789
2017-05-15,4.503970,4.503970,4.355810,4.405190,4.195655,1136143
2017-05-16,4.444700,4.523720,4.405190,4.434830,4.223885,1175062
2017-05-17,4.474330,4.622490,4.464460,4.612610,4.393209,1177496
2017-05-18,4.582980,4.642250,4.543470,4.642250,4.421439,571091
2017-05-19,4.642250,4.691630,4.632370,4.652120,4.430840,665749
2017-05-22,4.681750,4.790400,4.681750,4.790400,4.562541,636751
2017-05-23,4.800280,4.899050,4.790400,4.829910,4.600173,583610
2017-05-24,4.889170,4.958310,4.869420,4.928680,4.694245,595482
2017-05-25,4.928680,4.928680,4.829910,4.879300,4.647213,304128
2017-05-26,4.928680,4.938560,4.869420,4.938560,4.703655,451017
2017-05-29,4.938560,4.938560,4.859540,4.869420,4.637804,273289
2017-05-30,4.908930,4.908930,4.849670,4.899050,4.666024,262004
2017-05-31,4.918810,5.126220,4.918810,5.116350,4.872988,742747
2017-06-01,5.126220,5.136100,5.047210,5.076840,4.835357,261767
2017-06-02,5.037330,5.175610,5.037330,5.155860,4.910619,284115
2017-06-05,5.155860,5.264500,5.155860,5.225000,4.976470,426018
2017-06-06,5.185490,5.205240,5.096590,5.175610,4.929430,399174
2017-06-07,5.185490,5.215120,5.160790,5.195360,4.948240,234785
2017-06-08,5.205240,5.215120,5.136100,5.205240,4.957650,324765
2017-06-09,5.195360,5.205240,5.165730,5.185490,4.938839,134255
2017-06-13,5.175610,5.215120,5.165730,5.165730,4.920020,279112
2017-06-14,5.165730,5.205240,5.165730,5.175610,4.929430,712296
2017-06-15,5.234870,5.412660,5.205240,5.383030,5.126984,793529
2017-06-16,5.432420,5.432420,5.313890,5.343520,5.089353,360001
2017-06-19,5.373150,5.491680,5.343520,5.462050,5.202245,318619
2017-06-20,5.521310,5.531190,5.422540,5.491680,5.230466,384733
2017-06-21,5.481800,5.501560,5.363280,5.491680,5.230466,381449
2017-06-22,5.462050,5.521310,5.412660,5.481800,5.221056,316330
2017-06-23,5.481800,5.501560,5.427480,5.452170,5.192834,126902
2017-06-26,5.422540,5.471920,5.412660,5.432420,5.174024,158476
2017-06-27,5.432420,5.462050,5.383030,5.422540,5.164614,163691
2017-06-28,5.402780,5.402780,5.304010,5.373150,5.117573,224278
2017-06-29,5.432420,5.432420,5.308950,5.333640,5.079942,218930
2017-06-30,5.353400,5.373150,5.244750,5.284260,5.032911,310317
2017-07-03,5.284260,5.333640,4.968190,5.047210,4.807137,476297
2017-07-04,5.076840,5.165730,5.066960,5.116350,4.872988,378856
2017-07-05,5.116350,5.116350,5.007700,5.037330,4.797727,214065
2017-07-06,4.987940,5.096590,4.968190,5.037330,4.797727,384877
2017-07-07,5.037330,5.106470,4.889170,5.086720,4.844768,283196
2017-07-10,5.086720,5.116350,5.027450,5.096590,4.854168,144102
2017-07-11,5.037330,5.215120,5.037330,5.165730,4.920020,304108
2017-07-12,5.165730,5.180550,5.086720,5.136100,4.891798,201969
2017-07-13,5.136100,5.160790,5.066960,5.116350,4.872988,214391
2017-07-14,5.136100,5.155860,5.096590,5.136100,4.891798,315835
2017-07-17,5.145980,5.185490,5.126220,5.155860,4.910619,264790
2017-07-18,5.136100,5.175610,5.136100,5.145980,4.901208,111403
2017-07-19,5.175610,5.175610,5.116350,5.126220,4.882389,158143
2017-07-20,5.126220,5.175610,5.086720,5.126220,4.882389,558573
2017-07-21,5.126220,5.136100,5.086720,5.136100,4.891798,138105
2017-07-24,5.116350,5.165730,5.116350,5.136100,4.891798,129061
2017-07-25,5.136100,5.294140,5.136100,5.244750,4.995281,248075
2017-07-26,5.215120,5.264500,5.185490,5.234870,4.985870,205097
2017-07-27,5.185490,5.284260,5.165730,5.205240,4.957650,183136
2017-07-28,5.195360,5.225000,5.145980,5.155860,4.910619,226581
2017-07-31,5.145980,5.234870,5.066960,5.136100,4.891798,282342
2017-08-01,5.086720,5.145980,5.037330,5.086720,4.844768,234401
2017-08-02,5.086720,5.086720,4.741020,4.908930,4.675434,707241
2017-08-03,4.938560,4.968190,4.918810,4.938560,4.703655,310753
2017-08-04,4.938560,5.047210,4.908930,4.968190,4.731876,332459
2017-08-07,4.958310,4.978070,4.849670,4.938560,4.703655,737022
2017-08-08,4.889170,4.948440,4.839790,4.869420,4.637804,506842
2017-08-09,4.879300,4.958310,4.859540,4.928680,4.694245,170348
2017-08-10,4.889170,4.958310,4.869420,4.879300,4.647213,242582
2017-08-11,4.859540,4.869420,4.800280,4.820030,4.590764,229883
2017-08-14,4.820030,4.899050,4.790400,4.859540,4.628393,216052
2017-08-15,4.869420,4.918810,4.849670,4.879300,4.647213,183195
2017-08-16,4.889170,4.918810,4.849670,4.889170,4.656614,163382
2017-08-17,4.839790,4.918810,4.839790,4.899050,4.666024,265490
2017-08-18,4.859540,4.928680,4.849670,4.879300,4.647213,212829
2017-08-21,4.879300,4.879300,4.750890,4.839790,4.609582,1135563
2017-08-22,4.839790,4.889170,4.780530,4.800280,4.571952,228524
2017-08-23,4.800280,4.869420,4.800280,4.820030,4.590764,192788
2017-08-24,4.859540,4.899050,4.839790,4.879300,4.647213,114097
2017-08-25,4.889170,4.918810,4.859540,4.869420,4.637804,127687
2017-08-28,4.849670,4.869420,4.662000,4.701510,4.477880,268312
2017-08-29,4.592860,4.701510,4.523720,4.523720,4.308547,534587
2017-08-30,4.543470,4.691630,4.533600,4.573110,4.355587,407155
2017-08-31,4.602740,4.652120,4.523720,4.632370,4.412029,337932
2017-09-01,4.602740,4.731140,4.602740,4.721260,4.496691,256042
2017-09-04,4.731140,4.750890,4.523720,4.543470,4.327357,269237
2017-09-05,4.513840,4.563230,4.405190,4.523720,4.308547,361579
2017-09-06,4.523720,4.602740,4.503970,4.582980,4.364988,250208
2017-09-07,4.484210,4.582980,4.474330,4.494090,4.280326,272148
2017-09-08,4.494090,4.602740,4.494090,4.543470,4.327357,254378
2017-09-11,4.494090,4.582980,4.494090,4.533600,4.317957,206152
2017-09-12,4.533600,4.553350,4.494090,4.494090,4.280326,387851
2017-09-13,4.484210,4.494090,4.405190,4.444700,4.233285,415299
2017-09-14,4.405190,4.424950,4.296550,4.336060,4.129813,401472
2017-09-15,4.306420,4.405190,4.306420,4.385440,4.176844,652212
2017-09-18,4.405190,4.494090,4.365690,4.464460,4.252106,476632
2017-09-19,4.424950,4.553350,4.395320,4.553350,4.336768,549465
2017-09-20,4.523720,4.582980,4.484210,4.553350,4.336768,280494
2017-09-21,4.553350,4.592860,4.513840,4.592860,4.374398,299072
2017-09-22,4.573110,4.701510,4.553350,4.681750,4.459060,362739
2017-09-25,4.701510,4.770650,4.691630,4.741020,4.515511,369543
2017-09-26,4.780530,4.800280,4.711390,4.790400,4.562541,480616
2017-09-27,4.780530,4.790400,4.750890,4.770650,4.543732,170340
2017-09-28,4.741020,4.810160,4.701510,4.810160,4.581363,353964
2017-09-29,4.839790,4.869420,4.691630,4.790400,4.562541,472658
2017-10-02,4.829910,4.839790,4.741020,4.790400,4.562541,190918
2017-10-03,4.839790,4.849670,4.750890,4.790400,4.562541,268928
2017-10-04,4.741020,4.889170,4.741020,4.839790,4.609582,315926
2017-10-05,4.849670,4.889170,4.839790,4.839790,4.609582,143660
2017-10-06,4.879300,4.879300,4.750890,4.750890,4.524911,195022
2017-10-09,4.760770,4.869420,4.760770,4.839790,4.609582,200854
2017-10-10,4.790400,4.859540,4.790400,4.820030,4.590764,177472
2017-10-11,4.820030,4.879300,4.820030,4.839790,4.609582,202066
2017-10-12,4.839790,4.839790,4.770650,4.820030,4.590764,187959
2017-10-13,4.780530,4.820030,4.711390,4.790400,4.562541,209682
2017-10-16,4.790400,4.859540,4.780530,4.810160,4.581363,167086
2017-10-17,4.800280,4.869420,4.800280,4.839790,4.609582,281108
2017-10-18,4.839790,4.859540,4.820030,4.839790,4.609582,256873
2017-10-19,4.820030,4.849670,4.790400,4.839790,4.609582,243523
2017-10-20,4.839790,4.849670,4.760770,4.839790,4.609582,238268
2017-10-23,4.829910,4.839790,4.790400,4.839790,4.609582,198800
2017-10-24,4.790400,4.854600,4.790400,4.839790,4.609582,260888
2017-10-25,4.849670,4.869420,4.844730,4.869420,4.637804,263468
2017-10-26,4.879300,5.027450,4.849670,4.958310,4.722466,360358
2017-10-27,4.958310,5.086720,4.938560,4.987940,4.750686,315842
2017-10-30,5.037330,5.126220,5.037330,5.037330,4.797727,241771
2017-10-31,5.037330,5.037330,4.987940,5.007700,4.769506,215120
2017-11-01,4.997820,5.037330,4.968190,5.037330,4.797727,206599
2017-11-02,5.047210,5.145980,5.027450,5.145980,4.901208,223293
2017-11-03,5.145980,5.175610,5.096590,5.136100,4.891798,162825
2017-11-06,5.136100,5.136100,5.057080,5.076840,4.835357,43040
2017-11-07,5.057080,5.076840,4.958310,4.997820,4.760096,87523
2017-11-08,4.938560,5.106470,4.820030,5.106470,4.863578,276407
2017-11-09,5.086720,5.234870,5.066960,5.234870,4.985870,245280
2017-11-10,5.234870,5.234870,5.066960,5.126220,4.882389,197530
2017-11-13,5.284260,5.699100,5.244750,5.531190,5.268096,655371
2017-11-14,5.570690,5.778110,5.570690,5.748480,5.475050,1536965
2017-11-15,5.827500,5.965780,5.817620,5.955900,5.672605,541160
2017-11-16,5.955900,5.965780,5.728730,5.728730,5.456240,634346
2017-11-17,5.778110,5.975660,5.629960,5.955900,5.672605,603568
2017-11-20,5.896640,6.222580,5.817620,6.212710,5.992661,784720
2017-11-21,6.173200,6.222580,6.025040,6.192950,5.973602,1077566
2017-11-22,6.173200,6.360860,6.173200,6.331230,6.106985,781562
2017-11-23,6.341110,6.657180,6.341110,6.509020,6.278477,633993
2017-11-24,6.499140,6.499140,6.390500,6.410250,6.183206,407469
2017-11-27,6.410250,6.667060,6.360860,6.617670,6.383279,367995
2017-11-28,6.617670,6.617670,6.390500,6.528780,6.297537,600709
2017-11-29,6.518900,6.795460,6.479390,6.775700,6.535712,346704
2017-11-30,6.746070,6.864600,6.676930,6.785580,6.545241,490912
2017-12-01,6.765830,6.765830,6.597920,6.726320,6.488081,269073
2017-12-04,6.736190,6.864600,6.627550,6.726320,6.488081,871583
2017-12-05,6.716440,6.864600,6.617670,6.864600,6.621463,484587
2017-12-06,6.864600,7.081890,6.765830,6.973250,6.726264,693836
2017-12-07,6.973250,7.027570,6.874470,6.913980,6.669094,560395
2017-12-08,6.913980,7.185600,6.913980,7.002880,6.754845,440371
2017-12-11,6.963370,7.091770,6.923860,7.032510,6.783425,365755
2017-12-12,7.012750,7.289310,7.012750,7.210300,6.954918,494577
2017-12-13,7.210300,7.358450,7.121400,7.358450,7.097821,547547
2017-12-14,7.289310,7.348580,7.180670,7.239930,6.983500,439597
2017-12-15,7.210300,7.368330,7.160910,7.368330,7.107351,435719
2017-12-18,7.368330,7.417720,7.318950,7.417720,7.154992,493101
2017-12-19,7.417720,7.664640,7.388080,7.664640,7.393167,687686
2017-12-20,7.635010,7.773290,7.546120,7.654770,7.383646,823889
2017-12-21,7.664640,7.684400,7.526360,7.605380,7.336005,260007
2017-12-22,7.575750,7.743660,7.565870,7.684400,7.412227,206084
2017-12-27,7.704150,7.783170,7.684400,7.783170,7.507498,221844
2017-12-28,7.812800,7.881940,7.783170,7.842430,7.564660,249133
2017-12-29,7.872060,8.099240,7.872060,8.069610,7.783792,426491
2018-01-02,8.099240,8.267150,8.010340,8.198010,7.907645,436282
2018-01-03,8.247390,8.247390,7.911570,7.951080,7.669461,365257
2018-01-04,7.980710,8.188130,7.980710,8.128870,7.840954,510840
2018-01-05,8.128870,8.128870,7.980710,8.000470,7.717102,197988
2018-01-08,8.000470,8.316530,7.891820,8.207890,7.917175,506418
2018-01-09,8.237520,8.336290,8.168380,8.306660,8.012446,485170
2018-01-10,8.346170,8.701740,8.326410,8.652360,8.345901,732186
2018-01-11,8.494320,8.751130,8.405430,8.701740,8.393534,546479
2018-01-12,8.642480,8.691860,8.346170,8.385670,8.088657,385697
2018-01-15,8.435060,8.514080,8.336290,8.415310,8.117249,403637
2018-01-16,8.395550,8.444940,8.138750,8.415310,8.117249,328202
2018-01-17,8.395550,8.652360,8.306660,8.504200,8.202991,491558
2018-01-18,8.504200,8.523950,8.010340,8.118990,7.831424,620167
2018-01-19,8.000470,8.237520,7.990590,8.059730,7.774262,485001
2018-01-22,8.237520,8.281960,8.069610,8.188130,7.898115,459188
2018-01-23,8.148620,8.193070,7.921450,8.148620,7.860004,441892
2018-01-24,8.148620,8.148620,7.970830,8.148620,7.860004,204053
2018-01-25,7.960960,8.118990,7.704150,7.822680,7.545609,324438
2018-01-29,7.812800,7.960960,7.714030,7.911570,7.631351,357694
2018-01-30,7.881940,7.881940,7.723910,7.763420,7.488448,362419
2018-01-31,7.802920,7.802920,7.506610,7.743660,7.469388,304325
2018-02-01,7.773290,7.793050,7.664640,7.753540,7.478918,265024
2018-02-02,7.654770,7.891820,7.644890,7.852310,7.574189,234808
