Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.140000,2.190000,2.120000,2.150000,2.004484,6170852
2017-01-31,2.140000,2.190000,2.120000,2.130000,1.985838,7251213
2017-02-01,2.170000,2.190000,2.150000,2.170000,2.023130,8379491
2017-02-02,2.180000,2.240000,2.175000,2.210000,2.060423,8864703
2017-02-03,2.250000,2.260000,2.220000,2.240000,2.088392,7418606
2017-02-06,2.270000,2.310000,2.265000,2.300000,2.144331,7585827
2017-02-07,2.400000,2.420000,2.375000,2.400000,2.237563,13598839
2017-02-08,2.380000,2.390000,2.310000,2.350000,2.190948,8284002
2017-02-09,2.410000,2.430000,2.360000,2.370000,2.209594,7403949
2017-02-10,2.300000,2.340000,2.280000,2.330000,2.172301,6884238
2017-02-13,2.370000,2.380000,2.330000,2.340000,2.181624,5263135
2017-02-14,2.320000,2.360000,2.280000,2.340000,2.181624,6276875
2017-02-15,2.340000,2.370000,2.320000,2.350000,2.190948,6440858
2017-02-16,2.370000,2.390000,2.350000,2.350000,2.190948,5722108
2017-02-17,2.390000,2.465000,2.380000,2.390000,2.228240,8854001
2017-02-20,2.390000,2.410000,2.360000,2.380000,2.218917,4125548
2017-02-21,2.390000,2.410000,2.330000,2.350000,2.190948,7143459
2017-02-22,2.340000,2.340000,2.245000,2.260000,2.107039,10275572
2017-02-23,2.280000,2.330000,2.240000,2.250000,2.097716,7497178
2017-02-24,2.320000,2.345000,2.260000,2.270000,2.135343,9121141
2017-02-27,2.310000,2.325000,2.270000,2.310000,2.172970,7711405
2017-02-28,2.250000,2.265000,2.140000,2.160000,2.031868,10823976
2017-03-01,2.150000,2.170000,2.130000,2.160000,2.031868,8547911
2017-03-02,2.170000,2.210000,2.135000,2.160000,2.031868,7429353
2017-03-03,2.060000,2.100000,2.020000,2.050000,1.928393,10935052
2017-03-06,2.050000,2.080000,2.025000,2.030000,1.909580,7698974
2017-03-07,2.010000,2.010000,1.925000,1.955000,1.839029,14916919
2017-03-08,1.905000,1.940000,1.905000,1.915000,1.801401,14981395
2017-03-09,1.905000,1.970000,1.900000,1.925000,1.810808,10802120
2017-03-10,1.920000,1.940000,1.890000,1.910000,1.796698,25587835
2017-03-13,1.990000,2.045000,1.965000,2.040000,1.918987,12394899
2017-03-14,2.030000,2.070000,1.995000,2.070000,1.947207,7869872
2017-03-15,2.040000,2.070000,2.010000,2.060000,1.937800,12710513
2017-03-16,2.160000,2.190000,2.130000,2.150000,2.022461,12175974
2017-03-17,2.180000,2.250000,2.160000,2.250000,2.116529,42175857
2017-03-20,2.250000,2.250000,2.160000,2.180000,2.050682,8716051
2017-03-21,2.200000,2.240000,2.170000,2.190000,2.060088,12056482
2017-03-22,2.260000,2.290000,2.190000,2.200000,2.069495,13586307
2017-03-23,2.190000,2.200000,2.100000,2.130000,2.003648,99263993
2017-03-24,2.050000,2.080000,2.020000,2.050000,1.928393,21498676
2017-03-27,2.090000,2.170000,2.070000,2.160000,2.031868,18001752
2017-03-28,2.170000,2.175000,2.120000,2.160000,2.031868,11919572
2017-03-29,2.110000,2.150000,2.110000,2.140000,2.013055,9257579
2017-03-30,2.170000,2.180000,2.120000,2.140000,2.013055,8465698
2017-03-31,2.130000,2.140000,2.100000,2.100000,1.975427,8214630
2017-04-03,2.120000,2.150000,2.110000,2.130000,2.003648,6763025
2017-04-04,2.160000,2.230000,2.160000,2.210000,2.078902,10203215
2017-04-05,2.180000,2.225000,2.160000,2.170000,2.041275,9958058
2017-04-06,2.220000,2.250000,2.190000,2.220000,2.088309,7290954
2017-04-07,2.220000,2.310000,2.190000,2.280000,2.144750,14318957
2017-04-10,2.250000,2.320000,2.200000,2.300000,2.163563,12352285
2017-04-11,2.300000,2.350000,2.270000,2.340000,2.201190,10877386
2017-04-12,2.410000,2.440000,2.350000,2.380000,2.238818,13822977
2017-04-13,2.420000,2.450000,2.410000,2.450000,2.304665,21714566
2017-04-18,2.440000,2.500000,2.410000,2.500000,2.351699,20560993
2017-04-19,2.490000,2.500000,2.375000,2.390000,2.248225,18265583
2017-04-20,2.370000,2.390000,2.330000,2.380000,2.238818,14089951
2017-04-21,2.380000,2.420000,2.360000,2.410000,2.267038,9481305
2017-04-24,2.360000,2.385000,2.350000,2.360000,2.220004,10199772
2017-04-26,2.250000,2.310000,2.180000,2.240000,2.107122,18837560
2017-04-27,2.250000,2.330000,2.250000,2.310000,2.172970,6542824
2017-04-28,2.270000,2.295000,2.220000,2.290000,2.154156,11571463
2017-05-01,2.310000,2.340000,2.260000,2.280000,2.144750,7756516
2017-05-02,2.260000,2.260000,2.170000,2.200000,2.069495,16568450
2017-05-03,2.220000,2.260000,2.190000,2.210000,2.078902,10275286
2017-05-04,2.180000,2.210000,2.130000,2.200000,2.069495,8411397
2017-05-05,2.160000,2.200000,2.150000,2.190000,2.060088,6783674
