Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.660000,4.800000,4.660000,4.780000,4.780000,836821
2019-09-17,4.770000,4.800000,4.730000,4.740000,4.740000,1401596
2019-09-18,4.750000,4.750000,4.640000,4.640000,4.640000,4159993
2019-09-19,4.640000,4.670000,4.610000,4.620000,4.620000,2089709
2019-09-20,4.650000,4.750000,4.610000,4.660000,4.660000,2536334
2019-09-23,4.680000,4.750000,4.680000,4.730000,4.730000,769237
2019-09-24,4.740000,4.770000,4.730000,4.740000,4.740000,523499
2019-09-25,4.660000,4.780000,4.660000,4.740000,4.740000,1383350
2019-09-26,4.720000,4.760000,4.700000,4.720000,4.720000,665174
2019-09-27,4.750000,4.750000,4.675000,4.720000,4.720000,456417
2019-09-30,4.710000,4.790000,4.700000,4.750000,4.750000,506676
2019-10-01,4.750000,4.870000,4.730000,4.870000,4.870000,1335489
2019-10-02,4.740000,4.740000,4.610000,4.630000,4.630000,1414483
2019-10-03,4.560000,4.620000,4.460000,4.480000,4.480000,1153354
2019-10-04,4.480000,4.480000,4.480000,4.480000,4.480000,0
2019-10-07,4.480000,4.500000,4.430000,4.460000,4.460000,339045
2019-10-08,4.480000,4.540000,4.440000,4.530000,4.530000,759398
2019-10-09,4.490000,4.500000,4.455000,4.490000,4.490000,1436717
2019-10-10,4.470000,4.490000,4.415000,4.440000,4.440000,989939
2019-10-11,4.430000,4.445000,4.370000,4.370000,4.370000,1143777
2019-10-14,4.410000,4.430000,4.360000,4.380000,4.380000,711589
2019-10-15,4.390000,4.420000,4.290000,4.310000,4.310000,739371
2019-10-16,4.390000,4.410000,4.340000,4.380000,4.380000,1103184
2019-10-17,4.370000,4.490000,4.370000,4.450000,4.450000,1056963
2019-10-18,4.490000,4.520000,4.410000,4.470000,4.470000,1270607
2019-10-21,4.470000,4.510000,4.400000,4.430000,4.430000,685569
2019-10-22,4.440000,4.490000,4.290000,4.340000,4.340000,1796730
2019-10-23,4.300000,4.435000,4.290000,4.420000,4.420000,1295822
2019-10-24,4.390000,4.420000,4.350000,4.380000,4.380000,892420
2019-10-25,4.350000,4.390000,4.260000,4.320000,4.320000,682370
2019-10-28,4.340000,4.340000,4.280000,4.280000,4.280000,291299
2019-10-29,4.310000,4.320000,4.230000,4.240000,4.240000,625866
2019-10-30,4.210000,4.245000,4.190000,4.210000,4.210000,1147690
2019-10-31,4.230000,4.265000,4.200000,4.250000,4.250000,847736
2019-11-01,4.240000,4.290000,4.240000,4.250000,4.250000,385211
2019-11-04,4.300000,4.405000,4.290000,4.380000,4.380000,381221
2019-11-05,4.400000,4.510000,4.370000,4.460000,4.460000,734259
2019-11-06,4.480000,4.480000,4.400000,4.440000,4.440000,1019710
2019-11-07,4.480000,4.520000,4.440000,4.510000,4.510000,799955
2019-11-08,4.630000,4.760000,4.600000,4.700000,4.700000,1382310
2019-11-11,4.710000,4.770000,4.660000,4.770000,4.770000,763815
2019-11-12,4.790000,4.790000,4.715000,4.760000,4.760000,708185
2019-11-13,4.770000,4.860000,4.755000,4.820000,4.820000,847743
2019-11-14,4.820000,4.970000,4.820000,4.950000,4.950000,1221934
2019-11-15,4.940000,5.000000,4.900000,4.970000,4.970000,1246715
2019-11-18,4.960000,5.000000,4.930000,4.960000,4.960000,965327
2019-11-19,4.900000,4.930000,4.860000,4.920000,4.920000,859872
2019-11-20,4.880000,4.950000,4.850000,4.880000,4.880000,926914
2019-11-21,4.890000,4.960000,4.870000,4.940000,4.940000,837758
2019-11-22,4.920000,4.990000,4.915000,4.990000,4.990000,863102
2019-11-25,4.980000,5.010000,4.910000,4.950000,4.950000,1100519
2019-11-26,4.940000,5.040000,4.910000,5.030000,5.030000,2832238
2019-11-27,5.010000,5.020000,4.960000,4.980000,4.980000,1070873
2019-11-28,4.980000,5.020000,4.890000,4.940000,4.940000,1038780
2019-11-29,4.840000,4.980000,4.760000,4.930000,4.930000,1567582
2019-12-02,4.940000,4.960000,4.910000,4.950000,4.950000,1294600
2019-12-03,4.890000,4.960000,4.850000,4.930000,4.930000,1667614
2019-12-04,4.850000,4.950000,4.850000,4.870000,4.870000,1320242
2019-12-05,4.930000,4.950000,4.830000,4.860000,4.860000,1497805
2019-12-06,4.860000,4.930000,4.820000,4.910000,4.910000,725928
2019-12-09,4.880000,5.000000,4.870000,4.980000,4.980000,891404
2019-12-10,4.950000,4.985000,4.910000,4.980000,4.980000,507386
2019-12-11,4.980000,5.050000,4.950000,5.020000,5.020000,939479
2019-12-12,5.020000,5.050000,4.970000,5.000000,5.000000,1230163
2019-12-13,5.030000,5.050000,4.980000,5.020000,5.020000,744575
2019-12-16,5.010000,5.110000,5.000000,5.110000,5.110000,1162264
2019-12-17,5.110000,5.110000,5.060000,5.080000,5.080000,1570622
2019-12-18,5.100000,5.120000,5.040000,5.100000,5.100000,1091005
2019-12-19,5.100000,5.120000,5.030000,5.060000,5.060000,1080360
2019-12-20,5.030000,5.060000,5.000000,5.020000,5.020000,602150
2019-12-23,5.010000,5.050000,5.000000,5.030000,5.030000,313254
2019-12-24,5.000000,5.070000,4.980000,4.990000,4.990000,171361
2019-12-27,4.990000,5.030000,4.945000,4.960000,4.960000,210822
2019-12-30,4.980000,5.010000,4.930000,4.990000,4.990000,337144
2019-12-31,4.940000,4.960000,4.885000,4.900000,4.900000,433291
2020-01-02,4.920000,4.940000,4.880000,4.920000,4.920000,361320
2020-01-03,4.980000,5.030000,4.960000,4.980000,4.980000,301539
2020-01-06,4.980000,5.010000,4.860000,4.920000,4.920000,678285
2020-01-07,4.980000,5.010000,4.930000,4.960000,4.960000,272960
2020-01-08,4.960000,4.965000,4.905000,4.940000,4.940000,417705
2020-01-09,4.980000,5.035000,4.970000,4.990000,4.990000,568401
2020-01-10,4.980000,5.020000,4.920000,4.950000,4.950000,496320
2020-01-13,4.910000,5.030000,4.910000,5.030000,5.030000,263151
2020-01-14,5.030000,5.110000,5.020000,5.080000,5.080000,428455
2020-01-15,5.120000,5.120000,5.020000,5.060000,5.060000,760813
2020-01-16,5.090000,5.150000,5.070000,5.150000,5.150000,703263
2020-01-17,5.150000,5.260000,5.140000,5.230000,5.230000,710094
2020-01-20,5.210000,5.260000,5.160000,5.180000,5.180000,511042
2020-01-21,5.240000,5.295000,5.200000,5.290000,5.290000,577699
2020-01-22,5.250000,5.400000,5.230000,5.370000,5.370000,908838
2020-01-23,5.380000,5.430000,5.360000,5.400000,5.400000,659971
2020-01-24,5.430000,5.510000,5.430000,5.450000,5.450000,472833
2020-01-28,5.310000,5.470000,5.300000,5.380000,5.380000,797173
2020-01-29,5.440000,5.460000,5.380000,5.400000,5.400000,742967
2020-01-30,5.400000,5.450000,5.380000,5.400000,5.400000,1108173
2020-01-31,5.400000,5.430000,5.340000,5.350000,5.350000,941798
2020-02-03,5.300000,5.340000,5.270000,5.310000,5.310000,570195
2020-02-04,5.310000,5.320000,5.220000,5.290000,5.290000,969784
2020-02-05,5.330000,5.350000,5.170000,5.210000,5.210000,802800
2020-02-06,5.280000,5.330000,5.250000,5.280000,5.280000,601570
2020-02-07,5.310000,5.340000,5.185000,5.210000,5.210000,801904
2020-02-10,5.170000,5.170000,5.020000,5.030000,5.030000,1009413
2020-02-11,5.010000,5.030000,4.940000,4.990000,4.990000,1001905
2020-02-12,5.030000,5.120000,5.020000,5.100000,5.100000,1527226
2020-02-13,5.090000,5.160000,5.060000,5.130000,5.130000,1385939
2020-02-14,5.160000,5.160000,4.990000,5.000000,5.000000,741082
