Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,47.320000,47.709999,47.160000,47.599998,47.599998,259969
2019-09-17,47.380001,47.509998,46.740002,47.009998,47.009998,342603
2019-09-18,47.200001,47.540001,46.470001,46.959999,46.959999,544887
2019-09-19,47.360001,47.570000,46.700001,46.770000,46.770000,501221
2019-09-20,46.869999,48.090000,46.820000,47.450001,47.450001,542652
2019-09-23,47.480000,48.110001,47.099998,47.820000,47.820000,345960
2019-09-24,47.630001,48.570000,47.560001,48.230000,48.230000,341818
2019-09-25,47.720001,48.090000,47.070000,47.169998,47.169998,351324
2019-09-26,47.299999,47.660000,46.830002,46.910000,46.910000,198887
2019-09-27,47.200001,47.860001,47.009998,47.810001,47.810001,305392
2019-09-30,47.650002,48.209999,47.570000,47.599998,47.599998,192758
2019-10-01,47.430000,47.950001,47.200001,47.509998,47.509998,329581
2019-10-02,47.020000,47.580002,46.959999,47.340000,47.340000,254174
2019-10-03,46.820000,46.820000,46.209999,46.450001,46.450001,354397
2019-10-04,46.450001,46.450001,46.450001,46.450001,46.450001,0
2019-10-07,46.779999,46.910000,46.330002,46.889999,46.889999,142524
2019-10-08,46.849998,47.250000,46.549999,47.200001,47.200001,288894
2019-10-09,46.599998,46.990002,40.650002,41.669998,41.669998,1211314
2019-10-10,40.700001,42.160000,40.520000,41.730000,41.730000,1338879
2019-10-11,41.810001,42.270000,41.439999,41.599998,41.599998,589623
2019-10-14,41.799999,41.990002,41.150002,41.529999,41.529999,405736
2019-10-15,41.459999,42.820000,41.459999,42.610001,42.610001,375928
2019-10-16,42.799999,43.139999,42.400002,42.900002,42.900002,480625
2019-10-17,43.160000,43.200001,42.529999,43.130001,43.130001,380739
2019-10-18,42.849998,43.150002,42.500000,43.110001,43.110001,302872
2019-10-21,42.970001,43.590000,42.720001,43.590000,43.590000,254580
2019-10-22,43.000000,43.930000,42.959999,43.650002,43.650002,202049
2019-10-23,43.240002,44.020000,43.189999,43.900002,43.900002,445748
2019-10-24,44.049999,44.049999,43.119999,43.470001,43.470001,446677
2019-10-25,43.529999,43.730000,43.020000,43.250000,43.250000,348346
2019-10-28,43.040001,43.375000,42.970001,43.130001,43.130001,205348
2019-10-29,43.169998,43.450001,42.959999,43.070000,43.070000,242068
2019-10-30,42.509998,43.040001,42.320000,42.720001,42.720001,375190
2019-10-31,42.990002,43.220001,42.150002,42.590000,42.590000,276847
2019-11-01,42.340000,42.669998,42.000000,42.000000,42.000000,300967
2019-11-04,42.279999,42.330002,41.840000,42.000000,42.000000,277430
2019-11-05,42.660000,42.980000,42.490002,42.619999,42.619999,290920
2019-11-06,42.950001,42.980000,42.250000,42.389999,42.389999,394379
2019-11-07,40.000000,40.910000,39.200001,40.070000,40.070000,1042525
2019-11-08,39.799999,39.869999,39.380001,39.709999,39.709999,682684
2019-11-11,39.669998,40.150002,39.669998,40.060001,40.060001,364109
2019-11-12,40.200001,40.549999,39.619999,39.820000,39.820000,393890
2019-11-13,40.200001,40.980000,39.930000,40.709999,40.709999,478225
2019-11-14,40.970001,41.400002,40.410000,41.180000,41.180000,328026
2019-11-15,41.189999,42.240002,41.189999,42.240002,42.240002,307814
2019-11-18,42.540001,42.669998,41.750000,42.619999,42.619999,425767
2019-11-19,42.790001,43.090000,42.320000,42.740002,42.740002,272650
2019-11-20,42.750000,43.320000,42.654999,42.910000,42.910000,350235
2019-11-21,42.910000,42.910000,41.970001,42.450001,42.450001,519056
2019-11-22,42.540001,42.799999,41.970001,42.439999,42.439999,437384
2019-11-25,42.500000,42.799999,42.259998,42.639999,42.639999,208507
2019-11-26,42.790001,42.910000,42.049999,42.599998,42.599998,338381
2019-11-27,42.770000,43.820000,42.480000,43.820000,43.820000,331144
2019-11-28,43.709999,44.150002,43.459999,44.000000,44.000000,211840
2019-11-29,44.150002,44.610001,43.810001,44.029999,44.029999,320789
2019-12-02,44.000000,44.279999,43.570000,43.610001,43.610001,173608
2019-12-03,42.910000,43.119999,42.580002,42.770000,42.770000,451046
2019-12-04,42.240002,42.740002,42.150002,42.150002,42.150002,370337
2019-12-05,42.250000,42.970001,42.250000,42.750000,42.750000,166850
2019-12-06,42.630001,43.439999,42.630001,43.389999,43.389999,192664
2019-12-09,42.980000,43.340000,42.770000,43.110001,43.110001,170606
2019-12-10,42.900002,43.099998,42.369999,42.389999,42.389999,128871
2019-12-11,42.360001,43.450001,42.360001,43.320000,43.320000,1152144
2019-12-12,43.279999,43.689999,42.619999,42.740002,42.740002,375936
2019-12-13,43.070000,44.160000,43.029999,44.040001,44.040001,210726
2019-12-16,43.980000,45.130001,43.950001,44.849998,44.849998,252560
2019-12-17,44.889999,45.240002,44.660000,44.860001,44.860001,216208
2019-12-18,44.619999,45.020000,44.180000,44.299999,44.299999,256559
2019-12-19,44.349998,44.639999,44.049999,44.299999,44.299999,232593
2019-12-20,43.970001,44.389999,43.630001,44.090000,44.090000,317936
2019-12-23,44.389999,44.610001,43.990002,44.259998,44.259998,112711
2019-12-24,44.259998,44.889999,44.180000,44.639999,44.639999,65865
2019-12-27,44.200001,44.680000,44.180000,44.599998,44.599998,62774
2019-12-30,44.639999,45.230000,44.560001,45.119999,45.119999,129204
2019-12-31,45.000000,45.290001,43.950001,44.060001,44.060001,147815
2020-01-02,43.509998,44.029999,43.509998,43.900002,43.900002,102271
2020-01-03,44.139999,45.000000,44.139999,44.369999,44.369999,151051
2020-01-06,44.000000,44.500000,43.639999,44.349998,44.349998,128682
2020-01-07,44.230000,44.919998,44.230000,44.759998,44.759998,149949
2020-01-08,44.599998,44.860001,43.680000,43.919998,43.919998,239433
2020-01-09,43.990002,44.799999,43.990002,44.130001,44.130001,219508
2020-01-10,44.060001,44.750000,44.000000,44.279999,44.279999,195034
2020-01-13,44.139999,44.549999,43.910000,44.520000,44.520000,162407
2020-01-14,44.580002,44.980000,44.419998,44.439999,44.439999,178355
2020-01-15,44.389999,44.950001,44.279999,44.660000,44.660000,221815
2020-01-16,45.000000,45.230000,44.180000,44.279999,44.279999,248191
2020-01-17,44.500000,44.500000,43.759998,43.849998,43.849998,242627
2020-01-20,43.849998,44.360001,43.049999,43.049999,43.049999,381765
2020-01-21,42.200001,42.910000,41.700001,41.779999,41.779999,649890
2020-01-22,40.990002,41.560001,39.919998,41.000000,41.000000,771362
2020-01-23,41.009998,42.330002,40.919998,42.200001,42.200001,465563
2020-01-24,42.279999,42.560001,41.400002,41.470001,41.470001,1020248
