Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,6.620000,6.630000,6.480000,6.480000,5.018950,9615882
2017-01-31,6.470000,6.720000,6.440000,6.660000,5.158365,20744295
2017-02-01,6.780000,6.970000,6.735000,6.810000,5.274544,19220440
2017-02-02,6.820000,6.870000,6.700000,6.760000,5.235818,10012779
2017-02-03,6.700000,6.740000,6.400000,6.450000,4.995714,20529912
2017-02-06,6.420000,6.555000,6.325000,6.450000,4.995714,18679906
2017-02-07,6.450000,6.680000,6.320000,6.610000,5.119639,17224468
2017-02-08,6.590000,6.770000,6.540000,6.600000,5.111894,15793834
2017-02-09,6.540000,6.600000,6.345000,6.360000,4.926007,15732712
2017-02-10,6.490000,6.550000,6.425000,6.480000,5.018950,16573791
2017-02-13,6.670000,6.930000,6.660000,6.880000,5.328763,35112052
2017-02-14,6.970000,7.060000,6.880000,6.880000,5.328763,30867063
2017-02-15,6.960000,7.035000,6.920000,6.980000,5.406215,14333353
2017-02-16,7.030000,7.060000,6.970000,7.050000,5.460432,17940892
2017-02-17,6.950000,6.990000,6.830000,6.880000,5.328763,15820001
2017-02-20,6.940000,7.010000,6.920000,6.980000,5.406215,13349360
2017-02-21,7.020000,7.190000,7.000000,7.170000,5.553375,23866308
2017-02-22,7.200000,7.270000,6.910000,6.980000,5.406215,23777115
2017-02-23,7.000000,7.010000,6.790000,6.800000,5.266800,23696349
2017-02-24,6.660000,6.690000,6.560000,6.570000,5.088657,22678090
2017-02-27,6.620000,6.745000,6.480000,6.660000,5.158365,28098789
2017-02-28,6.770000,6.795000,6.630000,6.630000,5.135130,20733951
2017-03-01,6.560000,6.695000,6.530000,6.600000,5.111894,21004591
2017-03-02,6.640000,6.700000,6.550000,6.620000,5.287615,18176072
2017-03-03,6.360000,6.430000,6.235000,6.280000,5.016046,20699631
2017-03-06,6.390000,6.500000,6.380000,6.470000,5.167805,18770489
2017-03-07,6.430000,6.585000,6.370000,6.540000,5.223716,20746249
2017-03-08,6.440000,6.500000,6.380000,6.500000,5.191767,13400583
2017-03-09,6.360000,6.400000,6.240000,6.250000,4.992084,23082699
2017-03-10,6.290000,6.340000,6.110000,6.110000,4.880261,22115110
2017-03-13,6.020000,6.245000,5.990000,6.150000,4.912210,26302353
2017-03-14,6.330000,6.370000,6.190000,6.190000,4.944160,19779154
2017-03-15,6.320000,6.590000,6.300000,6.540000,5.223716,27287854
2017-03-16,6.800000,6.830000,6.690000,6.830000,5.455348,41156348
2017-03-17,6.810000,6.820000,6.690000,6.700000,5.351513,25226785
2017-03-20,6.670000,6.760000,6.670000,6.700000,5.351513,9688878
2017-03-21,6.670000,6.740000,6.550000,6.620000,5.287615,27201726
2017-03-22,6.250000,6.350000,6.150000,6.270000,5.008058,24301081
2017-03-23,6.340000,6.410000,6.250000,6.260000,5.000071,13925841
2017-03-24,6.320000,6.370000,6.215000,6.260000,5.000071,13038616
2017-03-27,6.150000,6.180000,6.040000,6.070000,4.848311,16985449
2017-03-28,6.080000,6.210000,6.080000,6.150000,4.912210,15102283
2017-03-29,6.260000,6.280000,6.120000,6.170000,4.928185,16478474
2017-03-30,6.260000,6.310000,6.180000,6.210000,4.960134,26097706
2017-03-31,6.270000,6.290000,6.210000,6.230000,4.976109,12897713
2017-04-03,6.190000,6.340000,6.110000,6.200000,4.952147,15174405
2017-04-04,6.170000,6.210000,6.060000,6.100000,4.872273,11753319
2017-04-05,6.260000,6.420000,6.220000,6.420000,5.127868,31530318
2017-04-06,6.350000,6.370000,6.280000,6.300000,5.032021,14211329
2017-04-07,6.190000,6.220000,6.050000,6.110000,4.880261,18952769
2017-04-10,6.050000,6.185000,6.015000,6.100000,4.872273,20649637
2017-04-11,6.070000,6.080000,5.960000,6.010000,4.800388,23498572
2017-04-12,5.990000,6.010000,5.820000,5.900000,4.712527,17066696
2017-04-13,5.500000,5.570000,5.420000,5.500000,4.393034,33115059
2017-04-18,5.350000,5.410000,5.050000,5.090000,4.065553,49582605
2017-04-19,5.040000,5.310000,4.995000,5.240000,4.185362,30225252
2017-04-20,5.200000,5.370000,5.160000,5.180000,4.137439,27857851
2017-04-21,5.360000,5.480000,5.340000,5.450000,4.353096,22105481
2017-04-24,5.510000,5.510000,5.250000,5.310000,4.241274,15072616
2017-04-26,5.360000,5.390000,5.250000,5.380000,4.297185,17753463
2017-04-27,5.350000,5.380000,5.195000,5.210000,4.161401,16800437
2017-04-28,5.060000,5.380000,5.040000,5.310000,4.241274,28636996
2017-05-01,5.260000,5.330000,5.160000,5.250000,4.193350,13088483
2017-05-02,5.250000,5.350000,5.230000,5.270000,4.209324,18140460
2017-05-03,5.310000,5.310000,5.180000,5.220000,4.169388,10633788
2017-05-04,5.070000,5.085000,4.950000,4.970000,3.969704,19973673
2017-05-05,4.900000,4.950000,4.800000,4.820000,3.849895,29105432
2017-05-08,5.000000,5.060000,4.830000,4.890000,3.905806,30940411
2017-05-09,4.800000,4.910000,4.750000,4.880000,3.897819,21040551
2017-05-10,4.920000,5.170000,4.915000,5.130000,4.097502,26605077
2017-05-11,5.100000,5.110000,4.830000,4.870000,3.889831,25796822
2017-05-12,4.870000,4.925000,4.740000,4.740000,3.785996,22404072
2017-05-15,4.790000,4.795000,4.660000,4.710000,3.762034,26707825
2017-05-16,4.800000,4.895000,4.780000,4.820000,3.849895,24292880
2017-05-17,4.920000,5.050000,4.890000,5.020000,4.009641,27022639
2017-05-18,4.950000,5.010000,4.880000,4.960000,3.961717,17665242
2017-05-19,5.000000,5.260000,4.960000,5.240000,4.185362,25379173
2017-05-22,5.350000,5.495000,5.350000,5.370000,4.289198,27839566
2017-05-23,5.370000,5.390000,5.210000,5.260000,4.201338,15476498
2017-05-24,5.190000,5.220000,4.950000,5.010000,4.001655,23091350
