Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,8.470000,8.470000,8.310000,8.330000,7.988786,400359
2017-01-31,8.260000,8.370000,8.160000,8.310000,7.969605,272587
2017-02-01,8.250000,8.370000,8.250000,8.360000,8.017557,291035
2017-02-02,8.330000,8.410000,8.290000,8.390000,8.046328,372342
2017-02-03,8.320000,8.600000,8.320000,8.560000,8.209364,324150
2017-02-06,8.550000,8.660000,8.370000,8.450000,8.103869,253208
2017-02-07,8.500000,8.520000,8.350000,8.430000,8.084689,382993
2017-02-08,8.450000,8.560000,8.450000,8.560000,8.209364,249515
2017-02-09,8.540000,8.540000,8.470000,8.480000,8.132641,318341
2017-02-10,8.490000,8.550000,8.460000,8.520000,8.171002,684046
2017-02-13,8.500000,8.570000,8.460000,8.540000,8.190184,188273
2017-02-14,8.570000,8.650000,8.390000,8.450000,8.103869,220697
2017-02-15,8.460000,8.490000,8.420000,8.460000,8.113460,165086
2017-02-16,8.470000,8.470000,8.310000,8.390000,8.046328,338165
2017-02-17,8.400000,8.500000,8.245000,8.350000,8.007967,325763
2017-02-20,8.360000,8.440000,8.250000,8.290000,7.950423,189931
2017-02-21,8.280000,8.280000,8.215000,8.250000,7.912062,145898
2017-02-22,8.310000,8.340000,8.160000,8.220000,7.883292,276166
2017-02-23,8.210000,8.310000,8.120000,8.310000,7.969605,250549
2017-02-24,8.200000,8.280000,8.180000,8.200000,7.864110,164333
2017-02-27,8.200000,8.340000,8.200000,8.320000,7.979194,216852
2017-02-28,8.370000,8.600000,8.350000,8.590000,8.238135,811979
2017-03-01,8.600000,8.620000,8.550000,8.620000,8.266906,577538
2017-03-02,8.610000,8.690000,8.570000,8.670000,8.314858,332665
2017-03-03,8.610000,8.660000,8.600000,8.640000,8.286088,256237
2017-03-06,8.680000,8.680000,8.570000,8.590000,8.238135,175936
2017-03-07,8.590000,8.690000,8.590000,8.640000,8.286088,256704
2017-03-08,8.640000,8.720000,8.610000,8.710000,8.353220,254532
2017-03-09,8.740000,8.780000,8.620000,8.660000,8.305267,259370
2017-03-10,8.650000,8.830000,8.600000,8.830000,8.468304,173896
2017-03-13,8.830000,9.000000,8.770000,8.990000,8.621750,400868
2017-03-14,8.950000,9.080000,8.840000,8.920000,8.554618,466319
