Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.360000,3.440000,3.350000,3.380000,3.049852,4615179
2018-01-31,3.360000,3.390000,3.310000,3.360000,3.031806,4640685
2018-02-01,3.380000,3.420000,3.350000,3.370000,3.040829,1476267
2018-02-02,3.380000,3.420000,3.370000,3.390000,3.058876,1657351
2018-02-05,3.380000,3.380000,3.290000,3.320000,2.995713,3840130
2018-02-06,3.270000,3.270000,3.170000,3.220000,2.905481,3722044
2018-02-07,3.280000,3.325000,3.250000,3.250000,2.932550,2632147
2018-02-08,3.240000,3.300000,3.240000,3.300000,2.977666,1315213
2018-02-09,3.250000,3.285000,3.210000,3.260000,2.941574,1538225
2018-02-12,3.240000,3.250000,3.195000,3.220000,2.905481,1778257
2018-02-13,3.230000,3.250000,3.200000,3.220000,2.905481,2365380
2018-02-14,3.220000,3.240000,3.200000,3.210000,2.896457,1309692
2018-02-15,3.220000,3.230000,3.180000,3.190000,2.878411,1415034
2018-02-16,3.200000,3.260000,3.200000,3.260000,2.941574,1395465
2018-02-19,3.280000,3.300000,3.240000,3.250000,2.932550,1255929
2018-02-20,3.270000,3.290000,3.240000,3.250000,2.932550,1545142
2018-02-21,3.250000,3.270000,3.150000,3.170000,2.860364,2098854
2018-02-22,3.180000,3.200000,3.170000,3.170000,2.860364,1524160
2018-02-23,3.170000,3.190000,3.110000,3.150000,2.842318,1847327
2018-02-26,3.030000,3.140000,2.890000,2.900000,2.616737,8421289
2018-02-27,2.940000,2.970000,2.860000,2.870000,2.589668,7470122
2018-02-28,2.880000,2.890000,2.720000,2.800000,2.526505,13452868
2018-03-01,2.820000,2.880000,2.820000,2.860000,2.580644,4891118
2018-03-02,2.850000,2.860000,2.800000,2.810000,2.535528,4571612
2018-03-05,2.840000,2.850000,2.740000,2.750000,2.481389,4170374
2018-03-06,2.780000,2.800000,2.750000,2.780000,2.508458,3021854
2018-03-07,2.790000,2.800000,2.760000,2.760000,2.490412,2455781
2018-03-08,2.700000,2.760000,2.670000,2.750000,2.574674,2455303
2018-03-09,2.750000,2.800000,2.720000,2.800000,2.621486,2667273
2018-03-12,2.800000,2.800000,2.730000,2.750000,2.574674,3015463
2018-03-13,2.750000,2.780000,2.730000,2.750000,2.574674,2037844
2018-03-14,2.760000,2.830000,2.745000,2.830000,2.649574,4680441
2018-03-15,2.780000,2.810000,2.695000,2.750000,2.574674,5884325
2018-03-16,2.760000,2.815000,2.730000,2.810000,2.630848,2815240
2018-03-19,2.810000,2.840000,2.750000,2.780000,2.602761,2689580
2018-03-20,2.780000,2.830000,2.780000,2.800000,2.621486,3144324
2018-03-21,2.800000,2.820000,2.790000,2.810000,2.630848,6572819
2018-03-22,2.800000,2.800000,2.750000,2.760000,2.584036,1521067
2018-03-23,2.730000,2.750000,2.690000,2.710000,2.537224,3238135
2018-03-26,2.690000,2.700000,2.620000,2.640000,2.471687,2254430
2018-03-27,2.660000,2.670000,2.620000,2.660000,2.490412,5993142
2018-03-28,2.650000,2.670000,2.630000,2.650000,2.481050,1964506
2018-03-29,2.640000,2.660000,2.640000,2.640000,2.471687,1779527
2018-04-03,2.640000,2.650000,2.600000,2.600000,2.434237,2045823
