Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,9.450000,9.570000,9.400000,9.500000,8.983961,440347
2017-01-31,9.460000,9.675000,9.460000,9.510000,8.993419,867565
2017-02-01,9.650000,9.650000,9.305000,9.450000,8.936677,1324863
2017-02-02,9.400000,9.500000,9.400000,9.490000,8.974504,1444937
2017-02-03,9.450000,9.490000,9.360000,9.370000,8.861023,388871
2017-02-06,9.240000,9.400000,8.880000,9.140000,8.643517,1248391
2017-02-07,9.360000,9.500000,9.340000,9.430000,8.917765,1962789
2017-02-08,9.400000,9.470000,9.350000,9.410000,8.898849,596743
2017-02-09,9.400000,9.440000,9.330000,9.370000,8.861023,286939
2017-02-10,9.450000,9.480000,9.410000,9.450000,8.936677,798462
2017-02-13,9.480000,9.480000,9.420000,9.450000,8.936677,813750
2017-02-14,9.450000,9.480000,9.400000,9.450000,8.936677,1148470
2017-02-15,9.480000,9.520000,9.420000,9.450000,8.936677,641233
2017-02-16,9.450000,9.450000,9.340000,9.390000,8.879936,630060
2017-02-17,9.430000,9.450000,9.280000,9.350000,8.842109,527088
2017-02-20,9.290000,9.300000,9.130000,9.210000,8.709714,477838
2017-02-21,9.410000,9.410000,9.220000,9.310000,8.804283,665186
2017-02-22,9.260000,9.350000,9.210000,9.300000,8.794826,455045
2017-02-23,9.260000,9.260000,9.130000,9.240000,8.738084,409337
2017-02-24,9.550000,9.550000,8.990000,9.060000,8.567863,2233645
2017-02-27,9.050000,9.090000,8.900000,8.990000,8.501664,944949
2017-02-28,9.000000,9.030000,8.900000,8.930000,8.444923,1056435
2017-03-01,8.880000,9.000000,8.680000,8.760000,8.284159,836157
2017-03-02,8.810000,8.870000,8.680000,8.790000,8.312529,799277
2017-03-03,8.680000,8.750000,8.640000,8.700000,8.227417,538275
2017-03-06,8.750000,8.760000,8.620000,8.740000,8.265244,315655
2017-03-07,8.680000,8.940000,8.680000,8.810000,8.331442,537448
2017-03-08,8.800000,8.950000,8.660000,8.900000,8.416553,1161428
2017-03-09,8.820000,8.870000,8.790000,8.850000,8.369269,378390
2017-03-10,8.880000,8.940000,8.820000,8.900000,8.416553,348676
2017-03-13,8.940000,8.940000,8.850000,8.870000,8.388182,236587
2017-03-14,8.980000,9.080000,8.900000,9.040000,8.548948,970646
2017-03-15,8.980000,9.050000,8.810000,9.030000,8.539492,695594
2017-03-16,8.850000,8.970000,8.800000,8.870000,8.388182,802014
2017-03-17,8.860000,8.990000,8.830000,8.990000,8.501664,751482
2017-03-20,8.970000,9.000000,8.810000,8.860000,8.378725,328187
2017-03-21,8.810000,9.030000,8.800000,8.980000,8.492208,364377
2017-03-22,8.920000,8.970000,8.840000,8.950000,8.463838,467431
2017-03-23,8.940000,9.060000,8.880000,9.050000,8.558406,722461
2017-03-24,9.050000,9.080000,8.950000,9.080000,8.586776,623330
2017-03-27,9.000000,9.090000,8.990000,9.030000,8.539492,257766
2017-03-28,9.090000,9.170000,9.030000,9.170000,8.671887,252781
2017-03-29,9.140000,9.200000,9.100000,9.170000,8.671887,421219
2017-03-30,9.170000,9.195000,9.130000,9.140000,8.643517,470948
2017-03-31,9.170000,9.170000,9.070000,9.090000,8.596233,321152
2017-04-03,9.050000,9.080000,8.980000,8.990000,8.501664,362668
2017-04-04,8.920000,9.000000,8.920000,8.950000,8.463838,219789
2017-04-05,8.950000,9.000000,8.890000,8.930000,8.444923,321563
2017-04-06,8.960000,8.970000,8.850000,8.900000,8.416553,462412
2017-04-07,9.030000,9.030000,8.730000,8.770000,8.293615,747125
2017-04-10,8.870000,8.870000,8.770000,8.800000,8.321985,435713
2017-04-11,8.760000,8.880000,8.750000,8.860000,8.378725,1065590
2017-04-12,8.850000,9.070000,8.850000,9.070000,8.577318,805881
2017-04-13,9.050000,9.050000,8.940000,9.000000,8.511121,542208
2017-04-18,8.940000,8.990000,8.890000,8.960000,8.473294,528493
2017-04-19,8.930000,8.960000,8.870000,8.910000,8.426010,2696818
2017-04-20,8.950000,8.950000,8.840000,8.880000,8.397640,324910
2017-04-21,8.920000,8.985000,8.860000,8.950000,8.463838,255769
2017-04-24,9.000000,9.000000,8.860000,8.880000,8.397640,288468
2017-04-26,8.850000,8.950000,8.790000,8.830000,8.350356,729539
2017-04-27,8.790000,8.860000,8.790000,8.810000,8.331442,1116446
2017-04-28,8.810000,8.955000,8.780000,8.920000,8.435467,709886
2017-05-01,8.920000,9.000000,8.850000,9.000000,8.511121,352826
2017-05-02,9.010000,9.030000,8.660000,8.710000,8.236876,1242657
2017-05-03,8.720000,8.820000,8.710000,8.760000,8.284159,800831
2017-05-04,8.820000,8.890000,8.730000,8.850000,8.369269,562878
2017-05-05,8.820000,8.880000,8.720000,8.780000,8.303072,495535
2017-05-08,8.990000,9.010000,8.865000,8.900000,8.416553,743155
2017-05-09,9.000000,9.000000,8.870000,8.960000,8.473294,445912
2017-05-10,9.010000,9.140000,8.880000,9.120000,8.624602,691733
2017-05-11,9.390000,9.940000,9.360000,9.880000,9.343320,1382726
2017-05-12,9.670000,10.030000,9.640000,9.670000,9.144727,1156955
2017-05-15,9.670000,9.970000,9.670000,9.940000,9.400061,2139944
2017-05-16,9.990000,10.070000,9.880000,10.010000,9.466258,1451701
2017-05-17,9.950000,10.340000,9.910000,10.170000,9.617568,1589488
2017-05-18,9.860000,10.000000,9.850000,9.990000,9.447343,1030558
2017-05-19,9.930000,10.060000,9.895000,10.000000,9.456801,710107
2017-05-22,10.000000,10.125000,9.940000,10.100000,9.551370,732907
2017-05-23,10.190000,10.250000,10.095000,10.250000,9.693220,704182
2017-05-24,10.330000,10.410000,10.250000,10.340000,9.778334,666592
2017-05-25,10.480000,10.480000,10.310000,10.340000,9.778334,437157
2017-05-26,10.430000,10.430000,10.250000,10.350000,9.787789,300471
2017-05-29,10.370000,10.370000,10.150000,10.210000,9.655395,396084
2017-05-30,10.200000,10.310000,10.200000,10.240000,9.683764,364865
2017-05-31,10.320000,10.400000,10.250000,10.320000,9.759418,730577
2017-06-01,10.370000,10.380000,10.280000,10.350000,9.787789,395019
2017-06-02,10.400000,10.460000,10.390000,10.420000,9.853987,498253
2017-06-05,10.420000,10.550000,10.400000,10.480000,9.910727,1104602
2017-06-06,10.400000,10.460000,10.370000,10.370000,9.806704,535894
2017-06-07,10.340000,10.440000,10.290000,10.360000,9.797245,580602
2017-06-08,10.260000,10.350000,10.210000,10.280000,9.721592,447298
2017-06-09,10.200000,10.260000,10.170000,10.180000,9.627025,376080
2017-06-13,10.210000,10.300000,10.120000,10.250000,9.693220,1113878
2017-06-14,10.300000,10.350000,10.200000,10.290000,9.731049,853514
2017-06-15,10.240000,10.250000,10.140000,10.150000,9.598653,1118952
2017-06-16,10.130000,10.150000,10.060000,10.080000,9.532456,670060
2017-06-19,10.060000,10.130000,10.040000,10.080000,9.532456,434583
2017-06-20,10.050000,10.070000,9.880000,9.880000,9.343320,650018
2017-06-21,9.730000,9.820000,9.670000,9.780000,9.248752,806310
2017-06-22,9.750000,9.830000,9.665000,9.720000,9.192011,496305
2017-06-23,9.690000,9.780000,9.690000,9.740000,9.210924,450973
2017-06-26,9.720000,9.810000,9.690000,9.740000,9.210924,301451
2017-06-27,9.700000,9.710000,9.600000,9.700000,9.173098,682114
2017-06-28,9.620000,9.700000,9.605000,9.620000,9.097442,443378
2017-06-29,9.690000,9.730000,9.600000,9.730000,9.201467,504743
2017-06-30,9.420000,9.505000,9.390000,9.470000,9.095815,764446
2017-07-03,9.420000,9.510000,9.300000,9.340000,8.970952,579878
2017-07-04,9.420000,9.530000,9.405000,9.450000,9.076605,815359
2017-07-05,9.450000,9.490000,9.430000,9.470000,9.095815,783391
2017-07-06,9.490000,9.665000,9.490000,9.630000,9.249492,782643
2017-07-07,9.530000,9.580000,9.260000,9.390000,9.018975,840988
2017-07-10,9.400000,9.570000,9.400000,9.530000,9.153442,723543
2017-07-11,9.470000,9.500000,9.410000,9.450000,9.076605,654960
2017-07-12,9.350000,9.430000,9.140000,9.150000,8.788458,960488
2017-07-13,9.210000,9.240000,9.070000,9.200000,8.836483,1046393
2017-07-14,9.270000,9.300000,9.140000,9.190000,8.826878,833629
2017-07-17,9.150000,9.260000,9.120000,9.140000,8.778854,392767
2017-07-18,9.140000,9.150000,8.940000,9.000000,8.644385,760131
2017-07-19,9.000000,9.070000,8.870000,8.940000,8.586756,479180
2017-07-20,8.950000,9.020000,8.915000,9.000000,8.644385,843988
2017-07-21,8.990000,9.010000,8.920000,8.960000,8.605967,543572
2017-07-24,8.890000,8.960000,8.780000,8.850000,8.500313,442666
2017-07-25,8.830000,8.840000,8.730000,8.800000,8.452289,567331
2017-07-26,8.800000,8.900000,8.800000,8.850000,8.500313,488246
2017-07-27,8.860000,8.930000,8.810000,8.810000,8.461894,276940
2017-07-28,8.750000,8.820000,8.630000,8.730000,8.385053,972447
2017-07-31,8.720000,8.800000,8.720000,8.730000,8.385053,428631
2017-08-01,8.680000,8.740000,8.595000,8.650000,8.308214,651954
2017-08-02,8.650000,8.740000,8.610000,8.640000,8.298611,573336
