Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.350000,4.360000,4.320000,4.360000,4.240907,668233
2019-09-17,4.340000,4.380000,4.320000,4.380000,4.260361,732342
2019-09-18,4.380000,4.410000,4.300000,4.340000,4.221454,2090799
2019-09-19,4.340000,4.370000,4.330000,4.350000,4.231180,1246160
2019-09-20,4.350000,4.360000,4.300000,4.310000,4.192273,1205377
2019-09-23,4.350000,4.370000,4.310000,4.360000,4.240907,600563
2019-09-24,4.330000,4.360000,4.320000,4.330000,4.211727,1150017
2019-09-25,4.280000,4.350000,4.280000,4.330000,4.211727,1031376
2019-09-26,4.320000,4.340000,4.310000,4.320000,4.202000,1002698
2019-09-27,4.340000,4.375000,4.330000,4.360000,4.240907,470969
2019-09-30,4.300000,4.360000,4.300000,4.320000,4.202000,592430
2019-10-01,4.330000,4.390000,4.320000,4.370000,4.250634,511892
2019-10-02,4.340000,4.380000,4.320000,4.360000,4.240907,670383
2019-10-03,4.300000,4.330000,4.280000,4.320000,4.202000,705999
2019-10-04,4.320000,4.320000,4.320000,4.320000,4.202000,0
2019-10-07,4.330000,4.400000,4.330000,4.400000,4.279815,659109
2019-10-08,4.360000,4.410000,4.340000,4.370000,4.250634,832385
2019-10-09,4.330000,4.380000,4.330000,4.360000,4.240907,863846
2019-10-10,4.350000,4.400000,4.330000,4.370000,4.250634,1402952
2019-10-11,4.340000,4.360000,4.320000,4.350000,4.231180,1110856
2019-10-14,4.350000,4.350000,4.300000,4.320000,4.202000,804798
2019-10-15,4.310000,4.340000,4.280000,4.320000,4.202000,948785
2019-10-16,4.330000,4.380000,4.330000,4.380000,4.260361,1238060
2019-10-17,4.320000,4.360000,4.310000,4.320000,4.202000,1553582
2019-10-18,4.310000,4.320000,4.230000,4.260000,4.143639,1638987
2019-10-21,4.220000,4.310000,4.220000,4.300000,4.182546,836444
2019-10-22,4.290000,4.330000,4.280000,4.310000,4.192273,741142
2019-10-23,4.270000,4.300000,4.240000,4.290000,4.172819,2367406
2019-10-24,4.300000,4.320000,4.280000,4.280000,4.163093,1273011
2019-10-25,4.300000,4.320000,4.280000,4.300000,4.182546,953739
2019-10-28,4.320000,4.320000,4.270000,4.290000,4.172819,648184
2019-10-29,4.280000,4.290000,4.255000,4.260000,4.143639,6061778
2019-10-30,4.250000,4.290000,4.240000,4.270000,4.153366,1393329
2019-10-31,4.270000,4.310000,4.240000,4.260000,4.143639,630624
2019-11-01,4.270000,4.310000,4.250000,4.290000,4.172819,1335978
2019-11-04,4.290000,4.305000,4.250000,4.260000,4.143639,1027542
2019-11-05,4.250000,4.270000,4.220000,4.230000,4.114458,720053
2019-11-06,4.240000,4.250000,4.180000,4.200000,4.085278,1926815
2019-11-07,4.240000,4.270000,4.200000,4.250000,4.133912,1356933
2019-11-08,4.250000,4.250000,4.215000,4.240000,4.124185,1893686
2019-11-11,4.290000,4.300000,4.240000,4.280000,4.163093,626517
2019-11-12,4.320000,4.320000,4.250000,4.270000,4.153366,1494465
2019-11-13,4.270000,4.300000,4.210000,4.240000,4.124185,1784389
2019-11-14,4.270000,4.270000,4.220000,4.220000,4.104731,875393
2019-11-15,4.260000,4.330000,4.250000,4.310000,4.192273,896146
2019-11-18,4.290000,4.320000,4.240000,4.290000,4.172819,1048907
2019-11-19,4.280000,4.360000,4.270000,4.340000,4.221454,1105301
2019-11-20,4.300000,4.330000,4.260000,4.290000,4.172819,1527256
2019-11-21,4.270000,4.300000,4.250000,4.290000,4.172819,718384
2019-11-22,4.240000,4.280000,4.240000,4.250000,4.133912,1068948
2019-11-25,4.290000,4.300000,4.260000,4.260000,4.143639,810833
2019-11-26,4.280000,4.330000,4.260000,4.330000,4.211727,1646475
2019-11-27,4.330000,4.380000,4.310000,4.360000,4.240907,1398129
2019-11-28,4.400000,4.400000,4.340000,4.390000,4.270088,949384
2019-11-29,4.430000,4.440000,4.400000,4.400000,4.279815,753360
2019-12-02,4.310000,4.420000,4.310000,4.380000,4.260361,628139
2019-12-03,4.350000,4.360000,4.310000,4.350000,4.231180,1194021
2019-12-04,4.270000,4.330000,4.270000,4.310000,4.192273,1080480
2019-12-05,4.370000,4.370000,4.320000,4.370000,4.250634,688242
2019-12-06,4.330000,4.390000,4.330000,4.390000,4.270088,382172
2019-12-09,4.400000,4.400000,4.360000,4.380000,4.260361,402280
2019-12-10,4.360000,4.385000,4.350000,4.350000,4.231180,410978
2019-12-11,4.360000,4.360000,4.320000,4.360000,4.240907,446915
2019-12-12,4.350000,4.350000,4.255000,4.280000,4.163093,877989
2019-12-13,4.270000,4.275000,4.170000,4.190000,4.075551,878788
2019-12-16,4.210000,4.270000,4.190000,4.250000,4.133912,1041290
2019-12-17,4.260000,4.300000,4.230000,4.290000,4.172819,829382
2019-12-18,4.290000,4.290000,4.235000,4.260000,4.143639,911531
2019-12-19,4.260000,4.270000,4.220000,4.230000,4.114458,1374315
2019-12-20,4.220000,4.310000,4.220000,4.280000,4.163093,1018504
2019-12-23,4.270000,4.360000,4.270000,4.330000,4.211727,572921
2019-12-24,4.340000,4.360000,4.280000,4.320000,4.202000,237841
2019-12-27,4.320000,4.330000,4.270000,4.320000,4.202000,706802
2019-12-30,4.220000,4.260000,4.160000,4.240000,4.240000,753656
2019-12-31,4.210000,4.230000,4.150000,4.150000,4.150000,349187
2020-01-02,4.160000,4.180000,4.140000,4.170000,4.170000,412774
2020-01-03,4.200000,4.230000,4.170000,4.210000,4.210000,500478
2020-01-06,4.190000,4.240000,4.180000,4.230000,4.230000,409081
2020-01-07,4.240000,4.290000,4.220000,4.280000,4.280000,495238
2020-01-08,4.280000,4.280000,4.220000,4.230000,4.230000,666492
2020-01-09,4.270000,4.270000,4.180000,4.210000,4.210000,1011968
2020-01-10,4.250000,4.260000,4.200000,4.250000,4.250000,652719
2020-01-13,4.250000,4.280000,4.220000,4.270000,4.270000,684439
2020-01-14,4.270000,4.340000,4.260000,4.320000,4.320000,482097
2020-01-15,4.340000,4.370000,4.320000,4.360000,4.360000,480184
2020-01-16,4.420000,4.420000,4.370000,4.400000,4.400000,550010
2020-01-17,4.410000,4.450000,4.380000,4.440000,4.440000,922780
2020-01-20,4.500000,4.500000,4.410000,4.450000,4.450000,417094
2020-01-21,4.330000,4.425000,4.330000,4.410000,4.410000,558534
2020-01-22,4.390000,4.420000,4.380000,4.410000,4.410000,629624
2020-01-23,4.420000,4.440000,4.390000,4.420000,4.420000,622812
2020-01-24,4.400000,4.440000,4.280000,4.330000,4.330000,1856837
2020-01-28,4.400000,4.410000,4.350000,4.370000,4.370000,581234
2020-01-29,4.400000,4.400000,4.370000,4.380000,4.380000,313421
2020-01-30,4.380000,4.390000,4.355000,4.370000,4.370000,361040
2020-01-31,4.400000,4.400000,4.350000,4.370000,4.370000,979363
2020-02-03,4.400000,4.400000,4.330000,4.340000,4.340000,648464
2020-02-04,4.320000,4.340000,4.290000,4.300000,4.300000,845807
2020-02-05,4.250000,4.340000,4.250000,4.280000,4.280000,748234
2020-02-06,4.330000,4.330000,4.270000,4.310000,4.310000,725164
2020-02-07,4.350000,4.350000,4.290000,4.330000,4.330000,629672
2020-02-10,4.340000,4.340000,4.280000,4.280000,4.280000,662738
2020-02-11,4.290000,4.355000,4.290000,4.320000,4.320000,896752
2020-02-12,4.320000,4.350000,4.320000,4.320000,4.320000,518933
2020-02-13,4.330000,4.375000,4.320000,4.340000,4.340000,1078988
2020-02-14,4.320000,4.360000,4.320000,4.330000,4.330000,1790279
