Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,9.970000,9.990000,9.740000,9.760000,8.533793,142970
2017-01-31,9.730000,9.820000,9.630000,9.710000,8.490076,244466
2017-02-01,9.960000,10.410000,9.960000,10.080000,8.813590,591983
2017-02-02,9.940000,10.070000,9.720000,9.970000,8.717409,548082
2017-02-03,10.040000,10.100000,9.920000,9.940000,8.691178,231310
2017-02-06,10.080000,10.150000,9.980000,10.000000,8.743642,561461
2017-02-07,10.000000,10.080000,9.910000,10.000000,8.743642,389955
2017-02-08,10.030000,10.070000,9.850000,10.020000,8.761128,208026
2017-02-09,10.020000,10.350000,10.000000,10.250000,8.962232,626633
2017-02-10,10.300000,10.360000,10.230000,10.300000,9.005951,366543
2017-02-13,10.300000,10.600000,10.300000,10.440000,9.128362,338647
2017-02-14,10.350000,10.400000,10.280000,10.370000,9.253284,424862
2017-02-15,10.500000,10.660000,10.420000,10.500000,9.369286,329097
2017-02-16,10.600000,10.610000,10.410000,10.430000,9.306825,321166
2017-02-17,10.490000,10.600000,10.450000,10.530000,9.396054,375429
2017-02-20,10.580000,10.590000,10.470000,10.500000,9.369286,414148
2017-02-21,10.550000,10.580000,10.460000,10.470000,9.342516,129844
2017-02-22,10.570000,10.570000,10.460000,10.480000,9.351439,168534
2017-02-23,10.520000,10.570000,10.300000,10.500000,9.369286,460230
2017-02-24,10.540000,10.680000,10.500000,10.530000,9.396054,328403
2017-02-27,10.590000,10.590000,10.500000,10.530000,9.396054,274639
2017-02-28,10.500000,10.590000,10.420000,10.440000,9.315747,353205
2017-03-01,10.440000,10.620000,10.300000,10.590000,9.449594,309000
2017-03-02,10.680000,10.770000,10.650000,10.770000,9.610211,207016
2017-03-03,10.730000,10.830000,10.700000,10.790000,9.628056,193771
2017-03-06,10.750000,10.810000,10.580000,10.720000,9.565595,172345
2017-03-07,10.700000,11.000000,10.690000,10.960000,9.779750,289317
2017-03-08,10.960000,10.990000,10.480000,10.880000,9.708364,350224
2017-03-09,10.890000,10.890000,10.665000,10.870000,9.699440,216005
2017-03-10,10.890000,10.960000,10.830000,10.950000,9.770826,308114
2017-03-13,10.940000,10.960000,10.890000,10.920000,9.744058,167542
2017-03-14,10.920000,11.000000,10.910000,11.000000,9.815441,254848
2017-03-15,11.000000,11.270000,10.920000,11.220000,10.011750,419328
2017-03-16,11.300000,11.370000,11.170000,11.370000,10.145597,385322
2017-03-17,11.400000,11.450000,11.310000,11.370000,10.145597,317917
2017-03-20,11.400000,11.400000,11.170000,11.190000,9.984982,260390
2017-03-21,11.200000,11.440000,11.150000,11.420000,10.190213,255670
2017-03-22,11.450000,11.460000,11.190000,11.190000,9.984982,243827
2017-03-23,11.160000,11.330000,11.140000,11.310000,10.092059,126592
2017-03-24,11.390000,11.455000,11.320000,11.350000,10.127751,166870
2017-03-27,11.470000,11.470000,11.250000,11.440000,10.208059,162415
2017-03-28,11.400000,11.730000,11.300000,11.720000,10.457907,372403
2017-03-29,11.710000,11.860000,11.640000,11.750000,10.484676,260425
2017-03-30,11.700000,11.870000,11.630000,11.850000,10.573908,218294
2017-03-31,11.850000,11.920000,11.765000,11.840000,10.564984,242938
2017-04-03,11.940000,11.980000,11.840000,11.870000,10.591754,226464
2017-04-04,11.950000,11.955000,11.830000,11.860000,10.582830,328891
2017-04-05,11.900000,11.950000,11.780000,11.850000,10.573908,273520
2017-04-06,11.840000,12.070000,11.840000,11.900000,10.618525,327216
2017-04-07,11.880000,11.890000,11.710000,11.760000,10.493601,375917
2017-04-10,11.850000,12.030000,11.760000,11.960000,10.672062,378482
2017-04-11,12.000000,12.200000,12.000000,12.080000,10.779139,361818
2017-04-12,12.070000,12.100000,11.970000,12.000000,10.707755,272544
2017-04-13,12.100000,12.100000,11.950000,12.040000,10.743448,242343
2017-04-18,12.040000,12.100000,11.920000,11.980000,10.689908,160637
2017-04-19,11.800000,12.190000,11.800000,12.100000,10.796986,396975
2017-04-20,12.200000,12.250000,12.150000,12.250000,10.930834,468408
2017-04-21,12.200000,12.320000,12.170000,12.280000,10.957603,279103
2017-04-24,12.300000,12.350000,12.230000,12.320000,10.993296,408364
2017-04-26,12.430000,12.730000,12.360000,12.630000,11.269913,575384
2017-04-27,12.600000,12.620000,12.460000,12.510000,11.162835,329235
2017-04-28,12.530000,12.550000,12.410000,12.440000,11.100371,276032
2017-05-01,12.250000,12.370000,11.550000,11.720000,10.457907,651716
2017-05-02,12.020000,12.080000,11.740000,11.950000,10.663138,576737
2017-05-03,12.010000,12.040000,11.830000,11.950000,10.663138,807526
2017-05-04,12.060000,12.270000,11.970000,12.210000,10.895141,632414
