Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.640000,2.650000,2.580000,2.630000,2.220950,1423198
2017-01-31,2.600000,2.620000,2.550000,2.620000,2.212505,1148890
2017-02-01,2.610000,2.650000,2.590000,2.640000,2.229395,755670
2017-02-02,2.600000,2.690000,2.600000,2.670000,2.254729,949592
2017-02-03,2.660000,2.660000,2.590000,2.600000,2.195616,636943
2017-02-06,2.640000,2.640000,2.590000,2.610000,2.204060,671102
2017-02-07,2.600000,2.720000,2.600000,2.690000,2.271618,1009738
2017-02-08,2.700000,2.775000,2.695000,2.750000,2.322286,1213030
2017-02-09,2.760000,2.820000,2.740000,2.820000,2.381398,1582723
2017-02-10,2.830000,2.860000,2.730000,2.860000,2.415177,1455976
2017-02-13,2.830000,2.910000,2.790000,2.870000,2.423622,955303
2017-02-14,2.930000,2.940000,2.860000,2.920000,2.465846,1036295
2017-02-15,2.920000,2.920000,2.820000,2.830000,2.389843,1083612
2017-02-16,2.840000,2.910000,2.820000,2.870000,2.423622,778772
2017-02-17,2.880000,2.910000,2.820000,2.820000,2.381398,533023
2017-02-20,2.870000,2.870000,2.720000,2.820000,2.381398,1271523
2017-02-21,2.790000,2.800000,2.610000,2.750000,2.322286,2377496
2017-02-22,2.730000,2.790000,2.685000,2.770000,2.339175,1046642
2017-02-23,2.700000,2.710000,2.640000,2.700000,2.343515,1681632
2017-02-24,2.710000,2.745000,2.640000,2.700000,2.343515,1188643
2017-02-27,2.650000,2.700000,2.640000,2.680000,2.326156,736434
2017-02-28,2.680000,2.690000,2.635000,2.660000,2.308796,701428
2017-03-01,2.630000,2.670000,2.590000,2.600000,2.256718,788897
2017-03-02,2.660000,2.660000,2.615000,2.660000,2.308796,794816
2017-03-03,2.650000,2.650000,2.595000,2.630000,2.282758,504696
2017-03-06,2.600000,2.640000,2.560000,2.620000,2.274078,810513
2017-03-07,2.590000,2.660000,2.590000,2.630000,2.282758,656251
2017-03-08,2.650000,2.660000,2.580000,2.630000,2.282758,966672
2017-03-09,2.630000,2.645000,2.610000,2.610000,2.265398,522142
2017-03-10,2.650000,2.670000,2.620000,2.650000,2.300117,432118
2017-03-13,2.670000,2.670000,2.620000,2.640000,2.291437,610009
2017-03-14,2.630000,2.660000,2.620000,2.650000,2.300117,305733
2017-03-15,2.640000,2.680000,2.630000,2.680000,2.326156,972060
2017-03-16,2.650000,2.710000,2.650000,2.690000,2.334835,935048
2017-03-17,2.710000,2.750000,2.700000,2.740000,2.378234,640784
2017-03-20,2.740000,2.765000,2.710000,2.760000,2.395593,537348
2017-03-21,2.690000,2.750000,2.680000,2.730000,2.369554,240166
2017-03-22,2.670000,2.745000,2.660000,2.680000,2.326156,857054
2017-03-23,2.680000,2.710000,2.640000,2.710000,2.352195,424872
2017-03-24,2.740000,2.790000,2.735000,2.750000,2.386914,357210
2017-03-27,2.720000,2.760000,2.690000,2.760000,2.395593,357396
2017-03-28,2.800000,2.830000,2.740000,2.830000,2.456351,736652
2017-03-29,2.840000,2.910000,2.790000,2.910000,2.525789,832196
2017-03-30,2.910000,2.935000,2.880000,2.910000,2.525789,516939
2017-03-31,2.910000,2.940000,2.890000,2.900000,2.517109,470201
2017-04-03,2.880000,2.910000,2.820000,2.830000,2.456351,437287
2017-04-04,2.800000,2.840000,2.800000,2.810000,2.438992,429868
2017-04-05,2.810000,2.845000,2.805000,2.830000,2.456351,468677
2017-04-06,2.830000,2.915000,2.830000,2.880000,2.499749,470170
2017-04-07,2.930000,2.955000,2.860000,2.910000,2.525789,554491
2017-04-10,2.950000,2.960000,2.860000,2.940000,2.551828,906796
2017-04-11,2.910000,2.950000,2.900000,2.940000,2.551828,407966
2017-04-12,2.950000,2.980000,2.900000,2.930000,2.543148,618401
2017-04-13,2.980000,2.980000,2.890000,2.940000,2.551828,406071
2017-04-18,2.900000,2.990000,2.900000,2.990000,2.595226,444706
2017-04-19,2.990000,3.010000,2.940000,3.010000,2.612585,468770
2017-04-20,3.000000,3.020000,2.980000,3.010000,2.612585,383112
2017-04-21,3.020000,3.040000,2.980000,3.020000,2.621265,466749
2017-04-24,3.040000,3.080000,3.020000,3.070000,2.664664,293067
2017-04-26,3.070000,3.070000,3.030000,3.060000,2.655984,545281
2017-04-27,3.060000,3.120000,3.040000,3.060000,2.655984,624557
