Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.500000,3.550000,3.420000,3.430000,3.430000,4080687
2018-01-31,3.400000,3.400000,3.290000,3.320000,3.320000,5873097
2018-02-01,3.320000,3.455000,3.320000,3.390000,3.390000,4785735
2018-02-02,3.360000,3.360000,3.200000,3.200000,3.200000,5279440
2018-02-05,3.000000,3.070000,2.950000,3.050000,3.050000,9279082
2018-02-06,2.890000,3.020000,2.820000,2.880000,2.880000,8691010
2018-02-07,3.150000,3.240000,3.130000,3.210000,3.210000,7189280
2018-02-08,3.220000,3.220000,3.060000,3.110000,3.110000,5342649
2018-02-09,3.000000,3.130000,2.950000,3.040000,3.040000,4629074
2018-02-12,3.130000,3.250000,3.040000,3.210000,3.210000,4719812
2018-02-13,3.380000,3.480000,3.320000,3.440000,3.440000,7131461
2018-02-14,3.480000,3.490000,3.270000,3.340000,3.340000,6564118
2018-02-15,3.450000,3.525000,3.420000,3.490000,3.490000,4525082
2018-02-16,3.530000,3.540000,3.410000,3.440000,3.440000,2058628
2018-02-19,3.400000,3.510000,3.380000,3.470000,3.470000,1932575
2018-02-20,3.480000,3.480000,3.370000,3.420000,3.420000,2434564
2018-02-21,3.370000,3.410000,3.360000,3.370000,3.370000,1514309
2018-02-22,3.370000,3.485000,3.350000,3.450000,3.450000,1381678
2018-02-23,3.490000,3.505000,3.420000,3.450000,3.450000,1477280
2018-02-26,3.520000,3.520000,3.410000,3.440000,3.440000,7270327
2018-02-27,3.300000,3.330000,3.180000,3.290000,3.290000,5641147
2018-02-28,3.300000,3.515000,3.300000,3.500000,3.500000,5240318
2018-03-01,3.370000,3.380000,3.270000,3.330000,3.330000,5287422
2018-03-02,3.230000,3.230000,3.095000,3.110000,3.110000,6049485
2018-03-05,3.110000,3.140000,2.940000,2.980000,2.980000,6469387
2018-03-06,3.040000,3.100000,2.925000,2.930000,2.930000,5788898
2018-03-07,2.920000,2.970000,2.870000,2.910000,2.910000,4710845
2018-03-08,2.960000,3.045000,2.950000,3.030000,3.030000,5102396
2018-03-09,3.050000,3.140000,3.020000,3.040000,3.040000,3421558
2018-03-12,3.130000,3.130000,3.045000,3.090000,3.090000,2126976
2018-03-13,3.090000,3.200000,3.070000,3.200000,3.200000,3377759
2018-03-14,3.170000,3.510000,3.160000,3.490000,3.490000,6857379
2018-03-15,3.450000,3.530000,3.360000,3.520000,3.520000,5051440
2018-03-16,3.510000,3.575000,3.430000,3.570000,3.570000,3650610
2018-03-19,3.550000,3.550000,3.410000,3.430000,3.430000,2444789
2018-03-20,3.320000,3.370000,3.245000,3.340000,3.340000,2784689
2018-03-21,3.350000,3.400000,3.335000,3.350000,3.350000,1621994
2018-03-22,3.360000,3.460000,3.350000,3.380000,3.380000,2455777
2018-03-23,3.280000,3.370000,3.250000,3.280000,3.280000,2652867
2018-03-26,3.250000,3.250000,3.110000,3.160000,3.160000,3663369
2018-03-27,3.210000,3.270000,3.180000,3.230000,3.230000,2905384
2018-03-28,3.180000,3.180000,3.060000,3.080000,3.080000,3045556
2018-03-29,3.050000,3.060000,2.960000,2.960000,2.960000,3913165
2018-04-03,2.920000,3.025000,2.880000,2.970000,2.970000,2666427
2018-04-04,3.000000,3.000000,2.900000,2.920000,2.920000,2526986
2018-04-05,2.920000,2.970000,2.880000,2.890000,2.890000,3995713
2018-04-06,2.920000,3.080000,2.900000,3.040000,3.040000,3401976
2018-04-09,3.020000,3.060000,2.970000,3.050000,3.050000,2288117
2018-04-10,3.020000,3.100000,3.020000,3.080000,3.080000,2309782
2018-04-11,3.070000,3.110000,2.970000,2.980000,2.980000,2562809
2018-04-12,2.980000,3.040000,2.960000,2.960000,2.960000,1972036
2018-04-13,3.000000,3.010000,2.910000,2.910000,2.910000,2897640
2018-04-16,2.920000,2.960000,2.860000,2.890000,2.890000,2828384
2018-04-17,2.870000,2.960000,2.790000,2.800000,2.800000,5461170
2018-04-18,2.830000,2.900000,2.730000,2.870000,2.870000,3445867
2018-04-19,2.900000,3.020000,2.890000,2.940000,2.940000,8369933
2018-04-20,2.960000,3.040000,2.910000,3.030000,3.030000,4138464
2018-04-23,2.970000,2.980000,2.800000,2.940000,2.940000,4719399
2018-04-24,2.900000,2.920000,2.820000,2.870000,2.870000,2466869
2018-04-26,2.830000,2.930000,2.830000,2.890000,2.890000,3008073
2018-04-27,2.890000,2.930000,2.860000,2.880000,2.880000,1323640
2018-04-30,2.920000,3.080000,2.920000,3.060000,3.060000,2539163
2018-05-01,3.100000,3.175000,3.050000,3.150000,3.150000,4785719
2018-05-02,3.140000,3.270000,3.130000,3.260000,3.260000,3207622
2018-05-03,3.260000,3.330000,3.200000,3.260000,3.260000,4887374
2018-05-04,3.280000,3.290000,3.160000,3.230000,3.230000,2718081
2018-05-07,3.280000,3.320000,3.245000,3.300000,3.300000,2508114
2018-05-08,3.300000,3.310000,3.250000,3.270000,3.270000,2111017
2018-05-09,3.270000,3.290000,3.240000,3.270000,3.270000,1727784
2018-05-10,3.300000,3.320000,3.170000,3.200000,3.200000,3167287
2018-05-11,3.210000,3.210000,3.100000,3.120000,3.120000,1857753
2018-05-14,3.140000,3.230000,3.120000,3.210000,3.210000,1100073
2018-05-15,3.240000,3.260000,3.070000,3.090000,3.090000,2641371
2018-05-16,3.080000,3.130000,3.030000,3.110000,3.110000,1891534
2018-05-17,3.180000,3.370000,3.160000,3.370000,3.370000,7620781
2018-05-18,3.380000,3.440000,3.220000,3.240000,3.240000,2722694
2018-05-21,3.260000,3.320000,3.230000,3.310000,3.310000,1439595
2018-05-22,3.300000,3.310000,3.190000,3.210000,3.210000,1537713
2018-05-23,3.160000,3.210000,3.110000,3.120000,3.120000,1617684
2018-05-24,3.100000,3.110000,3.010000,3.020000,3.020000,3065626
2018-05-25,2.900000,2.980000,2.890000,2.970000,2.970000,3174186
2018-05-28,2.970000,3.010000,2.950000,2.990000,2.990000,1570718
2018-05-29,3.530000,3.530000,3.280000,3.420000,3.420000,10627964
2018-05-30,3.380000,3.390000,3.285000,3.340000,3.340000,4094911
2018-05-31,3.450000,3.580000,3.440000,3.490000,3.490000,7177776
2018-06-01,3.480000,3.500000,3.430000,3.490000,3.490000,2139368
2018-06-04,3.570000,3.660000,3.570000,3.590000,3.590000,4324669
2018-06-05,3.580000,3.640000,3.540000,3.550000,3.550000,3049694
2018-06-06,3.570000,3.580000,3.430000,3.440000,3.440000,4896404
2018-06-07,3.470000,3.510000,3.380000,3.420000,3.420000,2129580
2018-06-08,3.410000,3.490000,3.390000,3.420000,3.420000,2281711
2018-06-12,3.440000,3.440000,3.310000,3.370000,3.370000,3633433
2018-06-13,3.340000,3.370000,3.200000,3.210000,3.210000,3136195
2018-06-14,3.200000,3.320000,3.185000,3.270000,3.270000,1960323
2018-06-15,3.300000,3.370000,3.250000,3.250000,3.250000,3123852
2018-06-18,3.180000,3.210000,3.120000,3.130000,3.130000,3506515
2018-06-19,3.140000,3.180000,3.030000,3.030000,3.030000,3217950
2018-06-20,3.020000,3.140000,3.000000,3.130000,3.130000,2044208
2018-06-21,3.180000,3.180000,3.060000,3.070000,3.070000,2330750
2018-06-22,3.070000,3.080000,3.020000,3.040000,3.040000,1966548
2018-06-25,3.070000,3.150000,3.060000,3.090000,3.090000,2178718
2018-06-26,3.040000,3.080000,3.010000,3.030000,3.030000,2042249
2018-06-27,3.020000,3.060000,2.970000,2.970000,2.970000,2352744
2018-06-28,2.990000,3.040000,2.930000,2.990000,2.990000,3866135
2018-06-29,2.990000,3.040000,2.950000,3.030000,3.030000,2170477
2018-07-02,3.070000,3.115000,2.990000,3.070000,3.070000,3212695
2018-07-03,3.080000,3.130000,2.995000,3.030000,3.030000,3212507
2018-07-04,3.030000,3.090000,3.010000,3.040000,3.040000,1291310
2018-07-05,3.050000,3.050000,2.990000,3.000000,3.000000,1802098
2018-07-06,3.030000,3.150000,3.010000,3.120000,3.120000,2911925
2018-07-09,3.120000,3.240000,3.120000,3.230000,3.230000,2185356
2018-07-10,3.270000,3.310000,3.225000,3.270000,3.270000,2654717
2018-07-11,3.270000,3.290000,3.230000,3.250000,3.250000,2082476
2018-07-12,3.220000,3.320000,3.180000,3.290000,3.290000,2355688
2018-07-13,3.250000,3.310000,3.230000,3.280000,3.280000,1262799
2018-07-16,3.270000,3.300000,3.160000,3.180000,3.180000,1582420
2018-07-17,3.200000,3.250000,3.115000,3.170000,3.170000,1740319
2018-07-18,3.140000,3.210000,3.115000,3.140000,3.140000,1866728
2018-07-19,3.140000,3.145000,3.060000,3.110000,3.110000,1624983
2018-07-20,3.100000,3.100000,3.040000,3.060000,3.060000,1286984
2018-07-23,3.060000,3.090000,3.055000,3.080000,3.080000,849624
2018-07-24,3.090000,3.140000,3.070000,3.100000,3.100000,3787874
2018-07-25,3.120000,3.160000,3.060000,3.080000,3.080000,1727197
2018-07-26,3.080000,3.080000,3.020000,3.050000,3.050000,4559853
2018-07-27,3.020000,3.030000,2.930000,2.930000,2.930000,6617223
2018-07-30,2.920000,2.960000,2.885000,2.890000,2.890000,3198184
2018-07-31,2.880000,2.930000,2.815000,2.850000,2.850000,3026830
2018-08-01,2.870000,2.910000,2.840000,2.840000,2.840000,1667665
2018-08-02,2.820000,2.840000,2.745000,2.750000,2.750000,3713010
2018-08-03,2.720000,2.780000,2.680000,2.750000,2.750000,3571189
2018-08-06,2.770000,2.890000,2.770000,2.840000,2.840000,3254487
2018-08-07,2.830000,2.830000,2.720000,2.730000,2.730000,3344040
2018-08-08,2.750000,2.750000,2.700000,2.700000,2.700000,1837938
2018-08-09,2.720000,2.800000,2.720000,2.780000,2.780000,1809319
2018-08-10,2.800000,2.820000,2.760000,2.780000,2.780000,1496033
2018-08-13,2.790000,2.790000,2.670000,2.670000,2.670000,1863808
2018-08-14,2.680000,2.710000,2.650000,2.660000,2.660000,2120350
2018-08-15,2.650000,2.660000,2.550000,2.630000,2.630000,2386474
2018-08-16,2.610000,2.680000,2.540000,2.660000,2.660000,2244059
2018-08-17,2.690000,2.780000,2.690000,2.780000,2.780000,3542375
2018-08-20,2.810000,2.850000,2.740000,2.750000,2.750000,1551771
2018-08-21,2.750000,2.800000,2.720000,2.720000,2.720000,1136952
2018-08-22,2.750000,2.830000,2.730000,2.820000,2.820000,2004670
2018-08-23,2.840000,2.840000,2.750000,2.790000,2.790000,1887592
2018-08-24,2.790000,2.800000,2.710000,2.770000,2.770000,2149156
2018-08-27,2.790000,2.800000,2.710000,2.770000,2.770000,2149156
2018-08-28,3.030000,3.070000,2.840000,2.930000,2.930000,8379055
2018-08-29,2.950000,2.980000,2.850000,2.930000,2.930000,2828495
2018-08-30,2.980000,2.980000,2.850000,2.860000,2.860000,2995918
2018-08-31,2.820000,2.830000,2.720000,2.730000,2.730000,2198115
2018-09-03,2.720000,2.760000,2.680000,2.730000,2.730000,1578452
2018-09-04,2.680000,2.730000,2.630000,2.630000,2.630000,10047463
2018-09-05,2.620000,2.620000,2.520000,2.530000,2.530000,3857785
2018-09-06,2.490000,2.500000,2.400000,2.410000,2.410000,3580244
2018-09-07,2.400000,2.660000,2.360000,2.650000,2.650000,4779388
2018-09-10,2.640000,2.640000,2.510000,2.520000,2.520000,2058739
2018-09-11,2.520000,2.600000,2.490000,2.520000,2.520000,1351486
2018-09-12,2.540000,2.560000,2.490000,2.490000,2.490000,1850270
2018-09-13,2.530000,2.555000,2.490000,2.520000,2.520000,1718703
2018-09-14,2.540000,2.590000,2.490000,2.490000,2.490000,3095142
2018-09-17,2.510000,2.525000,2.450000,2.490000,2.490000,2135229
2018-09-18,2.500000,2.500000,2.390000,2.410000,2.410000,2173467
2018-09-19,2.440000,2.480000,2.390000,2.440000,2.440000,2973099
2018-09-20,2.450000,2.600000,2.450000,2.540000,2.540000,5241269
2018-09-21,2.560000,2.650000,2.560000,2.630000,2.630000,4403548
2018-09-24,2.650000,2.660000,2.590000,2.600000,2.600000,3017691
2018-09-25,2.580000,2.650000,2.570000,2.580000,2.580000,1566512
2018-09-26,2.570000,2.570000,2.495000,2.520000,2.520000,1969697
2018-09-27,2.500000,2.510000,2.460000,2.480000,2.480000,1490635
2018-09-28,2.490000,2.550000,2.480000,2.490000,2.490000,2117189
2018-10-01,2.500000,2.520000,2.490000,2.510000,2.510000,1042673
2018-10-02,2.520000,2.700000,2.520000,2.690000,2.690000,4196830
2018-10-03,2.710000,2.780000,2.640000,2.680000,2.680000,2294420
2018-10-04,2.700000,2.850000,2.680000,2.800000,2.800000,3091850
2018-10-05,2.780000,2.810000,2.705000,2.710000,2.710000,1926126
2018-10-08,2.700000,2.700000,2.565000,2.610000,2.610000,2039668
2018-10-09,2.630000,2.650000,2.535000,2.540000,2.540000,1591883
2018-10-10,2.600000,2.610000,2.490000,2.490000,2.490000,2459592
2018-10-11,2.400000,2.410000,2.340000,2.370000,2.370000,3469144
2018-10-12,2.310000,2.430000,2.310000,2.370000,2.370000,2142582
2018-10-15,2.390000,2.420000,2.320000,2.330000,2.330000,2015357
2018-10-16,2.360000,2.390000,2.335000,2.360000,2.360000,2108007
2018-10-17,2.400000,2.410000,2.310000,2.330000,2.330000,2743837
2018-10-18,2.350000,2.350000,2.170000,2.200000,2.200000,5487268
2018-10-19,2.200000,2.390000,2.200000,2.340000,2.340000,5770582
2018-10-22,2.350000,2.400000,2.310000,2.360000,2.360000,1981797
2018-10-23,2.350000,2.360000,2.260000,2.260000,2.260000,2387142
2018-10-24,2.270000,2.285000,2.220000,2.260000,2.260000,1670931
2018-10-25,2.200000,2.240000,2.190000,2.190000,2.190000,1999954
2018-10-26,2.230000,2.260000,2.185000,2.190000,2.190000,1646879
2018-10-29,2.180000,2.190000,2.130000,2.130000,2.130000,1909085
2018-10-30,2.110000,2.250000,2.080000,2.240000,2.240000,2860450
2018-10-31,2.250000,2.250000,2.130000,2.190000,2.190000,2622406
2018-11-01,2.190000,2.280000,2.160000,2.280000,2.280000,2560687
2018-11-02,2.360000,2.615000,2.360000,2.580000,2.580000,6536883
2018-11-05,2.580000,2.650000,2.510000,2.570000,2.570000,3948767
2018-11-06,2.600000,2.650000,2.570000,2.620000,2.620000,2337557
2018-11-07,2.650000,2.800000,2.620000,2.760000,2.760000,3756566
2018-11-08,2.810000,2.850000,2.760000,2.790000,2.790000,2695987
2018-11-09,2.750000,2.750000,2.620000,2.700000,2.700000,2713896
2018-11-12,2.670000,2.820000,2.660000,2.750000,2.750000,2228836
2018-11-13,2.650000,2.700000,2.610000,2.630000,2.630000,2797458
2018-11-14,2.610000,2.640000,2.550000,2.570000,2.570000,1911638
2018-11-15,2.570000,2.650000,2.555000,2.610000,2.610000,2054468
