Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,3.743320,3.748150,3.666140,3.675790,3.353247,1864382
2017-01-31,3.646850,3.656490,3.598610,3.617900,3.300437,1854866
2017-02-01,3.598610,3.675790,3.588960,3.656490,3.335641,2138250
2017-02-02,3.646850,3.656490,3.588960,3.608260,3.291643,1814949
2017-02-03,3.588960,3.695090,3.574490,3.666140,3.344444,2147006
2017-02-06,3.714380,3.733680,3.637200,3.637200,3.318043,947563
2017-02-07,3.637200,3.762620,3.637200,3.752970,3.423655,2658504
2017-02-08,3.781910,3.830150,3.762620,3.820510,3.485268,2003921
2017-02-09,3.820510,3.825330,3.724030,3.801210,3.467662,2872695
2017-02-10,3.801210,3.839800,3.791560,3.820510,3.485268,1809529
2017-02-13,3.810860,3.830150,3.791560,3.801210,3.467662,1255501
2017-02-14,3.810860,3.830150,3.733680,3.733680,3.406057,3543909
2017-02-15,3.608260,3.608260,3.222350,3.289880,3.001200,10004902
2017-02-16,3.270580,3.280230,3.203050,3.241640,2.957193,6806650
2017-02-17,3.241640,3.251290,3.174110,3.203050,2.921989,3787988
2017-02-20,3.203050,3.212700,3.135520,3.154810,2.877982,2676774
2017-02-21,3.135520,3.188580,3.067980,3.125870,2.851582,3981331
2017-02-22,3.145160,3.246470,3.135520,3.231990,2.948390,5065907
2017-02-23,3.270580,3.289880,3.183750,3.203050,2.921989,2626562
2017-02-24,3.231990,3.231990,3.193400,3.203050,2.921989,2282309
2017-02-27,3.222350,3.280230,3.203050,3.222350,2.939595,3378416
2017-02-28,3.231990,3.241640,3.174110,3.183750,2.904382,2285435
2017-03-01,3.203050,3.217520,3.174110,3.203050,2.921989,2431569
2017-03-02,3.231990,3.280230,3.198230,3.251290,2.965996,3041922
2017-03-03,3.231990,3.231990,3.174110,3.222350,2.939595,1418849
2017-03-06,3.193400,3.203050,3.154810,3.183750,2.904382,1813026
2017-03-07,3.183750,3.251290,3.174110,3.212700,2.930792,2275161
2017-03-08,3.241640,3.280230,3.174110,3.241640,2.957193,2391635
2017-03-09,3.241640,3.270580,3.193400,3.241640,2.957193,1980536
2017-03-10,3.241640,3.241640,3.193400,3.212700,2.930792,1474606
2017-03-13,3.203050,3.251290,3.159640,3.241640,2.957193,3459383
2017-03-14,3.251290,3.270580,3.212700,3.222350,2.939595,1666477
2017-03-15,3.222350,3.231990,3.193400,3.203050,2.921989,1670728
2017-03-16,3.174110,3.222350,3.174110,3.183750,2.904382,2798227
2017-03-17,3.154810,3.193400,3.130690,3.174110,2.939912,6025860
2017-03-20,3.174110,3.309180,3.164460,3.289880,3.047141,2779059
2017-03-21,3.260940,3.328470,3.212700,3.231990,2.993522,3172728
2017-03-22,3.231990,3.304350,3.212700,3.260940,3.020335,2654437
2017-03-23,3.280230,3.280230,3.193400,3.241640,3.002460,2543817
2017-03-24,3.270580,3.328470,3.251290,3.318820,3.073945,1563328
2017-03-27,3.318820,3.318820,3.265760,3.289880,3.047141,928753
2017-03-28,3.318820,3.386360,3.299530,3.376710,3.127564,1768738
2017-03-29,3.386360,3.424950,3.376710,3.415300,3.163306,2104880
2017-03-30,3.415300,3.444240,3.405650,3.434600,3.181183,1322914
2017-03-31,3.424950,3.463540,3.415300,3.444240,3.190111,1462317
2017-04-03,3.434600,3.453890,3.386360,3.405650,3.154369,1389553
2017-04-04,3.405650,3.415300,3.357410,3.357410,3.109688,988999
2017-04-05,3.328470,3.347770,3.289880,3.309180,3.065016,1683842
2017-04-06,3.318820,3.338120,3.299530,3.309180,3.065016,1429010
2017-04-07,3.289880,3.333290,3.270580,3.280230,3.038202,1472290
2017-04-10,3.280230,3.328470,3.265760,3.280230,3.038202,1156175
2017-04-11,3.309180,3.367060,3.289880,3.328470,3.082883,1940542
2017-04-12,3.347770,3.362240,3.318820,3.347770,3.100759,1761455
2017-04-13,3.338120,3.347770,3.318820,3.328470,3.082883,1117842
2017-04-18,3.309180,3.347770,3.309180,3.338120,3.091821,1716165
2017-04-19,3.338120,3.357410,3.289880,3.309180,3.065016,1300710
2017-04-20,3.289880,3.309180,3.256110,3.280230,3.038202,2041765
2017-04-21,3.299530,3.323650,3.289880,3.318820,3.073945,649605
2017-04-24,3.309180,3.352590,3.299530,3.299530,3.056078,961162
2017-04-26,3.328470,3.333290,3.309180,3.328470,3.082883,1469983
2017-04-27,3.318820,3.328470,3.280230,3.299530,3.056078,1148544
2017-04-28,3.299530,3.304350,3.222350,3.270580,3.029264,1697359
2017-05-01,3.280230,3.285060,3.231990,3.241640,3.002460,1262572
2017-05-02,3.280230,3.304350,3.241640,3.299530,3.056078,3133975
2017-05-03,3.299530,3.453890,3.299530,3.434600,3.181183,2959533
2017-05-04,3.415300,3.444240,3.386360,3.434600,3.181183,1914780
2017-05-05,3.453890,3.468360,3.415300,3.434600,3.181183,2211536
2017-05-08,3.453890,3.666140,3.424950,3.598610,3.333091,7158891
2017-05-09,3.588960,3.627550,3.550370,3.617900,3.350958,2310972
2017-05-10,3.656490,3.704730,3.646850,3.685440,3.413514,4318638
2017-05-11,3.714380,3.786740,3.704730,3.752970,3.476062,3382976
2017-05-12,3.733680,3.752970,3.680610,3.685440,3.413514,2313307
2017-05-15,3.675790,3.685440,3.598610,3.637200,3.368834,2430424
2017-05-16,3.695090,3.724030,3.646850,3.714380,3.440319,3365014
2017-05-17,3.656490,3.685440,3.646850,3.675790,3.404577,2874217
2017-05-18,3.608260,3.632370,3.579310,3.608260,3.342029,1480751
2017-05-19,3.588960,3.632370,3.579310,3.608260,3.342029,1833888
2017-05-22,3.588960,3.646850,3.579310,3.598610,3.333091,1058656
2017-05-23,3.598610,3.656490,3.564840,3.569660,3.306277,2368972
2017-05-24,3.588960,3.588960,3.526250,3.569660,3.306277,1729272
2017-05-25,3.569660,3.579310,3.531070,3.550370,3.288410,1321267
2017-05-26,3.588960,3.588960,3.516600,3.550370,3.288410,1120006
2017-05-29,3.540720,3.555190,3.492480,3.511780,3.252668,1083212
2017-05-30,3.521430,3.531070,3.453890,3.502130,3.243730,1086965
2017-05-31,3.482830,3.569660,3.482830,3.550370,3.288410,2995731
2017-06-01,3.579310,3.791560,3.574490,3.772270,3.493938,3753413
2017-06-02,3.810860,3.810860,3.743320,3.791560,3.511805,3130390
2017-06-05,3.752970,3.781910,3.714380,3.752970,3.476062,1798235
2017-06-06,3.675790,3.733680,3.622730,3.637200,3.368834,1362142
2017-06-07,3.608260,3.666140,3.598610,3.637200,3.368834,1458927
2017-06-08,3.598610,3.675790,3.579310,3.637200,3.368834,647398
2017-06-09,3.588960,3.651670,3.588960,3.608260,3.342029,632629
2017-06-13,3.588960,3.685440,3.588960,3.685440,3.413514,1325681
2017-06-14,3.675790,3.743320,3.675790,3.724030,3.449257,1548498
2017-06-15,3.666140,3.704730,3.651670,3.675790,3.404577,2784997
2017-06-16,3.656490,3.714380,3.598610,3.598610,3.333091,4449880
2017-06-19,3.588960,3.651670,3.588960,3.646850,3.377772,1242562
2017-06-20,3.627550,3.646850,3.588960,3.617900,3.350958,1702646
2017-06-21,3.588960,3.617900,3.579310,3.608260,3.342029,2555475
2017-06-22,3.598610,3.627550,3.564840,3.598610,3.333091,1346177
2017-06-23,3.617900,3.632370,3.593780,3.608260,3.342029,1521616
2017-06-26,3.627550,3.637200,3.569660,3.608260,3.342029,923600
2017-06-27,3.588960,3.651670,3.555190,3.637200,3.368834,1135520
2017-06-28,3.569660,3.666140,3.569660,3.646850,3.377772,1547970
2017-06-29,3.656490,3.685440,3.637200,3.646850,3.377772,1989752
2017-06-30,3.617900,3.622730,3.511780,3.511780,3.252668,1739678
2017-07-03,3.511780,3.574490,3.502130,3.511780,3.252668,1760741
2017-07-04,3.569660,3.569660,3.511780,3.550370,3.288410,1081470
2017-07-05,3.540720,3.569660,3.492480,3.550370,3.288410,2067402
2017-07-06,3.511780,3.593780,3.511780,3.569660,3.306277,1592920
2017-07-07,3.521430,3.526250,3.444240,3.453890,3.199049,1835465
2017-07-10,3.434600,3.497310,3.405650,3.473190,3.216925,1749699
2017-07-11,3.434600,3.487660,3.434600,3.444240,3.190111,884327
2017-07-12,3.405650,3.405650,3.323650,3.357410,3.109688,2427012
2017-07-13,3.415300,3.444240,3.400830,3.434600,3.181183,1300949
2017-07-14,3.473190,3.516600,3.463540,3.502130,3.243730,1978459
2017-07-17,3.473190,3.540720,3.473190,3.521430,3.261606,1663089
2017-07-18,3.521430,3.531070,3.424950,3.473190,3.216925,1086582
2017-07-19,3.473190,3.482830,3.429770,3.444240,3.190111,1343564
2017-07-20,3.463540,3.492480,3.453890,3.473190,3.216925,945629
2017-07-21,3.367060,3.550370,3.299530,3.502130,3.243730,4043565
2017-07-24,3.444240,3.492480,3.415300,3.492480,3.234792,1317613
2017-07-25,3.502130,3.502130,3.444240,3.463540,3.207987,2358375
2017-07-26,3.463540,3.473190,3.424950,3.444240,3.190111,1112948
2017-07-27,3.444240,3.444240,3.405650,3.424950,3.172244,541936
2017-07-28,3.405650,3.434600,3.338120,3.347770,3.100759,979882
2017-07-31,3.328470,3.357410,3.270580,3.270580,3.029264,1861656
2017-08-01,3.241640,3.289880,3.241640,3.251290,3.011398,2487295
2017-08-02,3.251290,3.328470,3.231990,3.280230,3.038202,2750333
2017-08-03,3.251290,3.309180,3.241640,3.280230,3.038202,1013961
2017-08-04,3.289880,3.376710,3.289880,3.338120,3.091821,1252225
2017-08-07,3.376710,3.424950,3.347770,3.396010,3.145440,1796025
2017-08-08,3.376710,3.386360,3.304350,3.338120,3.091821,875033
2017-08-09,3.357410,3.371890,3.338120,3.367060,3.118626,646276
2017-08-10,3.396010,3.396010,3.357410,3.367060,3.118626,603158
2017-08-11,3.328470,3.362240,3.309180,3.318820,3.073945,836997
2017-08-14,3.367060,3.386360,3.338120,3.357410,3.109688,1001185
2017-08-15,3.396010,3.396010,3.357410,3.376710,3.127564,842467
2017-08-16,3.357410,3.434600,3.357410,3.434600,3.181183,1360040
2017-08-17,3.453890,3.473190,3.386360,3.405650,3.154369,1243688
2017-08-18,3.328470,3.511780,3.270580,3.502130,3.243730,2162097
2017-08-21,3.482830,3.482830,3.376710,3.405650,3.154369,1439176
2017-08-22,3.434600,3.511780,3.396010,3.453890,3.199049,58693704
2017-08-23,3.463540,3.478010,3.386360,3.415300,3.163306,1269705
2017-08-24,3.376710,3.410480,3.357410,3.376710,3.127564,1187116
2017-08-25,3.367060,3.396010,3.338120,3.338120,3.091821,980205
2017-08-28,3.347770,3.367060,3.309180,3.338120,3.091821,1767866
2017-08-29,3.318820,3.347770,3.280230,3.328470,3.082883,1945436
2017-08-30,3.328470,3.376710,3.318820,3.328470,3.082883,1792030
2017-08-31,3.328470,3.328470,3.260940,3.299530,3.110276,2517290
2017-09-01,3.280230,3.338120,3.270580,3.270580,3.082987,2435962
2017-09-04,3.251290,3.270580,3.154810,3.154810,2.973857,3435472
2017-09-05,3.154810,3.154810,3.087280,3.125870,2.946577,2362821
2017-09-06,3.087280,3.135520,3.072810,3.106570,2.928384,3318356
2017-09-07,3.106570,3.145160,3.072810,3.077630,2.901104,2225368
