Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.791240,4.791240,4.738430,4.772040,3.973137,2150937
2017-01-31,4.752840,4.800840,4.714430,4.800840,3.997115,3298555
2017-02-01,4.762440,4.800840,4.676020,4.714430,3.925172,3030955
2017-02-02,4.743230,4.743230,4.661620,4.695230,3.909186,3105568
2017-02-03,4.695230,4.733630,4.656820,4.676020,3.893192,2458018
2017-02-06,4.666420,4.685620,4.618410,4.647220,3.869214,3145921
2017-02-07,4.628010,4.666420,4.580010,4.656820,3.877206,2233559
2017-02-08,4.733630,4.733630,4.637620,4.685620,3.901185,2201878
2017-02-09,4.704830,4.714430,4.637620,4.704830,3.917179,2542343
2017-02-10,4.724030,4.786440,4.700030,4.772040,3.973137,2501521
2017-02-13,4.839250,4.906460,4.810450,4.877660,4.061074,4950456
2017-02-14,4.944870,4.983280,4.906460,4.954470,4.125026,3570030
2017-02-15,4.983280,4.983280,4.872860,4.964070,4.133018,4066807
2017-02-16,4.944870,4.983280,4.877660,4.954470,4.125026,2667638
2017-02-17,4.954470,4.954470,4.853650,4.896860,4.077061,3417777
2017-02-20,4.896860,4.896860,4.815250,4.829650,4.021102,2659389
2017-02-21,4.829650,4.868060,4.805650,4.829650,4.021102,2979975
2017-02-22,4.848850,4.858450,4.776840,4.829650,4.021102,4448163
2017-02-23,4.829650,4.954470,4.781640,4.935270,4.109040,3864316
2017-02-24,4.964070,4.964070,4.839250,4.858450,4.045081,5414174
2017-02-27,4.858450,4.944870,4.829650,4.916060,4.093046,2929249
2017-02-28,4.944870,5.031280,4.896860,4.944870,4.117033,6200493
2017-03-01,4.772040,4.772040,4.479190,4.656820,3.877206,11046997
2017-03-02,4.733630,4.733630,4.608810,4.676020,3.893192,4834756
2017-03-03,4.599210,4.613610,4.541600,4.608810,3.837234,5720049
2017-03-06,4.589610,4.671220,4.570400,4.666420,3.885199,2996927
2017-03-07,4.647220,4.724030,4.647220,4.695230,3.909186,3722696
2017-03-08,4.666420,4.714430,4.647220,4.695230,3.909186,2467757
2017-03-09,4.695230,4.733630,4.676020,4.714430,3.925172,2395755
2017-03-10,4.752840,4.791240,4.714430,4.743230,3.949150,2477250
2017-03-13,4.762440,4.925670,4.757640,4.858450,4.045081,7051649
2017-03-14,4.839250,4.858450,4.791240,4.800840,3.997115,5568983
2017-03-15,4.772040,4.829650,4.743230,4.762440,3.965145,5731734
2017-03-16,4.743230,4.772040,4.647220,4.656820,3.877206,7538006
2017-03-17,4.704830,4.704830,4.541600,4.560800,3.797261,21475773
2017-03-20,4.551200,4.551200,4.157530,4.186340,3.485491,17797877
2017-03-21,4.263150,4.368770,4.263150,4.320760,3.597407,17061710
2017-03-22,4.349570,4.349570,4.186340,4.224740,3.517462,11221130
2017-03-23,4.195940,4.205540,4.147930,4.176730,3.477490,12503246
2017-03-24,4.128730,4.224740,4.090320,4.205540,3.501477,13491286
2017-03-27,4.215140,4.215140,4.119120,4.138330,3.445518,6345502
2017-03-28,4.147930,4.176730,4.128730,4.176730,3.477490,4743689
2017-03-29,4.195940,4.282350,4.186340,4.263150,3.549442,8975296
2017-03-30,4.282350,4.311160,4.253550,4.291950,3.573421,5449360
2017-03-31,4.349570,4.387970,4.301560,4.349570,3.621394,5460828
2017-04-03,4.359170,4.378370,4.320760,4.349570,3.621394,3556009
2017-04-04,4.339960,4.349570,4.253550,4.272750,3.557435,6567448
2017-04-05,4.282350,4.344760,4.282350,4.311160,3.589415,5417298
2017-04-06,4.157530,4.229540,4.147930,4.176730,3.594208,7356085
2017-04-07,4.167130,4.205540,4.099920,4.099920,3.528110,4463933
2017-04-10,4.128730,4.186340,4.119120,4.147930,3.569424,3410460
2017-04-11,4.138330,4.176730,4.119120,4.147930,3.569424,2980570
2017-04-12,4.301560,4.301560,4.167130,4.205540,3.619000,5155208
2017-04-13,4.205540,4.215140,4.167130,4.186340,3.602477,3837821
2017-04-18,4.157530,4.176730,4.085520,4.109520,3.536371,5571765
2017-04-19,4.138330,4.195940,4.119120,4.176730,3.594208,4047498
2017-04-20,4.167130,4.176730,4.003900,4.032710,3.470274,7189026
2017-04-21,4.023110,4.042310,3.970300,3.994300,3.437221,7009987
2017-04-24,3.955900,4.071120,3.927090,4.061510,3.495057,3234492
2017-04-26,4.051910,4.099920,3.994300,3.994300,3.437221,4366499
2017-04-27,3.994300,4.075920,3.994300,4.051910,3.486796,4989469
2017-04-28,4.061510,4.080720,4.003900,4.023110,3.462013,6151834
2017-05-01,4.023110,4.109520,3.984700,4.099920,3.528110,4229859
2017-05-02,4.157530,4.205540,4.099920,4.147930,3.569424,5538586
2017-05-03,4.147930,4.157530,4.075920,4.109520,3.536371,3049018
2017-05-04,4.080720,4.176730,4.051910,4.147930,3.569424,3268892
2017-05-05,4.176730,4.219940,4.128730,4.176730,3.594208,3149651
2017-05-08,4.224740,4.224740,4.090320,4.109520,3.536371,4710131
2017-05-09,4.109520,4.119120,3.826270,3.965500,3.412438,14412565
2017-05-10,3.994300,4.003900,3.888680,3.984700,3.428960,13509929
2017-05-11,3.888680,3.970300,3.879080,3.936690,3.387646,4607555
2017-05-12,3.879080,3.927090,3.802270,3.831070,3.296757,7750471
2017-05-15,3.840680,3.879080,3.725460,3.783070,3.255451,7965926
2017-05-16,3.783070,3.816670,3.677450,3.763860,3.238920,14564089
2017-05-17,3.725460,3.763860,3.648640,3.696650,3.181084,5869326
2017-05-18,3.658240,3.677450,3.581430,3.658240,3.148031,6849659
