Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,7.920000,7.975000,7.890000,7.940000,7.940000,5857325
2019-09-17,7.920000,7.950000,7.850000,7.910000,7.910000,6619045
2019-09-18,7.900000,7.925000,7.860000,7.890000,7.890000,7193430
2019-09-19,7.860000,7.970000,7.860000,7.900000,7.900000,11424802
2019-09-20,7.940000,8.000000,7.890000,7.900000,7.900000,6894076
2019-09-23,7.960000,8.040000,7.910000,8.020000,8.020000,4027291
2019-09-24,7.990000,8.030000,7.920000,8.020000,8.020000,4774450
2019-09-25,7.940000,8.040000,7.940000,8.000000,8.000000,4755312
2019-09-26,7.970000,8.000000,7.820000,7.850000,7.850000,4863462
2019-09-27,7.850000,7.850000,7.850000,7.850000,7.850000,0
2019-09-30,7.920000,7.960000,7.880000,7.900000,7.900000,3541878
2019-10-01,7.900000,7.930000,7.850000,7.930000,7.930000,2713978
2019-10-02,7.850000,7.900000,7.785000,7.800000,7.800000,4364576
2019-10-03,7.610000,7.700000,7.580000,7.660000,7.660000,6092601
2019-10-04,7.660000,7.700000,7.600000,7.670000,7.670000,3120149
2019-10-07,7.700000,7.730000,7.660000,7.720000,7.720000,1283553
2019-10-08,7.740000,7.830000,7.700000,7.730000,7.730000,3294855
2019-10-09,7.660000,7.665000,7.600000,7.620000,7.620000,2794124
2019-10-10,7.600000,7.665000,7.540000,7.590000,7.590000,2897678
2019-10-11,7.730000,7.730000,7.650000,7.730000,7.730000,4230052
2019-10-14,7.770000,7.890000,7.760000,7.820000,7.820000,3751599
2019-10-15,7.800000,7.860000,7.790000,7.830000,7.830000,1696386
2019-10-16,7.920000,7.950000,7.870000,7.950000,7.950000,2988397
2019-10-17,7.980000,8.030000,7.940000,7.950000,7.950000,3757121
2019-10-18,8.030000,8.170000,8.020000,8.050000,8.050000,5973878
2019-10-21,7.950000,8.010000,7.930000,8.000000,8.000000,3095870
2019-10-22,8.000000,8.075000,7.970000,8.050000,8.050000,2875041
2019-10-23,8.000000,8.060000,7.970000,8.060000,8.060000,3950370
2019-10-24,8.060000,8.100000,8.040000,8.060000,8.060000,4051765
2019-10-25,8.140000,8.155000,7.975000,8.040000,8.040000,4187349
2019-10-28,8.070000,8.100000,7.920000,7.950000,7.950000,3157804
2019-10-29,8.000000,8.040000,7.940000,7.980000,7.980000,3419995
2019-10-30,7.960000,7.980000,7.880000,7.890000,7.890000,3317195
2019-10-31,7.880000,7.940000,7.820000,7.940000,7.940000,6641214
2019-11-01,7.960000,7.990000,7.880000,7.900000,7.900000,5200211
2019-11-04,7.970000,8.030000,7.920000,7.970000,7.970000,3119700
2019-11-05,8.040000,8.060000,7.875000,7.900000,7.900000,3490825
2019-11-06,7.850000,7.890000,7.790000,7.820000,7.820000,3511759
2019-11-07,7.880000,7.950000,7.810000,7.910000,7.910000,3893490
2019-11-08,7.880000,7.915000,7.820000,7.870000,7.870000,2936119
2019-11-11,7.890000,7.930000,7.790000,7.860000,7.860000,5076613
2019-11-12,7.870000,7.885000,7.770000,7.860000,7.860000,3699289
2019-11-13,7.840000,7.880000,7.730000,7.730000,7.730000,4938846
2019-11-14,7.730000,7.870000,7.730000,7.830000,7.830000,3512724
2019-11-15,7.850000,7.890000,7.820000,7.860000,7.860000,2292559
2019-11-18,7.810000,7.860000,7.770000,7.840000,7.840000,2942809
2019-11-19,7.850000,7.880000,7.790000,7.880000,7.880000,3175106
2019-11-20,7.780000,7.835000,7.700000,7.730000,7.730000,4570542
2019-11-21,7.670000,7.700000,7.610000,7.690000,7.690000,3985213
2019-11-22,7.760000,7.780000,7.700000,7.730000,7.730000,2471789
2019-11-25,7.770000,7.800000,7.735000,7.740000,7.740000,3188406
2019-11-26,7.750000,7.820000,7.720000,7.720000,7.720000,5398888
2019-11-27,7.790000,7.970000,7.720000,7.940000,7.940000,4126293
2019-11-28,8.000000,8.000000,7.890000,7.890000,7.890000,3751618
2019-11-29,7.990000,7.990000,7.880000,7.890000,7.890000,2977432
2019-12-02,7.910000,7.940000,7.830000,7.880000,7.880000,3661950
2019-12-03,7.750000,7.790000,7.650000,7.680000,7.680000,6722812
2019-12-04,7.580000,7.690000,7.560000,7.650000,7.650000,6896977
2019-12-05,7.640000,7.735000,7.640000,7.730000,7.730000,4053245
2019-12-06,7.700000,7.870000,7.690000,7.850000,7.850000,3415075
2019-12-09,7.830000,7.880000,7.820000,7.860000,7.860000,5301813
2019-12-10,7.790000,7.890000,7.790000,7.820000,7.820000,4434343
2019-12-11,7.860000,7.930000,7.805000,7.930000,7.930000,8976368
2019-12-12,7.880000,7.960000,7.880000,7.930000,7.930000,5161004
2019-12-13,7.880000,7.980000,7.880000,7.980000,7.980000,1911018
2019-12-16,8.000000,8.150000,7.980000,8.050000,8.050000,5391179
2019-12-17,8.080000,8.110000,8.020000,8.100000,8.100000,5246646
2019-12-18,8.100000,8.130000,8.050000,8.050000,8.050000,5146570
2019-12-19,8.010000,8.045000,7.830000,7.840000,7.840000,8670040
2019-12-20,7.860000,7.910000,7.810000,7.870000,7.870000,8026102
2019-12-23,7.870000,7.950000,7.840000,7.900000,7.900000,2945256
2019-12-24,7.830000,7.860000,7.750000,7.840000,7.840000,1500352
2019-12-27,7.830000,7.850000,7.780000,7.810000,7.810000,2007510
2019-12-30,7.830000,7.840000,7.750000,7.840000,7.840000,2351316
2019-12-31,7.740000,7.790000,7.630000,7.660000,7.660000,3529581
2020-01-02,7.660000,7.660000,7.535000,7.580000,7.580000,3244942
2020-01-03,7.690000,7.720000,7.570000,7.610000,7.610000,3352922
2020-01-06,7.490000,7.505000,7.380000,7.480000,7.480000,6245296
2020-01-07,7.480000,7.650000,7.450000,7.620000,7.620000,6705123
2020-01-08,7.600000,7.630000,7.530000,7.600000,7.600000,7534595
2020-01-09,7.660000,7.690000,7.560000,7.600000,7.600000,4100542
2020-01-10,7.620000,7.710000,7.600000,7.650000,7.650000,4469094
2020-01-13,7.650000,7.650000,7.560000,7.650000,7.650000,7310821
2020-01-14,7.690000,7.730000,7.660000,7.730000,7.730000,3896567
2020-01-15,7.750000,7.800000,7.720000,7.770000,7.770000,4734656
2020-01-16,7.840000,7.910000,7.810000,7.890000,7.890000,4621488
2020-01-17,7.950000,7.980000,7.900000,7.910000,7.910000,3760984
2020-01-20,7.920000,7.920000,7.680000,7.720000,7.720000,7688115
2020-01-21,7.680000,7.690000,7.605000,7.680000,7.680000,5068087
2020-01-22,7.730000,7.820000,7.720000,7.800000,7.800000,4255342
2020-01-23,7.840000,7.870000,7.650000,7.720000,7.720000,5140264
2020-01-24,7.420000,7.450000,7.230000,7.300000,7.300000,13962565
2020-01-28,7.220000,7.230000,7.125000,7.160000,7.160000,6311771
2020-01-29,7.270000,7.275000,7.170000,7.170000,7.170000,4601614
2020-01-30,7.240000,7.250000,7.060000,7.100000,7.100000,4334853
2020-01-31,7.150000,7.160000,7.050000,7.080000,7.080000,7333798
2020-02-03,7.030000,7.060000,6.950000,7.010000,7.010000,5020490
2020-02-04,7.000000,7.090000,6.970000,7.050000,7.050000,4866816
2020-02-05,7.070000,7.070000,6.950000,6.950000,6.950000,5455441
2020-02-06,7.050000,7.120000,7.010000,7.100000,7.100000,8026236
2020-02-07,7.060000,7.090000,7.010000,7.070000,7.070000,6883851
2020-02-10,7.000000,7.000000,6.880000,6.880000,6.880000,5158044
2020-02-11,6.880000,6.930000,6.810000,6.870000,6.870000,6850626
2020-02-12,6.810000,7.060000,6.810000,6.880000,6.880000,6138868
2020-02-13,6.920000,6.920000,6.750000,6.790000,6.790000,7424298
2020-02-14,6.800000,6.840000,6.720000,6.790000,6.790000,7903981
