Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.180000,4.190000,4.120000,4.150000,3.925027,710052
2017-01-31,4.120000,4.160000,4.060000,4.080000,3.858821,1488857
2017-02-01,4.120000,4.140000,4.080000,4.090000,3.868279,245288
2017-02-02,4.100000,4.100000,4.040000,4.060000,3.839906,309716
2017-02-03,4.080000,4.080000,4.010000,4.030000,3.811532,94550
2017-02-06,4.020000,4.060000,3.960000,4.000000,3.783158,73344
2017-02-07,4.020000,4.020000,3.850000,3.980000,3.764243,335331
2017-02-08,3.950000,4.000000,3.860000,3.900000,3.688580,413888
2017-02-09,4.020000,4.440000,4.020000,4.370000,4.133100,1736987
2017-02-10,4.350000,4.680000,4.350000,4.460000,4.218221,626627
2017-02-13,4.450000,4.670000,4.450000,4.520000,4.274969,316669
2017-02-14,4.530000,4.680000,4.450000,4.540000,4.293884,449951
2017-02-15,4.500000,4.500000,4.420000,4.440000,4.199306,151998
2017-02-16,4.470000,4.480000,4.420000,4.430000,4.189847,78063
2017-02-17,4.400000,4.450000,4.400000,4.440000,4.199306,91574
2017-02-20,4.410000,4.450000,4.330000,4.340000,4.104727,125960
2017-02-21,4.330000,4.340000,4.280000,4.310000,4.076353,196891
2017-02-22,4.320000,4.460000,4.290000,4.360000,4.123642,382891
2017-02-23,4.360000,4.490000,4.300000,4.390000,4.152016,72891
2017-02-24,4.310000,4.420000,4.300000,4.350000,4.114185,169598
2017-02-27,4.330000,4.370000,4.300000,4.350000,4.114185,141327
2017-02-28,4.360000,4.420000,4.350000,4.390000,4.152016,145145
2017-03-01,4.360000,4.420000,4.350000,4.360000,4.123642,115540
2017-03-02,4.490000,4.490000,4.410000,4.450000,4.208763,101424
2017-03-03,4.430000,4.460000,4.370000,4.400000,4.161474,98181
2017-03-06,4.400000,4.450000,4.300000,4.370000,4.133100,553627
2017-03-07,4.360000,4.430000,4.300000,4.360000,4.123642,369183
2017-03-08,4.390000,4.400000,4.130000,4.300000,4.133255,498444
2017-03-09,4.340000,4.380000,4.230000,4.250000,4.085194,18983
2017-03-10,4.260000,4.400000,4.250000,4.380000,4.210153,1134360
2017-03-13,4.390000,4.390000,4.220000,4.230000,4.065969,40182
2017-03-14,4.230000,4.290000,4.120000,4.220000,4.056357,131404
2017-03-15,4.170000,4.290000,4.170000,4.220000,4.056357,64965
2017-03-16,4.200000,4.270000,4.180000,4.250000,4.085194,214740
2017-03-17,4.150000,4.300000,4.150000,4.280000,4.114030,66348
