Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,5.500000,5.670000,5.430000,5.650000,5.650000,1706116
2019-09-17,5.610000,5.640000,5.565000,5.620000,5.620000,1019970
2019-09-18,5.550000,5.610000,5.445000,5.470000,5.470000,1836346
2019-09-19,5.500000,5.580000,5.470000,5.550000,5.550000,1709266
2019-09-20,5.770000,6.000000,5.760000,5.990000,5.990000,4803342
2019-09-23,6.180000,6.710000,6.180000,6.710000,6.710000,5504423
2019-09-24,6.700000,6.820000,6.570000,6.740000,6.740000,3183457
2019-09-25,6.670000,6.800000,6.530000,6.560000,6.560000,2191232
2019-09-26,6.570000,6.620000,6.400000,6.450000,6.450000,2097441
2019-09-27,6.450000,6.450000,6.450000,6.450000,6.450000,0
2019-09-30,6.460000,6.500000,6.355000,6.390000,6.390000,1738181
2019-10-01,6.390000,6.550000,6.360000,6.470000,6.470000,2178021
2019-10-02,6.420000,6.430000,6.225000,6.310000,6.310000,2623174
2019-10-03,6.120000,6.250000,6.080000,6.150000,6.150000,2104044
2019-10-04,6.190000,6.240000,6.135000,6.170000,6.170000,1375401
2019-10-07,6.180000,6.280000,6.140000,6.240000,6.240000,655453
2019-10-08,6.290000,6.290000,6.060000,6.080000,6.080000,1274043
2019-10-09,6.000000,6.130000,5.990000,6.030000,6.030000,1271414
2019-10-10,6.030000,6.070000,5.995000,6.040000,6.040000,981232
2019-10-11,6.100000,6.260000,6.060000,6.260000,6.260000,1837594
2019-10-14,6.260000,6.405000,6.260000,6.310000,6.310000,1161957
2019-10-15,6.250000,6.340000,6.235000,6.250000,6.250000,1023704
2019-10-16,6.340000,6.410000,6.270000,6.360000,6.360000,1591164
2019-10-17,6.650000,7.070000,6.650000,7.050000,7.050000,5269323
2019-10-18,7.310000,7.475000,7.260000,7.300000,7.300000,4820421
2019-10-21,7.300000,7.460000,7.210000,7.440000,7.440000,3513677
2019-10-22,7.430000,7.460000,7.270000,7.310000,7.310000,2216149
2019-10-23,7.300000,7.540000,7.290000,7.540000,7.540000,2034780
2019-10-24,7.610000,7.810000,7.500000,7.530000,7.530000,1758072
2019-10-25,7.510000,7.590000,7.410000,7.500000,7.500000,1521540
2019-10-28,7.470000,7.595000,7.460000,7.590000,7.590000,668708
2019-10-29,7.600000,7.690000,7.550000,7.650000,7.650000,1148000
2019-10-30,7.600000,7.660000,7.570000,7.610000,7.610000,1747896
2019-10-31,7.570000,7.610000,7.285000,7.380000,7.380000,2663020
2019-11-01,7.300000,7.430000,7.260000,7.430000,7.430000,1028431
2019-11-04,7.470000,7.510000,7.360000,7.440000,7.440000,950196
2019-11-05,7.500000,7.580000,7.460000,7.530000,7.530000,874161
2019-11-06,7.560000,7.710000,7.550000,7.640000,7.640000,1339147
2019-11-07,7.570000,7.860000,7.550000,7.860000,7.860000,1907671
2019-11-08,7.910000,8.090000,7.905000,7.950000,7.950000,2383952
2019-11-11,7.950000,8.030000,7.880000,7.980000,7.980000,1027541
2019-11-12,7.980000,8.000000,7.730000,7.900000,7.900000,1594328
2019-11-13,7.850000,7.890000,7.640000,7.690000,7.690000,2228801
2019-11-14,7.620000,7.760000,7.570000,7.660000,7.660000,1329533
2019-11-15,7.670000,7.810000,7.660000,7.750000,7.750000,1448739
2019-11-18,7.700000,7.800000,7.610000,7.630000,7.630000,1001684
2019-11-19,7.580000,7.730000,7.490000,7.730000,7.730000,1369887
2019-11-20,7.730000,7.835000,7.630000,7.780000,7.780000,1769354
2019-11-21,7.660000,7.850000,7.640000,7.780000,7.780000,1185058
2019-11-22,7.850000,8.075000,7.850000,8.000000,8.000000,1932199
2019-11-25,7.980000,8.100000,7.920000,7.920000,7.920000,878619
2019-11-26,7.810000,7.870000,7.715000,7.730000,7.730000,2833440
2019-11-27,7.730000,7.850000,7.710000,7.850000,7.850000,1278522
2019-11-28,7.800000,7.920000,7.770000,7.850000,7.850000,781842
2019-11-29,7.850000,7.940000,7.810000,7.830000,7.830000,770880
2019-12-02,7.810000,7.880000,7.770000,7.800000,7.800000,813144
2019-12-03,7.750000,7.760000,7.640000,7.700000,7.700000,1339240
2019-12-04,7.610000,7.660000,7.540000,7.650000,7.650000,1394919
2019-12-05,7.590000,7.770000,7.590000,7.770000,7.770000,895249
2019-12-06,7.700000,7.820000,7.680000,7.810000,7.810000,813219
2019-12-09,7.800000,7.940000,7.780000,7.810000,7.810000,739403
2019-12-10,7.920000,8.260000,7.720000,7.860000,7.860000,2367925
2019-12-11,7.800000,7.880000,7.680000,7.810000,7.810000,1184418
2019-12-12,7.800000,7.920000,7.745000,7.760000,7.760000,1102157
2019-12-13,7.800000,7.985000,7.800000,7.950000,7.950000,1711708
2019-12-16,7.980000,8.260000,7.970000,8.220000,8.220000,1390159
2019-12-17,8.100000,8.180000,7.960000,8.010000,8.010000,2070006
2019-12-18,8.010000,8.200000,7.980000,8.020000,8.020000,1746867
2019-12-19,8.090000,8.230000,8.040000,8.130000,8.130000,2278087
2019-12-20,8.160000,8.190000,8.080000,8.080000,8.080000,2138589
2019-12-23,8.060000,8.110000,7.970000,8.050000,8.050000,835293
2019-12-24,8.050000,8.080000,7.940000,7.940000,7.940000,357406
2019-12-27,7.950000,8.100000,7.950000,8.080000,8.080000,446700
2019-12-30,8.060000,8.180000,8.000000,8.170000,8.170000,794043
2019-12-31,8.030000,8.110000,7.840000,7.860000,7.860000,753839
2020-01-02,7.920000,7.920000,7.820000,7.880000,7.880000,504218
2020-01-03,7.940000,8.070000,7.920000,7.960000,7.960000,423253
2020-01-06,7.880000,7.930000,7.835000,7.900000,7.900000,721423
2020-01-07,7.900000,8.090000,7.900000,8.090000,8.090000,556763
2020-01-08,8.020000,8.100000,7.765000,7.840000,7.840000,1085009
2020-01-09,7.920000,8.050000,7.880000,8.050000,8.050000,876325
2020-01-10,8.050000,8.220000,8.050000,8.200000,8.200000,1097540
2020-01-13,8.060000,8.190000,8.050000,8.190000,8.190000,480719
2020-01-14,8.130000,8.350000,8.130000,8.280000,8.280000,1523532
2020-01-15,8.250000,8.310000,8.155000,8.310000,8.310000,1289266
2020-01-16,8.350000,8.450000,8.180000,8.220000,8.220000,1433294
2020-01-17,8.300000,8.310000,8.090000,8.150000,8.150000,850766
2020-01-20,8.150000,8.240000,8.140000,8.150000,8.150000,796975
2020-01-21,8.200000,8.230000,8.060000,8.140000,8.140000,583064
2020-01-22,8.190000,8.345000,8.090000,8.310000,8.310000,1718056
2020-01-23,8.310000,8.310000,8.070000,8.080000,8.080000,838512
2020-01-24,8.120000,8.235000,8.120000,8.190000,8.190000,620168
2020-01-28,8.070000,8.090000,7.770000,7.870000,7.870000,1282735
2020-01-29,7.870000,7.980000,7.840000,7.860000,7.860000,4340048
2020-01-30,8.010000,8.090000,7.730000,7.790000,7.790000,1884447
2020-01-31,7.770000,7.960000,7.770000,7.910000,7.910000,1473947
2020-02-03,7.650000,7.755000,7.390000,7.700000,7.700000,1756374
2020-02-04,7.560000,7.590000,7.460000,7.490000,7.490000,2895457
2020-02-05,7.540000,7.590000,7.170000,7.270000,7.270000,3343936
2020-02-06,7.330000,7.495000,7.250000,7.280000,7.280000,2610426
2020-02-07,7.240000,7.270000,7.085000,7.120000,7.120000,1607345
2020-02-10,7.050000,7.150000,6.990000,7.110000,7.110000,1274127
2020-02-11,7.200000,7.270000,7.130000,7.150000,7.150000,1125950
2020-02-12,7.100000,7.180000,7.070000,7.100000,7.100000,1117225
2020-02-13,7.100000,7.235000,7.080000,7.140000,7.140000,3281631
2020-02-14,7.090000,7.100000,6.980000,7.040000,7.040000,1256203
