Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,6.440000,6.580000,6.370000,6.530000,6.462796,5049405
2019-09-17,6.540000,6.640000,6.450000,6.450000,6.383619,4659225
2019-09-18,6.410000,6.470000,6.330000,6.410000,6.344031,5408766
2019-09-19,6.370000,6.430000,6.330000,6.350000,6.284648,3743247
2019-09-20,6.340000,6.450000,6.230000,6.360000,6.294546,2357876
2019-09-23,6.430000,6.485000,6.320000,6.440000,6.373722,2474832
2019-09-24,6.350000,6.520000,6.260000,6.460000,6.393517,3027049
2019-09-25,6.380000,6.450000,6.330000,6.410000,6.344031,2605661
2019-09-26,6.470000,6.490000,6.400000,6.450000,6.383619,4404432
2019-09-27,6.450000,6.450000,6.450000,6.450000,6.383619,0
2019-09-30,6.460000,6.550000,6.430000,6.440000,6.373722,1828192
2019-10-01,6.450000,6.505000,6.340000,6.460000,6.393517,2804885
2019-10-02,6.320000,6.390000,6.230000,6.250000,6.185678,5548042
2019-10-03,6.170000,6.290000,6.130000,6.130000,6.066913,3563307
2019-10-04,6.100000,6.210000,6.045000,6.180000,6.116398,2204460
2019-10-07,6.200000,6.280000,6.200000,6.270000,6.205472,1736142
2019-10-08,6.310000,6.380000,6.280000,6.330000,6.264854,1570016
2019-10-09,6.270000,6.340000,6.230000,6.260000,6.195575,1651279
2019-10-10,6.270000,6.330000,6.240000,6.270000,6.205472,2610401
2019-10-11,6.240000,6.340000,6.180000,6.250000,6.185678,2489799
2019-10-14,6.200000,6.280000,6.105000,6.110000,6.047119,2720013
2019-10-15,5.960000,6.130000,5.890000,6.080000,6.017427,3587138
2019-10-16,6.080000,6.210000,6.010000,6.140000,6.076809,3191081
2019-10-17,6.200000,6.315000,6.080000,6.100000,6.037221,4366254
2019-10-18,6.040000,6.090000,5.750000,5.750000,5.690824,4776611
2019-10-21,5.750000,5.910000,5.750000,5.870000,5.809588,2197426
2019-10-22,5.860000,6.040000,5.840000,6.020000,5.958045,2685625
2019-10-23,6.160000,6.170000,6.040000,6.040000,5.977839,3301009
2019-10-24,6.110000,6.170000,6.050000,6.150000,6.086707,2354784
2019-10-25,6.200000,6.240000,6.135000,6.230000,6.165884,3601452
2019-10-28,6.320000,6.385000,6.280000,6.300000,6.235163,2551842
2019-10-29,6.360000,6.550000,6.330000,6.520000,6.452899,4448279
2019-10-30,6.500000,6.500000,6.270000,6.370000,6.304442,3057503
2019-10-31,6.300000,6.370000,6.270000,6.370000,6.304442,2629334
2019-11-01,6.270000,6.420000,6.190000,6.400000,6.334134,2420615
2019-11-04,6.300000,6.650000,6.260000,6.350000,6.284648,3702672
2019-11-05,6.460000,6.570000,6.400000,6.400000,6.334134,2108761
2019-11-06,6.350000,6.505000,6.300000,6.430000,6.363825,2573590
2019-11-07,6.410000,6.550000,6.360000,6.540000,6.472693,3245197
2019-11-08,6.550000,6.600000,6.500000,6.580000,6.512281,1943973
2019-11-11,6.520000,6.560000,6.360000,6.420000,6.353928,4968096
2019-11-12,6.200000,6.300000,6.130000,6.260000,6.195575,2494898
2019-11-13,6.270000,6.330000,6.170000,6.240000,6.175780,1380869
2019-11-14,6.370000,6.500000,6.220000,6.280000,6.215369,2601089
2019-11-15,6.250000,6.280000,6.100000,6.150000,6.086707,2355199
2019-11-18,6.120000,6.215000,6.090000,6.150000,6.086707,2287974
2019-11-19,6.100000,6.255000,6.100000,6.230000,6.165884,2016563
2019-11-20,6.130000,6.230000,6.020000,6.050000,5.987736,2591943
2019-11-21,5.930000,6.020000,5.905000,5.970000,5.908559,3447113
2019-11-22,5.960000,6.130000,5.960000,6.070000,6.007530,2224037
2019-11-25,6.150000,6.160000,5.930000,5.950000,5.888765,3396692
2019-11-26,5.970000,6.030000,5.875000,5.940000,5.878868,2712500
2019-11-27,5.980000,6.050000,5.860000,5.940000,5.878868,3071697
2019-11-28,5.890000,5.960000,5.850000,5.920000,5.859074,2019129
2019-11-29,5.910000,6.020000,5.810000,5.850000,5.789794,2682781
2019-12-02,5.880000,5.970000,5.830000,5.910000,5.849176,3972047
2019-12-03,5.850000,6.000000,5.800000,5.960000,5.898662,3754880
2019-12-04,5.860000,5.910000,5.760000,5.780000,5.720515,3880991
2019-12-05,5.790000,5.895000,5.790000,5.840000,5.779897,1995870
2019-12-06,5.850000,5.970000,5.850000,5.930000,5.868971,2925486
2019-12-09,6.000000,6.050000,5.920000,5.980000,5.918457,2506537
2019-12-10,5.950000,6.030000,5.885000,6.010000,5.948148,2267379
2019-12-11,6.010000,6.130000,5.960000,6.110000,6.047119,2716545
2019-12-12,6.100000,6.310000,6.100000,6.170000,6.106501,2618358
2019-12-13,6.170000,6.300000,6.160000,6.250000,6.185678,3053827
2019-12-16,6.250000,6.350000,6.250000,6.300000,6.235163,1711187
2019-12-17,6.280000,6.370000,6.260000,6.310000,6.245060,1530222
2019-12-18,6.300000,6.370000,6.200000,6.230000,6.165884,2020118
2019-12-19,6.260000,6.370000,6.210000,6.320000,6.254957,2708330
2019-12-20,6.260000,6.370000,6.260000,6.330000,6.264854,1640755
2019-12-23,6.340000,6.350000,6.240000,6.250000,6.185678,973171
2019-12-24,6.220000,6.270000,6.180000,6.230000,6.165884,748403
2019-12-27,6.340000,6.535000,6.320000,6.530000,6.462796,1662113
2019-12-30,6.450000,6.485000,6.350000,6.390000,6.324237,1251089
2019-12-31,6.320000,6.335000,6.240000,6.240000,6.175780,1118640
2020-01-02,6.240000,6.270000,6.170000,6.170000,6.106501,958589
2020-01-03,6.240000,6.345000,6.240000,6.310000,6.245060,1376725
2020-01-06,6.220000,6.370000,6.220000,6.360000,6.294546,1968853
2020-01-07,6.430000,6.510000,6.360000,6.500000,6.433105,3078944
2020-01-08,6.800000,7.110000,6.800000,6.910000,6.838885,6957161
2020-01-09,6.900000,6.940000,6.680000,6.780000,6.710223,3227142
2020-01-10,6.840000,6.890000,6.750000,6.840000,6.769606,1692410
2020-01-13,6.870000,6.880000,6.760000,6.810000,6.739914,1318774
2020-01-14,6.800000,6.885000,6.750000,6.780000,6.710223,2067901
2020-01-15,6.720000,6.720000,6.590000,6.660000,6.591458,2799233
2020-01-16,6.810000,6.830000,6.675000,6.680000,6.611252,2206839
2020-01-17,6.650000,6.750000,6.650000,6.680000,6.611252,1448910
2020-01-20,6.650000,6.760000,6.650000,6.720000,6.650840,1022843
2020-01-21,6.750000,6.750000,6.630000,6.670000,6.601355,732119
2020-01-22,6.690000,6.760000,6.640000,6.660000,6.591458,1436549
2020-01-23,6.690000,6.690000,6.510000,6.510000,6.443002,1311984
2020-01-24,6.580000,6.580000,6.440000,6.440000,6.373722,1418505
2020-01-28,6.250000,6.290000,6.165000,6.270000,6.205472,2065114
2020-01-29,6.310000,6.360000,6.230000,6.320000,6.254957,1927045
2020-01-30,6.470000,6.470000,6.060000,6.100000,6.037221,3529796
2020-01-31,6.100000,6.190000,6.060000,6.100000,6.037221,3129122
