Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,7.650000,7.720000,7.560000,7.580000,7.580000,1943843
2019-09-17,7.430000,7.470000,7.320000,7.440000,7.440000,2921429
2019-09-18,7.280000,7.475000,7.230000,7.360000,7.360000,4241261
2019-09-19,7.400000,7.610000,7.380000,7.510000,7.510000,2962804
2019-09-20,7.550000,7.800000,7.460000,7.720000,7.720000,7628057
2019-09-23,7.770000,7.790000,7.575000,7.640000,7.640000,2224840
2019-09-24,7.840000,7.900000,7.630000,7.850000,7.850000,3734378
2019-09-25,7.710000,7.830000,7.650000,7.810000,7.810000,2693513
2019-09-26,7.830000,7.890000,7.770000,7.820000,7.820000,1837464
2019-09-27,7.820000,7.820000,7.820000,7.820000,7.820000,0
2019-09-30,7.890000,8.115000,7.810000,7.990000,7.990000,2142781
2019-10-01,8.080000,8.200000,8.000000,8.180000,8.180000,3131414
2019-10-02,8.040000,8.050000,7.930000,7.970000,7.970000,3982050
2019-10-03,7.730000,7.965000,7.720000,7.900000,7.900000,2751018
2019-10-04,7.890000,8.000000,7.840000,7.850000,7.850000,1822550
2019-10-07,7.850000,7.885000,7.740000,7.800000,7.800000,1219479
2019-10-08,7.800000,7.895000,7.780000,7.830000,7.830000,1280033
2019-10-09,7.750000,7.840000,7.600000,7.610000,7.610000,4773987
2019-10-10,7.620000,7.710000,7.530000,7.580000,7.580000,2311064
2019-10-11,7.760000,8.050000,7.720000,8.020000,8.020000,2374985
2019-10-14,8.110000,8.325000,8.110000,8.250000,8.250000,3278387
2019-10-15,8.180000,8.200000,7.985000,8.140000,8.140000,3266608
2019-10-16,8.220000,8.480000,8.210000,8.440000,8.440000,4553966
2019-10-17,8.420000,8.430000,8.310000,8.350000,8.350000,1780043
2019-10-18,8.390000,8.470000,8.330000,8.350000,8.350000,2319378
2019-10-21,8.340000,8.620000,8.340000,8.590000,8.590000,4292338
2019-10-22,8.700000,8.790000,8.630000,8.750000,8.750000,2896883
2019-10-23,8.800000,8.850000,8.650000,8.760000,8.760000,2016261
2019-10-24,8.800000,8.820000,8.705000,8.750000,8.750000,1927972
2019-10-25,8.820000,8.820000,8.660000,8.730000,8.730000,3043898
2019-10-28,8.750000,8.810000,8.700000,8.800000,8.800000,5617131
2019-10-29,8.870000,8.930000,8.680000,8.730000,8.730000,5103494
2019-10-30,8.670000,8.840000,8.660000,8.810000,8.810000,1965892
2019-10-31,9.170000,9.440000,8.980000,9.400000,9.400000,8405029
2019-11-01,9.160000,9.160000,8.790000,9.000000,9.000000,2759300
2019-11-04,9.080000,9.140000,8.900000,8.940000,8.940000,1781931
2019-11-05,8.940000,8.950000,8.700000,8.800000,8.800000,2614662
2019-11-06,8.810000,8.930000,8.810000,8.830000,8.830000,2221512
2019-11-07,8.790000,9.020000,8.790000,8.970000,8.970000,1915201
2019-11-08,9.000000,9.120000,8.990000,9.070000,9.070000,1973453
2019-11-11,9.040000,9.135000,8.920000,9.090000,9.090000,1624874
2019-11-12,9.140000,9.140000,8.860000,9.010000,9.010000,2157400
2019-11-13,9.080000,9.170000,8.940000,8.990000,8.990000,5962107
2019-11-14,8.950000,9.050000,8.800000,9.030000,9.030000,2215690
2019-11-15,9.070000,9.180000,8.940000,9.100000,9.100000,1387628
2019-11-18,9.090000,9.240000,9.090000,9.190000,9.190000,1004192
2019-11-19,9.270000,9.270000,9.110000,9.240000,9.240000,858592
2019-11-20,9.240000,9.290000,9.140000,9.290000,9.290000,1610686
2019-11-21,9.230000,9.280000,9.080000,9.150000,9.150000,2640827
2019-11-22,9.220000,9.290000,9.150000,9.230000,9.230000,1157773
2019-11-25,9.290000,9.410000,9.250000,9.370000,9.370000,1404332
