Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,5.010000,5.010000,4.960000,4.970000,4.265311,318972
2017-01-31,4.970000,4.970000,4.830000,4.920000,4.222401,433240
2017-02-01,4.910000,4.910000,4.810000,4.850000,4.162325,897358
2017-02-02,4.900000,4.950000,4.790000,4.850000,4.162325,705002
2017-02-03,4.880000,4.880000,4.780000,4.860000,4.170908,848311
2017-02-06,4.870000,4.900000,4.800000,4.860000,4.170908,614586
2017-02-07,4.860000,4.870000,4.780000,4.800000,4.119415,688451
2017-02-08,4.840000,4.850000,4.780000,4.820000,4.136580,670783
2017-02-09,4.820000,4.970000,4.780000,4.940000,4.239564,499142
2017-02-10,4.990000,5.050000,4.950000,5.040000,4.325387,446227
2017-02-13,5.050000,5.050000,4.980000,5.010000,4.299640,426184
2017-02-14,5.030000,5.040000,4.980000,5.010000,4.299640,602437
2017-02-15,5.000000,5.070000,4.970000,5.000000,4.291058,535422
2017-02-16,4.950000,5.180000,4.870000,5.150000,4.419790,1466088
2017-02-17,5.200000,5.230000,4.980000,5.000000,4.291058,1103251
2017-02-20,5.030000,5.060000,4.860000,4.880000,4.188072,765632
2017-02-21,4.730000,4.730000,4.610000,4.680000,4.113364,3306474
2017-02-22,4.700000,4.800000,4.640000,4.780000,4.201256,3824927
2017-02-23,4.830000,4.900000,4.700000,4.720000,4.148521,690668
2017-02-24,4.760000,4.840000,4.690000,4.700000,4.130941,1652625
2017-02-27,4.700000,4.760000,4.640000,4.650000,4.086996,1010035
2017-02-28,4.650000,4.660000,4.465000,4.600000,4.043050,1587380
2017-03-01,4.590000,4.630000,4.480000,4.530000,3.981525,1027390
2017-03-02,4.580000,4.660000,4.550000,4.650000,4.086996,770176
2017-03-03,4.650000,4.650000,4.510000,4.550000,3.999104,4387138
2017-03-06,4.550000,4.600000,4.450000,4.480000,3.937579,1249922
2017-03-07,4.460000,4.510000,4.430000,4.490000,3.946368,563760
2017-03-08,4.500000,4.620000,4.480000,4.550000,3.999104,964836
2017-03-09,4.570000,4.570000,4.480000,4.480000,3.937579,625348
2017-03-10,4.490000,4.570000,4.460000,4.500000,3.955158,2710009
2017-03-13,4.510000,4.540000,4.450000,4.450000,3.911211,509032
2017-03-14,4.480000,4.490000,4.420000,4.440000,3.902422,563330
2017-03-15,4.450000,4.450000,4.360000,4.390000,3.858475,832106
2017-03-16,4.430000,4.650000,4.390000,4.600000,4.043050,3047804
2017-03-17,4.710000,4.920000,4.700000,4.900000,4.306727,1814498
2017-03-20,4.880000,4.890000,4.730000,4.820000,4.236413,808672
2017-03-21,4.830000,4.880000,4.720000,4.820000,4.236413,475110
2017-03-22,4.750000,4.810000,4.710000,4.720000,4.148521,451794
2017-03-23,4.790000,4.790000,4.690000,4.720000,4.148521,613181
2017-03-24,4.750000,4.760000,4.680000,4.690000,4.122153,507199
2017-03-27,4.680000,4.680000,4.600000,4.620000,4.060628,463502
2017-03-28,4.640000,4.770000,4.620000,4.760000,4.183678,695090
2017-03-29,4.790000,4.950000,4.790000,4.940000,4.341884,895446
2017-03-30,4.950000,4.950000,4.800000,4.840000,4.253992,765525
2017-03-31,4.890000,4.920000,4.810000,4.870000,4.280360,548148
2017-04-03,4.900000,4.930000,4.810000,4.830000,4.245202,365718
2017-04-04,4.810000,4.925000,4.800000,4.880000,4.289148,656862
2017-04-05,4.910000,4.920000,4.855000,4.860000,4.271570,303991
2017-04-06,4.910000,4.950000,4.880000,4.900000,4.306727,940864
2017-04-07,4.940000,4.950000,4.860000,4.920000,4.324306,1273560
2017-04-10,4.890000,4.950000,4.890000,4.900000,4.306727,449531
2017-04-11,4.860000,4.930000,4.810000,4.840000,4.253992,396594
2017-04-12,4.810000,4.810000,4.710000,4.780000,4.201256,743910
2017-04-13,4.780000,4.800000,4.710000,4.750000,4.174889,293573
2017-04-18,4.750000,4.750000,4.630000,4.690000,4.122153,689841
2017-04-19,4.600000,4.710000,4.600000,4.650000,4.086996,575936
2017-04-20,4.660000,4.740000,4.650000,4.650000,4.086996,626844
2017-04-21,4.650000,4.760000,4.650000,4.760000,4.183678,283277
2017-04-24,4.710000,4.870000,4.710000,4.810000,4.227623,429196
2017-04-26,4.890000,4.910000,4.785000,4.790000,4.210045,413001
2017-04-27,4.800000,4.800000,4.690000,4.700000,4.130941,1656564
2017-04-28,4.690000,4.780000,4.640000,4.770000,4.192467,563482
2017-05-01,4.740000,4.780000,4.700000,4.760000,4.183678,336236
2017-05-02,4.850000,4.940000,4.810000,4.900000,4.306727,611279
2017-05-03,4.930000,4.950000,4.845000,4.890000,4.297937,482286
2017-05-04,4.900000,4.920000,4.860000,4.870000,4.280360,724067
2017-05-05,4.870000,4.880000,4.820000,4.830000,4.245202,418128
2017-05-08,4.890000,4.960000,4.850000,4.910000,4.315516,422281
2017-05-09,4.930000,5.000000,4.900000,4.980000,4.377041,390272
2017-05-10,4.980000,5.090000,4.980000,5.070000,4.456144,620845
2017-05-11,5.100000,5.110000,4.985000,5.010000,4.403409,409170
2017-05-12,4.990000,5.040000,4.910000,4.950000,4.350673,302764
2017-05-15,4.910000,4.920000,4.780000,4.810000,4.227623,393193
2017-05-16,4.880000,4.910000,4.740000,4.770000,4.192467,494290
2017-05-17,4.800000,4.840000,4.690000,4.800000,4.218835,493156
2017-05-18,4.760000,4.820000,4.700000,4.720000,4.148521,380093
2017-05-19,4.700000,4.770000,4.690000,4.740000,4.166099,310938
2017-05-22,4.800000,4.810000,4.690000,4.690000,4.122153,323334
2017-05-23,4.700000,4.820000,4.680000,4.810000,4.227623,308798
2017-05-24,4.810000,4.860000,4.770000,4.860000,4.271570,376210
2017-05-25,4.710000,4.750000,4.560000,4.640000,4.078206,1020893
2017-05-26,4.650000,4.680000,4.550000,4.670000,4.104574,1055724
2017-05-29,4.740000,4.820000,4.670000,4.680000,4.113364,491505
2017-05-30,4.670000,4.680000,4.590000,4.600000,4.043050,467666
2017-05-31,4.630000,4.630000,4.580000,4.600000,4.043050,657151
2017-06-01,4.630000,4.640000,4.600000,4.640000,4.078206,339675
2017-06-02,4.650000,4.740000,4.650000,4.710000,4.139731,488366
2017-06-05,4.710000,4.870000,4.670000,4.860000,4.271570,602129
2017-06-06,4.870000,4.870000,4.720000,4.720000,4.148521,371484
2017-06-07,4.730000,4.770000,4.670000,4.760000,4.183678,366905
2017-06-08,4.680000,4.770000,4.650000,4.770000,4.192467,531601
2017-06-09,4.770000,4.820000,4.720000,4.810000,4.227623,435777
2017-06-13,4.820000,4.840000,4.690000,4.750000,4.174889,429345
2017-06-14,4.800000,4.890000,4.800000,4.890000,4.297937,512589
2017-06-15,4.810000,4.880000,4.730000,4.760000,4.183678,761067
2017-06-16,4.760000,4.840000,4.760000,4.800000,4.218835,474242
2017-06-19,4.800000,4.870000,4.790000,4.800000,4.218835,260496
2017-06-20,4.800000,4.820000,4.735000,4.760000,4.183678,361223
2017-06-21,4.750000,4.770000,4.670000,4.750000,4.174889,449495
2017-06-22,4.730000,4.800000,4.710000,4.780000,4.201256,474451
2017-06-23,4.800000,4.850000,4.800000,4.830000,4.245202,535093
2017-06-26,4.840000,4.850000,4.790000,4.830000,4.245202,511172
2017-06-27,4.840000,4.860000,4.770000,4.830000,4.245202,538379
2017-06-28,4.780000,4.815000,4.710000,4.800000,4.218835,555765
2017-06-29,4.800000,4.880000,4.800000,4.880000,4.289148,521318
2017-06-30,4.840000,4.870000,4.770000,4.800000,4.218835,362754
2017-07-03,4.800000,4.900000,4.800000,4.810000,4.227623,271172
2017-07-04,4.910000,4.930000,4.860000,4.930000,4.333095,743747
2017-07-05,4.930000,4.940000,4.860000,4.910000,4.315516,818192
2017-07-06,4.910000,4.950000,4.890000,4.920000,4.324306,465892
2017-07-07,4.850000,4.890000,4.830000,4.870000,4.280360,285545
2017-07-10,4.900000,4.940000,4.850000,4.850000,4.262781,279072
2017-07-11,4.890000,4.930000,4.790000,4.810000,4.227623,341581
2017-07-12,4.800000,4.820000,4.635000,4.650000,4.086996,681488
2017-07-13,4.690000,4.750000,4.660000,4.730000,4.157310,347848
2017-07-14,4.740000,4.840000,4.740000,4.820000,4.236413,284504
2017-07-17,4.850000,4.860000,4.770000,4.850000,4.262781,226475
2017-07-18,4.850000,4.850000,4.680000,4.690000,4.122153,438656
2017-07-19,4.650000,4.710000,4.610000,4.710000,4.139731,614150
2017-07-20,4.730000,4.785000,4.710000,4.740000,4.166099,229121
2017-07-21,4.750000,4.840000,4.730000,4.800000,4.218835,253969
2017-07-24,4.810000,4.820000,4.685000,4.700000,4.130941,349817
2017-07-25,4.730000,4.810000,4.720000,4.770000,4.192467,192504
2017-07-26,4.780000,4.820000,4.750000,4.760000,4.183678,344154
2017-07-27,4.710000,4.745000,4.560000,4.600000,4.043050,3837189
2017-07-28,4.570000,4.570000,4.350000,4.500000,3.955158,2142667
2017-07-31,4.500000,4.570000,4.490000,4.520000,3.972736,998682
