Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.440000,3.490000,3.435000,3.480000,3.443025,2922524
2019-09-17,3.470000,3.470000,3.420000,3.440000,3.403450,4543105
2019-09-18,3.420000,3.440000,3.380000,3.380000,3.344088,5064245
2019-09-19,3.390000,3.440000,3.385000,3.430000,3.393556,6419303
2019-09-20,3.450000,3.510000,3.440000,3.470000,3.433131,9695665
2019-09-23,3.490000,3.510000,3.455000,3.460000,3.423238,2115438
2019-09-24,3.460000,3.460000,3.390000,3.430000,3.393556,3444586
2019-09-25,3.400000,3.410000,3.350000,3.380000,3.344088,5787517
2019-09-26,3.390000,3.430000,3.340000,3.370000,3.334194,2886008
2019-09-27,3.370000,3.370000,3.370000,3.370000,3.334194,0
2019-09-30,3.410000,3.450000,3.380000,3.390000,3.353981,4679767
2019-10-01,3.390000,3.440000,3.360000,3.420000,3.383662,6032144
2019-10-02,3.320000,3.345000,3.310000,3.340000,3.304513,5154040
2019-10-03,3.280000,3.300000,3.210000,3.240000,3.205575,5762040
2019-10-04,3.210000,3.260000,3.210000,3.250000,3.215469,3989073
2019-10-07,3.230000,3.280000,3.220000,3.280000,3.245150,1155578
2019-10-08,3.290000,3.330000,3.280000,3.300000,3.264937,3996342
2019-10-09,3.250000,3.320000,3.230000,3.260000,3.225363,4278102
2019-10-10,3.260000,3.280000,3.220000,3.250000,3.215469,2824037
2019-10-11,3.290000,3.310000,3.280000,3.300000,3.264937,2281203
2019-10-14,3.350000,3.370000,3.320000,3.330000,3.294619,2848307
2019-10-15,3.320000,3.330000,3.295000,3.320000,3.284725,1524622
2019-10-16,3.330000,3.380000,3.310000,3.370000,3.334194,2159091
2019-10-17,3.370000,3.400000,3.345000,3.390000,3.353981,7549413
2019-10-18,3.360000,3.380000,3.330000,3.360000,3.324300,2659139
2019-10-21,3.350000,3.420000,3.350000,3.400000,3.363875,2576392
2019-10-22,3.390000,3.490000,3.390000,3.480000,3.443025,4784605
2019-10-23,3.480000,3.480000,3.420000,3.440000,3.403450,7891810
2019-10-24,3.450000,3.460000,3.410000,3.440000,3.403450,2507124
2019-10-25,3.460000,3.490000,3.450000,3.460000,3.423238,5697572
2019-10-28,3.470000,3.490000,3.430000,3.460000,3.423238,3738217
2019-10-29,3.440000,3.470000,3.400000,3.470000,3.433131,4835136
2019-10-30,3.460000,3.510000,3.410000,3.420000,3.383662,6011499
2019-10-31,3.440000,3.495000,3.400000,3.450000,3.413344,4307171
2019-11-01,3.440000,3.480000,3.420000,3.460000,3.423238,2962953
2019-11-04,3.490000,3.650000,3.475000,3.610000,3.571644,6208540
2019-11-05,3.610000,3.630000,3.580000,3.610000,3.571644,6355226
2019-11-06,3.610000,3.640000,3.585000,3.590000,3.551856,4884361
2019-11-07,3.570000,3.630000,3.550000,3.630000,3.591431,4944169
2019-11-08,3.650000,3.690000,3.610000,3.630000,3.591431,4612471
2019-11-11,3.650000,3.650000,3.570000,3.590000,3.551856,4565147
2019-11-12,3.690000,3.700000,3.480000,3.530000,3.492494,9005041
2019-11-13,3.400000,3.570000,3.280000,3.490000,3.452919,8365572
2019-11-14,3.480000,3.540000,3.390000,3.430000,3.393556,7111769
2019-11-15,3.460000,3.470000,3.395000,3.410000,3.373769,6238026
2019-11-18,3.370000,3.415000,3.340000,3.360000,3.324300,6259739
2019-11-19,3.350000,3.355000,3.280000,3.330000,3.294619,7448452
2019-11-20,3.290000,3.320000,3.260000,3.270000,3.235256,8796550
2019-11-21,3.260000,3.320000,3.230000,3.250000,3.215469,6008938
2019-11-22,3.250000,3.310000,3.250000,3.280000,3.245150,4947079
2019-11-25,3.290000,3.300000,3.210000,3.220000,3.185787,5377343
2019-11-26,3.260000,3.260000,3.195000,3.210000,3.175894,6741708
2019-11-27,3.220000,3.260000,3.195000,3.200000,3.166000,8498369
2019-11-28,3.240000,3.280000,3.200000,3.200000,3.166000,3837633
2019-11-29,3.230000,3.240000,3.205000,3.230000,3.230000,10353553
2019-12-02,3.240000,3.260000,3.230000,3.230000,3.230000,5230926
2019-12-03,3.200000,3.210000,3.090000,3.140000,3.140000,8949929
2019-12-04,3.070000,3.110000,3.050000,3.050000,3.050000,9109538
2019-12-05,3.060000,3.090000,3.050000,3.080000,3.080000,5728540
2019-12-06,3.090000,3.130000,3.080000,3.110000,3.110000,5521751
2019-12-09,3.120000,3.150000,3.115000,3.140000,3.140000,5295956
2019-12-10,3.140000,3.170000,3.130000,3.150000,3.150000,4604532
2019-12-11,3.160000,3.190000,3.140000,3.160000,3.160000,7438286
2019-12-12,3.130000,3.180000,3.130000,3.140000,3.140000,2706331
2019-12-13,3.140000,3.180000,3.120000,3.150000,3.150000,11339241
2019-12-16,3.180000,3.260000,3.150000,3.250000,3.250000,5131444
2019-12-17,3.260000,3.320000,3.240000,3.290000,3.290000,6261808
2019-12-18,3.250000,3.300000,3.240000,3.280000,3.280000,4890147
2019-12-19,3.240000,3.290000,3.240000,3.270000,3.270000,8049503
2019-12-20,3.290000,3.300000,3.240000,3.270000,3.270000,6988671
2019-12-23,3.240000,3.265000,3.230000,3.240000,3.240000,2366449
2019-12-24,3.260000,3.260000,3.210000,3.240000,3.240000,1197082
2019-12-27,3.220000,3.270000,3.220000,3.250000,3.250000,1327012
2019-12-30,3.240000,3.240000,3.205000,3.230000,3.230000,2052229
2019-12-31,3.210000,3.220000,3.155000,3.180000,3.180000,2660290
2020-01-02,3.140000,3.190000,3.130000,3.180000,3.180000,2013714
2020-01-03,3.230000,3.230000,3.185000,3.190000,3.190000,1911336
2020-01-06,3.160000,3.180000,3.140000,3.170000,3.170000,2977507
2020-01-07,3.170000,3.220000,3.160000,3.200000,3.200000,3596626
2020-01-08,3.180000,3.200000,3.150000,3.180000,3.180000,4175665
2020-01-09,3.210000,3.245000,3.200000,3.220000,3.220000,3595254
2020-01-10,3.250000,3.280000,3.210000,3.250000,3.250000,5381786
2020-01-13,3.220000,3.250000,3.200000,3.240000,3.240000,2189901
2020-01-14,3.250000,3.330000,3.240000,3.310000,3.310000,4909441
2020-01-15,3.340000,3.350000,3.300000,3.330000,3.330000,2906190
2020-01-16,3.400000,3.400000,3.320000,3.340000,3.340000,5548424
2020-01-17,3.390000,3.400000,3.350000,3.370000,3.370000,4655523
2020-01-20,3.340000,3.370000,3.310000,3.370000,3.370000,1833362
2020-01-21,3.390000,3.390000,3.350000,3.380000,3.380000,3159313
2020-01-22,3.320000,3.390000,3.310000,3.370000,3.370000,3446304
2020-01-23,3.380000,3.380000,3.330000,3.370000,3.370000,5399238
2020-01-24,3.380000,3.415000,3.365000,3.400000,3.400000,3921181
2020-01-28,3.320000,3.350000,3.295000,3.310000,3.310000,3085494
2020-01-29,3.320000,3.370000,3.320000,3.330000,3.330000,2718531
2020-01-30,3.350000,3.360000,3.270000,3.270000,3.270000,4260542
2020-01-31,3.320000,3.360000,3.280000,3.280000,3.280000,6328308
2020-02-03,3.200000,3.235000,3.140000,3.160000,3.160000,6501874
2020-02-04,3.120000,3.170000,3.120000,3.130000,3.130000,5003470
2020-02-05,3.150000,3.160000,3.110000,3.150000,3.150000,6331075
2020-02-06,3.170000,3.190000,3.130000,3.170000,3.170000,7924381
2020-02-07,3.200000,3.200000,3.080000,3.130000,3.130000,4498738
2020-02-10,3.150000,3.150000,3.110000,3.150000,3.150000,8670632
2020-02-11,3.140000,3.190000,3.130000,3.170000,3.170000,4921579
2020-02-12,3.140000,3.190000,3.140000,3.170000,3.170000,2882911
2020-02-13,3.150000,3.200000,3.090000,3.110000,3.110000,5532266
2020-02-14,3.090000,3.100000,3.070000,3.090000,3.090000,4311155
