Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,11.410000,11.420000,11.250000,11.330000,10.238830,350733
2017-01-31,11.250000,11.360000,11.120000,11.300000,10.211720,336066
2017-02-01,11.200000,11.260000,11.025000,11.120000,10.049055,1047783
2017-02-02,11.100000,11.110000,10.960000,11.040000,9.976760,597510
2017-02-03,11.000000,11.190000,11.000000,11.070000,10.003869,264921
2017-02-06,11.160000,11.180000,10.930000,10.940000,9.886391,262979
2017-02-07,10.890000,11.020000,10.800000,10.860000,9.814095,519949
2017-02-08,10.860000,11.060000,10.800000,11.010000,9.949649,389718
2017-02-09,11.010000,11.080000,10.970000,11.050000,9.985797,284159
2017-02-10,11.100000,11.440000,11.080000,11.150000,10.076165,324778
2017-02-13,11.110000,11.250000,11.080000,11.220000,10.139424,167102
2017-02-14,11.270000,11.330000,11.220000,11.230000,10.148459,189941
2017-02-15,11.290000,11.330000,11.160000,11.190000,10.112313,276257
2017-02-16,11.200000,11.200000,11.050000,11.140000,10.067129,246066
2017-02-17,11.090000,11.230000,11.000000,11.170000,10.094239,216519
2017-02-20,11.290000,11.290000,11.070000,11.120000,10.049055,272921
2017-02-21,11.180000,11.180000,10.950000,11.020000,9.958686,368009
2017-02-22,11.400000,11.730000,11.020000,11.640000,10.518975,898069
2017-02-23,11.800000,12.170000,11.740000,12.020000,10.862379,1498147
2017-02-24,12.050000,12.260000,11.990000,12.020000,10.862379,477214
2017-02-27,11.950000,12.040000,11.820000,11.960000,10.808156,890132
2017-02-28,12.010000,12.020000,11.810000,11.850000,10.708751,1005050
2017-03-01,11.410000,11.790000,11.410000,11.750000,10.618382,809131
2017-03-02,11.800000,11.880000,11.700000,11.850000,10.708751,345631
2017-03-03,11.840000,11.870000,11.730000,11.770000,10.636456,302528
2017-03-06,11.680000,11.730000,11.590000,11.690000,10.564158,392641
2017-03-07,11.590000,11.650000,11.530000,11.580000,10.464752,795211
2017-03-08,11.280000,11.340000,11.170000,11.200000,10.372145,709353
2017-03-09,11.200000,11.360000,11.200000,11.320000,10.483274,281488
2017-03-10,11.370000,11.490000,11.370000,11.440000,10.594405,325535
2017-03-13,11.490000,11.490000,11.400000,11.440000,10.594405,329778
2017-03-14,11.450000,11.450000,11.290000,11.390000,10.548101,504368
2017-03-15,11.310000,11.380000,11.220000,11.370000,10.529580,665531
2017-03-16,11.410000,11.470000,11.280000,11.310000,10.474014,900518
