Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,8.870000,8.970000,8.800000,8.820000,8.310970,655913
2018-01-31,8.740000,8.960000,8.710000,8.940000,8.424045,920171
2018-02-01,8.980000,9.000000,8.900000,8.970000,8.452313,568668
2018-02-02,8.950000,8.980000,8.870000,8.960000,8.442891,1050682
2018-02-05,8.930000,8.960000,8.850000,8.850000,8.339239,671102
2018-02-06,8.610000,8.690000,8.450000,8.500000,8.009439,1767949
2018-02-07,8.560000,8.610000,8.460000,8.490000,8.000015,1030764
2018-02-08,8.400000,8.560000,8.350000,8.540000,8.047130,1064079
2018-02-09,8.440000,8.500000,8.390000,8.450000,7.962324,836265
2018-02-12,8.400000,8.540000,8.400000,8.460000,7.971747,642044
2018-02-13,8.500000,8.550000,8.430000,8.500000,8.009439,1493218
2018-02-14,8.530000,8.630000,8.520000,8.550000,8.056553,2309107
2018-02-15,8.600000,8.650000,8.520000,8.540000,8.047130,812267
2018-02-16,8.590000,8.590000,8.520000,8.560000,8.065976,1829158
2018-02-19,8.610000,8.610000,8.500000,8.580000,8.084822,718111
2018-02-20,8.580000,8.700000,8.550000,8.670000,8.169628,836139
2018-02-21,8.650000,8.720000,8.590000,8.690000,8.188473,690418
2018-02-22,8.780000,9.050000,8.540000,8.700000,8.197896,2139572
2018-02-23,8.760000,8.760000,8.560000,8.680000,8.179050,1238021
2018-02-26,8.650000,8.690000,8.540000,8.620000,8.122513,1161259
2018-02-27,8.680000,8.710000,8.570000,8.650000,8.150781,1719003
2018-02-28,8.650000,8.680000,8.540000,8.570000,8.075398,2972128
2018-03-01,8.540000,8.570000,8.430000,8.490000,8.000015,4127603
2018-03-02,8.470000,8.490000,8.340000,8.410000,7.924633,1752456
2018-03-05,8.370000,8.470000,8.300000,8.430000,7.943479,3934512
2018-03-06,8.490000,8.510000,8.400000,8.470000,7.981170,1826379
2018-03-07,8.420000,8.490000,8.380000,8.410000,7.924633,1519399
2018-03-08,8.430000,8.650000,8.420000,8.440000,7.952900,1586908
2018-03-09,8.480000,8.530000,8.405000,8.450000,7.962324,1297789
2018-03-12,8.550000,8.700000,8.530000,8.570000,8.075398,1926169
2018-03-13,8.580000,8.600000,8.490000,8.580000,8.084822,1881819
2018-03-14,8.530000,8.600000,8.470000,8.510000,8.018862,2087846
2018-03-15,8.520000,8.520000,8.420000,8.440000,7.952900,2191968
2018-03-16,8.500000,8.530000,8.440000,8.480000,7.990592,2529679
2018-03-19,8.580000,8.580000,8.400000,8.540000,8.047130,2749303
2018-03-20,8.580000,8.640000,8.510000,8.560000,8.065976,1472030
2018-03-21,8.580000,8.710000,8.570000,8.640000,8.141359,2577452
2018-03-22,8.590000,8.650000,8.520000,8.580000,8.084822,1297059
2018-03-23,8.460000,8.490000,8.420000,8.440000,7.952900,1404851
2018-03-26,8.370000,8.470000,8.360000,8.440000,7.952900,1664501
2018-03-27,8.470000,8.740000,8.380000,8.430000,8.009912,1954828
2018-03-28,8.380000,8.480000,8.320000,8.430000,8.009912,2165375
2018-03-29,8.510000,8.530000,8.295000,8.340000,7.924397,2726906
2018-04-03,8.300000,8.360000,8.250000,8.290000,7.876888,1987680
2018-04-04,8.250000,8.260000,8.160000,8.250000,7.838881,2183759
2018-04-05,8.280000,8.375000,8.270000,8.370000,7.952901,1759356
2018-04-06,8.370000,8.470000,8.290000,8.450000,8.028914,1366575
2018-04-09,8.460000,8.640000,8.400000,8.590000,8.161939,2624395
2018-04-10,8.560000,8.620000,8.540000,8.590000,8.161939,2037383
2018-04-11,8.530000,8.570000,8.500000,8.510000,8.085925,2698757
2018-04-12,8.470000,8.505000,8.370000,8.480000,8.057420,1262519
2018-04-13,8.460000,8.560000,8.430000,8.550000,8.123932,561539
2018-04-16,8.550000,8.650000,8.480000,8.640000,8.209447,2973211
2018-04-17,8.660000,8.750000,8.650000,8.710000,8.275958,2020249
2018-04-18,8.570000,8.665000,8.310000,8.330000,7.914894,4487950
2018-04-19,8.330000,8.400000,8.150000,8.230000,7.819877,5242881
2018-04-20,8.200000,8.220000,8.035000,8.150000,7.743865,3506620
2018-04-23,8.150000,8.250000,8.080000,8.120000,7.715359,3023329
2018-04-24,8.160000,8.190000,8.070000,8.140000,7.734363,1842518
2018-04-26,8.160000,8.190000,8.080000,8.080000,7.677352,3224146
2018-04-27,8.260000,8.330000,8.200000,8.230000,7.819877,1962486
2018-04-30,8.300000,8.330000,8.165000,8.300000,7.886390,1940845
2018-05-01,8.360000,8.420000,8.340000,8.360000,7.943400,2067333
2018-05-02,8.380000,8.400000,8.210000,8.320000,7.905393,2153067
2018-05-03,8.500000,8.510000,8.410000,8.460000,8.038417,2147286
2018-05-04,8.480000,8.500000,8.400000,8.410000,7.990909,1200110
2018-05-07,8.500000,8.500000,8.315000,8.330000,7.914894,1567648
2018-05-08,8.370000,8.420000,8.280000,8.300000,7.886390,1068102
2018-05-09,8.300000,8.490000,7.660000,7.900000,7.506323,9164636
2018-05-10,7.300000,7.505000,7.030000,7.240000,6.879212,13909390
2018-05-11,7.160000,7.270000,6.950000,6.980000,6.632169,11970124
2018-05-14,6.950000,7.000000,6.730000,6.790000,6.451637,11816029
2018-05-15,7.420000,7.600000,7.140000,7.150000,6.793697,14750567
2018-05-16,7.250000,7.290000,7.100000,7.150000,6.793697,7638142
2018-05-17,7.160000,7.270000,7.050000,7.120000,6.765192,6311998
2018-05-18,7.230000,7.240000,7.080000,7.100000,6.746189,5276920
2018-05-21,7.160000,7.210000,7.080000,7.090000,6.736687,2782194
2018-05-22,7.110000,7.160000,7.070000,7.080000,6.727185,3102651
2018-05-23,7.100000,7.140000,7.000000,7.020000,6.670175,2991180
2018-05-24,6.990000,7.060000,6.970000,6.970000,6.622666,2634114
2018-05-25,6.960000,7.045000,6.940000,7.030000,6.679677,2400229
2018-05-28,7.050000,7.090000,6.990000,7.090000,6.736687,2876770
2018-05-29,7.090000,7.090000,6.885000,6.890000,6.546653,4909080
2018-05-30,6.850000,6.885000,6.810000,6.850000,6.508647,3410849
2018-05-31,6.860000,6.920000,6.780000,6.860000,6.518149,4442224
2018-06-01,6.780000,6.870000,6.770000,6.850000,6.508647,3973010
2018-06-04,6.850000,6.980000,6.850000,6.900000,6.556155,2459869
2018-06-05,6.840000,7.095000,6.840000,7.080000,6.727185,2455572
2018-06-06,7.080000,7.100000,6.940000,6.970000,6.622666,3662516
2018-06-07,6.970000,7.010000,6.880000,6.940000,6.594162,2072725
2018-06-08,6.930000,6.970000,6.870000,6.970000,6.622666,1647693
2018-06-12,7.060000,7.220000,7.040000,7.200000,6.841206,2423900
2018-06-13,7.280000,7.310000,7.150000,7.200000,6.841206,2664875
2018-06-14,7.180000,7.190000,7.010000,7.120000,6.765192,2443470
2018-06-15,7.230000,7.290000,7.130000,7.270000,6.907717,3969522
2018-06-18,7.250000,7.300000,7.090000,7.120000,6.765192,2001017
2018-06-19,7.180000,7.210000,7.090000,7.140000,6.784195,2245771
2018-06-20,7.250000,7.260000,7.170000,7.220000,6.860209,2054840
2018-06-21,7.220000,7.410000,7.210000,7.360000,6.993232,2791084
2018-06-22,7.330000,7.370000,7.120000,7.160000,6.803199,2679058
2018-06-25,7.220000,7.250000,7.120000,7.170000,6.812701,1638616
2018-06-26,7.200000,7.220000,7.130000,7.160000,6.803199,1030795
2018-06-27,7.290000,7.460000,7.210000,7.420000,7.050242,2774246
2018-06-28,7.410000,7.410000,7.230000,7.410000,7.040740,2595178
2018-06-29,7.370000,7.390000,7.270000,7.330000,6.964727,2277639
2018-07-02,7.360000,7.380000,7.250000,7.270000,6.907717,2100436
2018-07-03,7.370000,7.630000,7.350000,7.520000,7.145259,2704906
2018-07-04,7.500000,7.500000,7.340000,7.470000,7.097751,1607831
2018-07-05,7.550000,7.550000,7.465000,7.500000,7.126256,1995495
2018-07-06,7.490000,7.550000,7.410000,7.530000,7.154761,1695172
2018-07-09,7.480000,7.510000,7.400000,7.450000,7.078747,938139
2018-07-10,7.420000,7.460000,7.300000,7.320000,6.955225,2010092
2018-07-11,7.360000,7.460000,7.340000,7.440000,7.069246,986130
2018-07-12,7.490000,7.650000,7.450000,7.590000,7.211771,1694748
2018-07-13,7.550000,7.690000,7.550000,7.650000,7.268781,1798141
2018-07-16,7.640000,7.720000,7.600000,7.670000,7.287784,1030882
2018-07-17,7.680000,7.750000,7.660000,7.670000,7.287784,1422104
2018-07-18,7.660000,7.740000,7.590000,7.710000,7.325791,1454406
2018-07-19,7.700000,7.700000,7.565000,7.630000,7.249778,1778571
2018-07-20,7.620000,7.770000,7.590000,7.710000,7.325791,1075636
2018-07-23,7.660000,7.730000,7.590000,7.700000,7.316289,1248274
2018-07-24,7.730000,7.730000,7.640000,7.690000,7.306788,1189762
2018-07-25,7.730000,7.740000,7.610000,7.650000,7.268781,1323718
2018-07-26,7.700000,7.745000,7.620000,7.690000,7.306788,963580
2018-07-27,7.750000,7.840000,7.660000,7.720000,7.335292,1801498
2018-07-30,7.670000,7.755000,7.650000,7.720000,7.335292,1195400
2018-07-31,7.730000,7.770000,7.630000,7.680000,7.297286,989457
2018-08-01,7.650000,7.705000,7.610000,7.630000,7.249778,2522492
2018-08-02,7.600000,7.730000,7.600000,7.700000,7.316289,1502071
2018-08-03,7.750000,7.850000,7.750000,7.810000,7.420807,2266455
2018-08-06,7.830000,7.880000,7.790000,7.840000,7.449313,969280
2018-08-07,7.840000,7.850000,7.460000,7.510000,7.135757,1798820
2018-08-08,7.470000,7.530000,7.430000,7.480000,7.107253,1571404
2018-08-09,7.500000,7.530000,7.440000,7.500000,7.126256,1446028
2018-08-10,7.500000,7.530000,7.475000,7.490000,7.116754,1102432
2018-08-13,7.470000,7.590000,7.470000,7.510000,7.135757,895319
2018-08-14,7.560000,7.700000,7.520000,7.550000,7.173765,1538759
2018-08-15,7.570000,7.630000,7.535000,7.620000,7.240276,970293
2018-08-16,7.560000,7.710000,7.560000,7.590000,7.211771,1074399
2018-08-17,8.120000,8.330000,7.870000,8.070000,7.667850,9385660
2018-08-20,8.000000,8.010000,7.760000,7.850000,7.458815,4346351
2018-08-21,7.850000,7.940000,7.780000,7.900000,7.506323,1997318
2018-08-22,7.820000,7.910000,7.770000,7.880000,7.617491,2121902
2018-08-23,7.880000,7.980000,7.850000,7.970000,7.704493,1929585
2018-08-24,7.990000,8.000000,7.820000,7.840000,7.578824,1602882
2018-08-27,7.810000,7.860000,7.760000,7.840000,7.578824,1605749
2018-08-28,7.880000,7.980000,7.830000,7.940000,7.675493,2207666
2018-08-29,7.990000,8.000000,7.840000,7.870000,7.607825,2141010
2018-08-30,7.900000,7.960000,7.845000,7.850000,7.588491,2945143
2018-08-31,7.850000,7.870000,7.770000,7.790000,7.530490,1847656
2018-09-03,7.780000,7.830000,7.690000,7.770000,7.511156,1158380
2018-09-04,7.700000,7.770000,7.670000,7.700000,7.443488,1136490
2018-09-05,7.710000,7.790000,7.660000,7.760000,7.501490,1443478
2018-09-06,7.700000,7.740000,7.630000,7.700000,7.443488,1981199
2018-09-07,7.620000,7.635000,7.540000,7.630000,7.375820,1072770
2018-09-10,7.650000,7.660000,7.540000,7.600000,7.346819,1885736
2018-09-11,7.550000,7.610000,7.550000,7.570000,7.317819,1800582
2018-09-12,7.550000,7.635000,7.510000,7.540000,7.288818,5605908
2018-09-13,7.500000,7.580000,7.450000,7.500000,7.250151,1324566
2018-09-14,7.490000,7.550000,7.405000,7.540000,7.288818,2513004
2018-09-17,7.590000,7.660000,7.520000,7.580000,7.327486,2131483
2018-09-18,7.630000,7.630000,7.480000,7.500000,7.250151,3776444
2018-09-19,7.590000,7.590000,7.470000,7.480000,7.230817,3037797
2018-09-20,7.400000,7.500000,7.350000,7.420000,7.172816,3112010
2018-09-21,7.480000,7.580000,7.450000,7.580000,7.327486,7317847
2018-09-24,7.490000,7.590000,7.490000,7.550000,7.298485,1004676
2018-09-25,7.510000,7.700000,7.485000,7.690000,7.433821,1247659
2018-09-26,7.690000,7.840000,7.600000,7.840000,7.578824,4715978
2018-09-27,7.880000,7.890000,7.755000,7.870000,7.607825,2557450
2018-09-28,7.910000,7.940000,7.780000,7.780000,7.520823,2368181
2018-10-01,7.750000,7.780000,7.680000,7.700000,7.443488,606728
2018-10-02,7.650000,7.815000,7.600000,7.660000,7.404820,1270876
2018-10-03,7.590000,7.670000,7.550000,7.630000,7.375820,1045234
2018-10-04,7.600000,7.700000,7.570000,7.690000,7.433821,909027
2018-10-05,7.690000,7.720000,7.640000,7.670000,7.414487,696159
2018-10-08,7.590000,7.680000,7.590000,7.620000,7.366153,954835
2018-10-09,7.560000,7.570000,7.360000,7.420000,7.172816,1219457
2018-10-10,7.480000,7.480000,7.330000,7.430000,7.182482,1460370
2018-10-11,7.250000,7.290000,7.150000,7.150000,6.911810,2310805
2018-10-12,7.240000,7.580000,7.205000,7.580000,7.327486,2082753
2018-10-15,7.480000,7.550000,7.340000,7.400000,7.153482,5198969
2018-10-16,7.450000,7.500000,7.290000,7.310000,7.066480,1185281
2018-10-17,7.810000,8.000000,7.700000,7.750000,7.491822,5271965
2018-10-18,7.770000,7.905000,7.705000,7.880000,7.617491,2497166
2018-10-19,7.820000,8.000000,7.760000,8.000000,7.733494,1773622
2018-10-22,7.990000,7.990000,7.710000,7.720000,7.462821,1712469
2018-10-23,7.700000,7.815000,7.670000,7.680000,7.424154,2314689
2018-10-24,7.760000,7.855000,7.700000,7.700000,7.443488,2080858
2018-10-25,7.550000,7.600000,7.230000,7.350000,7.105147,3699604
2018-10-26,7.380000,7.470000,7.190000,7.250000,7.008479,1931221
2018-10-29,7.350000,7.450000,7.210000,7.370000,7.124481,1580007
2018-10-30,7.460000,7.570000,7.280000,7.530000,7.279151,2053202
2018-10-31,7.420000,7.610000,7.285000,7.500000,7.250151,1826406
2018-11-01,7.520000,7.590000,7.420000,7.500000,7.250151,1038257
2018-11-02,7.340000,7.520000,7.340000,7.520000,7.269485,964406
2018-11-05,7.390000,7.530000,7.310000,7.320000,7.076147,1170775
2018-11-06,7.350000,7.540000,7.340000,7.510000,7.259818,1373510
2018-11-07,7.500000,7.605000,7.360000,7.580000,7.327486,2666493
2018-11-08,7.760000,7.760000,7.650000,7.680000,7.424154,920757
2018-11-09,7.650000,7.790000,7.650000,7.740000,7.482155,1034857
2018-11-12,7.680000,7.830000,7.630000,7.790000,7.530490,1791436
2018-11-13,7.720000,7.780000,7.640000,7.680000,7.424154,1346152
2018-11-14,7.690000,7.830000,7.630000,7.670000,7.414487,1797371
2018-11-15,7.690000,7.770000,7.595000,7.760000,7.501490,2132146
2018-11-16,7.630000,7.640000,7.460000,7.520000,7.269485,1840971
2018-11-19,7.420000,7.450000,7.200000,7.220000,6.979478,1815737
2018-11-20,7.150000,7.170000,7.070000,7.150000,6.911810,3573323
2018-11-21,7.010000,7.010000,6.760000,6.780000,6.554136,3126431
2018-11-22,6.750000,6.820000,6.640000,6.740000,6.515469,4656065
2018-11-23,6.910000,6.920000,6.740000,6.760000,6.534802,1775461
2018-11-26,6.750000,6.835000,6.640000,6.800000,6.573470,1661988
2018-11-27,6.890000,6.950000,6.800000,6.900000,6.670139,11275735
2018-11-28,7.030000,7.040000,6.780000,6.900000,6.670139,3166281
2018-11-29,7.150000,7.215000,6.960000,7.030000,6.795808,1398799
2018-11-30,7.040000,7.090000,6.905000,6.990000,6.757140,2780965
2018-12-03,7.130000,7.200000,7.020000,7.070000,6.834476,1922013
2018-12-04,7.030000,7.140000,6.920000,7.060000,6.824809,1625284
2018-12-05,6.900000,7.000000,6.850000,6.900000,6.670139,1656788
2018-12-06,6.880000,6.975000,6.830000,6.950000,6.718472,783441
2018-12-07,6.900000,7.060000,6.875000,7.010000,6.776474,2097899
2018-12-10,6.900000,6.950000,6.750000,6.810000,6.583137,1785649
2018-12-11,6.930000,6.940000,6.760000,6.840000,6.612137,1503401
2018-12-12,6.840000,6.875000,6.720000,6.830000,6.602470,2770960
2018-12-13,6.830000,6.860000,6.750000,6.810000,6.583137,2300175
2018-12-14,6.850000,6.850000,6.760000,6.830000,6.602470,1738417
2018-12-17,6.850000,6.890000,6.740000,6.830000,6.602470,1308920
2018-12-18,6.720000,6.800000,6.690000,6.730000,6.505802,2279857
2018-12-19,6.660000,6.750000,6.610000,6.700000,6.476801,2268527
