Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,51.090000,52.240002,50.619999,50.680000,50.680000,1110025
2019-09-17,50.259998,51.410000,50.000000,51.410000,51.410000,758346
2019-09-18,51.490002,51.930000,51.049999,51.669998,51.669998,577992
2019-09-19,51.200001,51.895000,50.549999,51.160000,51.160000,1054683
2019-09-20,51.849998,53.580002,51.825001,52.500000,52.500000,1302359
2019-09-23,53.090000,53.500000,52.369999,52.970001,52.970001,608255
2019-09-24,53.419998,53.860001,53.020000,53.450001,53.450001,623383
2019-09-25,52.630001,52.779999,50.580002,50.869999,50.869999,803734
2019-09-26,51.369999,52.750000,51.169998,52.220001,52.220001,494163
2019-09-27,52.320000,52.730000,51.540001,51.880001,51.880001,338262
2019-09-30,53.130001,53.299999,51.400002,51.439999,51.439999,918256
2019-10-01,51.650002,52.509998,51.224998,52.509998,52.509998,937646
2019-10-02,51.369999,51.849998,50.279999,50.369999,50.369999,706857
2019-10-03,49.560001,50.990002,49.119999,50.599998,50.599998,750702
2019-10-04,50.599998,50.599998,50.599998,50.599998,50.599998,0
2019-10-07,50.970001,51.270000,49.509998,49.700001,49.700001,428967
2019-10-08,49.860001,49.900002,48.520000,49.310001,49.310001,803639
2019-10-09,48.520000,49.000000,48.110001,48.639999,48.639999,714519
2019-10-10,48.700001,48.980000,47.369999,47.369999,47.369999,908131
2019-10-11,47.810001,48.580002,46.959999,48.349998,48.349998,871372
2019-10-14,48.630001,49.360001,48.450001,48.549999,48.549999,561361
2019-10-15,47.509998,48.869999,47.500000,48.730000,48.730000,525936
2019-10-16,49.369999,50.630001,49.360001,50.529999,50.529999,887892
2019-10-17,50.439999,50.790001,49.939999,50.080002,50.080002,587137
2019-10-18,49.900002,50.654999,49.529999,50.450001,50.450001,793280
2019-10-21,50.080002,50.520000,49.480000,50.160000,50.160000,682969
2019-10-22,49.980000,50.490002,49.279999,49.279999,49.279999,656949
2019-10-23,49.029999,49.200001,48.240002,48.470001,48.470001,371510
2019-10-24,49.000000,50.000000,48.910000,49.720001,49.720001,489923
2019-10-25,50.500000,51.310001,50.009998,50.630001,50.630001,442540
2019-10-28,50.630001,51.040001,49.410000,49.410000,49.410000,477353
2019-10-29,50.049999,50.380001,48.580002,48.630001,48.630001,569854
2019-10-30,48.630001,49.119999,47.130001,47.349998,47.349998,675290
2019-10-31,47.700001,48.360001,47.580002,48.169998,48.169998,651998
2019-11-01,47.919998,48.180000,47.139999,48.029999,48.029999,561695
2019-11-04,48.310001,48.790001,48.000000,48.090000,48.090000,492122
2019-11-05,48.950001,50.049999,48.950001,49.910000,49.910000,466742
2019-11-06,50.200001,50.830002,49.400002,49.480000,49.480000,651565
2019-11-07,49.410000,50.009998,49.029999,49.459999,49.459999,549044
2019-11-08,50.160000,50.160000,49.230000,49.330002,49.330002,355630
2019-11-11,50.020000,50.299999,48.360001,48.619999,48.619999,560131
2019-11-12,49.189999,49.490002,48.750000,48.900002,48.900002,506845
