Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,2.160000,2.170000,2.150000,2.160000,2.012844,11091491
2018-01-31,2.150000,2.200000,2.150000,2.200000,2.050118,20982743
2018-02-01,2.220000,2.230000,2.185000,2.190000,2.040800,22282499
2018-02-02,2.160000,2.165000,2.105000,2.130000,1.984887,25039092
2018-02-05,2.080000,2.090000,2.040000,2.080000,1.938293,22185432
2018-02-06,2.040000,2.080000,2.005000,2.010000,1.873062,26127873
2018-02-07,2.010000,2.055000,2.010000,2.050000,1.910337,29002723
2018-02-08,2.030000,2.080000,2.030000,2.060000,1.919656,28446869
2018-02-09,2.050000,2.090000,2.040000,2.080000,1.938293,19783275
2018-02-12,2.080000,2.090000,2.055000,2.060000,1.919656,21182319
2018-02-13,2.060000,2.110000,2.060000,2.100000,1.956931,21636059
2018-02-14,2.100000,2.120000,2.090000,2.100000,1.956931,15417802
2018-02-15,2.120000,2.120000,2.060000,2.090000,1.947612,10603503
2018-02-16,2.120000,2.120000,2.070000,2.070000,1.928975,10169881
2018-02-19,2.080000,2.100000,2.070000,2.090000,1.947612,10217006
2018-02-20,2.080000,2.100000,2.070000,2.100000,1.956931,9081448
2018-02-21,2.110000,2.140000,2.100000,2.120000,1.975568,9062528
2018-02-22,2.130000,2.140000,2.080000,2.090000,1.947612,13054931
2018-02-23,2.110000,2.130000,2.090000,2.110000,1.966249,9031894
2018-02-26,2.130000,2.140000,2.110000,2.120000,1.975568,24994864
2018-02-27,2.150000,2.170000,2.140000,2.160000,2.012844,20968642
2018-02-28,2.170000,2.170000,2.095000,2.120000,1.975568,17679188
2018-03-01,2.130000,2.140000,2.090000,2.110000,1.966249,23895415
2018-03-02,2.110000,2.130000,2.090000,2.120000,1.975568,12703633
2018-03-05,2.120000,2.160000,2.120000,2.140000,1.994206,11375968
2018-03-06,2.170000,2.190000,2.120000,2.130000,1.984887,14046156
2018-03-07,2.150000,2.155000,2.130000,2.140000,1.994206,8471528
2018-03-08,2.130000,2.160000,2.120000,2.140000,1.994206,16834592
2018-03-09,2.160000,2.190000,2.150000,2.180000,2.031481,9903216
2018-03-12,2.210000,2.210000,2.180000,2.180000,2.031481,10610173
2018-03-13,2.190000,2.190000,2.170000,2.180000,2.031481,8200908
2018-03-14,2.170000,2.180000,2.160000,2.160000,2.012844,6365799
2018-03-15,2.190000,2.200000,2.160000,2.170000,2.022162,13890528
2018-03-16,2.190000,2.200000,2.170000,2.200000,2.050118,10269219
2018-03-19,2.210000,2.230000,2.195000,2.230000,2.078074,6856781
2018-03-20,2.200000,2.210000,2.190000,2.210000,2.059437,7468742
2018-03-21,2.210000,2.215000,2.170000,2.210000,2.059437,11320791
2018-03-22,2.210000,2.220000,2.180000,2.220000,2.068756,17270211
2018-03-23,2.190000,2.200000,2.175000,2.190000,2.040800,11348762
2018-03-26,2.160000,2.190000,2.160000,2.170000,2.022162,9927940
2018-03-27,2.180000,2.190000,2.155000,2.160000,2.012844,13666160
2018-03-28,2.150000,2.190000,2.145000,2.150000,2.003525,9953971
2018-03-29,2.160000,2.180000,2.140000,2.150000,2.003525,13198772
2018-04-03,2.150000,2.170000,2.130000,2.140000,1.994206,11270049
2018-04-04,2.160000,2.180000,2.135000,2.170000,2.022162,40036135
2018-04-05,2.170000,2.205000,2.165000,2.180000,2.031481,20114563
2018-04-06,2.180000,2.190000,2.175000,2.180000,2.031481,5008834
2018-04-09,2.190000,2.220000,2.185000,2.200000,2.050118,8203747
2018-04-10,2.190000,2.215000,2.185000,2.210000,2.059437,6063949
2018-04-11,2.200000,2.200000,2.180000,2.180000,2.031481,10574485
2018-04-12,2.170000,2.180000,2.150000,2.160000,2.012844,9943310
2018-04-13,2.150000,2.180000,2.150000,2.160000,2.012844,8055281
2018-04-16,2.160000,2.160000,2.120000,2.140000,1.994206,12163938
2018-04-17,2.150000,2.180000,2.140000,2.150000,2.003525,7492303
2018-04-18,2.160000,2.180000,2.160000,2.170000,2.022162,7197678
2018-04-19,2.190000,2.195000,2.160000,2.180000,2.031481,9983726
2018-04-20,2.170000,2.180000,2.160000,2.160000,2.012844,4905110
2018-04-23,2.170000,2.175000,2.140000,2.140000,1.994206,7590184
2018-04-24,2.160000,2.175000,2.145000,2.170000,2.022162,7031034
2018-04-26,2.180000,2.200000,2.170000,2.180000,2.031481,13302374
2018-04-27,2.180000,2.195000,2.160000,2.180000,2.031481,12497480
2018-04-30,2.190000,2.240000,2.180000,2.240000,2.087393,11883472
2018-05-01,2.230000,2.275000,2.215000,2.270000,2.115349,7443217
2018-05-02,2.250000,2.305000,2.250000,2.280000,2.124668,9781156
2018-05-03,2.310000,2.325000,2.290000,2.300000,2.143305,15733397
2018-05-04,2.300000,2.340000,2.245000,2.250000,2.096712,16364368
2018-05-07,2.260000,2.280000,2.250000,2.270000,2.115349,10931885
2018-05-08,2.290000,2.305000,2.270000,2.280000,2.124668,7553051
2018-05-09,2.290000,2.330000,2.280000,2.310000,2.152624,11566720
2018-05-10,2.320000,2.320000,2.275000,2.290000,2.133986,10695999
2018-05-11,2.290000,2.310000,2.260000,2.270000,2.115349,9348593
2018-05-14,2.280000,2.290000,2.270000,2.270000,2.115349,9848221
2018-05-15,2.280000,2.290000,2.260000,2.270000,2.115349,6261815
2018-05-16,2.250000,2.260000,2.220000,2.220000,2.068756,11311830
2018-05-17,2.230000,2.240000,2.190000,2.200000,2.050118,9961748
2018-05-18,2.210000,2.230000,2.200000,2.230000,2.078074,8459798
2018-05-21,2.220000,2.235000,2.210000,2.230000,2.078074,7777081
2018-05-22,2.210000,2.230000,2.200000,2.230000,2.078074,7548250
2018-05-23,2.230000,2.310000,2.220000,2.300000,2.143305,21069157
2018-05-24,2.290000,2.370000,2.280000,2.350000,2.189899,16870314
2018-05-25,2.350000,2.350000,2.310000,2.330000,2.171261,11912055
2018-05-28,2.350000,2.360000,2.320000,2.330000,2.171261,6932300
2018-05-29,2.330000,2.340000,2.300000,2.320000,2.161942,9430663
2018-05-30,2.290000,2.325000,2.290000,2.310000,2.152624,13023221
2018-05-31,2.300000,2.310000,2.270000,2.300000,2.143305,22183183
2018-06-01,2.280000,2.295000,2.270000,2.290000,2.133986,9467273
2018-06-04,2.270000,2.330000,2.270000,2.300000,2.143305,28777738
2018-06-05,2.250000,2.255000,2.210000,2.220000,2.068756,27264950
2018-06-06,2.220000,2.230000,2.210000,2.230000,2.078074,11734773
2018-06-07,2.220000,2.230000,2.190000,2.200000,2.050118,18734767
2018-06-08,2.190000,2.210000,2.180000,2.190000,2.040800,12097997
2018-06-12,2.180000,2.210000,2.170000,2.200000,2.050118,12979924
2018-06-13,2.200000,2.210000,2.185000,2.210000,2.059437,11691836
2018-06-14,2.200000,2.230000,2.180000,2.230000,2.078074,11129569
2018-06-15,2.250000,2.250000,2.220000,2.230000,2.078074,22240871
2018-06-18,2.240000,2.280000,2.230000,2.260000,2.106030,9524469
2018-06-19,2.240000,2.240000,2.210000,2.230000,2.078074,12037483
2018-06-20,2.230000,2.240000,2.210000,2.220000,2.068756,12917628
2018-06-21,2.230000,2.250000,2.225000,2.240000,2.087393,14712490
2018-06-22,2.240000,2.255000,2.220000,2.250000,2.096712,5422958
2018-06-25,2.240000,2.245000,2.220000,2.220000,2.068756,8131953
2018-06-26,2.210000,2.220000,2.200000,2.200000,2.050118,10767066
2018-06-27,2.210000,2.220000,2.190000,2.200000,2.050118,18376792
2018-06-28,2.120000,2.170000,2.110000,2.150000,2.059698,18319593
2018-06-29,2.170000,2.200000,2.165000,2.170000,2.078858,23566461
2018-07-02,2.180000,2.210000,2.180000,2.190000,2.098018,14641569
2018-07-03,2.190000,2.220000,2.185000,2.220000,2.126758,10928511
2018-07-04,2.230000,2.250000,2.220000,2.230000,2.136338,12639552
2018-07-05,2.230000,2.230000,2.210000,2.220000,2.126758,19305149
2018-07-06,2.220000,2.230000,2.210000,2.220000,2.126758,14582650
2018-07-09,2.230000,2.255000,2.220000,2.230000,2.136338,5966372
2018-07-10,2.220000,2.230000,2.205000,2.210000,2.117178,8580863
2018-07-11,2.210000,2.220000,2.190000,2.200000,2.107598,6161233
2018-07-12,2.210000,2.240000,2.190000,2.230000,2.136338,9473635
2018-07-13,2.230000,2.240000,2.220000,2.230000,2.136338,7405301
2018-07-16,2.230000,2.240000,2.210000,2.230000,2.136338,8942201
2018-07-17,2.220000,2.230000,2.210000,2.220000,2.126758,10773095
2018-07-18,2.220000,2.250000,2.220000,2.240000,2.145918,13061237
2018-07-19,2.230000,2.260000,2.220000,2.250000,2.155498,13404773
2018-07-20,2.270000,2.275000,2.250000,2.260000,2.165078,9048387
2018-07-23,2.250000,2.260000,2.230000,2.260000,2.165078,9629263
2018-07-24,2.270000,2.275000,2.240000,2.260000,2.165078,8766812
2018-07-25,2.250000,2.275000,2.235000,2.270000,2.174658,11982769
2018-07-26,2.270000,2.280000,2.250000,2.270000,2.174658,8648924
2018-07-27,2.280000,2.290000,2.260000,2.290000,2.193818,9398727
2018-07-30,2.280000,2.300000,2.260000,2.300000,2.203398,4962436
2018-07-31,2.300000,2.300000,2.260000,2.280000,2.184238,15276724
2018-08-01,2.290000,2.300000,2.280000,2.300000,2.203398,5042447
2018-08-02,2.290000,2.305000,2.280000,2.300000,2.203398,8481811
2018-08-03,2.310000,2.320000,2.300000,2.310000,2.212978,5194094
2018-08-06,2.320000,2.350000,2.305000,2.340000,2.241718,6105967
2018-08-07,2.330000,2.340000,2.310000,2.340000,2.241718,7237449
2018-08-08,2.340000,2.370000,2.320000,2.360000,2.260878,9357267
