Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.300000,3.315000,3.270000,3.300000,3.038212,5341936
2018-01-31,3.280000,3.365000,3.280000,3.350000,3.084245,7758382
2018-02-01,3.350000,3.390000,3.335000,3.360000,3.093452,13773105
2018-02-02,3.300000,3.300000,3.245000,3.250000,2.992178,9568668
2018-02-05,3.180000,3.220000,3.150000,3.160000,2.909318,6942143
2018-02-06,3.060000,3.080000,2.990000,3.030000,2.789631,14925225
2018-02-07,3.070000,3.100000,3.010000,3.010000,2.771218,9729619
2018-02-08,2.980000,3.035000,2.980000,3.010000,2.771218,6490872
2018-02-09,2.960000,3.010000,2.960000,3.000000,2.762011,7697030
2018-02-12,3.000000,3.010000,2.960000,3.000000,2.762011,8477685
2018-02-13,3.000000,3.020000,2.995000,3.010000,2.771218,8802009
2018-02-14,3.000000,3.025000,2.990000,3.010000,2.771218,5572858
2018-02-15,3.030000,3.065000,3.010000,3.040000,2.798838,13745692
2018-02-16,3.130000,3.185000,3.030000,3.150000,2.900111,16306122
2018-02-19,3.150000,3.160000,3.090000,3.090000,2.844871,10985630
2018-02-20,3.120000,3.220000,3.115000,3.200000,2.946145,11825496
2018-02-21,3.240000,3.260000,3.205000,3.240000,2.982972,5580000
2018-02-22,3.240000,3.290000,3.240000,3.270000,3.010592,6967785
2018-02-23,3.300000,3.300000,3.250000,3.260000,3.001385,7352221
2018-02-26,3.290000,3.300000,3.210000,3.210000,2.955352,15768124
2018-02-27,3.240000,3.240000,3.170000,3.180000,2.927732,8263836
2018-02-28,3.170000,3.210000,3.150000,3.170000,2.918525,8159241
2018-03-01,3.150000,3.190000,3.140000,3.190000,2.936938,4642924
2018-03-02,3.160000,3.170000,3.120000,3.140000,2.890905,5539186
2018-03-05,3.150000,3.160000,3.130000,3.160000,2.909318,4542934
2018-03-06,3.140000,3.215000,3.140000,3.200000,2.998331,10447087
2018-03-07,3.200000,3.210000,3.160000,3.200000,2.998331,6352487
2018-03-08,3.210000,3.210000,3.120000,3.140000,2.942112,12531926
2018-03-09,3.150000,3.170000,3.140000,3.160000,2.960852,3390232
2018-03-12,3.170000,3.170000,3.135000,3.140000,2.942112,4062649
2018-03-13,3.130000,3.135000,3.100000,3.120000,2.923373,4002878
2018-03-14,3.100000,3.100000,3.050000,3.080000,2.885893,8219796
2018-03-15,3.110000,3.110000,3.060000,3.060000,2.867154,7964032
2018-03-16,3.060000,3.090000,3.060000,3.080000,2.885893,6500236
2018-03-19,3.080000,3.090000,3.020000,3.040000,2.848414,7218313
2018-03-20,3.040000,3.050000,3.020000,3.040000,2.848414,3684310
2018-03-21,3.030000,3.050000,3.010000,3.030000,2.839045,7509674
2018-03-22,3.010000,3.015000,2.990000,3.000000,2.810935,9817377
2018-03-23,2.960000,2.995000,2.940000,2.970000,2.782826,11124845
2018-03-26,2.950000,2.970000,2.920000,2.960000,2.773456,4658830
2018-03-27,2.950000,3.000000,2.935000,2.940000,2.754716,5998977
2018-03-28,2.920000,2.950000,2.900000,2.910000,2.726607,4177071
2018-03-29,2.900000,2.930000,2.880000,2.900000,2.717237,9705324
