Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.220000,3.250000,3.180000,3.230000,2.979938,3182329
2018-01-31,3.220000,3.250000,3.190000,3.200000,2.952260,2542824
2018-02-01,3.200000,3.230000,3.190000,3.220000,2.970712,4664927
2018-02-02,3.210000,3.230000,3.190000,3.200000,2.952260,1852609
2018-02-05,3.180000,3.200000,3.130000,3.150000,2.906132,1938864
2018-02-06,3.070000,3.095000,2.970000,3.070000,2.832325,4739319
2018-02-07,3.070000,3.120000,3.050000,3.070000,2.832325,4071785
2018-02-08,3.020000,3.160000,3.020000,3.150000,2.906132,3360512
2018-02-09,3.050000,3.120000,3.040000,3.100000,2.860002,2961781
2018-02-12,3.070000,3.140000,3.050000,3.110000,2.869228,2599939
2018-02-13,3.130000,3.170000,3.120000,3.160000,2.915357,3272583
2018-02-14,3.150000,3.200000,3.140000,3.180000,2.933809,6683391
2018-02-15,3.180000,3.290000,3.170000,3.270000,3.016841,3996547
2018-02-16,3.290000,3.300000,3.225000,3.230000,2.979938,1251846
2018-02-19,3.250000,3.260000,3.180000,3.250000,2.998389,1992529
2018-02-20,3.210000,3.240000,3.190000,3.220000,2.970712,1867494
2018-02-21,3.150000,3.240000,3.150000,3.200000,2.952260,1167261
2018-02-22,3.210000,3.245000,3.165000,3.210000,2.961486,2907730
2018-02-23,3.230000,3.250000,3.210000,3.240000,2.989164,2934742
2018-02-26,3.260000,3.295000,3.250000,3.250000,2.998389,2109567
2018-02-27,3.280000,3.365000,3.270000,3.360000,3.099873,3672600
2018-02-28,3.350000,3.350000,3.230000,3.240000,2.989164,3157513
2018-03-01,3.240000,3.260000,3.200000,3.200000,2.952260,2064209
2018-03-02,3.180000,3.190000,3.110000,3.140000,2.896905,1719056
2018-03-05,3.130000,3.160000,3.120000,3.130000,2.887680,1547877
2018-03-06,3.150000,3.185000,3.140000,3.180000,2.933809,2299605
2018-03-07,3.150000,3.160000,3.075000,3.080000,2.841551,1695998
2018-03-08,3.090000,3.145000,3.080000,3.130000,2.887680,1570655
2018-03-09,3.130000,3.175000,3.130000,3.170000,2.924583,3492913
2018-03-12,3.190000,3.200000,3.170000,3.180000,2.933809,2226692
2018-03-13,3.200000,3.210000,3.170000,3.200000,2.952260,2968845
2018-03-14,3.190000,3.190000,3.125000,3.140000,2.896905,4243582
2018-03-15,3.160000,3.180000,3.120000,3.170000,2.924583,3491659
2018-03-16,3.190000,3.190000,2.935000,3.000000,2.767744,12301493
2018-03-19,3.000000,3.060000,2.990000,3.050000,2.813873,3417273
2018-03-20,3.030000,3.090000,3.020000,3.080000,2.841551,2305121
2018-03-21,3.100000,3.130000,3.100000,3.120000,2.878454,3300860
2018-03-22,3.100000,3.150000,3.090000,3.120000,2.878454,2875314
2018-03-23,3.080000,3.100000,3.050000,3.090000,2.850776,2739277
2018-03-26,3.050000,3.110000,3.050000,3.100000,2.860002,2336380
2018-03-27,3.100000,3.150000,3.070000,3.140000,2.896905,2870422
2018-03-28,3.110000,3.150000,3.090000,3.140000,2.896905,2646085
2018-03-29,3.130000,3.160000,3.120000,3.130000,2.887680,3648358
2018-04-03,3.090000,3.130000,3.055000,3.060000,2.823099,2300411
2018-04-04,3.050000,3.095000,3.040000,3.070000,2.832325,2278970
2018-04-05,3.100000,3.130000,3.085000,3.100000,2.860002,1849741
2018-04-06,3.090000,3.150000,3.080000,3.140000,2.896905,1580062
2018-04-09,3.100000,3.150000,3.060000,3.120000,2.878454,2322246
2018-04-10,3.110000,3.170000,3.110000,3.150000,2.906132,2363739
2018-04-11,3.130000,3.170000,3.110000,3.150000,2.906132,1939653
2018-04-12,3.110000,3.150000,3.090000,3.150000,2.906132,2213321
2018-04-13,3.140000,3.190000,3.140000,3.180000,2.933809,1701139
2018-04-16,3.190000,3.240000,3.180000,3.190000,2.943034,1865461
2018-04-17,3.180000,3.200000,3.160000,3.170000,2.924583,1752426
2018-04-18,3.180000,3.200000,3.170000,3.190000,2.943034,2195750
2018-04-19,3.180000,3.250000,3.175000,3.240000,2.989164,2915846
2018-04-20,3.220000,3.270000,3.200000,3.250000,2.998389,2443287
2018-04-23,3.270000,3.320000,3.250000,3.290000,3.035293,4666833
2018-04-24,3.310000,3.380000,3.300000,3.380000,3.118325,6434343
2018-04-26,3.390000,3.550000,3.380000,3.530000,3.256712,5736521
2018-04-27,3.550000,3.660000,3.550000,3.600000,3.321293,5626003
2018-04-30,3.620000,3.650000,3.580000,3.600000,3.321293,3526184
2018-05-01,3.600000,3.630000,3.540000,3.580000,3.302841,6266607
2018-05-02,3.580000,3.600000,3.550000,3.560000,3.284389,4691727
2018-05-03,3.600000,3.650000,3.580000,3.590000,3.312067,5188144
2018-05-04,3.600000,3.610000,3.490000,3.500000,3.229035,4197140
2018-05-07,3.540000,3.550000,3.460000,3.480000,3.210583,5497340
2018-05-08,3.460000,3.500000,3.410000,3.450000,3.182906,7687316
2018-05-09,3.480000,3.530000,3.445000,3.460000,3.192131,3856735
2018-05-10,3.480000,3.485000,3.410000,3.420000,3.155228,3038382
2018-05-11,3.420000,3.470000,3.420000,3.430000,3.164454,7523553
2018-05-14,3.440000,3.440000,3.410000,3.430000,3.164454,2864262
2018-05-15,3.450000,3.520000,3.380000,3.420000,3.155228,3314318
2018-05-16,3.430000,3.460000,3.405000,3.420000,3.155228,4117030
2018-05-17,3.420000,3.460000,3.390000,3.410000,3.146003,5514693
2018-05-18,3.420000,3.450000,3.400000,3.430000,3.164454,4012062
2018-05-21,3.410000,3.460000,3.400000,3.430000,3.164454,1926456
2018-05-22,3.420000,3.450000,3.380000,3.420000,3.155228,2527953
2018-05-23,3.400000,3.420000,3.360000,3.380000,3.118325,3446355
2018-05-24,3.540000,3.710000,3.510000,3.640000,3.358196,14906707
2018-05-25,3.650000,3.730000,3.650000,3.680000,3.395099,6617256
2018-05-28,3.680000,3.690000,2.990000,3.030000,2.795422,15769300
2018-05-29,2.920000,3.070000,2.840000,3.010000,2.776970,13706255
2018-05-30,2.950000,2.965000,2.880000,2.910000,2.684712,16291064
2018-05-31,2.970000,3.010000,2.870000,2.900000,2.675486,15145811
2018-06-01,2.880000,2.910000,2.850000,2.900000,2.675486,5002587
