Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,1.645000,1.650000,1.625000,1.630000,1.427754,52370
2017-01-31,1.615000,1.635000,1.600000,1.600000,1.401476,96981
2017-02-01,1.605000,1.630000,1.600000,1.600000,1.401476,214614
2017-02-02,1.630000,1.640000,1.590000,1.605000,1.405855,146693
2017-02-03,1.600000,1.620000,1.590000,1.600000,1.401476,181880
2017-02-06,1.600000,1.620000,1.592000,1.595000,1.397096,763264
2017-02-07,1.610000,1.620000,1.590000,1.620000,1.418994,66106
2017-02-08,1.595000,1.635000,1.590000,1.625000,1.423374,67900
2017-02-09,1.630000,1.630000,1.590000,1.610000,1.410235,29886
2017-02-10,1.590000,1.635000,1.590000,1.600000,1.401476,115287
2017-02-13,1.610000,1.620000,1.600000,1.615000,1.414615,64797
2017-02-14,1.600000,1.620000,1.600000,1.610000,1.410235,39101
2017-02-15,1.605000,1.635000,1.600000,1.630000,1.427754,221289
2017-02-16,1.630000,1.740000,1.630000,1.710000,1.497827,275792
2017-02-17,1.715000,1.780000,1.715000,1.750000,1.532864,222514
2017-02-20,1.780000,1.840000,1.755000,1.825000,1.598559,190213
2017-02-21,1.815000,1.830000,1.755000,1.820000,1.594179,166547
2017-02-22,1.820000,1.830000,1.750000,1.760000,1.541623,288414
2017-02-23,1.760000,1.770000,1.730000,1.750000,1.532864,72075
2017-02-24,1.730000,1.755000,1.710000,1.745000,1.528485,102014
2017-02-27,1.700000,1.712000,1.695000,1.695000,1.484689,120350
2017-02-28,1.695000,1.725000,1.685000,1.710000,1.497827,102193
2017-03-01,1.710000,1.740000,1.675000,1.680000,1.471550,103717
2017-03-02,1.725000,1.730000,1.675000,1.685000,1.475929,50372
2017-03-03,1.700000,1.710000,1.670000,1.705000,1.493448,126389
2017-03-06,1.705000,1.705000,1.675000,1.680000,1.471550,48482
2017-03-07,1.680000,1.700000,1.660000,1.700000,1.489068,60028
2017-03-08,1.675000,1.705000,1.655000,1.665000,1.458411,86468
2017-03-09,1.670000,1.670000,1.600000,1.645000,1.440892,167969
2017-03-10,1.645000,1.650000,1.615000,1.630000,1.427754,71147
2017-03-13,1.620000,1.635000,1.605000,1.610000,1.410235,324911
