Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,6.660000,6.730000,6.510000,6.630000,6.096992,465508
2018-01-31,6.580000,6.720000,6.520000,6.710000,6.170560,439665
2018-02-01,6.720000,6.840000,6.680000,6.800000,6.253325,354915
2018-02-02,6.790000,6.790000,6.710000,6.750000,6.207344,261065
2018-02-05,6.690000,6.740000,6.530000,6.540000,6.014227,590690
2018-02-06,6.330000,6.340000,6.000000,6.300000,5.793522,2281674
2018-02-07,6.210000,6.340000,6.160000,6.280000,5.775129,1246225
2018-02-08,6.210000,6.370000,6.200000,6.330000,5.821109,955710
2018-02-09,6.130000,6.220000,6.120000,6.180000,5.683168,733964
2018-02-12,6.090000,6.170000,6.060000,6.150000,5.655581,856915
2018-02-13,6.150000,6.250000,6.100000,6.240000,5.738345,1396613
2018-02-14,6.200000,6.230000,6.140000,6.210000,5.710757,790864
2018-02-15,6.290000,6.380000,6.200000,6.370000,5.857893,538369
2018-02-16,6.470000,6.470000,6.390000,6.430000,5.913070,701656
2018-02-19,6.540000,6.680000,6.470000,6.600000,6.069403,1216708
2018-02-20,6.600000,6.840000,6.600000,6.790000,6.244128,1775975
2018-02-21,6.820000,6.980000,6.820000,6.950000,6.391265,875139
2018-02-22,6.950000,7.080000,6.910000,7.070000,6.501619,724866
2018-02-23,7.090000,7.130000,6.990000,7.040000,6.474030,468876
2018-02-26,7.090000,7.160000,7.080000,7.160000,6.584383,785589
2018-02-27,7.200000,7.200000,7.030000,7.030000,6.464835,917290
2018-02-28,7.020000,7.110000,6.970000,7.040000,6.474030,698829
2018-03-01,6.920000,6.970000,6.860000,6.970000,6.492660,490568
2018-03-02,6.890000,6.890000,6.700000,6.740000,6.278412,584734
2018-03-05,6.700000,6.815000,6.680000,6.780000,6.315673,457317
2018-03-06,6.830000,6.940000,6.820000,6.940000,6.464714,467433
2018-03-07,6.920000,6.940000,6.820000,6.830000,6.362248,672814
2018-03-08,6.890000,6.995000,6.840000,6.890000,6.418139,655844
2018-03-09,6.940000,7.030000,6.900000,6.960000,6.483345,553802
2018-03-12,7.030000,7.090000,7.010000,7.030000,6.548552,433637
2018-03-13,7.040000,7.080000,6.910000,6.940000,6.464714,493922
2018-03-14,6.810000,6.930000,6.730000,6.920000,6.446084,781752
2018-03-15,6.870000,6.950000,6.810000,6.860000,6.390194,1206189
2018-03-16,6.850000,6.900000,6.800000,6.880000,6.408824,2218845
2018-03-19,6.950000,6.950000,6.800000,6.860000,6.390194,543078
2018-03-20,6.850000,6.860000,6.810000,6.840000,6.371563,738408
2018-03-21,6.830000,6.840000,6.755000,6.830000,6.362248,391345
2018-03-22,6.760000,6.790000,6.680000,6.760000,6.297042,348717
2018-03-23,6.600000,6.640000,6.560000,6.580000,6.129369,658120
2018-03-26,6.500000,6.530000,6.450000,6.510000,6.064164,602131
2018-03-27,6.500000,6.560000,6.500000,6.520000,6.073478,1089379
2018-03-28,6.400000,6.500000,6.400000,6.430000,5.989642,561334
2018-03-29,6.410000,6.500000,6.370000,6.380000,5.943066,691873
2018-04-03,6.320000,6.365000,6.260000,6.300000,5.868546,578652
2018-04-04,6.240000,6.280000,6.210000,6.250000,5.821970,826346
2018-04-05,6.240000,6.330000,6.240000,6.300000,5.868546,613836
2018-04-06,6.230000,6.260000,6.150000,6.180000,5.756763,637061
2018-04-09,6.180000,6.260000,6.080000,6.250000,5.821970,588782
2018-04-10,6.210000,6.230000,6.170000,6.200000,5.775393,472315
2018-04-11,6.130000,6.155000,6.040000,6.060000,5.644981,680480
2018-04-12,6.020000,6.040000,5.840000,5.840000,5.440049,1136372
