Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,3.790000,3.890000,3.765000,3.850000,3.704786,5636204
2017-01-31,3.890000,3.910000,3.780000,3.810000,3.666295,4238471
2017-02-01,3.890000,3.910000,3.820000,3.840000,3.695163,3458323
2017-02-02,3.840000,3.950000,3.830000,3.940000,3.791391,4403171
2017-02-03,3.990000,4.120000,3.960000,3.990000,3.839505,4879111
2017-02-06,4.060000,4.140000,4.040000,4.110000,3.954979,3898933
2017-02-07,4.280000,4.340000,4.235000,4.270000,4.108944,4891086
2017-02-08,4.300000,4.300000,4.180000,4.230000,4.070453,2853773
2017-02-09,4.320000,4.390000,4.290000,4.340000,4.176305,4007101
2017-02-10,4.200000,4.260000,4.125000,4.250000,4.089699,4440437
2017-02-13,4.320000,4.350000,4.260000,4.320000,4.157058,2538462
2017-02-14,4.280000,4.350000,4.220000,4.330000,4.166681,2794882
2017-02-15,4.330000,4.400000,4.320000,4.370000,4.205172,3729156
2017-02-16,4.400000,4.455000,4.370000,4.430000,4.262910,3805393
2017-02-17,4.460000,4.570000,4.450000,4.480000,4.311024,3845366
2017-02-20,4.500000,4.535000,4.450000,4.480000,4.311024,1931186
2017-02-21,4.470000,4.510000,4.270000,4.310000,4.147436,4023227
2017-02-22,4.300000,4.350000,4.210000,4.340000,4.176305,3425028
2017-02-23,4.350000,4.430000,4.330000,4.350000,4.185927,2272097
2017-02-24,4.460000,4.525000,4.390000,4.430000,4.262910,3008468
2017-02-27,4.490000,4.490000,4.390000,4.410000,4.243664,3476712
2017-02-28,4.280000,4.300000,4.150000,4.190000,4.031962,5235959
2017-03-01,4.200000,4.210000,4.055000,4.130000,3.974225,5364439
2017-03-02,4.190000,4.280000,4.150000,4.200000,4.041585,3592486
2017-03-03,4.030000,4.060000,3.980000,4.050000,3.897243,4122196
2017-03-06,4.060000,4.110000,3.980000,3.980000,3.829883,3574969
2017-03-07,3.920000,3.970000,3.835000,3.960000,3.810637,6137079
2017-03-08,3.900000,3.905000,3.820000,3.870000,3.724031,4407828
2017-03-09,3.830000,3.940000,3.810000,3.840000,3.695163,3548067
2017-03-10,3.850000,3.850000,3.740000,3.750000,3.608558,5200939
2017-03-13,3.890000,3.990000,3.850000,3.930000,3.781769,4842443
2017-03-14,3.960000,4.040000,3.925000,3.990000,3.839505,3084481
2017-03-15,3.930000,3.950000,3.855000,3.910000,3.762523,3429188
2017-03-16,4.120000,4.150000,4.080000,4.100000,3.945357,4199521
2017-03-17,4.150000,4.200000,4.110000,4.180000,4.022339,5489172
2017-03-20,4.160000,4.170000,4.100000,4.170000,4.012717,2822942
2017-03-21,4.170000,4.235000,4.110000,4.150000,3.993471,3095304
2017-03-22,4.300000,4.320000,4.175000,4.180000,4.051628,3226342
2017-03-23,4.180000,4.190000,4.065000,4.130000,4.003163,3203862
2017-03-24,4.140000,4.150000,4.070000,4.080000,3.954699,2649179
2017-03-27,4.180000,4.220000,4.110000,4.160000,4.032242,3636419
2017-03-28,4.160000,4.160000,4.080000,4.150000,4.022550,2046795
2017-03-29,4.070000,4.110000,4.050000,4.060000,3.935313,3646621
2017-03-30,4.130000,4.130000,3.990000,4.010000,3.886849,2859336
2017-03-31,3.990000,4.060000,3.950000,4.060000,3.935313,4704793
2017-04-03,4.080000,4.140000,4.050000,4.060000,3.935313,2766552
2017-04-04,4.150000,4.280000,4.130000,4.260000,4.129171,4750964
2017-04-05,4.260000,4.280000,4.190000,4.220000,4.090399,3849418
2017-04-06,4.260000,4.340000,4.255000,4.300000,4.167943,3352998
2017-04-07,4.320000,4.540000,4.315000,4.540000,4.400572,7096553
2017-04-10,4.480000,4.500000,4.360000,4.470000,4.332721,5864620
2017-04-11,4.470000,4.510000,4.410000,4.450000,4.313336,3508845
2017-04-12,4.610000,4.635000,4.525000,4.550000,4.410265,4369322
2017-04-13,4.670000,4.890000,4.660000,4.860000,4.710745,11186294
2017-04-18,4.800000,4.910000,4.770000,4.850000,4.701051,8462201
2017-04-19,4.860000,4.860000,4.580000,4.650000,4.507194,7526199
2017-04-20,4.460000,4.635000,4.440000,4.600000,4.458730,5828783
2017-04-21,4.580000,4.605000,4.530000,4.580000,4.439343,4256630
2017-04-24,4.500000,4.600000,4.440000,4.580000,4.439343,2652372
2017-04-26,4.360000,4.420000,4.230000,4.260000,4.129171,7474099
2017-04-27,4.360000,4.505000,4.330000,4.470000,4.332721,4607740
2017-04-28,4.250000,4.320000,4.160000,4.280000,4.148557,7315835
2017-05-01,4.310000,4.385000,4.220000,4.250000,4.119479,4586467
2017-05-02,4.120000,4.260000,4.100000,4.230000,4.100092,5171705
2017-05-03,4.260000,4.350000,4.230000,4.310000,4.177635,4573155
2017-05-04,4.220000,4.230000,4.140000,4.210000,4.080706,5219934
2017-05-05,4.180000,4.270000,4.150000,4.230000,4.100092,3932804
2017-05-08,4.310000,4.310000,4.180000,4.220000,4.090399,5417292
2017-05-09,4.250000,4.420000,4.220000,4.380000,4.245486,5001448
2017-05-10,4.480000,4.570000,4.430000,4.560000,4.419958,4399725
2017-05-11,4.620000,4.640000,4.480000,4.540000,4.400572,3574864
2017-05-12,4.590000,4.690000,4.550000,4.640000,4.497500,4038061
